Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,49.23,49.25,49.07,49.16,396400,49.16
2014-06-18,48.56,49.01,48.56,48.98,313400,48.98
2014-06-17,48.35,48.56,48.35,48.56,117500,48.56
2014-06-16,48.60,48.66,48.49,48.58,80200,48.58
2014-06-13,48.65,48.67,48.52,48.61,61500,48.61
2014-06-12,48.65,48.75,48.50,48.56,256200,48.56
2014-06-11,48.64,48.66,48.54,48.58,206100,48.58
2014-06-10,48.60,48.78,48.60,48.78,172100,48.78
2014-06-09,48.58,48.84,48.58,48.81,427600,48.81
2014-06-06,48.71,48.81,48.61,48.81,462800,48.81
2014-06-05,48.39,48.55,48.20,48.50,93900,48.50
2014-06-04,48.13,48.22,48.04,48.20,36200,48.20
2014-06-03,48.08,48.26,48.08,48.24,326200,48.24
2014-06-02,48.34,48.34,48.18,48.23,222500,48.23
2014-05-30,48.13,48.22,48.08,48.15,1232500,48.15
2014-05-29,48.30,48.32,48.15,48.28,800600,48.28
2014-05-28,48.05,48.11,47.95,48.06,76800,48.06
2014-05-27,48.22,48.22,47.99,48.14,165400,48.14
2014-05-23,47.80,48.02,47.80,47.99,85900,47.99
2014-05-22,47.75,47.90,47.75,47.87,163100,47.87
2014-05-21,47.48,47.74,47.48,47.71,43200,47.71
2014-05-20,47.56,47.56,47.27,47.36,153400,47.36
2014-05-19,47.57,47.73,47.52,47.72,392400,47.72
2014-05-16,47.55,47.80,47.52,47.80,1718200,47.80
2014-05-15,47.77,47.77,47.37,47.53,234700,47.53
2014-05-14,47.83,47.91,47.73,47.79,126200,47.79
2014-05-13,47.73,47.81,47.70,47.78,153400,47.78
2014-05-12,47.62,47.71,47.52,47.70,255200,47.70
2014-05-09,47.39,47.39,47.18,47.32,99600,47.32
2014-05-08,47.42,47.62,47.35,47.39,108100,47.39
2014-05-07,47.21,47.42,47.13,47.41,266700,47.41
2014-05-06,47.28,47.43,47.27,47.28,240600,47.28
2014-05-05,47.14,47.32,47.01,47.32,196000,47.32
2014-05-02,47.29,47.51,47.26,47.38,337100,47.38
2014-05-01,47.33,47.48,47.33,47.37,1721300,47.37
2014-04-30,47.15,47.36,47.10,47.35,182200,47.35
2014-04-29,47.09,47.32,47.09,47.23,183100,47.23
2014-04-28,46.94,46.96,46.57,46.91,171100,46.91
2014-04-25,46.91,46.91,46.59,46.75,288300,46.75
2014-04-24,47.08,47.08,46.76,46.99,360500,46.99
2014-04-23,47.15,47.15,46.95,47.03,191000,47.03
2014-04-22,47.20,47.22,47.09,47.17,157800,47.17
2014-04-21,47.05,47.06,46.91,47.05,134800,47.05
2014-04-17,46.77,47.10,46.77,47.03,188600,47.03
2014-04-16,46.61,46.79,46.48,46.77,84100,46.77
2014-04-15,46.33,46.41,45.78,46.26,155100,46.26
2014-04-14,46.59,46.60,46.27,46.51,419200,46.51
2014-04-11,46.25,46.56,46.23,46.30,282700,46.30
2014-04-10,47.18,47.18,46.51,46.54,372500,46.54
2014-04-09,46.95,47.31,46.86,47.28,227000,47.28
2014-04-08,46.66,46.85,46.58,46.74,244400,46.74
2014-04-07,46.77,46.79,46.48,46.60,642400,46.60
2014-04-04,47.02,47.19,46.66,46.69,131400,46.69
2014-04-03,47.01,47.01,46.67,46.87,56000,46.87
2014-04-02,46.80,47.01,46.80,46.95,306200,46.95
2014-04-01,46.77,46.89,46.76,46.89,223300,46.89
2014-03-31,46.66,46.68,46.51,46.57,752300,46.57
2014-03-28,46.28,46.45,46.25,46.28,393600,46.28
2014-03-27,45.80,46.02,45.75,45.95,295200,45.95
2014-03-26,45.94,46.04,45.65,45.65,458600,45.65
2014-03-25,45.44,45.74,45.38,45.67,1788800,45.67
2014-03-24,45.26,45.33,44.90,45.14,365300,45.14
2014-03-21,45.20,45.43,44.97,45.02,188700,45.02
2014-03-20,44.69,45.13,44.68,45.06,335300,45.06
2014-03-19,45.55,45.64,44.89,45.12,176300,45.12
2014-03-18,45.42,45.78,45.42,45.73,454900,45.73
2014-03-17,45.17,45.46,45.17,45.41,279800,45.41
2014-03-14,44.81,45.10,44.77,44.89,169700,44.89
2014-03-13,45.75,45.84,44.85,44.94,164400,44.94
2014-03-12,45.50,45.71,45.33,45.71,39100,45.71
2014-03-11,46.04,46.24,45.76,45.81,136000,45.81
2014-03-10,46.15,46.16,45.86,46.12,363300,46.12
2014-03-07,46.71,46.71,46.24,46.44,72900,46.44
2014-03-06,46.68,46.89,46.68,46.77,202800,46.77
2014-03-05,46.23,46.32,46.18,46.24,76800,46.24
2014-03-04,46.19,46.38,46.19,46.28,215600,46.28
2014-03-03,45.64,45.70,45.32,45.46,268900,45.46
2014-02-28,46.31,46.54,46.18,46.33,340300,46.33
2014-02-27,46.12,46.30,45.99,46.27,1074500,46.27
2014-02-26,46.09,46.21,45.94,46.03,160900,46.03
2014-02-25,46.43,46.43,46.13,46.18,112200,46.18
2014-02-24,46.22,46.58,46.20,46.40,223200,46.40
2014-02-21,46.06,46.23,46.02,46.02,355000,46.02
2014-02-20,45.80,45.99,45.61,45.93,359100,45.93
2014-02-19,46.01,46.14,45.71,45.76,164600,45.76
2014-02-18,46.02,46.13,45.92,46.05,371400,46.05
2014-02-14,45.51,45.88,45.51,45.81,74700,45.81
2014-02-13,44.94,45.56,44.94,45.53,110800,45.53
2014-02-12,45.43,45.52,45.29,45.38,80800,45.38
2014-02-11,44.81,45.39,44.81,45.31,335400,45.31
2014-02-10,44.65,44.65,44.48,44.53,1593900,44.53
2014-02-07,44.48,44.78,44.37,44.75,377300,44.75
2014-02-06,43.73,44.28,43.73,44.25,249900,44.25
2014-02-05,43.42,43.53,43.21,43.47,183000,43.47
2014-02-04,43.28,43.49,43.20,43.43,2557200,43.43
2014-02-03,43.85,43.90,42.95,42.97,549000,42.97
2014-01-31,43.64,44.08,43.51,43.84,275000,43.84
2014-01-30,44.33,44.47,44.22,44.36,331100,44.36
2014-01-29,44.04,44.39,44.03,44.14,401400,44.14
2014-01-28,44.50,44.70,44.47,44.67,120000,44.67
