Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,10.99,11.02,10.90,10.95,168600,10.95
2014-06-18,10.90,11.01,10.74,10.99,182000,10.99
2014-06-17,10.61,10.90,10.52,10.85,175200,10.85
2014-06-16,10.70,10.81,10.45,10.58,406000,10.58
2014-06-13,10.85,10.95,10.74,10.75,142700,10.75
2014-06-12,11.02,11.06,10.77,10.81,333300,10.81
2014-06-11,11.11,11.12,10.88,11.10,395500,11.10
2014-06-10,11.41,11.45,11.26,11.28,205400,11.16
2014-06-09,11.34,11.45,11.21,11.43,285400,11.31
2014-06-06,11.14,11.31,11.09,11.30,172100,11.18
2014-06-05,10.82,11.12,10.80,11.11,251800,10.99
2014-06-04,10.80,10.89,10.80,10.83,310700,10.71
2014-06-03,10.81,10.86,10.79,10.81,378800,10.70
2014-06-02,10.88,10.96,10.80,10.85,255900,10.73
2014-05-30,10.84,10.95,10.82,10.90,1750400,10.78
2014-05-29,10.80,10.91,10.76,10.83,286400,10.71
2014-05-28,10.60,10.83,10.57,10.75,608500,10.64
2014-05-27,10.58,10.75,10.49,10.62,428500,10.51
2014-05-23,10.16,10.44,10.15,10.39,598300,10.28
2014-05-22,10.07,10.27,9.98,10.20,478700,10.09
2014-05-21,9.93,10.16,9.92,10.09,341600,9.98
2014-05-20,9.90,10.04,9.90,9.95,1008200,9.84
2014-05-19,9.98,10.12,9.90,9.93,1767600,9.82
2014-05-16,10.17,10.22,9.76,9.98,4193900,9.87
2014-05-15,10.60,10.73,9.70,9.78,1461200,9.68
2014-05-14,11.73,11.73,10.66,10.72,753300,10.61
2014-05-13,11.89,11.92,11.78,11.78,64000,11.65
2014-05-12,11.65,11.99,11.65,11.89,92700,11.76
2014-05-09,11.55,11.75,11.32,11.68,125100,11.56
2014-05-08,11.88,11.94,11.45,11.61,46600,11.49
2014-05-07,11.85,11.90,11.53,11.86,77700,11.73
2014-05-06,12.11,12.15,11.83,11.83,55800,11.70
2014-05-05,12.32,12.32,12.01,12.13,59000,12.00
2014-05-02,12.60,12.64,12.34,12.41,161500,12.28
2014-05-01,12.60,12.61,12.40,12.56,110900,12.43
2014-04-30,12.58,12.67,12.40,12.57,107400,12.44
2014-04-29,12.63,12.65,12.57,12.60,165700,12.47
2014-04-28,12.57,12.73,12.47,12.61,124100,12.48
2014-04-25,12.64,12.85,12.52,12.57,137100,12.44
2014-04-24,12.46,12.75,12.35,12.71,226300,12.57
2014-04-23,12.34,12.63,12.18,12.34,183200,12.21
2014-04-22,12.27,12.27,12.05,12.23,69300,12.10
2014-04-21,12.18,12.22,12.00,12.04,53500,11.91
2014-04-17,12.05,12.25,11.94,12.16,48600,12.03
2014-04-16,11.85,12.07,11.84,12.05,102000,11.92
2014-04-15,11.79,11.93,11.65,11.76,230900,11.63
2014-04-14,11.88,11.92,11.70,11.79,93100,11.66
2014-04-11,11.85,11.98,11.77,11.81,174200,11.68
2014-04-10,12.01,12.06,11.88,11.88,114900,11.75
2014-04-09,11.97,12.07,11.92,12.07,95800,11.94
2014-04-08,12.01,12.06,11.90,12.04,412200,11.91
2014-04-07,12.33,12.35,12.03,12.26,63200,12.13
2014-04-04,12.37,12.48,12.05,12.33,87900,12.20
2014-04-03,12.23,12.48,12.18,12.34,62800,12.21
2014-04-02,12.34,12.39,12.18,12.28,39800,12.15
2014-04-01,12.32,12.37,12.18,12.29,81600,12.16
2014-03-31,12.05,12.31,12.05,12.27,117200,12.14
2014-03-28,12.13,12.26,12.00,12.00,78700,11.87
2014-03-27,12.15,12.20,12.10,12.14,165600,12.01
2014-03-26,12.39,12.43,12.15,12.17,138700,12.04
2014-03-25,12.30,12.43,12.25,12.32,52700,12.19
2014-03-24,12.48,12.48,12.21,12.26,159600,12.13
2014-03-21,12.42,12.49,12.37,12.45,107100,12.32
2014-03-20,12.34,12.49,12.29,12.41,76500,12.28
2014-03-19,12.35,12.58,12.07,12.57,243900,12.44
2014-03-18,12.69,12.82,12.55,12.60,155500,12.47
2014-03-17,12.89,12.90,12.54,12.75,281900,12.61
2014-03-14,13.29,13.32,12.90,12.92,81500,12.78
2014-03-13,13.21,13.21,12.79,13.00,83600,12.86
2014-03-12,12.94,13.27,12.94,13.25,48900,13.11
2014-03-11,13.00,13.16,13.00,13.03,53800,12.77
2014-03-10,13.04,13.08,12.68,13.07,118000,12.81
2014-03-07,13.35,13.35,13.05,13.14,25600,12.88
2014-03-06,13.31,13.33,13.25,13.28,46000,13.02
2014-03-05,13.22,13.35,13.20,13.33,55100,13.07
2014-03-04,12.89,13.35,12.67,13.25,92200,12.99
2014-03-03,12.76,12.80,12.63,12.73,27800,12.48
2014-02-28,12.90,13.16,12.76,12.79,71700,12.54
2014-02-27,12.69,12.86,12.68,12.84,66100,12.59
2014-02-26,12.80,12.97,12.61,12.71,59400,12.46
2014-02-25,12.82,13.13,12.75,12.81,94800,12.56
2014-02-24,12.80,12.94,12.80,12.90,52000,12.65
2014-02-21,12.68,12.85,12.65,12.74,82000,12.49
2014-02-20,12.58,12.84,12.51,12.68,89300,12.43
2014-02-19,12.89,12.94,12.57,12.60,63700,12.35
2014-02-18,12.95,13.02,12.83,12.97,89000,12.71
2014-02-14,12.78,13.05,12.78,12.91,29300,12.66
2014-02-13,12.95,12.95,12.69,12.75,64800,12.50
2014-02-12,13.12,13.25,12.89,12.95,135700,12.69
2014-02-11,13.00,13.16,12.90,13.10,76000,12.84
2014-02-10,12.98,13.07,12.83,12.97,62200,12.71
2014-02-07,13.09,13.09,12.89,12.94,133900,12.68
2014-02-06,13.05,13.44,13.00,13.07,87700,12.81
2014-02-05,13.00,13.14,12.91,12.99,211200,12.73
2014-02-04,12.96,13.12,12.92,13.01,163800,12.75
2014-02-03,12.64,12.99,12.64,12.87,182400,12.62
2014-01-31,12.65,12.86,12.55,12.70,70700,12.45
2014-01-30,12.87,12.96,12.78,12.83,68700,12.58
2014-01-29,13.15,13.15,12.76,12.79,108100,12.54
2014-01-28,13.28,13.40,13.17,13.22,67300,12.96
2014-01-27,13.50,13.54,13.27,13.31,88900,13.05
2014-01-24,13.74,13.84,13.43,13.53,126500,13.26
2014-01-23,13.72,13.91,13.68,13.84,193600,13.57
2014-01-22,13.52,13.76,13.52,13.76,52100,13.49
2014-01-21,13.48,13.59,13.39,13.53,89800,13.26
2014-01-17,13.26,13.46,13.26,13.36,105500,13.10
2014-01-16,13.42,13.50,13.40,13.45,38800,13.18
2014-01-15,13.24,13.68,13.23,13.49,267800,13.22
2014-01-14,13.26,13.26,13.15,13.23,184600,12.97
2014-01-13,13.23,13.28,13.18,13.24,56300,12.98
2014-01-10,13.34,13.34,13.18,13.25,75700,12.99
2014-01-09,13.29,13.38,13.23,13.27,89900,13.01
2014-01-08,13.25,13.31,13.12,13.29,180700,13.03
2014-01-07,13.10,13.24,13.10,13.23,90800,12.97
2014-01-06,13.26,13.32,13.09,13.09,39600,12.83
2014-01-03,13.26,13.33,13.21,13.27,31400,13.01
2014-01-02,13.40,13.40,13.17,13.26,63500,13.00
2013-12-31,13.17,13.62,13.17,13.41,74800,13.15
2013-12-30,13.55,13.55,13.13,13.20,110500,12.94
2013-12-27,13.66,13.81,13.49,13.55,61100,13.28
2013-12-26,13.90,14.06,13.67,13.69,36500,13.42
2013-12-24,13.74,13.95,13.72,13.84,78000,13.57
2013-12-23,13.76,13.99,13.69,13.69,103200,13.42
2013-12-20,13.40,13.77,13.40,13.69,199200,13.42
2013-12-19,13.20,13.44,13.10,13.40,121000,13.14
2013-12-18,12.94,13.24,12.80,13.24,83300,12.98
2013-12-17,13.04,13.15,13.00,13.08,40100,12.70
2013-12-16,12.80,13.07,12.80,13.07,116100,12.69
2013-12-13,12.70,12.80,12.60,12.75,68400,12.38
2013-12-12,12.59,12.74,12.50,12.70,156200,12.33
2013-12-11,12.82,12.90,12.56,12.62,89100,12.26
2013-12-10,12.73,12.98,12.65,12.83,157600,12.46
2013-12-09,12.85,12.91,12.65,12.77,170800,12.40
2013-12-06,12.81,12.90,12.77,12.81,55200,12.44
2013-12-05,12.72,12.90,12.60,12.73,76300,12.36
2013-12-04,12.66,12.92,12.51,12.73,159600,12.36
2013-12-03,12.86,12.86,12.36,12.46,102500,12.10
2013-12-02,12.85,12.90,12.40,12.88,147800,12.51
2013-11-29,12.75,12.95,12.73,12.82,29600,12.45
2013-11-27,12.52,12.69,12.41,12.69,45500,12.33
2013-11-26,12.54,12.61,12.41,12.49,97400,12.13
2013-11-25,12.50,12.59,12.45,12.51,66500,12.15
2013-11-22,12.49,12.56,12.40,12.45,99100,12.09
