Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,8.29,8.35,8.28,8.34,936800,8.34
2014-06-18,8.21,8.27,8.21,8.27,289500,8.27
2014-06-17,8.21,8.24,8.21,8.21,288900,8.21
2014-06-16,8.22,8.25,8.21,8.23,473100,8.23
2014-06-13,8.28,8.30,8.21,8.24,578200,8.24
2014-06-12,8.23,8.27,8.19,8.27,975600,8.27
2014-06-11,8.34,8.35,8.32,8.34,393900,8.20
2014-06-10,8.35,8.37,8.34,8.37,433000,8.23
2014-06-09,8.33,8.36,8.33,8.34,415100,8.20
2014-06-06,8.38,8.40,8.34,8.34,309200,8.20
2014-06-05,8.36,8.39,8.32,8.39,416800,8.25
2014-06-04,8.32,8.37,8.30,8.37,726300,8.23
2014-06-03,8.29,8.34,8.29,8.33,398300,8.19
2014-06-02,8.28,8.32,8.27,8.31,358000,8.17
2014-05-30,8.27,8.31,8.26,8.28,439000,8.14
2014-05-29,8.28,8.28,8.25,8.28,507600,8.14
2014-05-28,8.22,8.27,8.21,8.27,467300,8.13
2014-05-27,8.18,8.22,8.17,8.22,483900,8.08
2014-05-23,8.20,8.21,8.16,8.17,339300,8.03
2014-05-22,8.16,8.20,8.16,8.19,441700,8.05
2014-05-21,8.13,8.19,8.13,8.16,585000,8.02
2014-05-20,8.11,8.13,8.08,8.12,322100,7.98
2014-05-19,8.06,8.13,8.06,8.13,397300,7.99
2014-05-16,8.08,8.10,8.06,8.10,312500,7.96
2014-05-15,8.10,8.11,8.06,8.07,408200,7.93
2014-05-14,8.12,8.14,8.09,8.10,602600,7.96
2014-05-13,8.12,8.13,8.10,8.12,354000,7.98
2014-05-12,8.10,8.12,8.09,8.12,444000,7.98
2014-05-09,8.05,8.09,8.03,8.08,342700,7.94
2014-05-08,8.08,8.10,8.04,8.06,401400,7.92
2014-05-07,8.07,8.08,8.01,8.07,448300,7.93
2014-05-06,8.08,8.08,8.03,8.04,304900,7.91
2014-05-05,8.06,8.09,8.04,8.07,259000,7.93
2014-05-02,8.10,8.11,8.06,8.06,318900,7.92
2014-05-01,8.08,8.12,8.07,8.08,310300,7.94
2014-04-30,8.08,8.10,8.06,8.10,376600,7.96
2014-04-29,8.04,8.08,8.04,8.08,279800,7.94
2014-04-28,8.04,8.06,7.98,8.03,392100,7.90
2014-04-25,8.04,8.04,7.99,8.01,364200,7.88
2014-04-24,8.07,8.07,8.03,8.05,331100,7.91
2014-04-23,8.07,8.08,8.02,8.05,280700,7.91
2014-04-22,8.00,8.08,8.00,8.07,575600,7.93
2014-04-21,8.00,8.03,7.98,8.00,336400,7.87
2014-04-17,7.97,8.03,7.97,8.02,444400,7.89
2014-04-16,7.94,7.99,7.93,7.98,432100,7.85
2014-04-15,7.89,7.93,7.84,7.92,621000,7.79
2014-04-14,7.88,7.90,7.85,7.89,445900,7.76
2014-04-11,7.84,7.90,7.83,7.83,464400,7.70
2014-04-10,7.96,7.97,7.85,7.88,538600,7.75
2014-04-09,7.93,7.96,7.89,7.96,854300,7.83
2014-04-08,7.85,7.90,7.84,7.89,449500,7.76
2014-04-07,7.87,7.90,7.84,7.85,610100,7.72
2014-04-04,7.97,8.00,7.89,7.90,559900,7.77
2014-04-03,7.95,7.97,7.94,7.95,415900,7.82
2014-04-02,7.98,7.98,7.93,7.95,927600,7.82
2014-04-01,7.95,7.99,7.94,7.97,603600,7.84
2014-03-31,7.94,7.97,7.93,7.94,786900,7.81
2014-03-28,7.86,7.91,7.86,7.89,395600,7.76
2014-03-27,7.85,7.86,7.82,7.85,333000,7.72
2014-03-26,7.87,7.90,7.84,7.84,397800,7.71
2014-03-25,7.81,7.87,7.81,7.87,379200,7.74
2014-03-24,7.84,7.86,7.78,7.80,319500,7.67
2014-03-21,7.86,7.89,7.83,7.85,506600,7.72
2014-03-20,7.77,7.84,7.76,7.84,489400,7.71
2014-03-19,7.83,7.84,7.78,7.78,316100,7.65
2014-03-18,7.80,7.84,7.79,7.84,342600,7.71
2014-03-17,7.74,7.80,7.74,7.78,489400,7.65
2014-03-14,7.74,7.77,7.72,7.74,285800,7.61
2014-03-13,7.79,7.82,7.71,7.75,389400,7.62
2014-03-12,7.75,7.80,7.74,7.78,441800,7.65
2014-03-11,7.94,7.97,7.90,7.91,694300,7.64
2014-03-10,7.96,7.97,7.92,7.94,502600,7.67
2014-03-07,7.97,7.98,7.93,7.96,425200,7.69
2014-03-06,7.95,7.98,7.95,7.96,352700,7.69
2014-03-05,7.92,7.95,7.92,7.94,416500,7.67
2014-03-04,7.88,7.94,7.88,7.93,343200,7.66
2014-03-03,7.86,7.87,7.82,7.84,475800,7.57
2014-02-28,7.88,7.93,7.87,7.90,450200,7.63
2014-02-27,7.86,7.89,7.84,7.88,307900,7.61
2014-02-26,7.84,7.86,7.82,7.86,282700,7.59
2014-02-25,7.86,7.86,7.82,7.84,449000,7.57
2014-02-24,7.84,7.88,7.83,7.85,499400,7.58
2014-02-21,7.84,7.84,7.80,7.81,514500,7.54
2014-02-20,7.79,7.83,7.77,7.81,677500,7.54
2014-02-19,7.82,7.86,7.78,7.78,618100,7.51
2014-02-18,7.84,7.86,7.83,7.85,673400,7.58
2014-02-14,7.80,7.84,7.79,7.82,688600,7.55
2014-02-13,7.74,7.81,7.73,7.81,559400,7.54
2014-02-12,7.78,7.82,7.75,7.76,741100,7.49
2014-02-11,7.72,7.79,7.72,7.79,798400,7.52
2014-02-10,7.69,7.71,7.67,7.70,605200,7.44
2014-02-07,7.71,7.73,7.67,7.71,623600,7.45
2014-02-06,7.61,7.66,7.61,7.65,433300,7.39
2014-02-05,7.57,7.61,7.55,7.59,361500,7.33
2014-02-04,7.57,7.61,7.56,7.60,437800,7.34
2014-02-03,7.68,7.69,7.55,7.57,707000,7.31
2014-01-31,7.69,7.75,7.67,7.69,410400,7.43
2014-01-30,7.73,7.77,7.73,7.75,567300,7.49
2014-01-29,7.72,7.74,7.68,7.70,479400,7.44
2014-01-28,7.74,7.78,7.74,7.78,380800,7.51
2014-01-27,7.77,7.78,7.67,7.73,438300,7.47
2014-01-24,7.85,7.85,7.76,7.76,513100,7.49
2014-01-23,7.91,7.92,7.85,7.88,499400,7.61
2014-01-22,7.95,7.97,7.92,7.92,580900,7.65
2014-01-21,7.92,7.95,7.90,7.93,362200,7.66
2014-01-17,7.92,7.92,7.88,7.89,465300,7.62
2014-01-16,7.93,7.93,7.91,7.91,466100,7.64
2014-01-15,7.91,7.92,7.90,7.92,516700,7.65
2014-01-14,7.88,7.93,7.88,7.90,660600,7.63
2014-01-13,7.96,8.00,7.88,7.88,553600,7.61
2014-01-10,7.96,8.00,7.95,8.00,320800,7.73
2014-01-09,7.98,7.99,7.95,7.97,355200,7.70
2014-01-08,7.97,8.00,7.96,7.99,407700,7.72
2014-01-07,7.98,8.00,7.96,7.99,702000,7.72
2014-01-06,7.96,7.97,7.90,7.90,906500,7.63
2014-01-03,7.92,7.95,7.88,7.93,890300,7.66
2014-01-02,7.95,7.95,7.89,7.95,929000,7.68
2013-12-31,7.98,7.98,7.93,7.94,931100,7.67
2013-12-30,7.92,7.95,7.89,7.92,596800,7.65
2013-12-27,7.97,7.97,7.93,7.93,319100,7.66
2013-12-26,7.90,7.96,7.90,7.96,551500,7.69
2013-12-24,7.90,7.91,7.88,7.89,226500,7.62
2013-12-23,7.90,7.90,7.86,7.87,707300,7.60
2013-12-20,7.79,7.88,7.77,7.83,772500,7.56
2013-12-19,7.76,7.80,7.74,7.80,565400,7.53
2013-12-18,7.65,7.77,7.62,7.76,779900,7.49
2013-12-17,7.79,7.80,7.76,7.79,471300,7.39
2013-12-16,7.77,7.81,7.77,7.80,565400,7.40
2013-12-13,7.76,7.77,7.73,7.76,419100,7.36
2013-12-12,7.73,7.77,7.71,7.74,595600,7.34
2013-12-11,7.82,7.83,7.73,7.74,641800,7.34
2013-12-10,7.80,7.85,7.80,7.82,576400,7.42
2013-12-09,7.84,7.85,7.79,7.84,562200,7.44
2013-12-06,7.81,7.85,7.80,7.84,645100,7.44
2013-12-05,7.78,7.80,7.76,7.78,374600,7.38
2013-12-04,7.79,7.82,7.76,7.81,449600,7.41
2013-12-03,7.82,7.84,7.78,7.80,405200,7.40
2013-12-02,7.86,7.87,7.82,7.82,367400,7.42
2013-11-29,7.87,7.89,7.86,7.86,117300,7.45
2013-11-27,7.85,7.88,7.84,7.86,247300,7.45
2013-11-26,7.85,7.88,7.85,7.85,370100,7.45
2013-11-25,7.88,7.90,7.85,7.86,464000,7.45
2013-11-22,7.87,7.89,7.86,7.89,425800,7.48
2013-11-21,7.85,7.88,7.84,7.88,430300,7.47
2013-11-20,7.84,7.87,7.81,7.83,447000,7.43
2013-11-19,7.83,7.87,7.82,7.84,551900,7.44
2013-11-18,7.85,7.88,7.82,7.85,494300,7.45
2013-11-15,7.89,7.89,7.83,7.87,571400,7.46
2013-11-14,7.81,7.84,7.79,7.84,538600,7.44
2013-11-13,7.72,7.79,7.72,7.79,465600,7.39
2013-11-12,7.74,7.76,7.72,7.75,437200,7.35
2013-11-11,7.74,7.78,7.74,7.77,340100,7.37
2013-11-08,7.70,7.77,7.66,7.77,595200,7.37
2013-11-07,7.80,7.81,7.70,7.71,490100,7.31
2013-11-06,7.76,7.80,7.75,7.80,497400,7.40
2013-11-05,7.70,7.77,7.69,7.75,396400,7.35
2013-11-04,7.73,7.75,7.72,7.75,305100,7.35
2013-11-01,7.72,7.75,7.70,7.73,413900,7.33
2013-10-31,7.73,7.78,7.71,7.72,416800,7.32
2013-10-30,7.76,7.77,7.70,7.73,496800,7.33
2013-10-29,7.73,7.76,7.72,7.76,444800,7.36
2013-10-28,7.70,7.75,7.70,7.71,551100,7.31
2013-10-25,7.74,7.75,7.70,7.73,466700,7.33
2013-10-24,7.70,7.75,7.70,7.72,390900,7.32
2013-10-23,7.70,7.72,7.65,7.71,529100,7.31
2013-10-22,7.70,7.73,7.68,7.73,543400,7.33
2013-10-21,7.68,7.71,7.68,7.68,422900,7.28
