Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,13.42,13.49,13.41,13.45,18400,13.45
2014-06-18,13.35,13.39,13.31,13.35,11000,13.35
2014-06-17,13.31,13.41,13.27,13.38,17700,13.38
2014-06-16,13.30,13.38,13.27,13.34,14300,13.34
2014-06-13,13.27,13.36,13.22,13.23,18500,13.23
2014-06-12,13.21,13.39,13.21,13.29,9600,13.29
2014-06-11,13.35,13.36,13.26,13.27,14800,13.27
2014-06-10,13.33,13.40,13.31,13.32,8100,13.32
2014-06-09,13.38,13.39,13.32,13.39,13100,13.39
2014-06-06,13.39,13.40,13.29,13.36,9600,13.36
2014-06-05,13.24,13.39,13.23,13.37,35300,13.37
2014-06-04,13.25,13.35,13.25,13.29,15300,13.29
2014-06-03,13.32,13.35,13.25,13.29,18800,13.29
2014-06-02,13.35,13.35,13.28,13.31,10800,13.31
2014-05-30,13.35,13.35,13.25,13.31,10600,13.31
2014-05-29,13.23,13.33,13.23,13.31,18300,13.31
2014-05-28,13.23,13.29,13.15,13.23,23000,13.23
2014-05-27,13.17,13.22,13.15,13.19,20700,13.19
2014-05-23,13.14,13.22,13.14,13.17,16600,13.17
2014-05-22,13.10,13.20,13.10,13.14,24600,13.14
2014-05-21,13.11,13.13,13.06,13.10,13100,13.10
2014-05-20,13.12,13.13,13.00,13.07,15700,13.07
2014-05-19,13.06,13.18,13.01,13.16,22900,13.16
2014-05-16,13.02,13.07,12.98,13.05,15300,13.05
2014-05-15,13.18,13.18,13.01,13.04,20700,13.04
2014-05-14,13.20,13.21,13.12,13.18,18000,13.18
2014-05-13,13.22,13.30,13.20,13.23,20600,13.23
2014-05-12,13.25,13.42,13.25,13.40,22800,13.17
2014-05-09,13.45,13.45,13.29,13.29,10400,13.06
2014-05-08,13.43,13.47,13.38,13.42,11900,13.19
2014-05-07,13.36,13.47,13.35,13.40,21400,13.17
2014-05-06,13.40,13.47,13.34,13.34,23100,13.11
2014-05-05,13.43,13.43,13.31,13.40,12000,13.17
2014-05-02,13.40,13.48,13.40,13.46,28400,13.23
2014-05-01,13.34,13.41,13.33,13.38,9000,13.15
2014-04-30,13.31,13.38,13.28,13.34,20700,13.11
2014-04-29,13.25,13.35,13.25,13.32,11600,13.09
2014-04-28,13.28,13.36,13.11,13.19,47600,12.96
2014-04-25,13.30,13.30,13.20,13.26,9800,13.03
2014-04-24,13.28,13.30,13.25,13.29,9400,13.06
2014-04-23,13.25,13.29,13.18,13.28,70000,13.05
2014-04-22,13.18,13.27,13.18,13.24,10700,13.01
2014-04-21,13.07,13.18,13.07,13.18,7800,12.95
2014-04-17,13.07,13.15,12.94,13.07,23300,12.85
2014-04-16,12.96,13.05,12.95,13.05,37800,12.83
2014-04-15,12.86,13.00,12.82,12.92,13300,12.70
2014-04-14,12.94,12.94,12.82,12.89,15300,12.67
2014-04-11,12.85,12.88,12.76,12.82,27900,12.60
2014-04-10,12.93,12.97,12.86,12.89,15200,12.67
2014-04-09,12.81,12.96,12.81,12.96,21700,12.74
2014-04-08,12.79,12.88,12.76,12.83,15400,12.61
2014-04-07,12.89,12.90,12.78,12.79,19200,12.57
2014-04-04,12.98,13.03,12.83,12.85,23900,12.63
2014-04-03,13.08,13.08,12.84,12.92,18500,12.70
2014-04-02,13.09,13.09,12.97,13.01,9700,12.79
2014-04-01,13.05,13.09,13.02,13.07,6000,12.85
2014-03-31,12.99,13.10,12.99,13.05,21100,12.83
2014-03-28,12.98,13.00,12.95,12.98,22300,12.76
2014-03-27,12.82,12.96,12.81,12.95,21300,12.73
2014-03-26,12.89,12.93,12.86,12.88,11500,12.66
2014-03-25,12.81,12.92,12.78,12.87,30400,12.65
2014-03-24,12.87,12.89,12.75,12.76,18800,12.54
2014-03-21,12.81,12.93,12.81,12.90,12800,12.68
2014-03-20,12.78,12.89,12.78,12.80,17200,12.58
2014-03-19,12.81,12.91,12.79,12.79,13900,12.57
2014-03-18,12.80,12.86,12.80,12.85,13500,12.63
2014-03-17,12.70,12.80,12.70,12.75,23500,12.53
2014-03-14,12.72,12.73,12.67,12.70,15100,12.48
2014-03-13,12.83,12.84,12.61,12.76,28400,12.54
2014-03-12,12.83,12.85,12.77,12.83,18900,12.61
2014-03-11,12.85,12.89,12.79,12.81,17300,12.59
2014-03-10,12.81,12.88,12.75,12.81,20700,12.59
2014-03-07,12.90,12.93,12.83,12.84,10700,12.62
2014-03-06,12.93,12.94,12.87,12.87,51800,12.65
2014-03-05,12.88,12.89,12.79,12.87,32900,12.65
2014-03-04,12.81,12.86,12.75,12.79,24600,12.57
2014-03-03,12.72,12.82,12.65,12.70,49100,12.48
2014-02-28,12.87,12.87,12.72,12.80,53700,12.58
2014-02-27,12.65,12.72,12.64,12.72,12700,12.50
2014-02-26,12.65,12.67,12.57,12.65,26800,12.43
2014-02-25,12.70,12.70,12.58,12.58,19400,12.36
2014-02-24,12.55,12.65,12.50,12.62,11400,12.40
2014-02-21,12.50,12.58,12.48,12.51,22900,12.30
2014-02-20,12.50,12.54,12.46,12.48,24900,12.27
2014-02-19,12.56,12.64,12.48,12.48,10600,12.27
2014-02-18,12.49,12.66,12.49,12.57,11000,12.35
2014-02-14,12.44,12.53,12.43,12.53,39000,12.31
2014-02-13,12.41,12.50,12.39,12.50,10200,12.29
2014-02-12,12.45,12.45,12.40,12.42,12300,12.21
2014-02-11,12.51,12.62,12.51,12.62,16600,12.18
2014-02-10,12.44,12.51,12.43,12.46,15300,12.02
2014-02-07,12.45,12.51,12.40,12.48,12000,12.04
2014-02-06,12.24,12.44,12.24,12.39,28200,11.96
2014-02-05,12.27,12.32,12.16,12.31,27800,11.88
