Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,4.70,4.74,4.69,4.74,73200,4.74
2014-06-18,4.74,4.76,4.18,4.70,353900,4.70
2014-06-17,4.75,4.75,4.70,4.72,58400,4.72
2014-06-16,4.71,4.78,4.69,4.74,139700,4.74
2014-06-13,4.62,4.71,4.62,4.71,64800,4.71
2014-06-12,4.68,4.68,4.61,4.64,99400,4.64
2014-06-11,4.69,4.70,4.67,4.67,61300,4.67
2014-06-10,4.73,4.74,4.67,4.68,154500,4.68
2014-06-09,4.69,4.73,4.69,4.72,125700,4.72
2014-06-06,4.70,4.72,4.69,4.72,50600,4.72
2014-06-05,4.66,4.70,4.64,4.70,42300,4.70
2014-06-04,4.65,4.67,4.64,4.66,77300,4.66
2014-06-03,4.66,4.67,4.63,4.67,74100,4.67
2014-06-02,4.64,4.66,4.63,4.66,58800,4.66
2014-05-30,4.69,4.69,4.64,4.64,92700,4.64
2014-05-29,4.66,4.69,4.65,4.68,138600,4.68
2014-05-28,4.70,4.70,4.65,4.67,92200,4.67
2014-05-27,4.71,4.72,4.68,4.69,96000,4.69
2014-05-23,4.67,4.70,4.67,4.70,83600,4.70
2014-05-22,4.69,4.70,4.66,4.68,155700,4.68
2014-05-21,4.63,4.69,4.61,4.67,161900,4.67
2014-05-20,4.60,4.65,4.58,4.63,175100,4.63
2014-05-19,4.55,4.65,4.55,4.62,213700,4.62
2014-05-16,4.54,4.55,4.52,4.55,86100,4.55
2014-05-15,4.50,4.53,4.49,4.53,101200,4.53
2014-05-14,4.50,4.52,4.49,4.50,49200,4.50
2014-05-13,4.48,4.50,4.48,4.49,59900,4.49
2014-05-12,4.48,4.50,4.46,4.47,90400,4.47
2014-05-09,4.49,4.49,4.43,4.48,70700,4.48
2014-05-08,4.50,4.52,4.47,4.47,107900,4.47
2014-05-07,4.48,4.50,4.46,4.49,101100,4.49
2014-05-06,4.46,4.48,4.45,4.48,115400,4.48
2014-05-05,4.43,4.46,4.43,4.45,49500,4.45
2014-05-02,4.44,4.46,4.44,4.46,38600,4.46
2014-05-01,4.40,4.45,4.40,4.45,68900,4.45
2014-04-30,4.38,4.42,4.37,4.40,135400,4.40
2014-04-29,4.45,4.46,4.36,4.37,318800,4.37
2014-04-28,4.44,4.46,4.41,4.43,92500,4.43
2014-04-25,4.40,4.46,4.39,4.42,216100,4.42
2014-04-24,4.44,4.44,4.41,4.43,71300,4.43
2014-04-23,4.41,4.43,4.39,4.43,122500,4.43
2014-04-22,4.35,4.41,4.35,4.40,101500,4.40
2014-04-21,4.42,4.43,4.34,4.37,210200,4.37
2014-04-17,4.31,4.40,4.31,4.39,126300,4.39
2014-04-16,4.34,4.38,4.31,4.31,198200,4.31
2014-04-15,4.33,4.33,4.30,4.33,62900,4.33
2014-04-14,4.35,4.35,4.31,4.31,76100,4.31
2014-04-11,4.32,4.34,4.31,4.32,111100,4.32
2014-04-10,4.37,4.38,4.32,4.32,113400,4.32
2014-04-09,4.29,4.35,4.26,4.35,110300,4.35
2014-04-08,4.36,4.36,4.34,4.36,368800,4.26
2014-04-07,4.40,4.42,4.34,4.34,185300,4.24
2014-04-04,4.47,4.47,4.39,4.40,116900,4.30
2014-04-03,4.44,4.47,4.38,4.44,132800,4.34
2014-04-02,4.46,4.46,4.38,4.42,157800,4.32
2014-04-01,4.40,4.47,4.38,4.43,160300,4.33
2014-03-31,4.41,4.44,4.37,4.42,114400,4.32
2014-03-28,4.37,4.39,4.34,4.36,102800,4.26
2014-03-27,4.38,4.51,4.34,4.35,189800,4.25
2014-03-26,4.32,4.38,4.32,4.36,236300,4.26
2014-03-25,4.33,4.34,4.31,4.33,75600,4.23
2014-03-24,4.28,4.31,4.28,4.30,114200,4.20
2014-03-21,4.33,4.34,4.30,4.30,111500,4.20
2014-03-20,4.33,4.33,4.29,4.31,132500,4.21
2014-03-19,4.38,4.39,4.33,4.35,155700,4.25
2014-03-18,4.31,4.38,4.30,4.37,218000,4.27
2014-03-17,4.28,4.31,4.28,4.29,149400,4.19
2014-03-14,4.30,4.30,4.27,4.27,97300,4.17
2014-03-13,4.30,4.30,4.26,4.28,108900,4.18
2014-03-12,4.32,4.32,4.27,4.30,116500,4.20
2014-03-11,4.34,4.35,4.29,4.30,235200,4.20
2014-03-10,4.29,4.34,4.27,4.31,110100,4.21
2014-03-07,4.33,4.33,4.27,4.28,80100,4.18
2014-03-06,4.30,4.36,4.27,4.29,138400,4.19
2014-03-05,4.35,4.37,4.31,4.31,88500,4.21
2014-03-04,4.28,4.34,4.27,4.33,164600,4.23
2014-03-03,4.24,4.28,4.22,4.25,104000,4.15
2014-02-28,4.26,4.30,4.24,4.26,146100,4.16
2014-02-27,4.30,4.30,4.25,4.26,119900,4.16
2014-02-26,4.29,4.30,4.27,4.29,134500,4.19
2014-02-25,4.30,4.32,4.26,4.29,86900,4.19
2014-02-24,4.27,4.31,4.27,4.29,89300,4.19
2014-02-21,4.21,4.29,4.21,4.27,173800,4.17
2014-02-20,4.18,4.26,4.18,4.23,241300,4.13
2014-02-19,4.22,4.25,4.20,4.21,201000,4.11
2014-02-18,4.20,4.25,4.19,4.22,147100,4.12
