Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,29.16,29.18,29.09,29.17,6600,29.17
2014-06-18,28.94,29.08,28.87,29.07,9400,29.07
2014-06-17,28.84,28.94,28.82,28.93,16500,28.93
2014-06-16,28.81,28.89,28.76,28.85,24000,28.85
2014-06-13,28.67,28.83,28.67,28.76,19100,28.76
2014-06-12,28.83,28.93,28.62,28.67,44900,28.67
2014-06-11,28.92,28.97,28.89,28.93,11100,28.93
2014-06-10,29.07,29.07,28.98,29.05,9300,29.05
2014-06-09,29.04,29.13,28.99,29.09,21300,29.09
2014-06-06,28.98,29.05,28.98,28.98,10400,28.98
2014-06-05,28.81,28.94,28.70,28.92,27400,28.92
2014-06-04,28.65,28.76,28.65,28.74,8600,28.74
2014-06-03,28.70,28.73,28.64,28.72,14200,28.72
2014-06-02,28.64,28.76,28.62,28.70,20800,28.70
2014-05-30,28.66,28.73,28.63,28.73,8400,28.73
2014-05-29,28.55,28.66,28.50,28.66,31000,28.66
2014-05-28,28.52,28.55,28.43,28.47,17300,28.47
2014-05-27,28.50,28.53,28.39,28.50,32900,28.50
2014-05-23,28.35,28.40,28.25,28.37,8600,28.37
2014-05-22,28.33,28.38,28.30,28.34,13600,28.30
2014-05-21,28.19,28.31,28.17,28.31,26100,28.27
2014-05-20,28.19,28.25,28.03,28.13,14200,28.09
2014-05-19,28.18,28.31,28.17,28.26,9300,28.22
2014-05-16,28.18,28.21,27.99,28.18,22100,28.14
2014-05-15,28.26,28.26,27.96,28.10,27000,28.06
2014-05-14,28.57,28.61,28.31,28.35,18400,28.31
2014-05-13,28.60,28.63,28.50,28.51,37500,28.47
2014-05-12,28.40,28.50,28.40,28.50,16400,28.46
2014-05-09,28.12,28.30,28.11,28.28,20700,28.24
2014-05-08,28.21,28.37,28.13,28.17,18900,28.13
2014-05-07,28.08,28.24,28.00,28.24,20400,28.20
2014-05-06,28.22,28.23,28.07,28.07,15400,28.03
2014-05-05,28.17,28.28,28.07,28.26,29800,28.22
2014-05-02,28.29,28.35,28.17,28.19,13700,28.15
2014-05-01,28.18,28.26,28.16,28.18,15800,28.14
2014-04-30,28.22,28.30,28.09,28.27,15800,28.23
2014-04-29,28.17,28.22,28.15,28.15,21600,28.11
2014-04-28,28.13,28.23,27.91,28.18,12700,28.14
2014-04-25,28.15,28.15,27.87,27.94,12100,27.90
2014-04-24,28.20,28.20,28.03,28.14,12700,28.10
2014-04-23,28.12,28.12,28.00,28.06,10200,28.02
2014-04-22,28.07,28.15,27.99,28.09,22400,28.05
2014-04-21,28.02,28.02,27.85,27.99,22300,27.95
2014-04-17,27.90,28.01,27.83,28.00,10000,27.93
2014-04-16,27.84,27.89,27.70,27.89,19200,27.82
2014-04-15,27.45,27.65,27.27,27.56,16800,27.49
2014-04-14,27.51,27.52,27.28,27.48,18300,27.41
2014-04-11,27.28,27.52,27.20,27.25,34600,27.18
2014-04-10,28.01,28.02,27.45,27.55,21900,27.48
2014-04-09,27.82,27.95,27.75,27.95,10000,27.88
2014-04-08,27.60,27.74,27.60,27.73,43300,27.66
2014-04-07,27.74,27.91,27.60,27.61,32600,27.54
2014-04-04,28.26,28.29,27.85,27.89,9700,27.82
2014-04-03,28.24,28.24,28.14,28.19,17300,28.12
2014-04-02,28.07,28.24,28.07,28.21,16700,28.14
2014-04-01,28.12,28.13,27.98,28.12,18400,28.05
2014-03-31,27.95,28.01,27.87,27.99,40200,27.92
2014-03-28,27.55,27.84,27.55,27.70,12400,27.63
2014-03-27,27.62,27.62,27.42,27.57,10600,27.50
2014-03-26,27.74,27.89,27.61,27.61,22900,27.54
2014-03-25,27.77,27.77,27.55,27.73,12400,27.66
2014-03-24,27.79,27.79,27.48,27.60,29800,27.53
2014-03-21,27.90,27.93,27.72,27.73,20800,27.62
2014-03-20,27.57,27.76,27.50,27.76,8600,27.65
2014-03-19,27.80,27.80,27.54,27.62,18400,27.51
2014-03-18,27.69,27.80,27.66,27.76,16800,27.65
2014-03-17,27.49,27.64,27.49,27.60,31400,27.49
2014-03-14,27.38,27.46,27.31,27.33,25200,27.22
2014-03-13,27.82,27.82,27.37,27.41,29300,27.30
2014-03-12,27.56,27.72,27.56,27.67,12300,27.56
2014-03-11,27.85,27.88,27.65,27.65,27300,27.54
2014-03-10,27.79,27.79,27.62,27.79,10300,27.68
2014-03-07,27.85,27.85,27.71,27.77,10200,27.66
2014-03-06,27.79,27.82,27.72,27.79,40100,27.68
2014-03-05,27.79,27.79,27.70,27.73,41200,27.62
2014-03-04,27.68,27.81,27.61,27.80,26300,27.69
2014-03-03,27.40,27.49,27.25,27.39,25500,27.28
2014-02-28,27.50,27.68,27.46,27.61,16200,27.50
2014-02-27,27.34,27.46,27.26,27.41,27900,27.30
2014-02-26,27.40,27.44,27.30,27.33,20500,27.22
2014-02-25,27.27,27.41,27.25,27.31,35100,27.20
2014-02-24,27.28,27.52,27.27,27.39,30600,27.28
2014-02-21,27.32,27.40,27.24,27.26,25000,27.11
2014-02-20,27.06,27.31,27.01,27.28,25700,27.13
2014-02-19,27.25,27.39,27.05,27.05,38800,26.90
2014-02-18,27.36,27.36,27.18,27.29,46700,27.14
2014-02-14,27.03,27.38,27.03,27.28,21100,27.13
2014-02-13,26.85,27.16,26.85,27.16,17600,27.01
2014-02-12,27.05,27.11,26.97,27.03,29700,26.88
2014-02-11,26.72,27.01,26.69,27.00,41800,26.85
2014-02-10,26.67,26.68,26.56,26.68,64700,26.54
2014-02-07,26.45,26.64,26.31,26.64,23000,26.50
2014-02-06,26.02,26.32,26.02,26.31,29500,26.17
2014-02-05,25.84,26.05,25.81,25.98,14800,25.84
2014-02-04,25.90,26.04,25.88,25.99,29500,25.85
2014-02-03,26.39,26.45,25.81,25.86,36200,25.72
2014-01-31,26.21,26.61,26.14,26.52,52300,26.38
2014-01-30,26.51,26.66,26.50,26.62,16700,26.48
2014-01-29,26.45,26.61,26.26,26.41,22400,26.27
2014-01-28,26.63,26.74,26.60,26.73,34700,26.59
2014-01-27,26.79,26.80,26.51,26.70,45900,26.56
2014-01-24,27.20,27.20,26.75,26.75,114500,26.57
2014-01-23,27.37,27.37,27.17,27.28,27600,27.09
2014-01-22,27.59,27.59,27.48,27.56,32400,27.37
2014-01-21,27.60,27.67,27.40,27.54,30500,27.35
2014-01-17,27.61,27.61,27.49,27.49,21600,27.30
2014-01-16,27.65,27.66,27.57,27.66,33800,27.47
2014-01-15,27.66,27.74,27.64,27.68,83100,27.49
2014-01-14,27.40,27.61,27.36,27.61,45500,27.42
2014-01-13,27.54,27.68,27.28,27.30,33600,27.11
2014-01-10,27.66,27.66,27.50,27.65,15100,27.46
2014-01-09,27.65,27.65,27.45,27.58,21900,27.39
2014-01-08,27.61,27.61,27.47,27.50,40600,27.31
2014-01-07,27.46,27.65,27.46,27.56,83600,27.37
2014-01-06,27.67,27.67,27.37,27.45,23400,27.26
2014-01-03,27.65,27.68,27.50,27.58,45000,27.39
2014-01-02,27.77,27.85,27.54,27.60,53000,27.41
2013-12-31,27.81,27.87,27.75,27.86,32900,27.67
2013-12-30,27.75,27.81,27.68,27.76,55800,27.57
2013-12-27,27.90,27.90,27.66,27.72,16000,27.53
2013-12-26,27.56,27.73,27.56,27.72,17600,27.53
2013-12-24,27.38,27.56,27.38,27.55,38100,27.36
2013-12-23,27.62,27.62,27.42,27.53,81800,27.28
2013-12-20,27.26,27.47,27.26,27.39,102600,27.14
2013-12-19,27.21,27.23,27.10,27.20,40700,26.95
2013-12-18,26.92,27.28,26.45,27.28,43600,27.03
2013-12-17,27.03,27.03,26.84,26.85,41700,26.60
2013-12-16,26.93,27.02,26.92,26.98,56300,26.73
2013-12-13,26.92,26.92,26.76,26.84,36000,26.59
2013-12-12,26.98,26.98,26.81,26.83,67600,26.58
2013-12-11,27.26,27.26,26.94,26.98,17800,26.73
2013-12-10,27.32,27.32,27.18,27.21,17000,26.96
2013-12-09,27.30,27.42,27.30,27.36,26200,27.11
2013-12-06,27.25,27.32,27.19,27.30,143500,27.05
2013-12-05,27.00,27.08,26.96,27.02,15400,26.77
2013-12-04,27.06,27.20,26.85,27.10,58700,26.85
2013-12-03,27.16,27.20,27.04,27.16,35400,26.91
2013-12-02,27.35,27.36,27.16,27.17,41800,26.92
2013-11-29,27.38,27.43,27.35,27.35,16700,27.10
2013-11-27,27.27,27.32,27.23,27.32,15100,27.07
2013-11-26,27.19,27.29,27.15,27.23,33900,26.98
2013-11-25,27.24,27.30,27.12,27.16,40700,26.91
2013-11-22,27.04,27.16,26.99,27.13,20400,26.88
2013-11-21,26.90,27.10,26.90,27.10,23500,26.81
2013-11-20,27.04,27.08,26.81,26.82,48000,26.54
2013-11-19,26.96,27.08,26.92,26.99,60000,26.70
2013-11-18,27.24,27.24,27.00,27.07,41800,26.78
2013-11-15,27.17,27.17,27.04,27.14,36300,26.85
2013-11-14,27.02,27.11,26.94,27.09,42400,26.80
2013-11-13,26.57,26.99,26.57,26.98,17400,26.69
2013-11-12,26.77,26.77,26.68,26.75,32300,26.47
2013-11-11,26.77,26.77,26.64,26.76,44100,26.48
2013-11-08,26.52,26.74,26.42,26.74,18100,26.46
2013-11-07,26.89,26.89,26.46,26.47,16500,26.19
2013-11-06,26.83,26.83,26.65,26.75,31800,26.47
2013-11-05,26.57,26.68,26.48,26.65,11300,26.37
2013-11-04,26.67,26.67,26.56,26.64,93300,26.36
2013-11-01,26.57,26.70,26.41,26.52,25900,26.24
2013-10-31,26.50,26.59,26.43,26.47,7500,26.19
2013-10-30,26.70,26.70,26.44,26.50,35500,26.22
2013-10-29,26.58,26.67,26.51,26.62,124300,26.34
2013-10-28,26.45,26.54,26.40,26.46,30600,26.18
2013-10-25,26.29,26.43,26.29,26.42,29600,26.14
2013-10-24,26.26,26.32,26.16,26.28,42000,26.00
2013-10-23,26.19,26.21,26.02,26.18,38400,25.90
2013-10-22,26.23,26.30,26.13,26.22,174300,25.94
2013-10-21,26.17,26.17,26.01,26.08,23100,25.80
2013-10-18,26.09,26.10,25.99,26.10,30900,25.79
2013-10-17,25.68,26.05,25.68,26.04,48000,25.73
2013-10-16,25.75,25.88,25.73,25.85,37400,25.54
2013-10-15,25.74,25.77,25.56,25.59,29300,25.28
2013-10-14,25.54,25.75,25.50,25.75,17600,25.44
2013-10-11,25.44,25.63,25.40,25.60,19600,25.29
2013-10-10,24.97,25.49,24.97,25.49,21300,25.18
2013-10-09,24.95,25.04,24.88,24.99,15600,24.69
2013-10-08,25.09,25.16,24.92,24.92,33700,24.62
2013-10-07,25.15,25.28,25.15,25.16,9300,24.86
2013-10-04,25.18,25.39,25.18,25.38,12700,25.08
2013-10-03,25.49,25.49,25.11,25.21,21500,24.91
2013-10-02,25.26,25.40,25.22,25.33,65100,25.03
2013-10-01,25.48,25.54,25.36,25.49,46200,25.18
2013-09-30,25.21,25.37,25.21,25.29,25200,24.99
2013-09-27,25.40,25.46,25.39,25.41,11400,25.10
2013-09-26,25.56,25.64,25.47,25.54,32900,25.23
2013-09-25,25.73,25.73,25.44,25.46,18300,25.15
2013-09-24,25.60,25.73,25.53,25.56,14500,25.25
2013-09-23,25.77,25.77,25.55,25.67,27600,25.36
2013-09-20,26.03,26.03,25.72,25.74,16300,25.39
2013-09-19,26.02,26.03,25.91,25.95,46400,25.60
2013-09-18,25.67,25.98,25.57,25.96,32200,25.61
2013-09-17,25.62,25.70,25.60,25.68,26500,25.33
2013-09-16,25.74,25.74,25.54,25.57,32300,25.23
2013-09-13,25.41,25.45,25.32,25.45,15400,25.11
2013-09-12,25.33,25.44,25.31,25.34,10500,25.00
2013-09-11,25.22,25.36,25.20,25.33,29100,24.99
2013-09-10,25.56,25.56,25.16,25.33,31200,24.99
2013-09-09,24.97,25.18,24.97,25.15,74300,24.81
2013-09-06,24.97,25.00,24.62,24.83,26400,24.50
2013-09-05,24.88,24.94,24.84,24.84,56400,24.51
2013-09-04,24.52,24.90,24.52,24.85,14700,24.52
2013-09-03,24.63,24.83,24.58,24.65,21300,24.32
2013-08-30,24.73,24.73,24.53,24.58,14400,24.25
2013-08-29,24.59,24.79,24.59,24.69,28100,24.36
2013-08-28,24.58,24.71,24.58,24.63,71200,24.30
2013-08-27,24.79,24.79,24.57,24.60,47200,24.27
2013-08-26,25.12,25.18,24.99,25.00,37300,24.66
2013-08-23,25.09,25.12,25.00,25.12,17500,24.74
2013-08-22,24.90,25.20,24.89,25.00,22900,24.63
2013-08-21,24.91,24.98,24.75,24.80,23400,24.43
2013-08-20,24.90,25.04,24.82,24.95,40300,24.58
2013-08-19,24.98,25.05,24.88,24.88,38200,24.51
2013-08-16,25.03,25.06,24.90,24.96,47200,24.59
2013-08-15,25.21,25.22,24.97,25.03,88300,24.66
2013-08-14,25.48,25.51,25.38,25.40,57400,25.02
2013-08-13,25.49,25.55,25.30,25.51,46800,25.13
2013-08-12,25.41,25.48,25.34,25.45,52500,25.07
2013-08-09,25.52,25.54,25.34,25.41,25300,25.03
2013-08-08,25.53,25.59,25.38,25.51,21100,25.13
2013-08-07,25.40,25.43,25.26,25.40,38200,25.02
2013-08-06,25.96,28.66,25.38,25.44,44600,25.06
2013-08-05,25.58,25.64,25.55,25.60,88400,25.22
2013-08-02,25.51,25.61,25.45,25.59,38200,25.21
2013-08-01,25.50,25.59,25.44,25.56,140800,25.18
2013-07-31,25.30,25.41,25.22,25.22,68500,24.84
2013-07-30,25.27,25.38,25.19,25.26,66000,24.88
2013-07-29,25.19,25.23,25.07,25.16,27800,24.78
2013-07-26,25.16,25.22,24.98,25.21,30700,24.83
2013-07-25,25.13,25.22,25.05,25.21,46200,24.83
2013-07-24,25.35,25.37,25.11,25.16,42600,24.78
2013-07-23,25.30,25.39,25.17,25.24,42800,24.86
2013-07-22,25.27,25.32,25.19,25.20,49000,24.82
2013-07-19,25.47,25.47,25.16,25.27,10900,24.85
2013-07-18,25.31,25.39,25.25,25.33,33000,24.91
2013-07-17,25.31,25.32,25.16,25.21,123300,24.80
2013-07-16,25.22,25.26,25.16,25.21,52800,24.80
2013-07-15,25.31,25.36,25.24,25.32,42000,24.90
2013-07-12,25.25,25.42,25.18,25.25,29700,24.83
2013-07-11,25.22,25.29,25.15,25.27,32000,24.85
2013-07-10,24.89,24.96,24.83,24.85,95000,24.44
2013-07-09,24.90,24.95,24.82,24.89,41200,24.48
2013-07-08,24.70,24.76,24.64,24.69,72200,24.28
2013-07-05,24.52,24.60,24.33,24.60,32900,24.20
2013-07-03,24.14,24.43,24.14,24.34,18900,23.94
2013-07-02,24.35,24.55,24.19,24.32,34500,23.92
2013-07-01,24.49,24.55,24.37,24.39,47500,23.99
2013-06-28,24.21,24.38,24.15,24.17,41900,23.77
2013-06-27,24.31,24.38,24.24,24.31,24700,23.91
2013-06-26,23.85,24.22,23.85,24.18,80200,23.78
2013-06-25,23.99,24.00,23.79,23.95,51400,23.56
2013-06-24,23.80,23.95,23.60,23.81,45300,23.42
2013-06-21,24.12,24.30,23.81,24.08,66700,23.65
2013-06-20,24.34,24.41,23.94,24.00,81900,23.57
2013-06-19,24.91,24.98,24.57,24.57,76500,24.13
2013-06-18,24.73,24.94,24.73,24.88,66200,24.43
2013-06-17,24.73,24.82,24.55,24.71,37700,24.27
2013-06-14,24.62,24.72,24.48,24.54,21900,24.10
2013-06-13,24.35,24.67,24.32,24.67,34900,24.23
2013-06-12,24.72,24.72,24.35,24.39,25200,23.95
2013-06-11,24.55,24.71,24.51,24.54,34800,24.10
