Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,1.94,1.99,1.80,1.82,183200,1.82
2014-06-18,1.94,1.97,1.86,1.90,114100,1.90
2014-06-17,1.72,1.96,1.72,1.85,270400,1.85
2014-06-16,1.86,1.86,1.72,1.76,276700,1.76
2014-06-13,1.84,1.87,1.80,1.86,104000,1.86
2014-06-12,1.84,1.89,1.77,1.82,151000,1.82
2014-06-11,1.85,1.86,1.77,1.80,87700,1.80
2014-06-10,1.95,2.00,1.76,1.86,217900,1.86
2014-06-09,1.80,2.01,1.79,1.95,303000,1.95
2014-06-06,1.69,1.88,1.69,1.79,268400,1.79
2014-06-05,2.11,2.11,1.75,1.78,516800,1.78
2014-06-04,1.71,1.74,1.65,1.72,87800,1.72
2014-06-03,1.78,1.98,1.70,1.73,134800,1.73
2014-06-02,1.89,1.95,1.75,1.76,115800,1.76
2014-05-30,1.85,2.01,1.81,1.87,154100,1.87
2014-05-29,1.89,1.92,1.83,1.83,142300,1.83
2014-05-28,1.99,2.05,1.89,1.93,86500,1.93
2014-05-27,2.08,2.09,1.96,1.98,163600,1.98
2014-05-23,1.96,2.00,1.96,1.99,86200,1.99
2014-05-22,2.09,2.09,1.91,1.92,158400,1.92
2014-05-21,2.14,2.16,2.03,2.07,241800,2.07
2014-05-20,2.01,2.18,1.93,2.02,282200,2.02
2014-05-19,2.11,2.22,2.07,2.09,108100,2.09
2014-05-16,2.17,2.32,2.06,2.13,165400,2.13
2014-05-15,2.16,2.20,2.05,2.12,76600,2.12
2014-05-14,2.31,2.32,2.16,2.17,114500,2.17
2014-05-13,2.41,2.44,2.30,2.33,118200,2.33
2014-05-12,2.39,2.55,2.39,2.43,89200,2.43
2014-05-09,2.21,2.47,1.98,2.38,255500,2.38
2014-05-08,2.43,2.50,2.20,2.22,262200,2.22
2014-05-07,2.41,2.54,2.26,2.35,210800,2.35
2014-05-06,2.77,2.77,2.37,2.38,228400,2.38
2014-05-05,2.90,2.92,2.76,2.78,123600,2.78
2014-05-02,3.00,3.10,2.95,2.96,368500,2.96
2014-05-01,3.98,3.98,2.81,2.84,560900,2.84
2014-04-30,3.96,3.98,3.84,3.97,70500,3.97
2014-04-29,3.92,4.14,3.92,4.00,68000,4.00
2014-04-28,3.89,4.09,3.67,3.81,55200,3.81
2014-04-25,3.98,4.04,3.80,3.85,82200,3.85
2014-04-24,4.10,4.10,3.95,4.01,48700,4.01
2014-04-23,4.19,4.31,4.03,4.05,61900,4.05
2014-04-22,4.11,4.26,4.01,4.19,47400,4.19
2014-04-21,4.11,4.22,4.00,4.08,35600,4.08
2014-04-17,4.01,4.20,3.95,4.14,64900,4.14
2014-04-16,3.80,4.08,3.69,4.05,111400,4.05
