Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,2.30,2.37,2.30,2.37,24900,2.37
2014-06-18,2.28,2.36,2.28,2.30,18200,2.30
2014-06-17,2.36,2.36,2.27,2.27,23200,2.27
2014-06-16,2.32,2.37,2.24,2.28,18400,2.28
2014-06-13,2.33,2.35,2.25,2.28,50700,2.28
2014-06-12,2.26,2.38,2.24,2.34,1068900,2.34
2014-06-11,2.25,2.25,2.19,2.23,11500,2.23
2014-06-10,2.27,2.27,2.20,2.26,20600,2.26
2014-06-09,2.22,2.28,2.21,2.24,30000,2.24
2014-06-06,2.34,2.35,2.19,2.21,83200,2.21
2014-06-05,2.25,2.28,2.21,2.27,1600,2.27
2014-06-04,2.26,2.28,2.21,2.26,8400,2.26
2014-06-03,2.33,2.33,2.26,2.29,860300,2.29
2014-06-02,2.28,2.37,2.23,2.31,31700,2.31
2014-05-30,2.22,2.33,2.17,2.33,14300,2.33
2014-05-29,2.32,2.32,2.16,2.24,15800,2.24
2014-05-28,2.27,2.27,2.21,2.23,6900,2.23
2014-05-27,2.26,2.36,2.16,2.23,17500,2.23
2014-05-23,2.29,2.29,2.25,2.25,10800,2.25
2014-05-22,2.24,2.31,2.15,2.25,29000,2.25
2014-05-21,2.35,2.35,2.14,2.29,564000,2.29
2014-05-20,2.27,2.31,2.05,2.28,67900,2.28
2014-05-19,2.13,2.20,2.13,2.15,14600,2.15
2014-05-16,2.16,2.19,2.13,2.15,27700,2.15
2014-05-15,2.11,2.20,2.11,2.19,70300,2.19
2014-05-14,2.02,2.09,2.00,2.06,13300,2.06
2014-05-13,2.06,2.08,2.06,2.08,2100,2.08
2014-05-12,2.03,2.14,2.03,2.13,28900,2.13
2014-05-09,2.01,2.06,2.01,2.06,14200,2.06
2014-05-08,2.02,2.09,1.95,2.09,12600,2.09
2014-05-07,2.07,2.19,1.95,2.07,50500,2.07
2014-05-06,2.04,2.05,2.04,2.05,1100,2.05
2014-05-05,2.08,2.12,2.03,2.09,10600,2.09
2014-05-02,2.14,2.14,2.04,2.05,6800,2.05
2014-05-01,2.06,2.06,2.00,2.02,12200,2.02
2014-04-30,2.01,2.10,1.98,2.10,20500,2.10
2014-04-29,2.01,2.04,1.98,2.02,9500,2.02
2014-04-28,1.99,2.08,1.99,2.05,3100,2.05
2014-04-25,2.03,2.10,1.97,2.08,9700,2.08
2014-04-24,2.05,2.10,1.99,2.07,21800,2.07
2014-04-23,1.95,2.06,1.93,2.04,74200,2.04
2014-04-22,2.03,2.08,1.92,1.99,109500,1.99
2014-04-21,1.98,2.09,1.97,2.09,83000,2.09
2014-04-17,2.03,2.07,1.92,2.06,156300,2.06
2014-04-16,1.99,2.07,1.89,2.06,86700,2.06
2014-04-15,1.91,2.09,1.91,1.95,372900,1.95
2014-04-14,2.02,2.06,1.93,2.04,256500,2.04
2014-04-11,2.06,2.06,2.06,2.06,000,2.06
2014-04-10,2.06,2.06,2.00,2.06,1000,2.06
2014-04-09,1.99,2.07,1.98,2.03,16500,2.03
2014-04-08,1.98,1.99,1.92,1.96,35000,1.96
2014-04-07,1.98,1.99,1.93,1.99,8500,1.99
2014-04-04,1.88,1.99,1.88,1.99,14900,1.99
2014-04-03,1.99,2.00,1.89,1.97,3300,1.97
2014-04-02,1.93,2.00,1.92,1.98,1900,1.98
2014-04-01,1.95,2.00,1.95,2.00,600,2.00
2014-03-31,1.95,1.95,1.86,1.92,4300,1.92
2014-03-28,1.77,1.95,1.77,1.88,3900,1.88
2014-03-27,1.96,1.96,1.83,1.83,7700,1.83
2014-03-26,1.85,1.90,1.78,1.86,2300,1.86
2014-03-25,2.00,2.00,1.82,1.83,2600,1.83
2014-03-24,1.94,1.94,1.91,1.94,1300,1.94
2014-03-21,2.01,2.03,1.90,1.95,2200,1.95
2014-03-20,1.87,1.95,1.81,1.95,10600,1.95
2014-03-19,1.87,1.92,1.82,1.88,31200,1.88
2014-03-18,1.84,1.90,1.84,1.85,1000,1.85
2014-03-17,1.78,1.83,1.76,1.83,2200,1.83
2014-03-14,1.80,1.80,1.76,1.80,2100,1.80
2014-03-13,1.76,1.81,1.69,1.80,15600,1.80
2014-03-12,1.90,1.90,1.67,1.76,84900,1.76
2014-03-11,1.94,1.94,1.78,1.85,1600,1.85
2014-03-10,1.82,1.92,1.74,1.86,1700,1.86
2014-03-07,1.87,1.89,1.86,1.87,2700,1.87
2014-03-06,1.98,2.03,1.88,1.91,12800,1.91
2014-03-05,1.87,1.98,1.86,1.97,7800,1.97
2014-03-04,1.75,1.87,1.75,1.87,1300,1.87
2014-03-03,1.92,1.92,1.79,1.79,5000,1.79
2014-02-28,1.95,1.95,1.87,1.90,3400,1.90
2014-02-27,1.96,1.99,1.78,1.90,9900,1.90
2014-02-26,1.93,1.96,1.88,1.96,2800,1.96
2014-02-25,1.89,1.98,1.89,1.98,400,1.98
2014-02-24,1.93,1.99,1.89,1.98,3000,1.98
2014-02-21,1.95,2.03,1.95,1.98,500,1.98
2014-02-20,1.93,1.98,1.93,1.98,3400,1.98
2014-02-19,1.78,2.00,1.77,1.95,1100,1.95
2014-02-18,1.80,1.80,1.74,1.74,2500,1.74
2014-02-14,1.79,1.79,1.79,1.79,000,1.79
2014-02-13,1.81,1.87,1.79,1.79,1400,1.79
2014-02-12,1.97,1.97,1.81,1.81,1900,1.81
2014-02-11,1.92,1.92,1.92,1.92,000,1.92
2014-02-10,1.92,1.92,1.92,1.92,500,1.92
2014-02-07,1.93,1.97,1.93,1.97,1000,1.97
2014-02-06,2.00,2.00,2.00,2.00,000,2.00
2014-02-05,2.00,2.00,2.00,2.00,900,2.00
2014-02-04,2.05,2.05,2.00,2.02,2200,2.02
2014-02-03,2.01,2.05,2.00,2.05,12800,2.05
2014-01-31,1.99,2.01,1.96,2.01,1900,2.01
2014-01-30,1.83,2.00,1.83,1.97,3700,1.97
2014-01-29,1.98,1.99,1.81,1.94,12700,1.94
2014-01-28,1.89,2.00,1.89,1.99,1700,1.99
2014-01-27,1.89,1.92,1.76,1.90,2400,1.90
2014-01-24,1.90,1.93,1.89,1.89,1700,1.89
2014-01-23,1.94,1.94,1.90,1.90,1400,1.90
2014-01-22,1.94,1.95,1.84,1.95,2200,1.95
2014-01-21,1.99,1.99,1.84,1.91,11700,1.91
2014-01-17,1.95,1.99,1.93,1.99,700,1.99
2014-01-16,1.97,1.99,1.97,1.97,3900,1.97
2014-01-15,2.00,2.00,1.91,1.99,3500,1.99
2014-01-14,1.99,1.99,1.99,1.99,000,1.99
2014-01-13,1.97,1.99,1.95,1.99,3600,1.99
2014-01-10,1.92,2.01,1.92,2.01,500,2.01
2014-01-09,1.95,1.98,1.92,1.98,6900,1.98
2014-01-08,1.99,1.99,1.93,1.99,5200,1.99
2014-01-07,2.02,2.03,1.96,1.98,14000,1.98
2014-01-06,1.99,2.04,1.98,2.04,5000,2.04
2014-01-03,2.00,2.00,1.97,2.00,1200,2.00
2014-01-02,2.04,2.04,1.92,1.97,17600,1.97
2013-12-31,1.80,1.99,1.80,1.99,20000,1.99
2013-12-30,1.75,1.89,1.74,1.85,15900,1.85
2013-12-27,1.76,1.78,1.65,1.78,35500,1.78
2013-12-26,1.75,1.81,1.72,1.80,17700,1.80
2013-12-24,1.67,1.81,1.57,1.81,11700,1.81
2013-12-23,1.78,1.89,1.61,1.67,48400,1.67
2013-12-20,1.77,1.83,1.73,1.76,9600,1.76
2013-12-19,1.78,1.84,1.74,1.80,900,1.80
2013-12-18,1.84,1.85,1.78,1.84,12300,1.84
2013-12-17,1.90,1.93,1.76,1.87,20300,1.87
2013-12-16,1.99,2.00,1.93,1.93,14200,1.93
2013-12-13,1.95,2.02,1.92,1.95,3900,1.95
2013-12-12,1.99,2.01,1.95,2.00,4300,2.00
2013-12-11,1.95,2.01,1.95,2.01,2600,2.01
