Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,5.44,5.45,5.38,5.43,410300,5.43
2014-06-18,5.44,5.45,5.43,5.44,434500,5.44
2014-06-17,5.42,5.44,5.40,5.44,500800,5.44
2014-06-16,5.42,5.44,5.39,5.43,631800,5.43
2014-06-13,5.42,5.44,5.39,5.43,223600,5.43
2014-06-12,5.41,5.46,5.41,5.43,335600,5.43
2014-06-11,5.39,5.43,5.38,5.42,563100,5.42
2014-06-10,5.38,5.40,5.37,5.40,210200,5.40
2014-06-09,5.36,5.40,5.35,5.39,259800,5.39
2014-06-06,5.32,5.39,5.32,5.35,150700,5.35
2014-06-05,5.30,5.35,5.28,5.35,124400,5.35
2014-06-04,5.30,5.35,5.27,5.31,130800,5.31
2014-06-03,5.26,5.36,5.26,5.31,224500,5.31
2014-06-02,5.24,5.27,5.24,5.26,110600,5.26
2014-05-30,5.26,5.27,5.23,5.27,253900,5.27
2014-05-29,5.19,5.27,5.19,5.26,134600,5.26
2014-05-28,5.25,5.27,5.22,5.23,103900,5.23
2014-05-27,5.17,5.26,5.16,5.25,164700,5.25
2014-05-23,5.26,5.26,5.23,5.25,184200,5.25
2014-05-22,5.25,5.27,5.22,5.23,88800,5.23
2014-05-21,5.27,5.30,5.21,5.23,210600,5.23
2014-05-20,5.23,5.29,5.22,5.27,287900,5.27
2014-05-19,5.21,5.27,5.21,5.23,72700,5.23
2014-05-16,5.18,5.20,5.14,5.20,115500,5.20
2014-05-15,5.25,5.26,5.13,5.18,234400,5.18
2014-05-14,5.26,5.30,5.23,5.26,168300,5.26
2014-05-13,5.26,5.33,5.26,5.27,238000,5.27
2014-05-12,5.30,5.34,5.27,5.29,258400,5.24
2014-05-09,5.25,5.30,5.25,5.28,203900,5.23
2014-05-08,5.29,5.30,5.22,5.28,287600,5.23
2014-05-07,5.25,5.30,5.21,5.29,421900,5.24
2014-05-06,5.23,5.27,5.21,5.22,342800,5.17
2014-05-05,5.20,5.24,5.17,5.23,409900,5.18
2014-05-02,5.25,5.27,5.10,5.18,1314300,5.13
2014-05-01,4.51,4.51,4.41,4.43,215600,4.39
2014-04-30,4.50,4.53,4.46,4.53,239100,4.49
2014-04-29,4.57,4.61,4.50,4.50,126800,4.46
2014-04-28,4.58,4.60,4.50,4.54,205900,4.50
2014-04-25,4.54,4.62,4.52,4.59,171300,4.55
2014-04-24,4.58,4.61,4.54,4.54,154500,4.50
2014-04-23,4.62,4.67,4.56,4.57,193900,4.53
2014-04-22,4.67,4.67,4.61,4.65,112900,4.61
2014-04-21,4.74,4.81,4.64,4.67,186200,4.63
2014-04-17,4.68,4.81,4.68,4.80,409200,4.75
2014-04-16,4.75,4.79,4.67,4.69,221000,4.65
2014-04-15,4.78,4.80,4.73,4.74,310300,4.70
2014-04-14,4.74,4.82,4.70,4.75,461700,4.71
2014-04-11,4.32,4.80,4.32,4.68,944400,4.64
2014-04-10,4.47,4.48,4.32,4.37,231200,4.33
2014-04-09,4.39,4.50,4.39,4.49,357900,4.45
2014-04-08,4.33,4.42,4.33,4.39,168100,4.35
2014-04-07,4.45,4.45,4.27,4.31,504500,4.27
2014-04-04,4.49,4.52,4.42,4.43,131900,4.39
2014-04-03,4.52,4.53,4.45,4.48,446400,4.44
2014-04-02,4.54,4.56,4.48,4.53,242300,4.49
2014-04-01,4.55,4.59,4.52,4.55,332000,4.51
2014-03-31,4.47,4.60,4.43,4.58,408400,4.54
2014-03-28,4.48,4.52,4.43,4.47,220600,4.43
2014-03-27,4.51,4.57,4.47,4.50,214100,4.46
2014-03-26,4.59,4.59,4.50,4.52,286400,4.48
2014-03-25,4.59,4.59,4.55,4.58,213900,4.54
2014-03-24,4.71,4.71,4.52,4.58,351900,4.54
2014-03-21,4.98,4.98,4.51,4.66,799900,4.62
2014-03-20,5.10,5.13,4.97,4.98,444100,4.93
2014-03-19,5.16,5.19,5.12,5.13,403400,5.08
2014-03-18,5.27,5.27,5.15,5.17,421200,5.12
2014-03-17,5.31,5.34,5.25,5.25,99900,5.20
2014-03-14,5.27,5.35,5.27,5.30,92500,5.25
2014-03-13,5.28,5.31,5.26,5.31,96200,5.26
2014-03-12,5.24,5.31,5.24,5.31,241700,5.26
2014-03-11,5.27,5.28,5.24,5.24,194900,5.19
2014-03-10,5.24,5.28,5.23,5.25,160900,5.20
2014-03-07,5.31,5.32,5.24,5.24,240500,5.19
2014-03-06,5.26,5.29,5.26,5.29,319300,5.24
2014-03-05,5.34,5.35,5.24,5.24,315600,5.19
2014-03-04,5.35,5.39,5.33,5.33,372600,5.28
2014-03-03,5.30,5.36,5.30,5.33,211200,5.28
2014-02-28,5.34,5.36,5.32,5.34,418600,5.29
2014-02-27,5.34,5.38,5.33,5.35,133400,5.30
2014-02-26,5.37,5.38,5.34,5.35,133300,5.30
2014-02-25,5.35,5.38,5.31,5.37,103000,5.32
2014-02-24,5.35,5.40,5.35,5.36,122700,5.31
2014-02-21,5.39,5.39,5.33,5.35,197400,5.30
2014-02-20,5.40,5.41,5.37,5.38,280100,5.33
2014-02-19,5.34,5.42,5.34,5.40,344800,5.35
2014-02-18,5.35,5.37,5.34,5.36,449300,5.31
2014-02-14,5.31,5.36,5.30,5.36,331100,5.31
2014-02-13,5.29,5.33,5.29,5.31,257900,5.26
2014-02-12,5.27,5.33,5.27,5.31,228700,5.26
2014-02-11,5.29,5.31,5.27,5.28,206700,5.23
2014-02-10,5.27,5.29,5.26,5.29,161200,5.24
2014-02-07,5.27,5.29,5.26,5.26,164100,5.21
2014-02-06,5.29,5.32,5.26,5.27,260000,5.22
2014-02-05,5.28,5.30,5.26,5.28,479800,5.23
2014-02-04,5.27,5.29,5.27,5.29,277100,5.24
2014-02-03,5.26,5.31,5.26,5.28,236300,5.23
2014-01-31,5.24,5.30,5.22,5.28,304500,5.23
2014-01-30,5.25,5.27,5.23,5.24,219600,5.19
2014-01-29,5.25,5.28,5.22,5.27,296400,5.22
2014-01-28,5.23,5.29,5.22,5.29,248000,5.24
2014-01-27,5.34,5.34,5.20,5.24,425500,5.19
2014-01-24,5.35,5.35,5.27,5.28,302500,5.23
2014-01-23,5.35,5.35,5.30,5.31,248400,5.26
2014-01-22,5.39,5.39,5.29,5.33,297600,5.28
2014-01-21,5.23,5.35,5.23,5.33,372000,5.28
2014-01-17,5.26,5.27,5.24,5.26,167500,5.21
2014-01-16,5.22,5.28,5.22,5.24,140200,5.19
2014-01-15,5.24,5.24,5.18,5.21,219400,5.16
2014-01-14,5.21,5.24,5.21,5.23,227200,5.18
2014-01-13,5.22,5.23,5.20,5.22,312800,5.17
2014-01-10,5.23,5.25,5.21,5.23,371500,5.18
2014-01-09,5.29,5.29,5.25,5.26,642000,5.21
2014-01-08,5.28,5.29,5.27,5.27,212100,5.22
2014-01-07,5.30,5.31,5.27,5.28,203700,5.23
2014-01-06,5.30,5.31,5.26,5.27,284600,5.22
2014-01-03,5.31,5.33,5.29,5.31,196600,5.26
2014-01-02,5.34,5.35,5.30,5.30,690900,5.25
2013-12-31,5.33,5.35,5.33,5.34,349000,5.29
2013-12-30,5.32,5.35,5.32,5.32,600600,5.27
2013-12-27,5.36,5.36,5.34,5.35,303400,5.30
2013-12-26,5.35,5.37,5.33,5.36,223700,5.31
2013-12-24,5.35,5.36,5.34,5.36,147400,5.31
2013-12-23,5.39,5.39,5.35,5.36,300100,5.31
2013-12-20,5.33,5.39,5.33,5.37,610400,5.32
2013-12-19,5.34,5.35,5.32,5.34,742900,5.29
2013-12-18,5.34,5.34,5.33,5.34,587800,5.29
2013-12-17,5.33,5.35,5.27,5.34,477900,5.29
2013-12-16,5.34,5.36,5.34,5.35,516000,5.30
2013-12-13,5.33,5.35,5.33,5.35,556500,5.30
2013-12-12,5.34,5.35,5.31,5.34,859400,5.29
2013-12-11,5.36,5.38,5.33,5.34,1395400,5.29
2013-12-10,5.36,5.39,5.35,5.37,1676100,5.32
2013-12-09,5.32,5.44,5.32,5.37,4586000,5.32
2013-12-06,5.69,5.72,5.35,5.37,252800,5.32
2013-12-05,5.20,5.50,5.18,5.50,303300,5.45
2013-12-04,5.15,5.20,5.13,5.18,132300,5.13
2013-12-03,5.08,5.18,5.06,5.15,149600,5.10
2013-12-02,5.05,5.18,4.95,5.11,97400,5.06
2013-11-29,5.07,5.08,5.01,5.05,96700,5.00
2013-11-27,5.12,5.12,4.95,5.06,215900,5.01
2013-11-26,5.13,5.14,5.03,5.13,134300,5.03
2013-11-25,5.16,5.18,5.07,5.11,183200,5.01
2013-11-22,5.12,5.17,5.07,5.10,201000,5.00
2013-11-21,5.00,5.09,4.92,5.08,226700,4.98
2013-11-20,4.99,5.15,4.93,4.97,305600,4.88
2013-11-19,4.65,5.01,4.65,4.99,580300,4.89
2013-11-18,4.39,4.47,4.39,4.43,142200,4.35
2013-11-15,4.30,4.50,4.26,4.40,148800,4.32
2013-11-14,4.29,4.40,4.18,4.31,232900,4.23
2013-11-13,4.28,4.31,4.27,4.31,278000,4.23
2013-11-12,4.30,4.32,4.27,4.29,188000,4.21
2013-11-11,4.41,4.51,4.26,4.31,411400,4.23
2013-11-08,4.45,4.49,4.42,4.44,96900,4.36
2013-11-07,4.44,4.53,4.42,4.47,191400,4.38
2013-11-06,4.54,4.57,4.50,4.51,102500,4.42
2013-11-05,4.56,4.64,4.49,4.51,132400,4.42
2013-11-04,4.45,4.60,4.43,4.58,211700,4.49
2013-11-01,4.71,4.74,4.43,4.50,392600,4.41
2013-10-31,4.81,4.84,4.70,4.74,212100,4.65
2013-10-30,4.83,4.85,4.78,4.82,107700,4.73
2013-10-29,4.84,4.85,4.79,4.83,76100,4.74
2013-10-28,4.89,4.89,4.83,4.83,73000,4.74
2013-10-25,4.88,4.91,4.86,4.90,102400,4.81
2013-10-24,4.85,4.88,4.80,4.86,75800,4.77
2013-10-23,4.81,4.86,4.78,4.83,95700,4.74
2013-10-22,4.85,4.88,4.81,4.82,117700,4.73
2013-10-21,4.84,4.86,4.79,4.85,178900,4.76
2013-10-18,4.80,4.84,4.74,4.79,274700,4.70
2013-10-17,4.79,4.82,4.74,4.78,169300,4.69
2013-10-16,4.70,4.79,4.70,4.78,142900,4.69
2013-10-15,4.70,4.78,4.68,4.70,118600,4.61
2013-10-14,4.69,4.79,4.67,4.78,129600,4.69
2013-10-11,4.63,4.69,4.56,4.69,167600,4.60
2013-10-10,4.69,4.70,4.60,4.68,164300,4.59
2013-10-09,4.60,4.67,4.48,4.66,178200,4.57
2013-10-08,4.75,4.78,4.62,4.62,212000,4.53
2013-10-07,4.73,4.76,4.69,4.72,213500,4.63
2013-10-04,4.67,4.72,4.60,4.72,90000,4.63
2013-10-03,4.67,4.70,4.61,4.64,208000,4.55
2013-10-02,4.70,4.70,4.62,4.69,141200,4.60
2013-10-01,4.72,4.74,4.57,4.68,153000,4.59
2013-09-30,4.75,4.75,4.62,4.71,203800,4.62
2013-09-27,4.62,4.70,4.58,4.70,121500,4.61
2013-09-26,4.62,4.66,4.57,4.65,70500,4.56
2013-09-25,4.67,4.68,4.61,4.62,146800,4.53
2013-09-24,4.68,4.68,4.63,4.65,132500,4.56
2013-09-23,4.68,4.68,4.58,4.67,140400,4.58
2013-09-20,4.69,4.69,4.59,4.68,170000,4.59
2013-09-19,4.71,4.71,4.59,4.65,230900,4.56
2013-09-18,4.62,4.71,4.56,4.69,102800,4.60
2013-09-17,4.61,4.67,4.55,4.61,131500,4.52
2013-09-16,4.74,4.74,4.60,4.63,138000,4.54
2013-09-13,4.70,4.78,4.70,4.73,54200,4.64
2013-09-12,4.82,4.82,4.72,4.74,128900,4.65
2013-09-11,4.82,4.83,4.72,4.80,135300,4.71
2013-09-10,4.81,4.82,4.72,4.80,161400,4.71
2013-09-09,4.75,4.82,4.71,4.81,221300,4.72
2013-09-06,4.73,4.77,4.65,4.76,76600,4.67
2013-09-05,4.75,4.77,4.66,4.68,109200,4.59
2013-09-04,4.71,4.77,4.66,4.75,96200,4.66
2013-09-03,4.77,4.77,4.65,4.70,136700,4.61
2013-08-30,4.73,4.75,4.61,4.75,216600,4.66
2013-08-29,4.72,4.84,4.69,4.76,118000,4.67
2013-08-28,4.65,4.79,4.65,4.71,121100,4.62
2013-08-27,4.80,4.84,4.72,4.74,131300,4.60
2013-08-26,4.72,4.84,4.69,4.80,153500,4.66
2013-08-23,4.56,4.72,4.56,4.69,119300,4.55
2013-08-22,4.50,4.60,4.50,4.60,59200,4.46
2013-08-21,4.58,4.59,4.48,4.49,137200,4.36
2013-08-20,4.54,4.61,4.52,4.59,76500,4.45
2013-08-19,4.59,4.60,4.52,4.55,152400,4.42
2013-08-16,4.55,4.61,4.52,4.55,116600,4.42
2013-08-15,4.40,4.67,4.40,4.56,413100,4.43
2013-08-14,4.50,4.50,4.40,4.43,106300,4.30
2013-08-13,4.38,4.49,4.37,4.47,161100,4.34
2013-08-12,4.30,4.36,4.29,4.36,90900,4.23
2013-08-09,4.27,4.34,4.27,4.30,62800,4.17
2013-08-08,4.40,4.44,4.27,4.28,108900,4.15
2013-08-07,4.49,4.49,4.28,4.30,84400,4.17
2013-08-06,4.35,4.50,4.26,4.49,215900,4.36
2013-08-05,4.22,4.40,4.22,4.34,41300,4.21
2013-08-02,4.25,4.26,4.17,4.25,100800,4.12
2013-08-01,4.17,4.34,4.16,4.22,64400,4.10
2013-07-31,4.27,4.31,4.06,4.20,220300,4.08
2013-07-30,4.32,4.36,4.25,4.28,73300,4.15
2013-07-29,4.50,4.50,4.32,4.36,132600,4.23
2013-07-26,4.37,4.49,4.37,4.49,110500,4.36
2013-07-25,4.31,4.38,4.27,4.38,124700,4.25
2013-07-24,4.26,4.39,4.25,4.31,214000,4.18
2013-07-23,4.16,4.28,4.16,4.27,121500,4.14
2013-07-22,4.20,4.20,4.14,4.18,112000,4.06
2013-07-19,4.16,4.18,4.14,4.17,80200,4.05
2013-07-18,4.10,4.20,4.07,4.15,123300,4.03
2013-07-17,4.09,4.10,4.01,4.07,95100,3.95
2013-07-16,4.02,4.08,4.02,4.08,125300,3.96
2013-07-15,4.05,4.05,3.97,4.04,88500,3.92
2013-07-12,4.02,4.03,3.98,4.02,50200,3.90
2013-07-11,4.04,4.06,4.00,4.04,154700,3.92
2013-07-10,4.05,4.05,4.01,4.05,100900,3.93
2013-07-09,4.03,4.05,3.98,4.04,65300,3.92
2013-07-08,3.91,4.03,3.91,4.01,84000,3.89
2013-07-05,3.97,3.98,3.87,3.95,121300,3.83
2013-07-03,4.01,4.01,3.80,3.96,124200,3.84
2013-07-02,4.00,4.04,3.88,4.01,330500,3.89
2013-07-01,4.05,4.09,3.84,3.97,259000,3.85
2013-06-28,4.05,4.11,3.91,4.04,3205100,3.92
2013-06-27,3.95,4.05,3.91,4.04,492500,3.92
2013-06-26,3.94,3.97,3.88,3.95,164100,3.83
2013-06-25,3.91,3.95,3.83,3.92,157300,3.80
2013-06-24,3.79,3.97,3.69,3.96,324900,3.84
2013-06-21,3.75,3.83,3.68,3.83,107600,3.72
2013-06-20,3.77,3.79,3.69,3.73,138500,3.62
2013-06-19,3.74,3.90,3.74,3.88,162000,3.77
2013-06-18,3.79,3.82,3.73,3.82,173700,3.71
2013-06-17,3.70,3.88,3.68,3.79,321700,3.68
2013-06-14,3.64,3.65,3.60,3.64,76700,3.53
2013-06-13,3.59,3.65,3.55,3.65,60600,3.54
2013-06-12,3.66,3.70,3.54,3.57,196500,3.46
2013-06-11,3.68,3.72,3.66,3.70,24100,3.59
2013-06-10,3.68,3.75,3.65,3.75,22000,3.64
2013-06-07,3.68,3.68,3.66,3.68,18400,3.57
2013-06-06,3.63,3.68,3.62,3.66,48200,3.55
2013-06-05,3.68,3.69,3.62,3.63,38000,3.52
2013-06-04,3.70,3.70,3.64,3.65,58800,3.54
2013-06-03,3.68,3.72,3.66,3.72,42700,3.61
2013-05-31,3.68,3.70,3.63,3.70,77900,3.59
2013-05-30,3.63,3.71,3.63,3.69,37200,3.58
2013-05-29,3.70,3.71,3.63,3.68,20000,3.52
2013-05-28,3.67,3.74,3.63,3.70,42400,3.54
2013-05-24,3.65,3.71,3.64,3.64,37600,3.48
2013-05-23,3.69,3.69,3.62,3.65,62100,3.49
