Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,49.71,49.93,49.33,49.58,950000,49.58
2014-06-18,49.61,49.80,49.15,49.76,909900,49.76
2014-06-17,49.21,49.69,49.02,49.59,1096600,49.59
2014-06-16,49.37,49.72,49.00,49.43,1018700,49.43
2014-06-13,49.74,50.00,49.40,49.57,1212800,49.57
2014-06-12,50.37,50.37,49.22,49.63,1788900,49.63
2014-06-11,50.34,50.78,50.34,50.67,1141000,50.67
2014-06-10,50.42,50.63,50.23,50.63,796400,50.63
2014-06-09,49.95,50.98,49.92,50.59,1361900,50.59
2014-06-06,49.93,50.20,49.63,49.95,1021000,49.95
2014-06-05,49.42,49.84,49.00,49.65,1229200,49.65
2014-06-04,49.25,50.02,49.03,49.40,1672800,49.40
2014-06-03,48.95,49.25,48.77,49.04,1609300,49.04
2014-06-02,48.84,49.42,48.76,49.10,1698000,49.10
2014-05-30,48.92,49.02,48.67,48.75,1190700,48.75
2014-05-29,48.51,48.88,48.33,48.85,929400,48.85
2014-05-28,48.73,48.87,48.46,48.50,849600,48.50
2014-05-27,48.54,48.74,48.39,48.72,992200,48.72
2014-05-23,48.31,48.65,48.01,48.46,971500,48.46
2014-05-22,48.12,48.70,47.86,48.12,1088800,48.12
2014-05-21,47.84,48.19,47.79,48.09,959100,48.09
2014-05-20,48.42,48.47,47.47,47.80,1280400,47.80
2014-05-19,47.97,48.98,47.93,48.71,1440600,48.71
2014-05-16,48.20,48.34,47.36,48.23,1469700,48.23
2014-05-15,48.02,48.31,47.47,48.15,1639900,48.15
2014-05-14,48.11,48.66,47.99,48.13,1245800,48.13
2014-05-13,48.87,49.14,48.02,48.06,2193500,48.06
2014-05-12,48.36,49.38,48.35,49.19,1311100,49.19
2014-05-09,48.22,48.36,47.43,48.25,2050300,48.25
2014-05-08,48.61,48.96,48.04,48.25,1345200,48.25
2014-05-07,48.80,48.97,48.14,48.55,1179300,48.55
2014-05-06,48.68,48.83,48.35,48.58,1496900,48.58
2014-05-05,49.23,49.44,48.67,48.72,1796200,48.72
2014-05-02,49.68,49.95,49.35,49.44,1613900,49.44
2014-05-01,49.94,50.30,49.41,49.52,1803800,49.52
2014-04-30,49.37,50.17,49.06,50.08,1817200,50.08
2014-04-29,49.75,49.95,49.25,49.43,1161500,49.43
2014-04-28,49.46,49.80,48.70,49.44,2079700,49.44
2014-04-25,49.75,50.07,48.96,49.11,1182000,49.11
2014-04-24,50.23,50.35,49.65,49.95,1173900,49.95
2014-04-23,50.08,50.12,49.54,49.90,1289500,49.90
2014-04-22,49.97,50.72,49.80,50.53,1801900,50.28
2014-04-21,50.18,50.39,49.68,50.00,1565500,49.75
2014-04-17,50.06,50.51,50.02,50.12,2426300,49.87
2014-04-16,50.58,51.00,49.92,50.15,3080400,49.90
2014-04-15,50.39,50.50,49.44,50.08,2565600,49.83
2014-04-14,50.46,51.18,49.90,50.42,2738100,50.17
2014-04-11,52.16,52.21,48.63,49.86,6788900,49.61
2014-04-10,50.95,51.42,50.37,50.73,3354500,50.48
2014-04-09,51.11,52.03,50.62,50.94,3240400,50.69
2014-04-08,50.26,51.41,50.20,50.84,2928600,50.59
2014-04-07,50.87,51.10,50.06,50.34,2004400,50.09
2014-04-04,51.62,52.20,50.76,51.00,2799100,50.75
2014-04-03,50.58,51.93,50.48,51.20,2698100,50.95
2014-04-02,49.87,50.91,49.84,50.38,2087700,50.13
2014-04-01,49.64,50.43,49.28,49.85,2843800,49.60
2014-03-31,49.17,49.51,48.91,49.30,1440400,49.06
2014-03-28,48.58,49.48,48.26,48.98,1469700,48.74
2014-03-27,48.65,48.98,47.93,48.40,1805200,48.16
2014-03-26,49.41,49.69,48.51,48.64,3239600,48.40
2014-03-25,49.48,49.74,49.03,49.23,2262400,48.99
2014-03-24,49.55,49.76,49.01,49.13,2002300,48.89
2014-03-21,50.28,50.28,48.84,49.12,4209100,48.88
2014-03-20,49.67,49.88,49.23,49.71,1110700,49.46
2014-03-19,50.45,50.67,49.44,49.91,1387500,49.66
2014-03-18,49.84,50.81,49.58,50.43,2165400,50.18
2014-03-17,48.95,50.15,48.84,49.91,2573900,49.66
2014-03-14,48.17,48.69,48.12,48.52,2029400,48.28
2014-03-13,49.01,49.42,48.16,48.40,1689900,48.16
2014-03-12,48.50,48.90,48.08,48.88,1103000,48.64
2014-03-11,49.06,49.12,48.55,48.82,1586200,48.58
2014-03-10,49.09,49.41,48.60,49.10,1267400,48.86
2014-03-07,48.68,49.07,48.56,49.05,1464700,48.81
2014-03-06,48.75,48.98,48.36,48.56,1492700,48.32
2014-03-05,46.85,48.74,46.85,48.61,3935600,48.37
2014-03-04,47.10,47.15,46.65,46.85,1440100,46.62
2014-03-03,47.05,47.34,45.80,46.52,4071000,46.29
2014-02-28,47.67,47.67,46.75,47.19,2467500,46.96
2014-02-27,46.40,47.61,46.22,47.57,2963000,47.33
2014-02-26,46.09,46.70,46.09,46.35,1320600,46.12
2014-02-25,46.00,46.24,45.88,46.06,1717000,45.83
2014-02-24,45.80,46.24,45.70,46.00,1265700,45.77
2014-02-21,45.65,45.84,45.29,45.61,1667200,45.38
2014-02-20,45.06,45.57,44.95,45.53,1209600,45.30
2014-02-19,44.96,45.42,44.79,45.10,1244100,44.88
2014-02-18,45.00,45.33,44.86,45.18,1543800,44.96
2014-02-14,44.43,45.04,44.37,44.98,1534900,44.76
2014-02-13,44.59,45.20,44.45,44.67,2018100,44.45
2014-02-12,44.87,45.27,44.67,44.86,1862000,44.64
2014-02-11,44.15,44.94,44.09,44.83,2628900,44.61
2014-02-10,44.31,44.67,43.31,44.15,2204900,43.93
2014-02-07,44.47,44.70,43.71,44.23,3436000,44.01
2014-02-06,44.22,44.66,44.07,44.35,2466700,44.13
2014-02-05,44.40,45.46,44.20,44.27,5440000,44.05
2014-02-04,42.92,44.07,42.76,43.91,3471400,43.69
2014-02-03,43.76,44.74,42.48,42.70,4458300,42.49
2014-01-31,43.86,44.21,43.51,43.93,2294200,43.71
2014-01-30,44.56,44.58,44.08,44.26,2171200,44.04
2014-01-29,44.15,44.49,43.75,44.18,3030600,43.96
2014-01-28,44.72,44.95,44.15,44.41,3327100,43.94
2014-01-27,45.36,45.40,44.13,44.56,2883000,44.09
2014-01-24,47.32,47.32,45.01,45.09,5147000,44.61
2014-01-23,47.67,47.86,47.07,47.54,3143000,47.04
2014-01-22,47.77,47.96,47.47,47.86,1855800,47.36
2014-01-21,47.80,48.11,47.14,47.46,2545600,46.96
2014-01-17,46.47,47.75,46.25,47.61,3023900,47.11
2014-01-16,46.00,46.78,45.85,46.67,3938000,46.18
2014-01-15,46.05,46.77,44.42,46.06,11346600,45.57
2014-01-14,48.35,48.41,47.16,48.21,2590000,47.70
2014-01-13,47.42,48.44,47.13,47.43,2321400,46.93
2014-01-10,46.77,48.08,46.52,47.70,2574700,47.20
2014-01-09,46.00,46.78,45.81,46.59,1686700,46.10
2014-01-08,45.95,46.17,45.43,45.88,1895000,45.40
2014-01-07,45.90,46.12,45.72,45.88,1846300,45.40
2014-01-06,46.68,46.87,45.57,45.68,1858900,45.20
2014-01-03,46.64,47.04,46.19,46.49,1572100,46.00
2014-01-02,47.51,47.61,46.45,46.70,1532600,46.21
2013-12-31,47.76,47.98,47.26,47.51,1318200,47.01
2013-12-30,47.50,48.23,47.31,47.66,1195500,47.16
2013-12-27,47.25,47.50,47.00,47.39,800800,46.89
2013-12-26,46.63,47.38,46.41,47.13,1582500,46.63
2013-12-24,45.92,46.42,45.77,46.30,570300,45.81
2013-12-23,45.61,46.29,45.40,46.14,2687500,45.65
2013-12-20,45.60,45.99,44.01,45.62,8721600,45.14
2013-12-19,48.10,48.10,47.41,48.01,1274000,47.50
2013-12-18,47.00,48.02,46.58,48.02,1863000,47.51
2013-12-17,46.92,47.26,46.83,47.10,1724800,46.60
2013-12-16,46.32,47.06,46.32,47.01,1341200,46.51
2013-12-13,46.69,46.73,45.78,46.24,2118800,45.75
2013-12-12,46.92,47.18,46.16,46.41,2029200,45.92
2013-12-11,47.74,47.99,46.99,47.05,1652200,46.55
2013-12-10,47.49,48.13,47.26,47.79,1323500,47.29
2013-12-09,47.62,48.12,47.35,47.50,1384200,47.00
2013-12-06,47.18,47.70,46.95,47.45,1579600,46.95
2013-12-05,46.82,46.95,46.22,46.57,1147000,46.08
2013-12-04,47.62,47.64,46.05,46.75,2669400,46.26
2013-12-03,47.19,47.71,46.75,47.32,2922600,46.82
2013-12-02,46.71,47.57,46.11,47.11,2174700,46.61
2013-11-29,46.54,46.68,46.23,46.53,865600,46.04
2013-11-27,46.54,46.83,46.10,46.42,1693000,45.93
2013-11-26,46.86,47.00,46.43,46.58,1415000,46.09
2013-11-25,47.46,47.53,46.45,46.75,1306900,46.26
2013-11-22,47.29,47.60,47.05,47.36,1207300,46.86
2013-11-21,46.53,47.23,46.05,47.11,1584300,46.61
2013-11-20,46.53,46.77,46.02,46.14,1609300,45.65
2013-11-19,46.96,47.07,46.27,46.45,1819400,45.96
2013-11-18,47.23,47.24,46.87,46.89,1402800,46.40
2013-11-15,46.85,47.30,46.39,46.96,1625100,46.46
2013-11-14,46.59,46.76,46.12,46.60,1579000,46.11
2013-11-13,46.52,46.69,45.86,46.49,2700900,46.00
2013-11-12,46.63,47.25,46.63,47.00,1499800,46.50
2013-11-11,47.22,47.25,46.71,46.83,1596200,46.34
2013-11-08,46.61,47.18,46.31,47.13,1642200,46.63
2013-11-07,48.39,48.50,46.43,46.49,2968600,46.00
2013-11-06,49.50,49.50,48.08,48.27,3026000,47.76
2013-11-05,49.84,50.00,48.74,49.15,4619200,48.63
2013-11-04,49.68,51.96,49.66,51.89,2822000,51.34
2013-11-01,49.82,50.61,48.81,49.39,2726700,48.87
2013-10-31,50.56,50.71,49.71,49.83,1872100,49.30
2013-10-30,50.90,51.49,50.27,50.49,1614400,49.96
2013-10-29,50.48,50.90,50.45,50.88,911100,50.34
2013-10-28,50.54,50.83,50.26,50.50,1395500,49.97
2013-10-25,49.38,50.63,48.91,50.63,1533700,50.10
2013-10-24,48.86,49.53,48.86,49.24,776400,48.72
2013-10-23,49.25,49.31,48.76,48.88,1446400,48.36
2013-10-22,49.40,49.98,49.15,49.90,1729800,49.13
2013-10-21,48.67,49.23,48.67,49.12,1387500,48.36
2013-10-18,48.76,49.28,48.76,49.20,1709200,48.44
2013-10-17,48.21,48.91,47.84,48.90,1493900,48.14
2013-10-16,48.13,48.94,47.68,48.73,2244200,47.97
2013-10-15,47.83,48.21,47.48,47.93,1780300,47.19
2013-10-14,47.22,48.31,47.06,48.10,1766700,47.35
2013-10-11,47.91,48.08,47.06,47.31,2593400,46.58
2013-10-10,46.99,48.22,46.87,47.92,4141000,47.18
2013-10-09,48.13,48.52,45.85,46.85,6652900,46.12
2013-10-08,50.41,50.81,49.82,49.98,2235500,49.20
2013-10-07,50.59,50.84,50.41,50.45,1522500,49.67
2013-10-04,50.84,51.54,50.72,51.26,1481700,50.47
2013-10-03,51.19,51.34,50.55,50.99,1206900,50.20
