Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,16.00,16.00,16.00,16.00,200,16.00
2014-06-18,15.55,15.63,15.50,15.63,1100,15.63
2014-06-17,16.00,16.00,16.00,16.00,000,16.00
2014-06-16,15.97,16.00,15.97,16.00,1700,16.00
2014-06-13,15.72,15.75,15.50,15.60,11100,15.60
2014-06-12,15.35,15.35,15.32,15.32,300,15.32
2014-06-11,15.13,15.13,15.13,15.13,1800,15.13
2014-06-10,15.74,15.75,15.74,15.75,700,15.63
2014-06-09,15.60,15.60,15.60,15.60,200,15.48
2014-06-06,15.74,15.75,15.73,15.75,2500,15.63
2014-06-05,15.23,15.23,15.23,15.23,000,15.11
2014-06-04,15.23,15.23,15.23,15.23,000,15.11
2014-06-03,15.72,15.72,15.23,15.23,1200,15.11
2014-06-02,15.06,15.33,15.06,15.33,2500,15.21
2014-05-30,15.05,15.05,15.05,15.05,100,14.94
2014-05-29,15.73,15.73,15.73,15.73,400,15.61
2014-05-28,15.74,15.74,15.74,15.74,300,15.62
2014-05-27,15.73,15.73,15.73,15.73,700,15.61
2014-05-23,15.00,15.06,14.99,15.06,1400,14.95
2014-05-22,14.96,14.96,14.96,14.96,000,14.85
2014-05-21,14.96,14.96,14.96,14.96,000,14.85
2014-05-20,14.96,14.96,14.96,14.96,000,14.85
2014-05-19,15.00,15.00,14.96,14.96,700,14.85
2014-05-16,14.97,14.97,14.97,14.97,300,14.86
2014-05-15,15.00,15.00,14.64,15.00,1200,14.89
2014-05-14,14.50,14.50,14.50,14.50,400,14.39
2014-05-13,15.00,15.12,15.00,15.00,3200,14.89
2014-05-12,15.10,15.19,14.33,15.03,2000,14.92
2014-05-09,15.11,15.22,15.03,15.10,1500,14.98
2014-05-08,15.35,15.35,15.35,15.35,000,15.23
2014-05-07,15.20,15.35,15.20,15.35,3000,15.23
2014-05-06,15.50,15.50,15.50,15.50,000,15.38
2014-05-05,15.50,15.50,15.50,15.50,300,15.38
2014-05-02,15.10,15.10,15.10,15.10,000,14.98
2014-05-01,15.38,15.38,15.10,15.10,400,14.98
2014-04-30,15.03,15.47,15.03,15.47,1800,15.35
2014-04-29,15.09,15.09,15.09,15.09,200,14.98
