Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,27.53,27.53,27.28,27.30,12200,27.30
2014-06-18,27.43,27.45,27.26,27.40,20100,27.40
2014-06-17,27.21,27.37,27.00,27.36,21400,27.36
2014-06-16,27.08,27.19,27.01,27.02,10000,27.02
2014-06-13,27.05,27.10,26.96,27.04,14200,27.04
2014-06-12,26.95,27.02,26.88,27.02,6800,27.02
2014-06-11,26.94,26.95,26.86,26.95,10100,26.95
2014-06-10,27.13,27.32,26.84,26.90,22200,26.90
2014-06-09,27.09,27.10,26.95,27.02,11200,27.02
2014-06-06,26.90,26.98,26.81,26.98,11900,26.98
2014-06-05,26.65,26.95,26.57,26.82,31200,26.82
2014-06-04,26.60,26.70,26.37,26.65,193000,26.65
2014-06-03,26.69,26.69,26.48,26.57,859000,26.57
2014-06-02,26.73,26.73,26.45,26.56,103500,26.56
2014-05-30,26.62,26.72,26.62,26.65,44500,26.65
2014-05-29,26.79,26.92,26.61,26.61,1364700,26.61
2014-05-28,26.66,26.79,26.54,26.74,295900,26.74
2014-05-27,26.73,26.81,26.66,26.78,239400,26.78
2014-05-23,26.74,26.74,26.55,26.70,14600,26.70
2014-05-22,26.84,26.84,26.54,26.67,25300,26.67
2014-05-21,27.00,27.00,26.76,26.81,8900,26.81
2014-05-20,26.80,26.87,26.75,26.83,87300,26.83
2014-05-19,26.74,26.83,26.65,26.79,236100,26.79
2014-05-16,26.66,26.72,26.66,26.71,19100,26.71
2014-05-15,26.64,26.64,26.55,26.60,121800,26.60
2014-05-14,26.57,26.64,26.57,26.59,1172600,26.59
2014-05-13,26.52,26.62,26.52,26.57,45000,26.57
2014-05-12,26.64,26.65,26.55,26.55,37400,26.55
2014-05-09,26.53,26.58,26.46,26.58,805700,26.58
2014-05-08,26.56,26.63,26.10,26.50,204000,26.50
2014-05-07,26.74,26.74,26.42,26.56,32100,26.56
2014-05-06,26.66,26.70,26.61,26.66,10800,26.66
2014-05-05,26.68,26.80,26.63,26.65,21900,26.65
2014-05-02,26.90,26.95,26.60,26.68,143000,26.68
2014-05-01,26.62,26.94,26.55,26.89,67300,26.89
2014-04-30,26.63,26.64,26.55,26.56,33800,26.56
2014-04-29,26.59,26.59,26.49,26.52,275600,26.52
2014-04-28,26.57,26.57,26.46,26.50,19300,26.50
2014-04-25,26.36,26.53,26.35,26.53,52700,26.53
2014-04-24,26.35,26.35,26.25,26.33,119700,26.33
2014-04-23,26.43,26.46,26.33,26.33,304800,26.33
2014-04-22,26.48,26.48,26.30,26.38,67700,26.38
2014-04-21,26.49,26.49,26.33,26.35,12400,26.35
2014-04-17,26.70,26.72,26.37,26.37,52700,26.37
2014-04-16,26.70,26.80,26.57,26.63,41800,26.63
2014-04-15,26.57,26.65,26.54,26.65,17700,26.65
2014-04-14,26.86,26.86,26.53,26.53,13900,26.53
2014-04-11,26.66,26.72,26.46,26.68,5800,26.68
2014-04-10,26.67,26.67,26.56,26.57,25300,26.57
2014-04-09,26.63,26.63,26.35,26.57,108100,26.57
2014-04-08,26.60,26.61,26.40,26.51,69400,26.51
2014-04-07,26.51,26.51,26.37,26.46,14400,26.46
2014-04-04,26.54,26.54,26.33,26.41,68400,26.41
2014-04-03,26.55,26.55,26.32,26.51,11000,26.51
2014-04-02,26.45,26.51,26.40,26.50,167900,26.50
2014-04-01,26.53,26.53,26.36,26.36,126400,26.36
2014-03-31,26.42,26.52,26.27,26.44,30300,26.44
2014-03-28,26.25,26.42,26.25,26.36,39800,26.36
2014-03-27,26.37,26.37,26.01,26.21,68200,26.21
2014-03-26,26.29,26.35,26.16,26.31,272900,26.31
2014-03-25,26.85,26.85,26.65,26.65,344700,26.13
2014-03-24,27.11,27.11,26.56,26.57,99400,26.06
2014-03-21,26.90,26.95,26.61,26.66,130300,26.14
2014-03-20,26.84,26.84,26.58,26.77,12700,26.25
2014-03-19,27.00,27.00,26.52,26.67,40300,26.15
2014-03-18,26.56,26.77,26.48,26.77,120200,26.25
2014-03-17,26.57,26.58,26.39,26.51,96900,26.00
2014-03-14,26.45,26.56,26.31,26.43,115200,25.92
2014-03-13,26.53,26.57,26.36,26.47,23800,25.96
2014-03-12,26.44,26.57,26.38,26.52,95100,26.01
2014-03-11,26.49,26.58,26.36,26.46,81400,25.95
