Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,8.25,8.41,8.25,8.38,24800,8.38
2014-06-18,8.22,8.25,8.16,8.23,2600,8.23
2014-06-17,8.15,8.30,8.15,8.18,7100,8.18
2014-06-16,8.20,8.32,8.14,8.28,2400,8.28
2014-06-13,8.16,8.26,8.16,8.26,5400,8.26
2014-06-12,8.20,8.30,8.19,8.30,5900,8.30
2014-06-11,8.23,8.30,8.20,8.30,2600,8.30
2014-06-10,8.32,8.38,8.17,8.38,5900,8.38
2014-06-09,8.33,8.39,8.33,8.39,7600,8.39
2014-06-06,8.31,8.39,8.30,8.38,10200,8.38
2014-06-05,8.35,8.40,8.16,8.31,6000,8.31
2014-06-04,8.24,8.35,8.14,8.35,7800,8.35
2014-06-03,8.23,8.38,8.10,8.15,27200,8.15
2014-06-02,8.12,8.30,8.12,8.29,19800,8.29
2014-05-30,8.18,8.30,8.18,8.24,13300,8.24
2014-05-29,8.17,8.26,8.10,8.22,14600,8.22
2014-05-28,8.15,8.28,8.15,8.21,7900,8.21
2014-05-27,8.11,8.20,8.11,8.15,6200,8.15
2014-05-23,8.20,8.23,8.08,8.10,9200,8.10
2014-05-22,8.24,8.24,8.12,8.16,7700,8.16
2014-05-21,8.15,8.25,8.12,8.12,17000,8.12
2014-05-20,8.25,8.34,8.15,8.15,12100,8.15
2014-05-19,8.22,8.31,8.15,8.27,12500,8.27
2014-05-16,8.10,8.33,8.10,8.32,9700,8.32
2014-05-15,8.25,8.35,8.03,8.25,61500,8.25
2014-05-14,8.36,8.39,8.25,8.37,15200,8.37
2014-05-13,8.31,8.46,8.25,8.40,27200,8.40
2014-05-12,8.30,8.42,8.25,8.40,17300,8.40
2014-05-09,8.29,8.41,8.20,8.20,13100,8.20
2014-05-08,8.44,8.44,8.27,8.43,2800,8.43
2014-05-07,8.39,8.43,8.33,8.33,3200,8.33
2014-05-06,8.41,8.47,8.27,8.37,9300,8.37
2014-05-05,8.50,8.50,8.22,8.41,45500,8.41
2014-05-02,8.58,8.58,8.37,8.37,12300,8.37
2014-05-01,8.58,8.65,8.47,8.50,23800,8.50
