Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,15.40,15.47,15.24,15.31,352800,15.31
2014-06-18,15.10,15.47,15.10,15.40,230300,15.40
2014-06-17,15.04,15.17,15.00,15.14,121900,15.14
2014-06-16,15.13,15.13,15.00,15.04,97000,15.04
2014-06-13,15.04,15.21,15.00,15.13,145000,15.13
2014-06-12,15.00,15.09,15.00,15.07,138500,15.07
2014-06-11,14.96,15.24,14.96,15.03,112300,15.03
2014-06-10,15.02,15.06,14.98,15.01,139400,15.01
2014-06-09,15.15,15.21,15.00,15.07,150900,15.07
2014-06-06,15.38,15.38,15.12,15.16,180400,15.16
2014-06-05,15.00,15.33,14.97,15.30,272500,15.30
2014-06-04,14.93,15.06,14.93,15.03,265500,15.03
2014-06-03,14.98,15.05,14.91,15.00,182000,15.00
2014-06-02,15.05,15.05,14.90,15.00,176700,15.00
2014-05-30,15.00,15.06,14.95,15.00,363100,15.00
2014-05-29,14.92,15.04,14.84,15.01,238100,15.01
2014-05-28,15.05,15.05,14.90,14.93,500500,14.93
2014-05-27,15.10,15.12,14.97,15.03,375800,15.03
2014-05-23,15.00,15.09,14.95,15.05,226600,15.05
2014-05-22,14.90,15.08,14.80,15.00,459100,15.00
2014-05-21,14.68,14.93,14.68,14.90,479200,14.90
2014-05-20,14.59,14.68,14.52,14.66,491700,14.66
2014-05-19,14.50,14.66,14.37,14.64,556100,14.64
2014-05-16,14.40,14.57,14.40,14.53,248700,14.53
2014-05-15,14.45,14.61,14.35,14.44,601200,14.44
2014-05-14,14.55,14.64,14.47,14.52,444500,14.52
2014-05-13,14.49,14.69,14.39,14.55,365800,14.55
2014-05-12,14.44,14.59,14.41,14.56,468800,14.56
2014-05-09,14.16,14.40,14.16,14.34,184600,14.34
2014-05-08,14.23,14.36,14.07,14.25,462700,14.25
2014-05-07,14.29,14.37,14.25,14.26,435400,14.26
2014-05-06,14.41,14.49,14.32,14.34,346700,14.34
2014-05-05,14.43,14.53,14.31,14.52,395700,14.52
2014-05-02,14.29,14.65,14.26,14.54,646100,14.54
2014-05-01,13.90,14.73,13.81,14.31,868100,14.31
2014-04-30,13.70,13.93,13.67,13.90,1322200,13.90
2014-04-29,12.80,13.89,12.50,13.78,3163900,13.78
2014-04-28,11.48,11.56,11.40,11.51,93900,11.51
2014-04-25,11.40,11.50,11.36,11.43,109900,11.43
2014-04-24,11.43,11.46,11.37,11.46,135700,11.46
2014-04-23,11.47,11.50,11.39,11.40,83500,11.40
2014-04-22,11.37,11.62,11.34,11.50,134200,11.50
2014-04-21,11.32,11.47,11.28,11.39,107900,11.39
2014-04-17,11.34,11.39,11.27,11.35,68900,11.35
2014-04-16,11.37,11.41,11.27,11.39,84100,11.39
2014-04-15,11.11,11.35,11.04,11.28,181800,11.28
2014-04-14,11.17,11.23,11.01,11.05,164500,11.05
2014-04-11,11.18,11.30,11.10,11.10,205200,11.10
2014-04-10,11.31,11.38,11.22,11.24,140600,11.24
2014-04-09,11.37,11.38,11.27,11.34,75100,11.34
2014-04-08,11.37,11.49,11.35,11.37,115200,11.37
2014-04-07,11.39,11.50,11.36,11.38,92300,11.38
2014-04-04,11.60,11.65,11.35,11.44,116000,11.44
2014-04-03,11.56,11.66,11.45,11.50,65400,11.50
2014-04-02,11.55,11.60,11.44,11.57,134900,11.57
2014-04-01,11.59,11.69,11.46,11.50,139900,11.50
2014-03-31,11.42,11.67,11.41,11.59,112700,11.59
2014-03-28,11.24,11.45,11.24,11.39,162500,11.39
2014-03-27,11.21,11.36,11.10,11.24,160300,11.24
2014-03-26,11.64,11.64,11.38,11.41,184700,11.25
2014-03-25,11.62,11.72,11.54,11.58,88200,11.41
2014-03-24,11.77,11.77,11.50,11.57,116300,11.40
2014-03-21,11.63,11.86,11.63,11.77,215400,11.60
2014-03-20,11.61,11.65,11.56,11.61,96700,11.44
2014-03-19,11.84,11.86,11.54,11.61,139200,11.44
2014-03-18,11.58,11.91,11.58,11.83,109500,11.66
2014-03-17,11.62,11.66,11.50,11.57,82500,11.40
2014-03-14,11.54,11.63,11.53,11.58,49900,11.41
2014-03-13,11.62,11.62,11.53,11.54,137600,11.38
2014-03-12,11.52,11.69,11.52,11.60,160700,11.43
2014-03-11,11.65,11.73,11.52,11.56,138000,11.39
2014-03-10,11.77,11.80,11.55,11.66,176200,11.49
2014-03-07,11.86,11.89,11.71,11.79,96900,11.62
2014-03-06,11.51,12.05,11.32,11.85,149600,11.68
2014-03-05,11.99,12.10,11.84,11.91,103700,11.74
2014-03-04,11.99,12.19,11.93,12.04,234600,11.87
2014-03-03,11.63,11.95,11.60,11.90,196900,11.73
2014-02-28,11.42,11.67,11.40,11.64,242300,11.47
2014-02-27,11.38,11.44,11.33,11.39,147900,11.23
2014-02-26,11.40,11.46,11.34,11.41,68500,11.25
2014-02-25,11.36,11.47,11.30,11.36,59000,11.20
2014-02-24,11.47,11.51,11.38,11.39,143000,11.23
