Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,14.84,14.90,14.64,14.74,49600,14.74
2014-06-18,14.86,14.92,14.65,14.69,29300,14.69
2014-06-17,14.81,14.95,14.61,14.75,78200,14.75
2014-06-16,14.74,15.00,14.56,14.75,56900,14.75
2014-06-13,14.84,14.90,14.58,14.65,39500,14.65
2014-06-12,14.72,14.89,14.61,14.75,77500,14.75
2014-06-11,14.62,15.15,14.60,14.79,58800,14.79
2014-06-10,14.80,15.25,14.66,15.19,118300,14.84
2014-06-09,14.87,14.90,14.56,14.75,75900,14.41
2014-06-06,14.89,14.90,14.74,14.83,59000,14.49
2014-06-05,14.78,14.88,14.61,14.61,46000,14.27
2014-06-04,14.46,14.74,14.41,14.68,60400,14.34
2014-06-03,15.00,15.00,14.50,14.74,57400,14.40
2014-06-02,14.90,14.90,14.47,14.63,45600,14.29
2014-05-30,14.85,14.90,14.51,14.62,53600,14.28
2014-05-29,14.80,14.97,14.51,14.73,82700,14.39
2014-05-28,14.54,14.75,14.37,14.64,29900,14.30
2014-05-27,14.75,14.75,14.34,14.54,39200,14.20
2014-05-23,14.39,14.71,14.39,14.59,34500,14.25
2014-05-22,14.15,14.49,14.14,14.33,29500,14.00
2014-05-21,14.35,14.50,14.10,14.15,44200,13.82
2014-05-20,14.55,14.55,14.27,14.29,29700,13.96
2014-05-19,14.26,14.55,14.26,14.55,29700,14.21
2014-05-16,14.25,14.45,14.16,14.40,35900,14.07
2014-05-15,14.15,14.27,14.11,14.18,32200,13.85
2014-05-14,14.27,14.50,14.16,14.19,37300,13.86
2014-05-13,14.17,14.55,14.17,14.24,50300,13.91
2014-05-12,14.15,14.77,14.01,14.40,62400,14.07
2014-05-09,14.07,14.19,14.00,14.08,70300,13.76
2014-05-08,14.09,14.25,14.08,14.13,22100,13.80
2014-05-07,14.10,14.18,14.09,14.09,67500,13.77
2014-05-06,14.20,14.25,14.08,14.09,39900,13.77
2014-05-05,14.06,14.24,14.05,14.21,19400,13.88
2014-05-02,14.15,14.19,14.07,14.13,34400,13.80
2014-05-01,14.10,14.19,13.96,14.10,52600,13.78
2014-04-30,14.14,14.18,14.10,14.10,29000,13.78
2014-04-29,14.14,14.23,14.12,14.14,19800,13.81
