Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,21.72,21.91,21.72,21.86,47700,21.86
2014-06-18,21.63,21.79,21.62,21.78,60600,21.78
2014-06-17,21.64,21.70,21.55,21.70,69000,21.70
2014-06-16,21.50,21.71,21.50,21.62,67100,21.62
2014-06-13,21.39,21.49,21.39,21.47,28100,21.47
2014-06-12,21.27,21.52,21.27,21.51,23200,21.51
2014-06-11,21.16,21.47,21.15,21.29,58300,21.29
2014-06-10,21.27,21.35,21.25,21.31,52700,21.17
2014-06-09,21.21,21.36,21.21,21.30,45000,21.16
2014-06-06,21.28,21.34,21.27,21.30,31100,21.16
2014-06-05,21.27,21.32,21.12,21.21,56400,21.07
2014-06-04,21.38,21.57,21.13,21.24,52000,21.10
2014-06-03,21.56,21.62,21.45,21.45,31800,21.31
2014-06-02,21.79,21.79,21.55,21.57,26000,21.43
2014-05-30,21.69,21.69,21.58,21.69,34300,21.55
2014-05-29,21.53,21.69,21.53,21.58,36500,21.44
2014-05-28,21.30,21.49,21.30,21.41,50300,21.27
2014-05-27,21.18,21.34,21.18,21.28,47700,21.14
2014-05-23,21.22,21.30,21.15,21.20,42300,21.06
2014-05-22,21.19,21.31,21.16,21.22,41000,21.08
2014-05-21,21.22,21.35,21.17,21.19,29800,21.05
2014-05-20,21.22,21.33,21.20,21.29,24400,21.15
2014-05-19,21.27,21.45,21.18,21.28,36700,21.14
2014-05-16,21.28,21.49,21.28,21.36,29500,21.22
2014-05-15,21.24,21.53,21.24,21.36,38700,21.22
2014-05-14,21.10,21.28,21.10,21.22,22100,21.08
2014-05-13,21.14,21.16,21.06,21.12,67900,20.98
2014-05-12,21.35,21.41,21.23,21.32,43600,21.04
2014-05-09,21.23,21.35,21.22,21.35,37600,21.07
2014-05-08,21.30,21.50,21.26,21.32,41000,21.04
2014-05-07,21.11,21.35,21.11,21.35,41500,21.07
2014-05-06,21.15,21.24,21.15,21.20,29600,20.93
