Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,27.05,27.14,26.76,26.88,215400,26.88
2014-06-18,27.04,27.13,26.75,27.04,138900,27.04
2014-06-17,26.52,27.01,26.49,27.00,222000,27.00
2014-06-16,26.31,26.65,26.28,26.62,114900,26.62
2014-06-13,26.54,26.60,26.11,26.42,110800,26.42
2014-06-12,26.38,26.49,26.13,26.43,253500,26.43
2014-06-11,26.43,26.64,26.28,26.48,334000,26.48
2014-06-10,26.95,27.09,26.40,26.59,188300,26.59
2014-06-09,26.98,27.35,26.92,27.10,124000,27.10
2014-06-06,27.05,27.49,26.88,27.02,126200,27.02
2014-06-05,26.09,26.99,26.01,26.93,130000,26.93
2014-06-04,26.24,26.55,26.04,26.05,270700,26.05
2014-06-03,26.12,26.48,26.00,26.31,384100,26.31
2014-06-02,26.42,26.42,25.81,26.20,287500,26.20
2014-05-30,26.20,26.47,25.90,26.32,410500,26.32
2014-05-29,26.14,26.28,25.97,26.18,85400,26.18
2014-05-28,26.15,26.19,25.96,26.10,159800,26.10
2014-05-27,26.18,26.38,26.03,26.19,178800,26.19
2014-05-23,25.92,26.19,25.76,26.17,116600,26.17
2014-05-22,25.80,26.07,25.65,25.84,145200,25.84
2014-05-21,25.71,26.04,25.51,25.77,201100,25.77
2014-05-20,26.13,26.13,25.53,25.69,339400,25.69
2014-05-19,25.70,26.57,25.67,26.21,165600,26.21
2014-05-16,25.66,25.91,25.60,25.85,136400,25.85
2014-05-15,25.86,26.15,25.47,25.72,445300,25.72
2014-05-14,26.13,26.25,25.91,25.98,236400,25.98
2014-05-13,26.61,26.75,26.07,26.22,195700,26.22
2014-05-12,26.20,26.89,26.20,26.68,257200,26.68
2014-05-09,25.86,26.21,25.75,26.16,200000,26.16
2014-05-08,26.09,26.55,25.83,25.99,198700,25.99
2014-05-07,25.95,26.08,25.61,26.07,207500,26.07
2014-05-06,25.95,26.10,25.75,25.94,376800,25.94
2014-05-05,26.00,26.21,25.36,25.95,265100,25.95
2014-05-02,26.42,26.65,25.93,26.26,319500,26.26
2014-05-01,25.48,26.19,24.97,26.19,465900,26.19
2014-04-30,24.81,25.53,24.63,25.52,333300,25.52
2014-04-29,24.36,24.92,24.07,24.77,242100,24.77
2014-04-28,24.66,24.85,24.12,24.38,166100,24.38
2014-04-25,24.98,24.99,24.47,24.60,222400,24.60
2014-04-24,25.42,25.42,24.64,25.02,279300,25.02
2014-04-23,25.79,25.80,25.23,25.25,195900,25.25
2014-04-22,25.73,25.98,25.60,25.78,170400,25.78
2014-04-21,25.67,25.88,25.44,25.66,196300,25.66
2014-04-17,25.51,25.92,25.50,25.73,127100,25.73
2014-04-16,25.82,25.85,25.50,25.51,167100,25.51
2014-04-15,25.79,25.97,25.34,25.75,161100,25.75
2014-04-14,25.95,25.96,25.53,25.79,205300,25.79
2014-04-11,26.07,26.21,25.60,25.67,324300,25.67
2014-04-10,26.64,26.75,26.38,26.41,235700,26.41
2014-04-09,26.77,26.85,26.53,26.74,180300,26.74
2014-04-08,26.31,26.79,26.10,26.63,223500,26.63
2014-04-07,26.66,26.82,25.91,26.26,330300,26.26
2014-04-04,27.36,27.54,26.63,26.68,306400,26.68
2014-04-03,27.41,27.47,27.20,27.30,231900,27.30
2014-04-02,27.27,27.51,27.24,27.33,130700,27.33
2014-04-01,27.13,27.35,26.95,27.22,381500,27.22
2014-03-31,27.22,27.35,26.87,27.22,271200,27.11
2014-03-28,26.84,27.25,26.84,27.00,202800,26.89
2014-03-27,26.96,26.99,26.52,26.83,229800,26.72
2014-03-26,27.74,27.84,26.91,26.92,185700,26.81
2014-03-25,27.70,27.91,27.36,27.57,283900,27.46
2014-03-24,28.72,28.82,27.55,27.55,309000,27.44
2014-03-21,28.88,29.25,28.57,28.64,281700,28.52
2014-03-20,28.74,28.88,28.58,28.67,107900,28.55
2014-03-19,28.72,28.93,28.58,28.75,261600,28.63
2014-03-18,28.50,28.78,28.40,28.67,130500,28.55
2014-03-17,28.50,28.89,28.34,28.54,250000,28.42
2014-03-14,28.34,28.70,28.19,28.41,195400,28.30
2014-03-13,29.08,29.08,28.33,28.42,230500,28.31
2014-03-12,28.93,29.10,28.69,28.93,205700,28.81
2014-03-11,29.79,29.80,28.88,29.00,288900,28.88
2014-03-10,30.38,30.45,29.75,29.81,180200,29.69
2014-03-07,30.51,30.63,30.09,30.34,140300,30.22
2014-03-06,30.49,30.58,30.21,30.24,101100,30.12
2014-03-05,30.76,30.90,30.28,30.39,179600,30.27
2014-03-04,30.28,31.62,30.28,30.74,438500,30.62
2014-03-03,30.18,30.21,29.77,30.04,247400,29.92
2014-02-28,29.96,30.72,29.88,30.35,273500,30.23
2014-02-27,29.89,30.02,29.52,29.86,223400,29.74
2014-02-26,29.75,30.05,29.65,29.89,167100,29.77
2014-02-25,29.79,29.96,29.33,29.76,162000,29.64
2014-02-24,29.46,29.96,29.36,29.77,190800,29.65
2014-02-21,29.00,29.47,28.77,29.43,396000,29.31
2014-02-20,28.84,29.09,28.69,28.86,224600,28.74
2014-02-19,29.05,29.39,28.68,28.75,384800,28.63
2014-02-18,29.19,29.42,28.90,29.13,388400,29.01
2014-02-14,29.14,29.25,28.65,29.14,325100,29.02
2014-02-13,30.95,31.62,28.45,29.03,506300,28.91
2014-02-12,32.00,32.00,30.95,31.28,216900,31.15
2014-02-11,31.07,31.77,30.76,31.66,171400,31.53
2014-02-10,30.97,31.34,30.71,30.94,187400,30.81
2014-02-07,31.16,31.95,30.84,31.05,137100,30.92
2014-02-06,30.61,31.28,30.44,31.09,159500,30.96
2014-02-05,30.53,30.86,30.30,30.45,197000,30.33
2014-02-04,30.37,30.92,30.15,30.62,163600,30.50
2014-02-03,30.94,31.42,30.20,30.29,269400,30.17
2014-01-31,29.71,31.71,28.98,30.99,618900,30.86
2014-01-30,28.55,29.35,28.23,28.92,172000,28.80
2014-01-29,28.36,28.66,28.07,28.39,141600,28.28
2014-01-28,28.47,28.71,27.98,28.55,159400,28.43
2014-01-27,28.87,29.02,28.41,28.45,90300,28.34
2014-01-24,29.48,29.65,28.48,28.74,144900,28.62
2014-01-23,29.29,29.71,29.18,29.70,196900,29.58
2014-01-22,29.32,29.55,29.02,29.50,149700,29.38
2014-01-21,28.52,29.60,28.35,29.34,143200,29.22
2014-01-17,28.61,28.73,28.20,28.42,70400,28.31
2014-01-16,28.51,28.68,28.25,28.59,78700,28.47
2014-01-15,28.70,28.76,28.39,28.59,176300,28.47
2014-01-14,28.51,28.66,28.20,28.56,114300,28.44
2014-01-13,28.66,28.94,28.12,28.35,162400,28.24
2014-01-10,28.72,28.72,28.36,28.68,110900,28.56
2014-01-09,28.44,28.71,28.19,28.65,156100,28.53
2014-01-08,28.48,28.71,28.22,28.29,256200,28.18
2014-01-07,27.75,28.99,27.66,28.57,253000,28.45
2014-01-06,27.68,27.79,27.40,27.71,174100,27.60
2014-01-03,27.45,27.72,27.40,27.63,118400,27.52
2014-01-02,27.47,27.61,27.20,27.46,99600,27.35
2013-12-31,28.10,28.13,27.60,27.64,99700,27.53
2013-12-30,28.24,28.33,27.81,28.11,93600,27.90
2013-12-27,28.59,28.59,28.13,28.33,47900,28.12
2013-12-26,28.25,28.53,27.92,28.46,58100,28.24
2013-12-24,27.86,28.38,27.74,28.17,54600,27.96
2013-12-23,27.70,28.02,27.70,28.00,89200,27.79
2013-12-20,27.45,27.72,27.36,27.67,409100,27.46
2013-12-19,27.76,27.89,27.36,27.42,122300,27.21
2013-12-18,27.28,27.81,27.13,27.77,97100,27.56
2013-12-17,27.64,27.72,27.18,27.31,110600,27.10
2013-12-16,26.77,27.70,26.75,27.58,205400,27.37
2013-12-13,26.15,26.84,26.15,26.71,102000,26.51
2013-12-12,26.17,26.34,26.06,26.18,138500,25.98
2013-12-11,26.42,26.43,26.04,26.17,159600,25.97
2013-12-10,26.58,26.77,26.40,26.41,120200,26.21
2013-12-09,26.93,27.01,26.28,26.66,200300,26.46
2013-12-06,26.96,27.12,26.75,26.84,100700,26.64
2013-12-05,26.58,26.71,26.35,26.65,157600,26.45
2013-12-04,26.98,27.15,26.54,26.57,159000,26.37
2013-12-03,27.15,27.41,26.95,27.13,232300,26.92
2013-12-02,27.91,27.91,26.91,27.28,150500,27.07
2013-11-29,27.65,28.05,27.55,27.99,96800,27.78
2013-11-27,27.42,27.64,27.25,27.57,112800,27.36
2013-11-26,27.23,27.38,27.09,27.33,108700,27.12
2013-11-25,27.32,27.45,27.23,27.27,89400,27.06
2013-11-22,27.24,27.39,27.10,27.33,141000,27.12
2013-11-21,26.88,27.24,26.86,27.21,268500,27.00
2013-11-20,26.98,27.11,26.68,26.72,110500,26.52
2013-11-19,27.14,27.30,26.88,26.95,86100,26.75
2013-11-18,27.31,27.31,26.95,27.09,97700,26.88
2013-11-15,27.00,27.34,26.97,27.31,83500,27.10
2013-11-14,27.18,27.18,26.85,27.04,111300,26.83
2013-11-13,26.89,27.21,26.69,27.20,102800,26.99
2013-11-12,26.95,27.25,26.85,27.09,102900,26.88
2013-11-11,26.58,27.10,26.54,27.03,261500,26.82
2013-11-08,25.99,26.75,25.94,26.55,155300,26.35
2013-11-07,26.46,26.51,25.97,25.99,152000,25.79
2013-11-06,26.80,26.80,26.37,26.42,106500,26.22
2013-11-05,27.00,27.00,26.53,26.62,164000,26.42
2013-11-04,27.01,27.17,26.93,27.07,224800,26.86
2013-11-01,26.14,27.06,26.13,27.00,278300,26.80
2013-10-31,25.93,26.39,25.81,26.20,289800,26.00
2013-10-30,25.84,26.20,25.50,26.00,487300,25.80
2013-10-29,28.63,29.00,25.01,25.90,647800,25.70
2013-10-28,29.06,29.25,28.78,28.88,149000,28.66
2013-10-25,29.04,29.13,28.58,29.13,133200,28.91
2013-10-24,28.93,29.17,28.79,28.92,83800,28.70
2013-10-23,28.62,28.89,28.56,28.80,158300,28.58
2013-10-22,28.64,28.82,28.42,28.70,197000,28.48
2013-10-21,28.84,28.84,28.36,28.48,214300,28.26
2013-10-18,28.18,28.90,28.10,28.87,164700,28.65
2013-10-17,27.79,27.93,27.58,27.93,182500,27.72
2013-10-16,27.44,27.93,27.25,27.84,124100,27.63
2013-10-15,27.41,27.47,27.16,27.26,134400,27.05
2013-10-14,27.23,27.65,27.05,27.55,286700,27.34
2013-10-11,26.62,27.36,26.62,27.36,172700,27.15
2013-10-10,26.63,26.84,26.41,26.80,119400,26.60
2013-10-09,26.26,26.68,26.13,26.29,248100,26.09
2013-10-08,26.37,26.39,26.11,26.25,137400,26.05
2013-10-07,26.58,26.58,26.20,26.29,167500,26.09
2013-10-04,26.75,26.90,26.68,26.79,88700,26.59
2013-10-03,26.75,26.99,26.54,26.77,145000,26.57
2013-10-02,26.90,26.90,26.53,26.80,154600,26.60
2013-10-01,27.05,27.11,26.68,27.11,155200,26.81
2013-09-30,26.48,27.17,26.36,27.07,223900,26.77
2013-09-27,26.62,26.87,26.53,26.81,100700,26.51
2013-09-26,26.51,26.93,26.51,26.87,104900,26.57
2013-09-25,26.50,26.91,26.45,26.50,113400,26.20
2013-09-24,26.43,26.60,26.04,26.52,229400,26.22
2013-09-23,26.35,26.41,26.12,26.37,165800,26.07
2013-09-20,26.38,26.53,26.25,26.36,267600,26.06
2013-09-19,26.30,26.39,26.03,26.29,92600,25.99
2013-09-18,26.03,26.39,25.90,26.28,175000,25.98
2013-09-17,26.35,26.49,25.83,26.09,563800,25.80
2013-09-16,26.53,26.58,26.27,26.42,193400,26.12
2013-09-13,26.09,26.11,25.89,26.10,133300,25.81
2013-09-12,26.09,26.19,25.81,25.94,235500,25.65
2013-09-11,25.77,26.20,25.73,26.19,367100,25.90
2013-09-10,25.63,25.79,25.51,25.77,172100,25.48
2013-09-09,25.46,25.74,25.35,25.55,205000,25.26
2013-09-06,25.90,25.90,25.16,25.41,143200,25.12
2013-09-05,25.98,26.01,25.55,25.70,87000,25.41
2013-09-04,25.57,25.99,25.48,25.95,95200,25.66
2013-09-03,26.02,26.02,25.32,25.65,143100,25.36
2013-08-30,26.00,26.00,25.46,25.62,161200,25.33
2013-08-29,25.59,26.19,25.59,26.06,102200,25.77
2013-08-28,25.68,25.91,25.43,25.58,114900,25.29
2013-08-27,26.06,26.31,25.74,25.76,220700,25.47
2013-08-26,25.86,26.60,25.86,26.40,285800,26.10
2013-08-23,26.19,26.20,25.80,25.91,154700,25.62
