Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,87.03,87.34,86.37,86.66,451700,86.66
2014-06-18,86.14,86.90,85.83,86.86,369900,86.86
2014-06-17,85.14,86.21,85.01,86.01,379500,86.01
2014-06-16,84.98,85.56,84.95,85.46,505700,85.46
2014-06-13,85.17,85.60,84.92,85.10,329600,85.10
2014-06-12,85.49,85.49,84.98,85.09,431300,85.09
2014-06-11,85.75,85.97,85.05,85.56,555400,85.56
2014-06-10,86.59,86.76,86.02,86.17,392100,86.17
2014-06-09,86.65,87.27,86.50,86.81,319400,86.81
2014-06-06,86.06,86.84,85.84,86.75,406000,86.75
2014-06-05,85.70,86.19,85.05,85.97,524700,85.97
2014-06-04,84.95,85.52,84.81,85.50,666800,85.50
2014-06-03,86.19,86.44,85.08,85.61,1209400,85.04
2014-06-02,86.37,86.98,85.93,86.78,504900,86.20
2014-05-30,85.71,86.37,85.52,86.33,449700,85.75
2014-05-29,86.27,86.27,85.50,85.76,448200,85.18
2014-05-28,85.86,86.37,85.41,86.16,291900,85.58
2014-05-27,85.71,86.18,85.43,85.81,407300,85.23
2014-05-23,85.05,85.52,84.92,85.39,281300,84.82
2014-05-22,84.87,85.50,84.69,85.04,284600,84.47
2014-05-21,84.16,84.86,84.13,84.78,450900,84.21
2014-05-20,84.70,84.70,83.43,83.73,568400,83.17
2014-05-19,84.91,85.15,84.63,84.90,676600,84.33
2014-05-16,84.58,85.35,84.28,85.31,452700,84.74
2014-05-15,85.00,85.16,83.96,84.54,545900,83.97
2014-05-14,85.88,85.88,85.20,85.30,345900,84.73
2014-05-13,86.19,86.43,85.62,85.84,429900,85.26
2014-05-12,85.36,86.19,85.17,86.15,419800,85.57
2014-05-09,84.96,85.14,84.32,85.14,528200,84.57
2014-05-08,84.78,85.68,84.62,85.00,551700,84.43
2014-05-07,84.53,84.83,83.84,84.76,717700,84.19
2014-05-06,84.55,84.88,83.96,84.27,726400,83.70
2014-05-05,85.29,85.36,84.49,84.73,892900,84.16
2014-05-02,85.66,86.62,85.26,85.57,1039800,85.00
2014-05-01,87.08,87.50,85.63,85.84,761900,85.26
2014-04-30,86.14,87.18,85.77,87.12,924100,86.53
2014-04-29,86.75,86.91,86.09,86.14,475000,85.56
2014-04-28,86.06,86.73,85.00,86.54,817300,85.96
2014-04-25,86.06,86.06,85.27,85.63,528300,85.05
2014-04-24,86.84,86.84,85.89,86.23,435900,85.65
2014-04-23,86.21,86.92,85.33,86.64,1099500,86.06
2014-04-22,88.19,89.05,85.97,86.19,1502800,85.61
2014-04-21,87.27,88.23,86.71,87.95,847100,87.36
2014-04-17,87.40,88.28,87.16,87.32,936100,86.73
2014-04-16,86.96,87.60,86.75,87.41,1078900,86.82
2014-04-15,85.08,85.36,83.72,85.20,440000,84.63
2014-04-14,85.37,85.44,84.09,84.88,442200,84.31
2014-04-11,84.77,85.48,84.45,84.55,518700,83.98
