Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,14.94,14.94,14.94,14.94,000,14.94
2014-06-18,14.94,14.94,14.94,14.94,000,14.94
2014-06-17,14.94,14.94,14.94,14.94,000,14.94
2014-06-16,16.24,16.24,14.94,14.94,200,14.94
2014-06-13,14.99,14.99,14.99,14.99,000,14.99
2014-06-12,14.99,14.99,14.99,14.99,000,14.99
2014-06-11,14.99,14.99,14.99,14.99,100,14.99
2014-06-10,14.50,14.50,14.50,14.50,000,14.50
2014-06-09,14.95,15.00,14.50,14.50,800,14.50
2014-06-06,15.65,15.65,14.15,14.15,300,14.15
2014-06-05,14.00,14.00,14.00,14.00,000,14.00
2014-06-04,14.00,14.00,14.00,14.00,200,14.00
2014-06-03,14.50,14.50,14.50,14.50,000,14.50
2014-06-02,14.50,14.50,14.50,14.50,300,14.50
2014-05-30,14.47,14.47,14.47,14.47,200,14.47
2014-05-29,14.27,15.35,14.27,15.35,400,15.35
2014-05-28,14.02,14.02,14.02,14.02,300,14.02
2014-05-27,15.00,15.04,14.63,15.04,3100,15.04
2014-05-23,15.68,15.68,15.68,15.68,000,15.68
2014-05-22,15.68,15.68,15.68,15.68,000,15.68
2014-05-21,15.68,15.68,15.68,15.68,000,15.68
2014-05-20,15.68,15.68,15.68,15.68,000,15.68
2014-05-19,15.68,15.68,15.68,15.68,200,15.68
2014-05-16,16.10,16.10,15.26,15.30,2500,15.30
2014-05-15,15.13,15.13,15.13,15.13,000,15.13
2014-05-14,15.70,15.70,15.13,15.13,1700,15.13
2014-05-13,15.80,15.81,15.65,15.65,2200,15.65
2014-05-12,16.20,16.24,15.80,15.80,1900,15.80
2014-05-09,16.30,16.30,16.30,16.30,000,16.30
2014-05-08,16.30,16.30,16.30,16.30,000,16.30
2014-05-07,16.30,16.30,16.30,16.30,000,16.30
2014-05-06,16.30,16.30,16.30,16.30,000,16.30
2014-05-05,16.30,16.30,16.30,16.30,000,16.30
2014-05-02,16.30,16.30,16.30,16.30,000,16.30
2014-05-01,16.30,16.30,16.30,16.30,200,16.30
2014-04-30,16.62,16.62,16.62,16.62,000,16.62
2014-04-29,16.28,16.70,16.28,16.62,3600,16.62
2014-04-28,16.76,17.43,16.30,16.30,6300,16.30
2014-04-25,16.86,16.86,16.86,16.86,000,16.86
