Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,19.46,19.75,19.32,19.40,1032500,19.40
2014-06-18,19.38,19.63,19.32,19.36,929400,19.36
2014-06-17,19.47,19.69,19.22,19.33,1155000,19.33
2014-06-16,19.57,19.84,19.26,19.52,1895900,19.52
2014-06-13,19.40,19.76,19.19,19.54,689000,19.54
2014-06-12,19.45,19.75,19.25,19.36,853200,19.36
2014-06-11,19.69,19.83,18.51,19.45,766200,19.45
2014-06-10,19.43,19.94,18.75,19.80,1158700,19.80
2014-06-09,18.48,19.67,18.30,19.50,1298800,19.50
2014-06-06,18.44,18.60,18.31,18.48,545800,18.48
2014-06-05,18.36,18.39,18.14,18.34,1185000,18.34
2014-06-04,18.12,18.36,17.78,18.28,882400,18.28
2014-06-03,18.17,18.25,17.94,18.18,450500,18.18
2014-06-02,18.18,18.38,17.96,18.19,288200,18.19
2014-05-30,18.31,18.40,17.94,18.22,509800,18.22
2014-05-29,17.88,18.34,17.64,18.26,544200,18.26
2014-05-28,18.64,18.64,17.83,18.00,487500,18.00
2014-05-27,17.82,18.77,17.42,18.72,3891800,18.72
2014-05-23,18.03,18.29,17.99,18.04,322300,18.04
2014-05-22,17.93,18.22,17.87,18.02,377300,18.02
2014-05-21,17.98,18.24,17.84,17.93,183700,17.93
2014-05-20,17.88,18.18,17.77,17.97,279400,17.97
2014-05-19,17.64,18.00,17.53,17.91,132500,17.91
2014-05-16,17.95,17.95,17.33,17.66,184300,17.66
2014-05-15,18.28,18.60,17.85,17.99,286800,17.99
2014-05-14,18.48,18.87,18.13,18.35,403500,18.35
2014-05-13,18.56,18.78,18.36,18.46,379200,18.46
2014-05-12,18.36,18.73,18.31,18.51,232000,18.51
2014-05-09,18.15,18.40,18.10,18.30,136300,18.30
2014-05-08,18.11,18.84,16.80,18.32,776200,18.32
2014-05-07,19.06,19.20,18.82,19.01,147700,19.01
2014-05-06,19.17,19.33,18.81,19.12,207300,19.12
2014-05-05,19.69,19.69,19.06,19.17,112500,19.17
2014-05-02,19.94,20.25,19.63,19.76,128000,19.76
2014-05-01,20.37,20.49,19.76,19.99,104500,19.99
2014-04-30,20.55,20.60,20.35,20.43,82100,20.43
2014-04-29,20.40,20.85,20.30,20.66,79400,20.66
2014-04-28,20.56,20.62,20.25,20.35,105000,20.35
2014-04-25,20.64,20.84,20.08,20.45,80200,20.45
2014-04-24,20.75,21.00,20.64,20.71,107000,20.71
2014-04-23,20.65,20.90,20.53,20.65,119300,20.65
2014-04-22,20.43,20.80,20.27,20.63,83400,20.63
2014-04-21,20.35,20.42,20.21,20.38,25800,20.38
2014-04-17,20.36,20.52,20.25,20.35,61600,20.35
2014-04-16,20.57,20.81,20.38,20.43,102300,20.43
2014-04-15,20.46,20.67,20.16,20.48,57000,20.48
2014-04-14,20.40,20.88,20.33,20.48,80800,20.48
2014-04-11,20.34,20.50,20.16,20.28,136400,20.28
2014-04-10,20.75,20.87,20.33,20.50,124700,20.50
2014-04-09,20.81,20.96,20.64,20.82,253900,20.82
2014-04-08,20.36,20.87,20.24,20.81,95500,20.81
2014-04-07,20.51,20.67,20.29,20.38,103800,20.38
2014-04-04,20.61,20.70,20.35,20.57,121100,20.57
2014-04-03,20.55,20.75,20.30,20.48,136700,20.48
2014-04-02,20.59,20.79,20.37,20.46,167800,20.46
2014-04-01,20.41,20.82,19.92,20.50,133700,20.50
2014-03-31,20.35,20.68,20.04,20.33,164300,20.33
2014-03-28,20.01,20.65,20.01,20.43,192300,20.43
2014-03-27,19.58,20.42,19.48,20.05,136100,20.05
2014-03-26,20.10,20.40,19.57,19.63,107000,19.63
2014-03-25,19.83,20.58,19.83,19.99,174900,19.99
2014-03-24,19.89,20.01,19.06,19.75,161000,19.75
2014-03-21,20.13,20.80,19.77,19.87,1234500,19.87
2014-03-20,19.91,20.22,19.62,20.11,221100,20.11
2014-03-19,19.99,20.22,19.78,20.00,184600,20.00
2014-03-18,20.01,20.25,19.89,19.99,261700,19.99
2014-03-17,19.75,20.25,19.74,19.95,244500,19.95
2014-03-14,19.61,19.89,19.50,19.70,176900,19.70
2014-03-13,19.63,19.92,19.34,19.69,165700,19.69
2014-03-12,19.31,19.62,18.78,19.55,213900,19.55
2014-03-11,19.30,19.80,19.15,19.36,401000,19.36
2014-03-10,19.54,19.87,19.19,19.33,204300,19.33
2014-03-07,19.37,19.38,18.50,19.25,543900,19.25
2014-03-06,19.47,20.75,19.47,19.89,306200,19.89
2014-03-05,19.68,19.77,19.19,19.40,180800,19.40
2014-03-04,19.80,20.29,19.39,19.73,329700,19.73
2014-03-03,20.29,20.29,19.28,19.63,326600,19.63
2014-02-28,20.61,21.00,20.05,20.32,102300,20.32
2014-02-27,19.98,20.67,19.98,20.55,229100,20.55
2014-02-26,20.17,20.23,19.98,20.04,212900,20.04
2014-02-25,19.91,20.36,19.91,20.25,121100,20.25
2014-02-24,20.14,20.22,19.83,19.90,145600,19.90
2014-02-21,20.36,20.36,20.06,20.12,129800,20.12
2014-02-20,20.09,20.73,20.05,20.25,138300,20.25
2014-02-19,19.39,20.62,19.02,20.06,175300,20.06
2014-02-18,19.53,19.53,18.95,19.47,331000,19.47
2014-02-14,19.43,19.43,18.84,19.25,194500,19.25
2014-02-13,18.91,19.47,18.88,19.39,91700,19.39
2014-02-12,19.07,19.22,18.88,18.97,107600,18.97
2014-02-11,19.06,19.15,18.63,19.11,77600,19.11
2014-02-10,18.70,19.15,18.28,19.08,228300,19.08
2014-02-07,18.93,19.54,18.25,18.66,212200,18.66
2014-02-06,19.25,19.25,18.66,18.86,242300,18.86
2014-02-05,19.36,19.45,18.83,19.26,63500,19.26
2014-02-04,19.00,19.71,18.85,19.51,167700,19.51
2014-02-03,19.25,19.50,18.57,18.95,93900,18.95
2014-01-31,18.98,19.27,18.61,19.24,111100,19.24
2014-01-30,19.24,19.40,19.10,19.26,76100,19.26
2014-01-29,19.11,19.32,18.68,19.12,129400,19.12
2014-01-28,19.03,19.50,18.96,19.24,246800,19.24
2014-01-27,18.97,19.39,18.89,19.01,161900,19.01
2014-01-24,18.70,19.06,18.65,19.00,129100,19.00
2014-01-23,18.85,19.44,18.46,18.79,305600,18.79
2014-01-22,18.65,18.84,18.37,18.81,193700,18.81
2014-01-21,18.63,19.50,18.20,18.58,888600,18.58
2014-01-17,18.16,18.57,18.02,18.45,79400,18.45
2014-01-16,18.07,18.34,17.95,18.24,354600,18.24
2014-01-15,17.89,18.50,17.80,18.08,430300,18.08
2014-01-14,17.87,18.25,17.80,17.88,88300,17.88
2014-01-13,17.92,17.95,17.56,17.84,129700,17.84
2014-01-10,18.21,18.21,17.71,17.93,122200,17.93
2014-01-09,17.85,18.10,17.55,17.85,398700,17.85
2014-01-08,17.59,17.90,17.12,17.83,63400,17.83
2014-01-07,17.75,17.98,17.49,17.66,64300,17.66
2014-01-06,17.48,17.79,16.94,17.63,78400,17.63
2014-01-03,17.32,17.35,16.92,17.07,59700,17.07
2014-01-02,16.97,17.47,16.92,17.34,68900,17.34
2013-12-31,17.17,17.51,16.72,16.96,66500,16.96
2013-12-30,17.30,17.43,16.69,17.07,112200,17.07
2013-12-27,16.96,17.68,16.91,17.36,143700,17.36
2013-12-26,17.21,17.50,16.75,16.86,99900,16.86
2013-12-24,17.85,18.06,16.30,17.09,171100,17.09
2013-12-23,17.92,17.98,17.58,17.77,225600,17.77
2013-12-20,17.56,17.90,16.83,17.90,3689300,17.90
2013-12-19,17.31,17.63,17.31,17.50,127700,17.50
2013-12-18,17.38,17.64,17.10,17.55,207400,17.55
2013-12-17,16.49,17.67,15.97,17.40,202700,17.40
2013-12-16,15.75,16.56,15.75,16.44,152000,16.44
2013-12-13,16.34,16.61,15.77,15.89,46300,15.89
2013-12-12,16.01,16.96,15.75,16.39,142000,16.39
2013-12-11,16.84,17.00,15.75,15.97,142600,15.97
2013-12-10,16.87,17.42,16.36,16.47,102600,16.47
2013-12-09,16.71,17.17,16.33,16.61,119700,16.61
2013-12-06,17.18,17.64,16.41,17.11,53800,17.11
2013-12-05,17.69,17.79,16.62,16.92,63200,16.92
2013-12-04,17.56,17.75,17.24,17.40,90800,17.40
2013-12-03,16.82,17.54,16.80,17.52,91000,17.52
2013-12-02,17.40,17.91,16.75,17.52,174300,17.52
2013-11-29,16.75,17.60,16.37,17.38,19100,17.38
2013-11-27,16.60,17.50,16.60,17.35,53100,17.35
2013-11-26,16.27,16.65,15.82,16.49,51100,16.49
2013-11-25,16.25,17.04,16.00,16.40,86100,16.40
2013-11-22,17.49,17.76,16.22,16.31,157500,16.31
2013-11-21,17.99,18.65,16.80,17.45,417600,17.45
2013-11-20,16.20,18.73,16.01,17.66,460000,17.66
2013-11-19,15.52,16.35,15.45,16.24,231400,16.24
2013-11-18,16.05,16.38,15.38,15.78,190200,15.78
2013-11-15,15.80,17.50,14.80,16.11,878800,16.11
2013-11-14,14.00,15.96,13.74,15.86,8285400,15.86
