Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,42.48,42.62,42.37,42.39,27200,42.39
2014-06-18,41.90,42.15,41.69,42.07,19600,42.07
2014-06-17,41.93,42.14,41.81,42.08,28500,42.08
2014-06-16,41.89,41.94,41.69,41.74,30300,41.74
2014-06-13,41.27,41.39,41.12,41.31,22700,41.31
2014-06-12,41.68,41.69,41.25,41.41,29100,41.41
2014-06-11,40.49,40.57,40.33,40.48,29600,40.48
2014-06-10,40.91,40.97,40.63,40.72,50800,40.72
2014-06-09,42.51,42.84,42.46,42.76,76100,42.76
2014-06-06,42.99,43.10,42.86,42.94,32100,42.94
2014-06-05,43.01,43.29,43.00,43.29,26800,43.29
2014-06-04,41.91,42.14,41.78,42.07,22200,42.07
2014-06-03,41.30,41.78,41.30,41.61,28800,41.61
2014-06-02,42.76,42.82,42.57,42.72,20500,42.72
2014-05-30,42.49,42.70,42.20,42.41,51900,42.41
2014-05-29,41.89,42.24,41.84,42.18,38200,42.18
2014-05-28,41.52,41.63,41.30,41.58,34000,41.58
2014-05-27,42.09,42.09,41.58,41.84,48300,41.84
2014-05-23,42.92,43.18,42.86,43.15,36400,43.15
2014-05-22,42.70,42.79,42.62,42.72,23700,42.72
2014-05-21,41.79,41.97,41.69,41.89,31200,41.89
2014-05-20,41.20,41.35,41.05,41.12,34900,41.12
2014-05-19,42.51,42.74,42.35,42.74,46000,42.74
2014-05-16,41.48,41.86,41.46,41.79,26700,41.79
2014-05-15,40.61,40.69,40.39,40.51,22000,40.51
2014-05-14,40.69,40.81,40.54,40.58,20600,40.58
2014-05-13,40.33,40.61,40.27,40.59,20500,40.59
2014-05-12,40.39,40.41,40.18,40.35,23000,40.35
2014-05-09,39.67,39.85,39.57,39.62,14700,39.62
2014-05-08,40.77,40.90,40.68,40.68,19600,40.68
2014-05-07,40.61,41.13,40.60,41.04,47000,41.04
2014-05-06,39.88,40.17,39.74,39.99,21300,39.99
2014-05-05,39.94,39.95,39.68,39.85,22200,39.85
2014-05-02,39.90,40.04,39.70,39.88,23700,39.88
2014-05-01,39.22,39.36,39.15,39.29,17600,39.29
2014-04-30,39.17,39.28,39.00,39.28,34200,39.28
2014-04-29,41.29,41.45,41.13,41.19,22400,41.19
2014-04-28,40.02,40.14,39.83,40.05,14500,40.05
2014-04-25,39.92,40.07,39.80,40.07,15200,40.07
2014-04-24,40.56,40.65,40.35,40.42,22600,40.42
2014-04-23,40.14,40.27,40.05,40.05,27800,40.05
2014-04-22,40.63,41.10,40.63,41.01,101700,41.01
2014-04-21,40.88,40.88,40.43,40.46,38700,40.46
2014-04-17,40.85,41.00,40.74,40.91,8100,40.91
2014-04-16,40.76,40.92,40.61,40.80,15500,40.80
2014-04-15,40.60,40.68,40.26,40.47,30400,40.47
2014-04-14,40.45,40.65,40.18,40.43,12000,40.43
2014-04-11,39.92,40.09,39.75,39.98,36200,39.98
2014-04-10,40.63,40.86,40.41,40.50,55900,40.50
2014-04-09,40.80,40.80,40.30,40.57,32000,40.57
2014-04-08,40.38,40.67,40.38,40.51,27800,40.51
2014-04-07,40.12,40.45,40.05,40.43,46200,40.43
2014-04-04,39.59,39.93,39.38,39.53,36100,39.53
2014-04-03,39.18,39.21,38.91,39.17,32000,39.17
2014-04-02,40.05,40.26,39.88,40.13,19700,40.13
2014-04-01,39.41,39.72,39.37,39.69,43300,39.69
2014-03-31,38.39,38.47,38.25,38.31,36700,38.31
2014-03-28,37.84,38.23,37.79,37.91,47400,37.91
2014-03-27,38.49,38.90,38.49,38.78,34900,38.78
2014-03-26,38.72,38.72,38.45,38.56,24000,38.56
2014-03-25,38.13,38.55,38.13,38.39,45900,38.39
2014-03-24,37.70,37.93,37.55,37.88,54900,37.88
2014-03-21,38.45,38.89,38.45,38.70,68300,38.70
2014-03-20,36.39,36.61,36.25,36.51,54600,36.51
2014-03-19,36.71,37.27,36.65,36.81,102000,36.81
2014-03-18,35.40,35.77,35.07,35.54,92600,35.54
2014-03-17,33.39,33.65,33.39,33.52,58100,33.52
2014-03-14,31.80,32.40,31.80,32.20,48500,32.20
2014-03-13,31.87,32.04,31.43,31.51,82700,31.51
2014-03-12,32.00,32.13,31.90,32.04,134900,32.04
2014-03-11,33.27,33.80,32.94,33.00,165100,33.00
2014-03-10,33.94,34.16,33.64,34.12,56200,34.12
2014-03-07,34.47,34.47,34.08,34.19,46800,34.19
2014-03-06,35.01,35.19,34.94,34.98,24200,34.98
2014-03-05,34.70,35.01,34.67,34.90,22900,34.90
2014-03-04,35.54,35.69,35.45,35.47,54300,35.47
2014-03-03,35.71,36.10,35.71,36.05,64000,36.05
2014-02-28,35.38,35.79,35.38,35.47,38500,35.47
2014-02-27,35.21,35.35,35.09,35.09,25800,35.09
2014-02-26,35.39,35.39,35.12,35.15,22700,35.15
2014-02-25,35.50,35.51,35.10,35.15,28700,35.15
2014-02-24,35.88,36.02,35.65,35.75,22400,35.75
2014-02-21,35.99,36.32,35.99,36.15,35900,36.15
2014-02-20,36.30,36.48,36.10,36.48,13000,36.48
2014-02-19,36.65,36.80,36.46,36.58,48300,36.58
2014-02-18,36.37,36.43,36.22,36.31,13700,36.31
2014-02-14,35.99,36.34,35.96,36.22,18100,36.22
2014-02-13,35.74,36.25,35.74,36.14,32200,36.14
2014-02-12,36.29,36.41,35.82,35.85,47600,35.85
2014-02-11,36.08,36.42,36.08,36.29,10200,36.29
2014-02-10,36.15,36.15,35.69,35.96,24700,35.96
2014-02-07,35.87,36.25,35.87,36.18,35500,36.18
2014-02-06,34.56,34.88,34.48,34.88,29000,34.88
2014-02-05,35.45,35.52,35.15,35.35,33200,35.35
2014-02-04,36.60,37.06,36.60,36.80,32800,36.80
2014-02-03,36.71,36.80,35.92,35.93,53700,35.93
2014-01-31,36.67,36.85,36.48,36.64,23900,36.64
2014-01-30,37.05,37.05,36.75,36.76,26800,36.76
2014-01-29,36.97,37.04,36.60,36.69,51100,36.69
2014-01-28,36.34,36.59,36.26,36.53,45200,36.53
2014-01-27,38.90,39.51,38.67,38.78,44100,38.78
2014-01-24,38.41,38.60,38.26,38.35,74400,38.35
2014-01-23,38.70,38.70,38.21,38.35,30900,38.35
2014-01-22,38.21,38.47,38.07,38.43,65100,38.43
2014-01-21,37.71,37.73,37.25,37.35,39600,37.35
2014-01-17,37.64,37.69,37.16,37.40,31300,37.40
2014-01-16,38.29,38.35,37.76,37.90,20200,37.90
2014-01-15,38.65,38.67,38.37,38.50,30900,38.50
2014-01-14,38.17,38.28,38.06,38.24,27200,38.24
2014-01-13,39.08,39.30,38.52,38.60,35800,38.60
2014-01-10,39.15,39.15,38.90,39.06,52500,39.06
2014-01-09,37.51,37.61,37.23,37.39,31300,37.39
2014-01-08,36.92,36.99,36.51,36.64,65200,36.64
2014-01-07,36.77,36.85,36.56,36.63,36000,36.63
2014-01-06,36.48,36.48,36.18,36.21,31700,36.21
2014-01-03,36.56,36.56,36.19,36.27,33700,36.27
2014-01-02,36.25,36.25,35.70,35.74,51000,35.74
2013-12-31,36.30,36.36,36.12,36.25,32200,36.25
2013-12-30,36.09,36.38,36.05,36.15,30300,36.15
2013-12-27,36.18,36.32,35.91,36.05,42700,36.05
2013-12-26,35.99,35.99,35.49,35.69,17000,35.69
2013-12-24,35.86,36.05,35.64,35.69,23500,35.69
2013-12-23,35.96,35.97,35.59,35.77,26600,35.77
2013-12-20,35.68,35.81,35.37,35.58,40200,35.58
2013-12-19,35.93,35.94,35.61,35.74,18600,35.74
2013-12-18,36.39,36.54,35.87,36.38,18800,36.38
2013-12-17,36.51,36.51,36.13,36.20,30400,36.20
2013-12-16,36.50,36.74,36.28,36.49,32900,36.49
