Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,75.90,76.23,75.08,75.50,543300,75.50
2014-06-18,75.81,75.87,75.05,75.58,515100,75.58
2014-06-17,75.75,76.17,75.35,75.70,440000,75.70
2014-06-16,75.79,76.56,75.67,75.75,310600,75.75
2014-06-13,76.69,76.77,75.75,75.99,388600,75.99
2014-06-12,77.15,77.15,76.04,76.26,319200,76.26
2014-06-11,77.13,77.77,77.13,77.38,370800,77.38
2014-06-10,77.11,77.65,77.11,77.46,304600,77.46
2014-06-09,77.17,77.90,77.11,77.55,576100,77.55
2014-06-06,76.59,77.52,76.59,77.35,459700,77.35
2014-06-05,76.15,76.63,75.36,76.49,485000,76.49
2014-06-04,76.45,76.45,75.51,75.73,854500,75.73
2014-06-03,76.82,77.14,74.95,75.56,1754700,75.56
2014-06-02,77.25,77.49,76.73,77.18,540700,77.18
2014-05-30,77.11,77.42,76.92,77.25,520400,77.25
2014-05-29,77.28,77.59,76.68,77.00,373700,77.00
2014-05-28,77.09,77.35,76.60,76.96,518000,76.96
2014-05-27,79.30,79.32,77.01,77.44,505400,77.02
2014-05-23,76.01,76.81,75.91,76.75,413600,76.33
2014-05-22,76.00,76.16,75.73,76.03,254300,75.62
2014-05-21,75.45,76.06,75.43,75.72,338700,75.31
2014-05-20,75.20,75.52,75.03,75.24,606700,74.83
2014-05-19,74.91,75.53,74.77,75.41,288700,75.00
2014-05-16,74.78,75.28,74.41,75.24,562500,74.83
2014-05-15,75.17,75.37,74.32,74.89,554900,74.48
2014-05-14,75.88,76.22,75.43,75.57,1402900,75.16
2014-05-13,75.75,76.13,75.49,75.89,559400,75.48
2014-05-12,75.13,75.95,75.08,75.85,364300,75.44
2014-05-09,74.61,74.92,74.17,74.84,438100,74.43
2014-05-08,74.70,75.43,74.53,74.94,554900,74.53
2014-05-07,73.91,74.89,73.76,74.87,905900,74.46
2014-05-06,73.67,74.19,73.32,73.71,592600,73.31
2014-05-05,73.13,73.68,72.74,73.55,480900,73.15
2014-05-02,73.55,74.11,73.22,73.37,727000,72.97
2014-05-01,73.34,74.10,73.02,73.48,767400,73.08
2014-04-30,72.77,73.56,72.72,73.52,793200,73.12
2014-04-29,73.06,73.48,71.99,72.64,574800,72.25
2014-04-28,72.03,72.48,70.71,71.38,884800,70.99
2014-04-25,72.01,72.19,71.35,71.62,448300,71.23
2014-04-24,73.02,73.27,71.60,72.14,497900,71.75
2014-04-23,72.90,73.08,72.34,72.76,301400,72.37
2014-04-22,72.46,73.26,72.46,72.75,387900,72.36
2014-04-21,72.55,72.92,71.90,72.37,332500,71.98
2014-04-17,71.39,72.65,71.02,72.22,423800,71.83
2014-04-16,70.93,71.42,70.64,71.41,299000,71.02
2014-04-15,69.69,70.57,69.02,70.47,566000,70.09
2014-04-14,70.00,70.20,68.63,69.34,486700,68.96
2014-04-11,69.67,70.86,69.37,69.58,479600,69.20
2014-04-10,72.20,72.38,69.91,69.91,551500,69.53
2014-04-09,71.67,72.38,71.45,72.34,459400,71.95
2014-04-08,71.25,71.58,70.39,71.46,479900,71.07
2014-04-07,72.36,72.55,70.90,71.35,550800,70.96
2014-04-04,74.61,74.79,72.26,72.43,773000,72.04
2014-04-03,75.03,75.26,73.30,74.19,727000,73.79
2014-04-02,73.83,75.20,73.76,74.87,491700,74.46
2014-04-01,73.25,73.96,73.07,73.82,626300,73.42
2014-03-31,73.30,73.83,72.94,73.16,579000,72.76
2014-03-28,72.22,72.80,71.78,71.88,287900,71.49
2014-03-27,72.29,73.01,71.84,71.96,434400,71.57
2014-03-26,73.66,73.92,72.29,72.29,568900,71.90
2014-03-25,73.42,73.65,72.67,73.17,536300,72.77
2014-03-24,73.84,73.87,72.47,72.63,441600,72.24
2014-03-21,75.11,75.20,73.46,73.55,1461800,73.15
2014-03-20,73.93,74.49,73.64,74.30,495400,73.90
2014-03-19,73.87,74.90,73.54,74.06,472300,73.66
2014-03-18,73.57,74.24,73.32,73.91,329900,73.51
2014-03-17,72.28,73.82,72.20,73.59,515000,73.19
2014-03-14,73.06,73.58,72.51,72.56,690900,72.17
2014-03-13,74.37,74.66,73.01,73.24,760800,72.84
2014-03-12,73.98,74.26,73.61,74.14,742900,73.74
2014-03-11,75.03,75.33,74.41,74.62,475600,74.22
2014-03-10,74.51,75.20,74.02,75.03,525900,74.62
2014-03-07,74.50,75.14,74.37,74.72,477000,74.31
2014-03-06,74.70,75.09,74.49,74.81,703900,73.99
2014-03-05,74.75,75.07,74.31,74.56,334500,73.74
2014-03-04,74.71,75.30,74.34,74.70,531400,73.88
2014-03-03,73.03,73.80,72.61,73.79,481400,72.98
2014-02-28,74.05,74.23,73.28,73.82,615900,73.01
2014-02-27,72.48,74.19,72.48,74.07,1277900,73.25
2014-02-26,72.63,72.95,72.12,72.47,677300,71.67
