Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,17.90,17.96,17.73,17.87,39500,17.87
2014-06-18,17.62,17.89,17.51,17.79,23700,17.79
2014-06-17,17.69,18.01,17.65,17.68,35200,17.68
2014-06-16,17.57,17.83,17.49,17.67,27700,17.67
2014-06-13,18.20,18.29,17.63,17.84,20000,17.84
2014-06-12,18.23,18.23,17.96,18.12,28200,18.12
2014-06-11,18.44,18.47,18.25,18.33,23700,18.33
2014-06-10,18.67,18.79,18.41,18.62,28300,18.62
2014-06-09,18.30,18.92,18.30,18.84,21000,18.84
2014-06-06,18.45,18.65,18.11,18.57,31200,18.57
2014-06-05,17.46,18.35,17.32,18.26,29800,18.26
2014-06-04,17.23,17.40,17.23,17.37,37500,17.37
2014-06-03,17.44,17.52,17.25,17.25,35400,17.25
2014-06-02,17.89,17.90,17.51,17.57,18400,17.57
2014-05-30,17.86,18.10,17.74,17.89,27900,17.89
2014-05-29,17.88,17.92,17.70,17.77,9400,17.77
2014-05-28,17.92,17.92,17.67,17.73,13100,17.73
2014-05-27,17.78,18.10,17.44,17.99,30300,17.99
2014-05-23,17.30,17.60,17.22,17.57,25900,17.57
2014-05-22,17.01,17.33,16.99,17.22,16700,17.22
2014-05-21,17.29,17.47,16.90,17.01,30300,17.01
2014-05-20,17.47,17.47,16.95,17.17,47200,17.17
2014-05-19,17.50,17.74,17.32,17.56,17400,17.56
2014-05-16,17.31,17.59,17.19,17.53,20200,17.53
2014-05-15,17.30,17.48,17.10,17.36,31300,17.36
2014-05-14,17.99,17.99,17.41,17.43,41800,17.43
2014-05-13,18.82,18.82,17.96,17.96,39200,17.96
2014-05-12,18.23,19.19,18.23,18.95,34000,18.95
2014-05-09,17.51,18.24,17.47,18.13,27200,18.13
2014-05-08,18.54,18.54,17.59,17.66,24100,17.66
2014-05-07,17.94,18.05,17.74,18.03,65100,18.03
2014-05-06,18.13,18.30,17.92,18.00,46800,17.94
2014-05-05,18.21,18.31,18.00,18.27,26900,18.21
2014-05-02,18.54,18.67,18.30,18.31,24200,18.25
2014-05-01,18.26,18.68,17.85,18.51,54300,18.45
2014-04-30,18.35,18.51,17.81,18.36,44700,18.30
2014-04-29,18.94,19.00,18.01,18.38,20800,18.32
2014-04-28,18.75,19.21,18.41,18.70,18600,18.64
2014-04-25,18.70,19.02,18.37,18.60,36800,18.54
2014-04-24,19.19,19.19,18.53,18.86,32200,18.80
2014-04-23,19.20,19.20,18.98,18.99,19400,18.93
2014-04-22,19.30,19.40,19.09,19.25,14400,19.19
2014-04-21,19.28,19.34,19.08,19.24,11900,19.18
2014-04-17,19.10,19.36,19.05,19.20,19800,19.14
2014-04-16,19.27,19.39,18.96,19.15,11700,19.09
2014-04-15,18.76,19.20,18.50,19.08,35100,19.02
2014-04-14,18.42,18.76,18.37,18.64,32900,18.58
2014-04-11,18.20,18.60,18.19,18.35,24900,18.29
2014-04-10,19.38,19.39,18.32,18.45,34700,18.39
2014-04-09,19.18,19.39,19.07,19.37,19300,19.31
2014-04-08,18.71,19.32,18.48,19.23,43900,19.17
2014-04-07,18.21,18.59,18.11,18.53,27500,18.47
2014-04-04,18.84,18.98,17.86,18.21,35700,18.15
2014-04-03,19.09,19.12,18.66,18.80,19800,18.74
2014-04-02,19.17,19.21,18.86,19.07,13000,19.01
2014-04-01,19.15,19.30,18.89,19.18,28000,19.12
2014-03-31,18.81,19.20,18.63,19.05,31200,18.99
2014-03-28,18.50,18.80,18.38,18.76,19500,18.70
2014-03-27,18.47,18.47,18.21,18.34,16800,18.28
2014-03-26,19.02,19.02,18.48,18.51,32700,18.45
2014-03-25,18.99,19.00,18.68,18.83,12900,18.77
2014-03-24,18.92,18.96,18.65,18.87,18800,18.81
2014-03-21,19.10,19.12,18.78,18.81,61800,18.75
2014-03-20,18.76,19.32,18.57,18.99,39400,18.93
2014-03-19,18.90,18.94,18.75,18.85,23000,18.79
2014-03-18,18.98,18.99,18.70,18.86,28200,18.80
