Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,320.66,320.66,320.66,320.66,000,320.66
2014-06-18,319.50,320.66,319.50,320.66,400,320.66
2014-06-17,328.00,328.00,323.34,323.34,600,323.34
2014-06-16,318.22,320.01,318.22,320.01,300,320.01
2014-06-13,319.00,319.00,319.00,319.00,000,319.00
2014-06-12,319.26,319.26,318.00,319.00,7500,319.00
2014-06-11,321.16,321.16,321.16,321.16,100,321.16
2014-06-10,326.00,326.28,323.42,326.00,6800,326.00
2014-06-09,323.47,325.00,323.47,324.80,500,324.80
2014-06-06,325.00,328.13,323.01,323.71,3500,323.71
2014-06-05,320.00,320.75,320.00,320.75,900,320.75
2014-06-04,320.00,320.03,320.00,320.03,3300,320.03
2014-06-03,321.10,321.10,316.33,320.00,10900,320.00
2014-06-02,315.20,322.39,314.83,322.39,4700,322.39
2014-05-30,320.00,325.74,315.51,317.02,9200,317.02
2014-05-29,319.40,325.83,317.39,325.25,1500,325.25
2014-05-28,317.46,318.00,314.00,315.00,1800,315.00
2014-05-27,305.00,305.00,305.00,305.00,300,305.00
2014-05-23,310.00,310.00,310.00,310.00,000,310.00
2014-05-22,300.00,312.00,300.00,310.00,700,310.00
2014-05-21,301.61,310.00,301.35,310.00,17000,310.00
2014-05-20,300.00,309.00,300.00,306.59,2000,306.59
2014-05-19,296.00,296.00,290.00,290.00,200,290.00
2014-05-16,285.00,285.00,285.00,285.00,40100,285.00
