Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,11.82,11.84,11.81,11.84,135000,11.84
2014-06-18,11.82,11.83,11.76,11.83,163900,11.83
2014-06-17,11.82,11.84,11.80,11.84,234300,11.84
2014-06-16,11.79,11.84,11.76,11.82,174600,11.82
2014-06-13,11.75,11.81,11.74,11.81,200700,11.81
2014-06-12,11.68,11.77,11.66,11.76,209700,11.76
2014-06-11,11.67,11.72,11.67,11.71,105000,11.71
2014-06-10,11.74,11.78,11.73,11.77,181600,11.71
2014-06-09,11.75,11.76,11.70,11.73,137100,11.67
2014-06-06,11.71,11.74,11.71,11.74,190800,11.68
2014-06-05,11.72,11.74,11.70,11.72,145400,11.66
2014-06-04,11.71,11.75,11.71,11.74,144700,11.68
2014-06-03,11.72,11.74,11.71,11.72,249100,11.66
2014-06-02,11.77,11.78,11.71,11.73,127900,11.67
2014-05-30,11.74,11.79,11.74,11.78,143900,11.72
2014-05-29,11.78,11.79,11.74,11.77,131200,11.71
2014-05-28,11.71,11.82,11.71,11.78,190300,11.72
2014-05-27,11.72,11.73,11.69,11.72,256700,11.66
2014-05-23,11.77,11.77,11.71,11.71,103200,11.65
2014-05-22,11.72,11.79,11.72,11.79,162000,11.73
2014-05-21,11.68,11.72,11.68,11.71,166400,11.65
2014-05-20,11.67,11.71,11.66,11.68,183000,11.62
2014-05-19,11.66,11.70,11.63,11.70,320200,11.64
2014-05-16,11.74,11.75,11.66,11.68,207200,11.62
2014-05-15,11.73,11.74,11.69,11.72,145300,11.66
2014-05-14,11.74,11.76,11.73,11.74,138400,11.68
2014-05-13,11.74,11.77,11.71,11.77,136600,11.71
2014-05-12,11.80,11.82,11.78,11.81,196500,11.69
2014-05-09,11.78,11.83,11.76,11.82,187000,11.70
2014-05-08,11.79,11.81,11.78,11.79,130200,11.67
2014-05-07,11.78,11.84,11.76,11.82,271000,11.70
2014-05-06,11.72,11.78,11.72,11.78,134700,11.66
2014-05-05,11.75,11.76,11.73,11.74,195800,11.62
2014-05-02,11.76,11.79,11.75,11.76,216600,11.64
2014-05-01,11.75,11.80,11.75,11.76,196200,11.64
