Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,20.55,20.57,20.39,20.42,8200,20.42
2014-06-18,20.52,20.55,20.42,20.55,8600,20.55
2014-06-17,20.49,20.58,20.49,20.52,14400,20.52
2014-06-16,20.59,20.59,20.48,20.58,8000,20.58
2014-06-13,20.70,20.95,20.59,20.59,12900,20.59
2014-06-12,20.93,20.94,20.50,20.61,17100,20.61
2014-06-11,21.00,21.00,20.78,20.91,11300,20.91
2014-06-10,20.76,20.97,20.74,20.92,35300,20.92
2014-06-09,20.48,21.10,20.48,21.10,18200,20.68
2014-06-06,20.36,20.45,20.36,20.43,5500,20.03
2014-06-05,20.37,20.42,20.35,20.42,9700,20.02
2014-06-04,20.38,20.39,20.27,20.36,6600,19.96
2014-06-03,20.27,20.37,20.27,20.37,25000,19.97
2014-06-02,20.25,20.29,20.22,20.23,8900,19.83
2014-05-30,20.28,20.28,20.24,20.24,7000,19.84
2014-05-29,20.26,20.34,20.22,20.27,16200,19.87
2014-05-28,20.27,20.28,20.18,20.24,8900,19.84
2014-05-27,20.27,20.28,20.23,20.23,14000,19.83
2014-05-23,20.17,20.32,20.16,20.32,9300,19.92
2014-05-22,20.10,20.22,20.09,20.22,9100,19.82
2014-05-21,20.11,20.18,20.05,20.08,9100,19.68
2014-05-20,20.18,20.18,20.05,20.09,11900,19.69
2014-05-19,20.32,20.32,20.15,20.15,9200,19.75
2014-05-16,20.29,20.39,20.21,20.23,15100,19.83
2014-05-15,20.37,20.44,20.27,20.31,13400,19.91
2014-05-14,20.30,20.37,20.30,20.36,11500,19.96
2014-05-13,20.36,20.47,20.33,20.33,11900,19.93
2014-05-12,20.45,20.45,20.35,20.40,12000,20.00
2014-05-09,20.44,20.44,20.35,20.39,9400,19.99
2014-05-08,20.36,20.44,20.36,20.40,10800,20.00
2014-05-07,20.31,20.42,20.28,20.36,10600,19.96
2014-05-06,20.34,20.39,20.26,20.31,11400,19.91
2014-05-05,20.34,20.38,20.25,20.35,31000,19.95
2014-05-02,20.30,20.34,20.25,20.30,11000,19.90
2014-05-01,20.21,20.32,20.21,20.26,22400,19.86
2014-04-30,20.31,20.31,20.19,20.24,15100,19.84
2014-04-29,20.37,20.38,20.25,20.28,8900,19.88
2014-04-28,20.38,20.42,20.31,20.34,9000,19.94
2014-04-25,20.32,20.40,20.30,20.34,9300,19.94
2014-04-24,20.29,20.35,20.24,20.30,26500,19.90
2014-04-23,20.20,20.43,20.20,20.32,9100,19.92
2014-04-22,20.26,20.38,20.20,20.22,41900,19.82
2014-04-21,20.14,20.29,20.14,20.20,18900,19.80
2014-04-17,20.31,20.35,20.05,20.07,7500,19.67
2014-04-16,20.38,20.38,20.19,20.30,12600,19.90
2014-04-15,20.34,20.34,20.15,20.28,7600,19.88
2014-04-14,20.37,20.37,20.23,20.24,7600,19.84
2014-04-11,20.52,20.52,20.15,20.27,15900,19.87
2014-04-10,20.64,20.68,20.47,20.49,15600,20.09
2014-04-09,20.25,20.69,20.25,20.58,12800,20.17
2014-04-08,20.15,20.24,20.09,20.22,11400,19.82
2014-04-07,20.23,20.46,20.21,20.24,48500,19.84
2014-04-04,20.44,20.46,20.23,20.28,47100,19.88
2014-04-03,20.50,20.61,20.32,20.38,45700,19.98
2014-04-02,20.56,20.57,20.49,20.50,10900,20.09
2014-04-01,20.48,20.56,20.40,20.49,37400,20.09
2014-03-31,20.65,20.76,20.37,20.37,28800,19.97
2014-03-28,20.73,20.73,20.23,20.57,13500,20.16
2014-03-27,21.00,21.00,20.60,20.62,18700,20.21
2014-03-26,21.13,21.24,21.00,21.05,16700,20.63
2014-03-25,21.23,21.42,20.90,21.00,26600,20.58
2014-03-24,21.24,21.35,21.15,21.23,10800,20.81
2014-03-21,21.33,21.34,21.14,21.24,29100,20.82
2014-03-20,21.73,21.73,21.08,21.19,27900,20.77
2014-03-19,21.90,21.90,21.58,21.74,23900,21.31
2014-03-18,21.80,22.00,21.80,21.81,12500,21.38
2014-03-17,21.10,21.72,21.10,21.70,24800,21.27
2014-03-14,21.79,21.94,21.69,21.70,33100,21.27
2014-03-13,21.87,21.99,21.73,21.98,18400,21.55
