Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,14.42,14.42,14.30,14.37,65800,14.37
2014-06-18,14.32,14.38,14.25,14.38,78800,14.38
2014-06-17,14.43,14.51,14.28,14.32,30500,14.32
2014-06-16,14.47,14.47,14.35,14.38,21600,14.38
2014-06-13,14.52,14.65,14.42,14.44,43400,14.44
2014-06-12,14.50,14.58,14.40,14.43,48100,14.43
2014-06-11,14.30,14.48,14.29,14.43,90800,14.43
2014-06-10,14.62,14.65,14.56,14.64,82800,14.38
2014-06-09,14.60,14.61,14.54,14.57,28400,14.31
2014-06-06,14.63,14.64,14.58,14.61,25000,14.35
2014-06-05,14.64,14.68,14.55,14.66,35000,14.40
2014-06-04,14.58,14.66,14.56,14.64,44800,14.38
2014-06-03,14.67,14.70,14.57,14.59,53000,14.33
2014-06-02,14.70,14.75,14.65,14.70,33100,14.44
2014-05-30,14.68,14.72,14.66,14.69,43500,14.43
2014-05-29,14.73,14.83,14.65,14.69,26200,14.43
2014-05-28,14.70,14.84,14.65,14.71,40600,14.45
2014-05-27,14.67,14.73,14.65,14.70,19400,14.44
2014-05-23,14.56,14.67,14.56,14.64,27800,14.38
2014-05-22,14.58,14.68,14.58,14.58,26300,14.32
2014-05-21,14.50,14.55,14.50,14.55,23200,14.29
2014-05-20,14.57,14.57,14.43,14.46,57600,14.20
2014-05-19,14.46,14.53,14.44,14.53,30600,14.27
2014-05-16,14.46,14.49,14.44,14.45,38300,14.19
2014-05-15,14.58,14.58,14.45,14.47,32400,14.21
2014-05-14,14.62,14.62,14.54,14.55,28600,14.29
2014-05-13,14.57,14.63,14.57,14.61,24900,14.35
2014-05-12,14.58,14.60,14.56,14.59,18200,14.33
2014-05-09,14.54,14.56,14.51,14.56,27700,14.30
2014-05-08,14.55,14.59,14.53,14.55,27400,14.29
2014-05-07,14.49,14.52,14.46,14.51,22000,14.25
2014-05-06,14.53,14.55,14.42,14.46,19900,14.20
2014-05-05,14.51,14.53,14.47,14.50,40800,14.24
2014-05-02,14.54,14.64,14.49,14.49,16900,14.23
2014-05-01,14.53,14.56,14.42,14.47,29100,14.21
2014-04-30,14.40,14.45,14.38,14.44,30200,14.18
2014-04-29,14.48,14.49,14.39,14.40,45600,14.14
2014-04-28,14.48,14.51,14.37,14.40,34600,14.14
2014-04-25,14.48,14.48,14.39,14.42,17800,14.16
2014-04-24,14.46,14.49,14.41,14.48,20900,14.22
2014-04-23,14.38,14.49,14.38,14.45,31200,14.19
2014-04-22,14.41,14.45,14.39,14.42,27800,14.16
2014-04-21,14.39,14.39,14.32,14.38,26100,14.12
2014-04-17,14.36,14.40,14.32,14.35,43800,14.09
2014-04-16,14.24,14.28,14.20,14.28,27400,14.03
2014-04-15,14.17,14.20,14.07,14.16,24300,13.91
2014-04-14,14.14,14.16,14.09,14.14,36900,13.89
2014-04-11,14.10,14.13,14.06,14.11,33100,13.86
2014-04-10,14.20,14.24,14.07,14.11,32100,13.86
2014-04-09,14.14,14.17,14.10,14.16,39300,13.91
2014-04-08,14.14,14.14,14.01,14.06,68400,13.81
2014-04-07,14.27,14.27,14.10,14.11,35100,13.86
2014-04-04,14.42,14.44,14.20,14.24,99400,13.99
2014-04-03,14.31,14.31,14.21,14.24,46300,13.99
2014-04-02,14.25,14.27,14.22,14.25,40000,14.00
2014-04-01,14.23,14.27,14.16,14.23,53800,13.98
2014-03-31,14.12,14.17,14.12,14.17,31900,13.92
2014-03-28,14.15,14.20,14.08,14.08,59800,13.83
2014-03-27,14.15,14.17,14.08,14.08,24400,13.83
2014-03-26,14.17,14.20,14.10,14.12,33200,13.87
2014-03-25,14.16,14.24,14.12,14.12,37300,13.87
2014-03-24,14.15,14.26,14.11,14.14,31500,13.89
2014-03-21,14.15,14.28,14.12,14.14,70900,13.89
2014-03-20,14.10,14.22,14.10,14.13,53900,13.88
2014-03-19,14.26,14.27,14.07,14.12,64300,13.87
2014-03-18,14.26,14.28,14.18,14.20,59000,13.95
2014-03-17,14.11,14.17,14.11,14.12,33600,13.87
2014-03-14,14.05,14.11,14.02,14.06,74900,13.81
2014-03-13,14.26,14.27,14.06,14.08,51000,13.83
2014-03-12,14.09,14.28,14.06,14.17,131300,13.92
2014-03-11,14.36,14.41,14.33,14.33,31400,13.82
2014-03-10,14.40,14.41,14.29,14.38,21100,13.87
2014-03-07,14.50,14.51,14.31,14.34,29200,13.83
2014-03-06,14.40,14.45,14.37,14.42,22800,13.90
2014-03-05,14.46,14.49,14.37,14.37,18300,13.86
2014-03-04,14.41,14.50,14.41,14.49,30000,13.97
2014-03-03,14.31,14.33,14.20,14.30,18300,13.79
2014-02-28,14.37,14.42,14.34,14.35,31500,13.84
2014-02-27,14.34,14.36,14.28,14.34,43400,13.83
2014-02-26,14.25,14.36,14.24,14.30,42100,13.79
2014-02-25,14.38,14.41,14.29,14.30,35000,13.79
2014-02-24,14.37,14.42,14.33,14.37,35600,13.86
2014-02-21,14.36,14.40,14.28,14.28,30100,13.77
2014-02-20,14.25,14.36,14.25,14.29,33000,13.78
2014-02-19,14.31,14.36,14.25,14.25,36100,13.74
2014-02-18,14.40,14.42,14.33,14.33,31500,13.82
2014-02-14,14.38,14.41,14.31,14.38,27600,13.87
2014-02-13,14.26,14.38,14.25,14.36,32800,13.85
2014-02-12,14.27,14.31,14.20,14.31,39700,13.80
2014-02-11,14.14,14.26,14.14,14.26,17300,13.75
2014-02-10,14.18,14.18,14.05,14.11,33300,13.61
2014-02-07,14.05,14.14,14.04,14.14,34300,13.63
2014-02-06,13.87,13.98,13.87,13.97,24400,13.47
2014-02-05,13.81,13.84,13.71,13.84,27800,13.35
2014-02-04,13.72,13.81,13.71,13.81,30200,13.32
2014-02-03,13.93,13.93,13.68,13.70,28700,13.21
2014-01-31,13.90,13.95,13.83,13.92,26900,13.42
2014-01-30,13.88,13.96,13.88,13.95,19100,13.45
2014-01-29,13.90,13.91,13.80,13.85,47900,13.36
2014-01-28,13.94,13.97,13.92,13.96,36100,13.46
2014-01-27,14.15,14.22,13.83,13.85,93500,13.36
2014-01-24,14.21,14.25,14.06,14.11,36300,13.61
2014-01-23,14.30,14.33,14.19,14.22,55800,13.71
2014-01-22,14.36,14.42,14.33,14.36,25300,13.85
2014-01-21,14.33,14.37,14.31,14.35,30100,13.84
2014-01-17,14.30,14.30,14.25,14.26,15000,13.75
2014-01-16,14.28,14.29,14.26,14.27,22900,13.76
2014-01-15,14.27,14.29,14.25,14.29,15000,13.78
2014-01-14,14.25,14.29,14.22,14.23,44700,13.72
2014-01-13,14.34,14.34,14.16,14.17,34400,13.66
2014-01-10,14.34,14.34,14.25,14.31,36900,13.80
2014-01-09,14.31,14.31,14.23,14.28,53500,13.77
2014-01-08,14.24,14.25,14.15,14.25,38000,13.74
2014-01-07,14.12,14.24,14.08,14.24,75400,13.73
2014-01-06,14.17,14.17,13.98,14.02,67100,13.52
2014-01-03,14.12,14.14,13.99,14.02,57500,13.52
2014-01-02,14.12,14.13,13.95,14.00,64700,13.50
2013-12-31,14.24,14.31,14.11,14.12,98300,13.62
2013-12-30,14.25,14.25,14.10,14.15,52700,13.64
2013-12-27,14.25,14.28,14.09,14.20,57500,13.69
2013-12-26,14.22,14.27,14.19,14.23,52400,13.72
2013-12-24,14.21,14.21,14.16,14.20,24300,13.69
2013-12-23,14.18,14.22,14.13,14.18,51900,13.67
2013-12-20,14.04,14.14,14.00,14.11,35900,13.61
2013-12-19,14.01,14.01,13.89,14.01,54200,13.51
2013-12-18,13.86,13.99,13.78,13.99,46200,13.49
2013-12-17,13.85,13.85,13.75,13.82,43700,13.33
2013-12-16,13.87,13.89,13.81,13.83,34100,13.34
2013-12-13,13.85,13.85,13.72,13.77,31800,13.28
2013-12-12,14.00,14.00,13.75,13.79,38000,13.30
2013-12-11,14.01,14.01,13.89,13.90,31100,13.40
2013-12-10,14.28,14.30,14.15,14.23,46000,13.45
2013-12-09,14.26,14.26,14.13,14.26,62900,13.48
2013-12-06,14.20,14.23,14.10,14.15,26600,13.38
2013-12-05,14.13,14.13,14.02,14.10,20100,13.33
2013-12-04,14.03,14.13,14.03,14.11,26300,13.34
2013-12-03,14.15,14.15,14.02,14.07,19400,13.30
2013-12-02,14.20,14.20,14.09,14.13,32600,13.36
2013-11-29,14.19,14.19,14.17,14.18,9600,13.40
2013-11-27,14.15,14.18,14.12,14.17,15100,13.40
2013-11-26,14.15,14.20,14.10,14.15,34700,13.38
2013-11-25,14.25,14.25,14.15,14.17,22400,13.40
2013-11-22,14.20,14.21,14.14,14.19,26400,13.41
2013-11-21,14.12,14.22,14.10,14.18,64600,13.40
2013-11-20,14.14,14.17,14.06,14.09,41700,13.32
2013-11-19,14.24,14.26,14.08,14.10,54300,13.33
2013-11-18,14.37,14.37,14.16,14.19,29500,13.41
2013-11-15,14.35,14.35,14.25,14.31,76300,13.53
2013-11-14,14.18,14.28,14.18,14.28,68700,13.50
2013-11-13,14.16,14.18,14.11,14.18,37300,13.40
2013-11-12,14.17,14.17,14.11,14.14,21600,13.37
2013-11-11,14.18,14.18,14.13,14.17,47900,13.40
2013-11-08,14.14,14.15,14.03,14.15,47100,13.38
2013-11-07,14.18,14.18,14.09,14.09,29800,13.32
2013-11-06,14.16,14.18,14.14,14.16,36600,13.39
2013-11-05,14.15,14.15,14.05,14.10,14200,13.33
2013-11-04,14.18,14.18,14.11,14.16,33700,13.39
2013-11-01,14.14,14.16,14.04,14.11,28800,13.34
2013-10-31,14.12,14.16,14.05,14.12,27100,13.35
2013-10-30,14.06,14.11,14.05,14.09,52700,13.32
2013-10-29,14.05,14.14,14.05,14.10,19700,13.33
2013-10-28,14.07,14.10,14.01,14.04,33100,13.27
2013-10-25,14.12,14.12,13.99,14.04,40500,13.27
2013-10-24,14.13,14.13,14.02,14.07,28300,13.30
