Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,38.47,38.77,37.69,38.21,1429400,38.21
2014-06-18,37.54,38.39,37.45,38.32,1330200,38.32
2014-06-17,36.72,37.94,36.52,37.53,1667700,37.53
2014-06-16,36.08,36.83,36.03,36.66,1065900,36.66
2014-06-13,36.33,36.39,35.55,36.08,1008100,36.08
2014-06-12,37.13,37.16,36.00,36.16,1052000,36.16
2014-06-11,37.13,37.34,36.73,37.23,807500,37.23
2014-06-10,37.44,38.02,36.96,37.39,870900,37.39
2014-06-09,36.58,37.48,36.56,37.46,1132700,37.46
2014-06-06,36.88,37.13,36.48,36.58,1032700,36.58
2014-06-05,36.64,36.80,35.92,36.64,1099600,36.64
2014-06-04,36.08,36.81,35.76,36.57,689000,36.57
2014-06-03,36.28,36.53,35.93,36.30,647700,36.30
2014-06-02,36.51,36.60,36.15,36.54,819200,36.54
2014-05-30,36.56,36.65,36.11,36.41,1084600,36.41
2014-05-29,36.22,36.54,35.89,36.44,1407700,36.44
2014-05-28,37.02,37.33,35.85,35.99,1497400,35.99
2014-05-27,37.28,37.78,36.92,37.02,945900,37.02
2014-05-23,36.81,37.20,36.44,36.98,832300,36.98
2014-05-22,35.89,37.07,35.83,36.81,1061800,36.81
2014-05-21,36.00,36.30,34.93,35.75,1345100,35.75
2014-05-20,36.74,37.14,35.41,35.80,1261000,35.80
2014-05-19,37.29,37.65,36.94,37.20,1136200,37.20
2014-05-16,36.16,37.41,35.72,37.27,1458300,37.27
2014-05-15,37.23,37.35,35.53,36.08,3229300,36.08
2014-05-14,36.07,38.32,36.02,37.60,5403300,37.60
2014-05-13,35.25,35.75,34.63,34.65,2209600,34.65
2014-05-12,34.34,35.68,33.90,35.15,2112000,35.15
2014-05-09,33.65,34.20,33.24,34.04,1328000,34.04
2014-05-08,34.75,35.69,33.62,33.78,3120600,33.78
2014-05-07,35.33,35.73,33.93,34.81,2004600,34.81
2014-05-06,35.84,36.07,34.95,35.37,1819800,35.37
2014-05-05,35.22,36.32,34.60,36.04,1334900,36.04
2014-05-02,35.66,35.95,34.89,35.47,1482400,35.47
2014-05-01,34.79,35.52,33.69,35.10,1958500,35.10
2014-04-30,34.39,34.82,33.78,34.77,1857100,34.77
2014-04-29,33.92,34.84,33.76,34.63,1089500,34.63
2014-04-28,33.81,34.36,32.77,33.72,1396800,33.72
2014-04-25,34.45,34.63,33.61,33.66,1661200,33.66
2014-04-24,34.35,34.77,33.86,34.45,1659900,34.45
2014-04-23,34.17,34.59,33.75,34.05,1521300,34.05
2014-04-22,33.32,34.12,33.32,34.08,1219100,34.08
2014-04-21,33.19,33.58,32.65,33.26,1099400,33.26
2014-04-17,32.98,34.10,32.98,33.18,1345000,33.18
2014-04-16,32.97,33.48,32.59,33.20,1325200,33.20
2014-04-15,32.04,33.07,31.54,32.69,2104400,32.69
2014-04-14,32.30,32.61,31.27,31.69,1111600,31.69
2014-04-11,32.37,32.92,31.62,31.85,1404600,31.85
2014-04-10,34.25,34.30,32.62,32.79,1321800,32.79
2014-04-09,33.46,34.40,33.27,34.38,1364300,34.38
2014-04-08,33.45,33.99,33.06,33.24,2645500,33.24
2014-04-07,34.76,35.20,33.43,33.45,2911700,33.45
2014-04-04,37.28,37.60,34.66,34.75,2261700,34.75
2014-04-03,37.55,37.72,36.18,36.20,1728100,36.20
2014-04-02,37.33,38.16,37.08,37.70,1636700,37.70
2014-04-01,37.21,37.56,36.82,37.08,1302800,37.08
2014-03-31,36.74,37.29,36.51,37.09,1706800,37.09
2014-03-28,37.36,37.77,36.93,37.00,840900,37.00
2014-03-27,37.11,37.56,36.68,37.12,1559100,37.12
2014-03-26,38.06,38.36,36.99,37.02,1624600,37.02
2014-03-25,38.87,38.96,37.75,37.83,1038500,37.83
2014-03-24,39.31,39.52,37.88,38.54,1890200,38.54
2014-03-21,39.95,39.99,38.89,39.06,18644100,39.06
2014-03-20,39.74,40.38,39.38,39.75,1406000,39.75
2014-03-19,40.43,40.75,39.25,39.96,2041000,39.96
2014-03-18,39.69,40.45,39.25,40.15,3292500,40.15
2014-03-17,38.58,39.15,37.91,38.96,2480800,38.96
2014-03-14,37.83,38.29,37.12,37.25,1420300,37.25
2014-03-13,38.62,38.95,37.42,37.53,1345900,37.53
