Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,15.96,16.49,15.02,15.44,204500,15.44
2014-06-18,15.77,16.42,15.26,16.23,405100,16.23
2014-06-17,14.81,15.67,14.76,15.66,168100,15.66
2014-06-16,14.78,15.10,14.72,14.87,163300,14.87
2014-06-13,14.65,14.90,14.65,14.90,74600,14.90
2014-06-12,14.62,15.04,14.62,14.82,117600,14.82
2014-06-11,14.70,15.03,14.62,14.90,156700,14.90
2014-06-10,14.67,14.88,14.53,14.73,50100,14.73
2014-06-09,14.69,14.86,14.55,14.76,172100,14.76
2014-06-06,14.96,15.10,13.71,14.60,105100,14.60
2014-06-05,15.10,15.10,14.59,15.05,245700,15.05
2014-06-04,14.59,14.78,14.44,14.59,74900,14.59
2014-06-03,14.85,14.95,14.65,14.70,121100,14.70
2014-06-02,15.00,15.00,13.94,14.90,355500,14.90
2014-05-30,14.96,14.99,14.93,14.95,149000,14.95
2014-05-29,14.90,15.04,14.90,14.94,101800,14.94
2014-05-28,14.91,15.09,14.90,14.90,123900,14.90
2014-05-27,15.06,15.06,14.91,15.00,135200,15.00
2014-05-23,15.04,15.05,14.91,15.00,85800,15.00
2014-05-22,15.05,15.07,14.90,14.99,115300,14.99
2014-05-21,15.01,15.19,15.01,15.05,74500,15.05
2014-05-20,15.00,15.14,14.93,15.00,171900,15.00
2014-05-19,14.99,15.00,14.90,14.99,124400,14.99
2014-05-16,15.00,15.05,14.95,15.00,49500,15.00
2014-05-15,15.20,15.20,14.93,15.08,50200,15.08
2014-05-14,15.01,15.10,14.85,15.10,70800,15.10
2014-05-13,15.05,15.13,15.00,15.00,34900,15.00
2014-05-12,14.98,15.20,14.98,15.13,87600,15.13
2014-05-09,15.50,15.70,15.00,15.01,174500,15.01
2014-05-08,15.00,15.23,14.51,15.00,5433500,15.00
