Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,19.62,19.62,19.62,19.62,000,19.62
2014-06-18,19.62,19.62,19.62,19.62,100,19.62
2014-06-17,19.42,19.42,19.42,19.42,500,19.42
2014-06-16,22.99,22.99,19.36,19.40,900,19.40
2014-06-13,20.03,21.00,19.97,21.00,3800,21.00
2014-06-12,20.00,20.00,20.00,20.00,1500,20.00
2014-06-11,19.87,19.87,19.87,19.87,000,19.87
2014-06-10,19.87,19.87,19.87,19.87,000,19.87
2014-06-09,19.87,19.87,19.87,19.87,000,19.87
2014-06-06,19.87,19.87,19.87,19.87,000,19.87
2014-06-05,19.87,19.87,19.87,19.87,000,19.87
2014-06-04,19.87,19.87,19.87,19.87,000,19.87
2014-06-03,19.87,19.87,19.87,19.87,000,19.87
2014-06-02,19.87,19.87,19.87,19.87,000,19.87
2014-05-30,19.87,19.87,19.87,19.87,500,19.87
2014-05-29,19.69,19.69,19.69,19.69,000,19.69
2014-05-28,19.69,19.69,19.69,19.69,100,19.69
2014-05-27,19.68,19.80,19.68,19.80,600,19.80
2014-05-23,19.68,19.68,19.68,19.68,300,19.68
2014-05-22,19.68,19.68,19.68,19.68,000,19.68
2014-05-21,19.50,19.68,19.42,19.68,2400,19.68
2014-05-20,19.49,19.60,19.49,19.60,300,19.60
2014-05-19,19.50,19.50,19.50,19.50,300,19.50
2014-05-16,19.58,19.58,19.58,19.58,000,19.58
2014-05-15,19.58,19.58,19.58,19.58,000,19.58
2014-05-14,19.58,19.58,19.58,19.58,100,19.58
2014-05-13,19.50,19.50,19.50,19.50,300,19.50
2014-05-12,19.84,19.87,19.27,19.49,39000,19.49
2014-05-09,19.73,19.73,19.73,19.73,000,19.73
2014-05-08,19.73,19.73,19.73,19.73,000,19.68
2014-05-07,19.73,19.73,19.73,19.73,000,19.68
2014-05-06,19.73,19.73,19.73,19.73,000,19.68
2014-05-05,19.73,19.73,19.71,19.73,1900,19.68
2014-05-02,19.50,20.00,19.50,20.00,1900,19.95
2014-05-01,19.15,19.50,19.15,19.50,1100,19.45
2014-04-30,19.50,19.50,19.50,19.50,100,19.45
2014-04-29,19.72,19.72,19.72,19.72,1900,19.67
2014-04-28,19.75,19.75,19.75,19.75,100,19.70
2014-04-25,19.75,19.75,19.75,19.75,100,19.70
2014-04-24,19.79,19.79,19.79,19.79,100,19.74
2014-04-23,19.94,19.94,19.94,19.94,000,19.89
2014-04-22,19.07,19.94,19.07,19.94,1200,19.89
2014-04-21,19.60,19.60,19.60,19.60,100,19.55
2014-04-17,19.69,19.69,19.69,19.69,000,19.64
2014-04-16,19.25,19.80,19.00,19.69,3200,19.64
2014-04-15,19.76,19.76,19.76,19.76,000,19.71
2014-04-14,19.76,19.76,19.76,19.76,200,19.71
2014-04-11,19.80,19.80,19.80,19.80,100,19.75
2014-04-10,19.80,19.80,19.80,19.80,100,19.75
2014-04-09,19.75,19.75,19.75,19.75,100,19.70
2014-04-08,19.67,19.67,19.67,19.67,000,19.62
2014-04-07,19.72,19.76,19.45,19.67,1500,19.62
2014-04-04,19.80,19.80,19.80,19.80,1000,19.75
2014-04-03,19.27,19.56,19.27,19.32,2000,19.27
2014-04-02,19.74,19.74,19.70,19.70,300,19.65
2014-04-01,19.80,19.80,19.80,19.80,000,19.75
2014-03-31,19.80,19.80,19.80,19.80,000,19.75
2014-03-28,19.80,19.80,19.80,19.80,100,19.75
2014-03-27,19.74,19.74,19.74,19.74,100,19.69
2014-03-26,19.80,19.80,19.80,19.80,100,19.75
2014-03-25,19.80,19.80,19.74,19.74,1100,19.69
2014-03-24,19.80,19.80,19.80,19.80,800,19.75
2014-03-21,19.80,19.80,19.80,19.80,000,19.75
2014-03-20,19.80,19.80,19.80,19.80,000,19.75
2014-03-19,19.80,19.80,19.80,19.80,000,19.75
2014-03-18,19.80,19.80,19.80,19.80,000,19.75
2014-03-17,19.80,19.80,19.80,19.80,100,19.75
2014-03-14,19.29,19.29,19.29,19.29,000,19.24
2014-03-13,19.30,19.40,19.29,19.29,900,19.24
2014-03-12,18.93,18.93,18.93,18.93,000,18.88
2014-03-11,19.94,19.94,18.93,18.93,1600,18.88
2014-03-10,18.91,19.10,18.91,19.10,1400,19.05
2014-03-07,18.88,18.95,18.88,18.91,1100,18.86
2014-03-06,18.99,18.99,18.99,18.99,300,18.94
2014-03-05,18.88,18.93,18.88,18.91,1100,18.86
2014-03-04,18.97,18.97,18.97,18.97,000,18.92
2014-03-03,18.97,18.97,18.97,18.97,000,18.92
2014-02-28,18.97,18.97,18.97,18.97,200,18.92
2014-02-27,18.90,18.90,18.90,18.90,000,18.85
2014-02-26,18.90,18.90,18.90,18.90,400,18.85
2014-02-25,18.57,18.93,18.57,18.93,2000,18.88
2014-02-24,18.69,18.99,18.69,18.91,2100,18.86
2014-02-21,18.80,19.00,18.80,18.99,2800,18.94
2014-02-20,19.00,19.00,18.52,18.66,2700,18.61
2014-02-19,18.95,18.97,18.40,18.40,1400,18.35
2014-02-18,18.50,18.81,18.45,18.80,4300,18.75
2014-02-14,18.50,18.50,18.45,18.45,800,18.40
2014-02-13,18.25,18.35,18.25,18.32,1700,18.27
2014-02-12,18.35,18.49,18.35,18.49,700,18.44
2014-02-11,18.20,18.40,18.20,18.40,7600,18.35
2014-02-10,18.58,18.59,18.55,18.56,1300,18.51
2014-02-07,18.20,18.75,18.20,18.75,1400,18.70
2014-02-06,18.14,18.49,18.02,18.49,22200,18.44
2014-02-05,18.16,18.27,18.05,18.18,15700,18.08
2014-02-04,18.05,18.05,18.05,18.05,100,17.95
2014-02-03,18.01,18.01,18.01,18.01,100,17.91
2014-01-31,18.28,18.28,18.28,18.28,100,18.18
2014-01-30,18.02,18.02,18.02,18.02,100,17.92
2014-01-29,18.26,18.26,18.26,18.26,100,18.16
2014-01-28,18.17,18.30,17.95,18.27,7000,18.17
2014-01-27,18.14,18.28,17.92,18.28,3500,18.18
