Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,33.77,34.11,33.77,34.04,891900,34.04
2014-06-18,33.64,33.81,33.47,33.76,651800,33.76
2014-06-17,33.39,33.80,33.15,33.66,606300,33.66
2014-06-16,33.47,33.60,33.27,33.46,823500,33.46
2014-06-13,33.45,33.58,33.14,33.47,629500,33.47
2014-06-12,33.56,33.73,33.35,33.46,724100,33.46
2014-06-11,33.71,33.82,33.21,33.56,975500,33.56
2014-06-10,34.65,34.72,34.00,34.05,1218500,33.75
2014-06-09,34.50,34.80,34.47,34.80,1006100,34.49
2014-06-06,34.13,34.50,34.07,34.48,514200,34.18
2014-06-05,33.88,34.12,33.73,34.12,596800,33.82
2014-06-04,33.94,34.10,33.84,33.86,643000,33.56
2014-06-03,33.98,34.06,33.93,34.02,504300,33.72
2014-06-02,33.91,34.10,33.88,34.03,817300,33.73
2014-05-30,33.70,33.96,33.68,33.92,769100,33.62
2014-05-29,33.79,34.00,33.71,33.77,848800,33.47
2014-05-28,33.79,33.95,33.65,33.76,730200,33.46
2014-05-27,33.74,33.93,33.62,33.69,635500,33.39
2014-05-23,33.32,33.65,33.23,33.60,527600,33.30
2014-05-22,33.02,33.36,32.98,33.31,571700,33.02
2014-05-21,33.11,33.19,32.92,33.04,639200,32.75
2014-05-20,33.21,33.40,32.79,32.91,804600,32.62
2014-05-19,33.24,33.48,32.95,33.38,864400,33.09
2014-05-16,32.95,33.25,32.88,33.24,777100,32.95
2014-05-15,33.14,33.14,32.53,32.94,833200,32.65
2014-05-14,33.87,33.90,33.19,33.23,861400,32.94
2014-05-13,33.93,34.06,33.74,33.93,713200,33.63
2014-05-12,33.57,34.00,33.56,33.84,916100,33.54
2014-05-09,32.92,33.64,32.77,33.41,1156000,33.12
2014-05-08,32.96,33.35,32.77,33.04,983900,32.75
2014-05-07,32.42,33.00,32.31,32.98,1532800,32.69
2014-05-06,32.58,32.62,32.16,32.27,1333100,31.99
2014-05-05,33.23,33.26,32.63,32.67,1482400,32.38
2014-05-02,32.98,33.60,32.93,33.39,878100,33.10
2014-05-01,32.84,33.07,32.68,32.91,815500,32.62
2014-04-30,32.68,32.99,32.57,32.86,1003800,32.57
2014-04-29,32.56,32.88,32.48,32.70,968600,32.41
2014-04-28,32.02,32.56,31.75,32.50,1250900,32.21
2014-04-25,33.30,33.39,31.54,31.97,2188100,31.69
2014-04-24,33.39,33.85,33.28,33.74,1169300,33.44
2014-04-23,33.37,33.44,32.98,33.39,697800,33.10
2014-04-22,33.05,33.39,33.05,33.36,710000,33.07
2014-04-21,33.00,33.16,32.87,33.01,528100,32.72
2014-04-17,32.95,33.13,32.75,32.95,1290500,32.66
2014-04-16,32.69,33.02,32.54,33.02,609100,32.73
2014-04-15,32.42,32.58,31.98,32.49,846500,32.20
