Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,29.37,29.59,29.13,29.38,145000,29.38
2014-06-18,29.27,29.47,28.84,29.23,152400,29.23
2014-06-17,28.86,29.54,28.80,29.29,207600,29.29
2014-06-16,28.57,28.88,28.10,28.85,140400,28.85
2014-06-13,29.03,29.10,27.94,28.62,224400,28.62
2014-06-12,29.15,29.15,28.68,28.96,163000,28.96
2014-06-11,28.48,29.17,28.31,29.10,180300,29.10
2014-06-10,28.47,29.12,28.35,28.57,279800,28.57
2014-06-09,29.23,29.23,27.75,28.44,373800,28.44
2014-06-06,29.54,29.78,29.30,29.35,242000,29.35
2014-06-05,28.63,29.70,28.07,29.46,359400,29.46
2014-06-04,28.93,29.47,28.41,28.44,240700,28.44
2014-06-03,29.28,29.59,28.77,29.20,323500,29.20
2014-06-02,28.75,28.94,28.45,28.70,154500,28.70
2014-05-30,28.97,28.97,28.40,28.75,638500,28.75
2014-05-29,28.84,29.07,28.56,28.91,189100,28.91
2014-05-28,28.96,29.03,28.37,28.78,138300,28.78
2014-05-27,29.15,29.35,28.98,29.10,148500,29.10
2014-05-23,28.56,29.13,28.38,28.92,120900,28.92
2014-05-22,28.59,28.93,28.43,28.62,232300,28.62
2014-05-21,28.27,28.82,28.10,28.57,200300,28.57
2014-05-20,28.50,28.60,27.72,28.11,268200,28.11
2014-05-19,27.78,28.55,27.78,28.52,273900,28.52
2014-05-16,27.72,28.01,27.62,27.93,128800,27.93
2014-05-15,27.89,27.96,27.36,27.74,236300,27.74
2014-05-14,28.16,28.16,27.51,28.00,419200,28.00
2014-05-13,28.46,28.46,27.90,28.16,381600,28.16
2014-05-12,28.00,28.77,27.91,28.46,357300,28.46
2014-05-09,27.45,28.01,27.09,27.87,283700,27.87
2014-05-08,28.35,28.43,27.49,27.60,339800,27.60
2014-05-07,28.82,29.20,27.79,28.49,390700,28.49
2014-05-06,29.10,29.86,28.53,28.80,536900,28.80
2014-05-05,29.51,29.70,28.76,29.13,427700,29.13
2014-05-02,29.38,30.31,28.92,29.85,399700,29.85
2014-05-01,29.01,29.79,28.50,29.45,712000,29.45
2014-04-30,29.63,30.93,27.05,29.20,1030400,29.20
2014-04-29,26.89,27.26,26.44,26.66,273700,26.66
2014-04-28,27.36,27.82,26.40,26.79,230300,26.79
2014-04-25,28.26,28.43,27.12,27.22,224100,27.22
2014-04-24,28.78,28.78,27.83,28.29,324500,28.29
2014-04-23,29.36,29.36,28.59,28.61,342100,28.61
2014-04-22,28.29,29.50,28.28,29.41,251100,29.41
2014-04-21,27.74,28.40,27.39,28.28,208200,28.28
2014-04-17,27.65,27.77,26.99,27.64,241500,27.64
2014-04-16,28.21,28.44,27.39,27.69,228700,27.69
2014-04-15,28.26,28.53,27.37,28.00,481800,28.00
2014-04-14,27.95,28.81,27.70,28.23,305400,28.23
2014-04-11,27.50,28.35,27.11,27.71,272500,27.71
2014-04-10,28.31,28.44,27.34,27.73,357700,27.73
2014-04-09,27.42,28.34,27.19,28.30,340900,28.30
2014-04-08,26.89,27.59,26.70,27.34,221800,27.34
2014-04-07,27.50,27.56,26.72,26.98,263700,26.98
2014-04-04,28.15,28.52,26.65,27.58,826400,27.58
2014-04-03,28.12,28.62,27.51,27.91,273800,27.91
2014-04-02,28.39,28.66,27.55,28.00,233300,28.00
2014-04-01,29.01,29.35,28.38,28.39,326800,28.39
2014-03-31,25.97,29.60,25.97,29.04,658600,29.04
2014-03-28,25.94,26.40,25.73,25.86,203100,25.86
2014-03-27,26.16,26.35,25.03,25.98,466500,25.98
2014-03-26,27.98,28.13,26.19,26.20,601000,26.20
2014-03-25,28.39,28.80,27.80,27.87,527800,27.87
2014-03-24,29.22,29.50,27.48,28.26,472600,28.26
2014-03-21,29.76,29.95,28.97,29.14,301100,29.14
2014-03-20,30.35,30.42,29.49,29.60,180700,29.60
2014-03-19,30.98,31.30,30.25,30.45,259500,30.45
2014-03-18,31.31,31.48,30.86,31.01,253700,31.01
2014-03-17,32.13,32.40,31.27,31.37,211800,31.37
2014-03-14,32.50,32.82,31.87,31.96,296300,31.96
2014-03-13,33.72,33.90,32.34,32.60,206800,32.60
2014-03-12,33.00,33.58,32.47,33.50,186900,33.50
2014-03-11,33.69,33.93,32.93,33.25,190500,33.25
2014-03-10,33.24,33.67,33.02,33.62,151600,33.62
2014-03-07,33.84,34.00,32.86,33.27,172700,33.27
2014-03-06,33.19,33.68,32.89,33.59,147100,33.59
2014-03-05,33.23,33.53,33.08,33.25,166700,33.25
2014-03-04,33.00,33.80,32.97,33.26,252200,33.26
2014-03-03,32.73,33.03,32.31,32.64,236400,32.64
2014-02-28,32.60,33.09,32.29,33.03,261900,33.03
2014-02-27,32.36,32.64,31.92,32.62,184000,32.62
2014-02-26,31.97,32.96,31.75,32.45,343600,32.45
2014-02-25,31.54,32.68,31.54,31.99,324700,31.99
2014-02-24,30.81,31.94,30.80,31.38,498100,31.38
2014-02-21,29.78,31.37,29.78,30.66,589300,30.66
2014-02-20,29.28,29.84,28.96,29.62,211600,29.62
2014-02-19,29.76,30.01,29.23,29.24,201200,29.24
2014-02-18,29.63,30.22,29.48,29.77,227500,29.77
2014-02-14,30.31,30.38,29.59,29.70,162900,29.70
2014-02-13,30.16,30.46,29.89,30.34,226600,30.34
2014-02-12,30.93,31.08,30.35,30.49,166300,30.49
2014-02-11,31.07,31.38,30.69,30.96,187600,30.96
2014-02-10,30.70,31.06,30.04,31.03,285300,31.03
2014-02-07,30.52,30.86,30.26,30.83,247800,30.83
2014-02-06,30.26,30.62,30.11,30.39,174800,30.39
2014-02-05,30.47,30.90,29.80,30.22,297900,30.22
2014-02-04,30.57,31.03,30.01,30.79,275100,30.79
2014-02-03,31.80,31.80,30.16,30.48,539300,30.48
2014-01-31,31.46,32.40,31.13,31.76,459400,31.76
2014-01-30,34.47,34.47,30.94,32.17,1427500,32.17
2014-01-29,33.34,33.79,32.65,32.86,389200,32.86
2014-01-28,33.13,33.65,32.84,33.55,195900,33.55
2014-01-27,33.90,33.92,32.45,33.12,402900,33.12
2014-01-24,34.90,35.10,33.42,33.90,515200,33.90
2014-01-23,35.24,35.35,34.75,35.24,245000,35.24
2014-01-22,35.17,35.48,34.75,35.39,295400,35.39
2014-01-21,34.97,35.25,34.36,35.07,397300,35.07
2014-01-17,34.34,34.66,34.05,34.59,188400,34.59
2014-01-16,34.17,35.05,33.84,34.45,377400,34.45
2014-01-15,34.01,34.33,33.58,34.29,425900,34.29
2014-01-14,33.46,33.94,33.03,33.85,727200,33.85
2014-01-13,32.42,33.99,32.39,33.22,1124400,33.22
2014-01-10,30.73,31.42,30.51,31.39,320500,31.39
2014-01-09,30.36,31.15,30.22,30.87,279900,30.87
2014-01-08,30.67,30.88,29.97,30.18,536100,30.18
2014-01-07,30.93,31.27,30.54,30.69,302200,30.69
2014-01-06,31.30,31.58,30.65,30.73,269400,30.73
2014-01-03,31.23,31.58,30.81,31.25,300600,31.25
2014-01-02,31.13,31.30,30.76,31.16,391900,31.16
2013-12-31,31.34,31.53,30.21,31.36,803100,31.36
2013-12-30,30.74,31.55,30.33,31.38,316400,31.38
2013-12-27,30.96,31.00,30.36,30.78,191500,30.78
2013-12-26,30.47,30.93,30.46,30.89,390700,30.89
2013-12-24,30.28,30.83,30.28,30.38,206300,30.38
2013-12-23,30.66,30.68,29.75,30.16,427400,30.16
2013-12-20,29.33,30.78,29.31,30.54,801800,30.54
2013-12-19,29.82,29.82,29.15,29.27,232800,29.27
2013-12-18,29.38,29.93,29.15,29.87,250500,29.87
2013-12-17,29.60,29.72,29.13,29.42,285800,29.42
2013-12-16,29.35,29.99,29.15,29.58,339400,29.58
2013-12-13,29.82,29.95,29.15,29.30,359800,29.30
2013-12-12,29.64,30.08,29.47,29.79,307800,29.79
2013-12-11,29.36,30.36,29.36,29.55,613700,29.55
2013-12-10,29.90,29.90,29.05,29.27,437900,29.27
2013-12-09,29.71,30.21,29.56,30.00,590700,30.00
2013-12-06,28.09,29.83,28.09,29.59,680500,29.59
2013-12-05,28.12,28.24,27.80,27.90,387400,27.90
2013-12-04,28.54,28.99,27.89,28.20,378600,28.20
2013-12-03,28.63,28.99,28.63,28.81,942600,28.81
2013-12-02,29.01,29.22,28.52,28.63,735800,28.63
2013-11-29,29.16,29.37,28.93,29.00,233400,29.00
2013-11-27,28.81,29.33,28.81,29.00,587800,29.00
2013-11-26,28.41,29.00,27.89,28.79,580600,28.79
2013-11-25,28.97,29.20,28.22,28.42,376700,28.42
2013-11-22,29.59,29.59,28.70,28.91,356600,28.91
2013-11-21,29.52,29.70,29.30,29.67,311800,29.67
2013-11-20,29.25,29.48,28.91,29.39,381700,29.39
2013-11-19,29.67,30.10,29.02,29.18,433500,29.18
2013-11-18,30.58,30.78,29.54,29.76,455000,29.76
2013-11-15,31.02,31.05,30.04,30.29,493900,30.29
2013-11-14,32.74,32.88,26.63,30.58,3793900,30.58
2013-11-13,32.00,32.93,31.95,32.88,400800,32.88
2013-11-12,32.05,32.43,31.79,32.22,187700,32.22
2013-11-11,31.77,32.37,31.29,32.10,226900,32.10
2013-11-08,31.25,32.13,31.09,31.92,315000,31.92
2013-11-07,32.55,32.56,31.11,31.44,324300,31.44
2013-11-06,33.00,33.12,32.15,32.55,210900,32.55
2013-11-05,32.10,32.97,32.02,32.76,122400,32.76
2013-11-04,32.43,32.43,31.81,32.21,252200,32.21
2013-11-01,32.57,32.92,32.00,32.22,207900,32.22
2013-10-31,32.77,32.95,32.22,32.51,182000,32.51
2013-10-30,33.77,33.93,32.58,32.66,206800,32.66
2013-10-29,33.63,33.89,33.15,33.85,212900,33.85
2013-10-28,32.86,33.48,32.55,33.46,279000,33.46
2013-10-25,33.15,33.29,32.36,32.80,267500,32.80
2013-10-24,32.65,33.22,32.19,33.07,270400,33.07
2013-10-23,32.29,32.58,31.96,32.52,153700,32.52
2013-10-22,32.86,33.02,32.00,32.34,221900,32.34
2013-10-21,33.18,33.18,32.63,32.79,193100,32.79
2013-10-18,33.01,33.55,32.65,33.06,224700,33.06
2013-10-17,32.57,32.78,32.16,32.74,187600,32.74
2013-10-16,32.53,32.85,32.18,32.73,244900,32.73
2013-10-15,32.62,32.87,32.10,32.38,281200,32.38
2013-10-14,32.35,32.73,31.96,32.63,281800,32.63
2013-10-11,32.41,32.86,31.99,32.60,186400,32.60
2013-10-10,31.93,32.76,31.93,32.43,402900,32.43
2013-10-09,31.44,31.87,30.66,31.52,403400,31.52
2013-10-08,32.25,32.48,31.36,31.40,535000,31.40
2013-10-07,32.18,32.60,31.99,32.25,257100,32.25
2013-10-04,32.40,33.03,32.29,32.43,401100,32.43
2013-10-03,34.14,34.36,31.60,32.50,954600,32.50
2013-10-02,34.74,34.93,33.93,34.11,355500,34.11
2013-10-01,34.33,35.14,34.19,35.01,232500,35.01
2013-09-30,34.72,34.88,33.38,34.55,417800,34.55
2013-09-27,35.25,35.56,34.96,35.01,134100,35.01
2013-09-26,34.91,35.64,34.91,35.33,225500,35.33
2013-09-25,35.26,35.32,34.95,34.98,256000,34.98
2013-09-24,35.10,35.66,35.05,35.34,180600,35.34
2013-09-23,35.02,35.30,34.60,35.05,304200,35.05
2013-09-20,35.15,35.35,35.00,35.03,425900,35.03
2013-09-19,35.03,35.35,34.88,35.13,187800,35.13
2013-09-18,35.58,35.74,34.64,35.03,217000,35.03
2013-09-17,34.70,35.72,34.61,35.56,329800,35.56
2013-09-16,35.38,35.42,34.40,34.61,367700,34.61
2013-09-13,34.85,35.44,34.76,35.09,404200,35.09
2013-09-12,36.27,36.39,32.91,34.75,1616600,34.75
2013-09-11,38.34,38.37,35.89,36.14,1530100,36.14
2013-09-10,36.94,39.12,36.89,38.98,1222500,38.98
2013-09-09,36.78,37.48,36.34,36.95,773100,36.95
