Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,22.79,22.79,22.61,22.68,12500,22.68
2014-06-18,22.59,22.75,22.55,22.75,18100,22.75
2014-06-17,22.66,22.84,22.45,22.71,25700,22.63
2014-06-16,22.75,22.75,22.58,22.68,10800,22.60
2014-06-13,22.65,22.83,22.65,22.76,8900,22.68
2014-06-12,22.57,22.75,22.57,22.75,18600,22.67
2014-06-11,22.52,22.65,22.52,22.63,12200,22.55
2014-06-10,22.35,22.58,22.35,22.58,17300,22.50
2014-06-09,22.17,22.46,22.17,22.45,40100,22.37
2014-06-06,22.05,22.22,22.05,22.18,22100,22.10
2014-06-05,21.95,22.11,21.95,22.11,7900,22.03
2014-06-04,21.92,22.08,21.92,22.00,27000,21.92
2014-06-03,22.09,22.14,21.91,21.97,35500,21.89
2014-06-02,22.22,22.24,22.09,22.09,30200,22.01
2014-05-30,22.19,22.21,22.00,22.15,34400,22.07
2014-05-29,22.31,22.34,22.18,22.22,25500,22.14
2014-05-28,22.35,22.35,22.23,22.30,44100,22.22
2014-05-27,22.41,22.47,22.27,22.30,37700,22.22
2014-05-23,22.58,22.62,22.41,22.42,20800,22.34
2014-05-22,22.44,22.60,22.44,22.48,11200,22.40
2014-05-21,22.56,22.77,22.42,22.46,33600,22.38
2014-05-20,22.47,22.70,22.47,22.67,25100,22.50
2014-05-19,22.51,22.57,22.40,22.51,20900,22.34
2014-05-16,22.51,22.51,22.38,22.45,12300,22.28
2014-05-15,22.46,22.56,22.39,22.41,38800,22.24
2014-05-14,22.34,22.49,22.33,22.40,42500,22.23
2014-05-13,22.16,22.47,22.16,22.32,43700,22.16
2014-05-12,22.09,22.21,22.09,22.15,18200,21.99
2014-05-09,22.13,22.20,22.13,22.15,10600,21.99
2014-05-08,22.27,22.30,22.13,22.14,16300,21.98
2014-05-07,22.11,22.25,22.11,22.20,15500,22.04
2014-05-06,22.11,22.20,22.09,22.10,32700,21.94
2014-05-05,22.10,22.22,22.10,22.17,29800,22.01
2014-05-02,22.18,22.22,22.12,22.16,24400,22.00
2014-05-01,22.16,22.26,22.13,22.22,19500,22.06
2014-04-30,22.10,22.26,22.09,22.21,24100,22.05
2014-04-29,22.14,22.24,22.07,22.10,17900,21.94
2014-04-28,22.21,22.29,22.09,22.23,28000,22.07
2014-04-25,21.99,22.18,21.99,22.18,14500,22.02
2014-04-24,21.92,22.06,21.92,22.01,15900,21.85
2014-04-23,22.00,22.03,21.91,21.94,49400,21.78
2014-04-22,22.10,22.20,22.00,22.00,27200,21.84
2014-04-21,21.94,22.16,21.94,22.14,18100,21.98
2014-04-17,22.11,22.38,21.95,21.97,18100,21.81
2014-04-16,21.92,22.24,21.88,22.16,19000,22.00
2014-04-15,21.85,21.99,21.85,21.94,16800,21.78
2014-04-14,21.90,21.96,21.85,21.85,22800,21.61
2014-04-11,21.99,22.14,21.91,21.92,21600,21.67
2014-04-10,21.86,22.00,21.83,21.91,38400,21.66
2014-04-09,21.83,21.89,21.80,21.82,22900,21.58
2014-04-08,21.89,21.92,21.83,21.84,24700,21.60
2014-04-07,22.13,22.31,21.87,21.94,44800,21.69
2014-04-04,22.13,22.69,21.92,22.18,39600,21.93
2014-04-03,21.92,22.19,21.92,22.03,31300,21.78
2014-04-02,21.95,22.07,21.84,21.94,52500,21.69
2014-04-01,22.00,22.03,21.91,21.98,26300,21.73
2014-03-31,22.03,22.03,21.95,21.95,21200,21.70
2014-03-28,22.01,22.11,21.88,21.96,18100,21.71
2014-03-27,22.00,22.13,21.96,22.11,17000,21.86
2014-03-26,22.03,22.08,21.95,22.03,12000,21.78
2014-03-25,21.94,22.01,21.93,22.01,15900,21.76
2014-03-24,21.96,22.06,21.88,22.02,25000,21.77
2014-03-21,22.07,22.07,21.95,21.97,12100,21.72
2014-03-20,21.84,22.11,21.66,21.96,26300,21.71
2014-03-19,21.95,22.08,21.71,21.73,33000,21.49
2014-03-18,22.13,22.13,22.07,22.10,29300,21.77
2014-03-17,22.09,22.34,22.00,22.24,22700,21.91
2014-03-14,21.91,22.04,21.87,22.01,17700,21.68
2014-03-13,21.79,21.94,21.79,21.91,8400,21.58
2014-03-12,21.65,21.87,21.65,21.87,23500,21.54
2014-03-11,21.72,21.72,21.54,21.68,28500,21.36
2014-03-10,21.90,21.98,21.65,21.65,27200,21.33
2014-03-07,21.81,21.96,21.81,21.81,15300,21.48
2014-03-06,22.08,22.15,21.75,21.81,28600,21.48
2014-03-05,22.11,22.25,22.07,22.07,31300,21.74
2014-03-04,22.21,22.26,22.05,22.12,26100,21.79
2014-03-03,22.38,22.38,22.20,22.21,20900,21.88
2014-02-28,22.36,22.36,22.16,22.25,9200,21.92
2014-02-27,22.06,22.36,22.04,22.36,21100,22.03
2014-02-26,22.00,22.37,22.00,22.28,26500,21.95
2014-02-25,22.16,22.35,22.01,22.03,43300,21.70
2014-02-24,22.12,22.33,22.02,22.16,34900,21.83
2014-02-21,22.44,22.48,22.20,22.28,28200,21.95
2014-02-20,22.16,23.00,22.02,22.22,53200,21.89
2014-02-19,21.87,21.98,21.87,21.91,28000,21.58
2014-02-18,21.88,22.03,21.88,21.96,7500,21.55
2014-02-14,21.97,22.06,21.90,21.92,9400,21.51
2014-02-13,21.85,22.05,21.80,22.00,21100,21.59
2014-02-12,21.74,21.85,21.66,21.79,19700,21.38
2014-02-11,21.48,21.70,21.48,21.66,14400,21.25
2014-02-10,21.40,21.57,21.40,21.57,29400,21.17
2014-02-07,21.24,21.40,21.24,21.40,28400,21.00
2014-02-06,21.29,21.39,21.26,21.26,16900,20.86
2014-02-05,21.30,21.36,21.28,21.30,23600,20.90
2014-02-04,21.36,21.40,21.30,21.30,31800,20.90
2014-02-03,21.40,21.40,21.36,21.36,11900,20.96
2014-01-31,21.40,21.40,21.35,21.39,25100,20.99
