Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,17.12,17.12,16.88,17.02,5300,17.02
2014-06-18,16.80,17.10,16.78,16.78,1700,16.78
2014-06-17,16.80,16.80,16.71,16.79,4100,16.79
2014-06-16,16.74,16.75,16.74,16.75,1400,16.75
2014-06-13,16.60,16.74,16.60,16.70,3600,16.70
2014-06-12,16.90,16.90,16.75,16.75,600,16.75
2014-06-11,16.55,16.55,16.55,16.55,700,16.55
2014-06-10,17.00,17.00,16.95,16.95,1100,16.95
2014-06-09,17.04,17.05,16.99,17.00,2600,17.00
2014-06-06,17.10,17.11,17.10,17.11,1400,17.11
2014-06-05,16.61,16.90,16.61,16.90,3700,16.90
2014-06-04,17.00,17.00,17.00,17.00,000,17.00
2014-06-03,17.13,17.16,17.00,17.00,400,17.00
2014-06-02,17.14,17.14,16.82,16.82,2600,16.82
2014-05-30,16.71,17.07,16.68,17.07,6500,17.00
2014-05-29,16.69,16.70,16.68,16.68,7800,16.61
2014-05-28,16.54,16.54,16.54,16.54,200,16.47
2014-05-27,16.70,16.70,16.56,16.59,1800,16.52
2014-05-23,16.69,16.70,16.69,16.70,700,16.63
2014-05-22,16.73,16.73,16.68,16.68,2800,16.61
2014-05-21,16.86,16.86,16.59,16.61,10100,16.54
2014-05-20,16.65,16.69,16.57,16.69,4300,16.62
2014-05-19,16.78,16.80,16.76,16.76,3300,16.69
2014-05-16,16.78,16.79,16.78,16.79,1000,16.72
2014-05-15,16.77,16.79,16.64,16.73,4400,16.66
2014-05-14,16.96,16.96,16.75,16.77,7600,16.70
2014-05-13,17.03,17.05,17.03,17.03,3000,16.96
2014-05-12,17.03,17.03,17.03,17.03,000,16.96
2014-05-09,17.03,17.03,17.03,17.03,000,16.96
2014-05-08,17.00,17.03,17.00,17.03,2500,16.96
2014-05-07,17.01,17.02,16.96,17.02,5100,16.95
2014-05-06,16.98,17.04,16.98,17.04,900,16.97
2014-05-05,17.28,17.28,16.98,16.98,5800,16.91
2014-05-02,17.28,17.28,17.28,17.28,300,17.21
2014-05-01,16.98,17.28,16.93,17.28,9900,17.21
2014-04-30,16.93,16.93,16.90,16.93,6100,16.78
2014-04-29,16.89,16.93,16.69,16.93,4100,16.78
2014-04-28,16.91,16.92,16.67,16.69,3100,16.55
2014-04-25,16.93,16.93,16.80,16.87,1400,16.72
2014-04-24,16.89,16.92,16.89,16.92,3700,16.77
