Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,49.11,49.11,49.11,49.11,200,49.11
2014-06-18,50.00,50.00,50.00,50.00,000,50.00
2014-06-17,49.98,50.00,49.98,50.00,200,50.00
2014-06-16,49.98,50.21,49.98,50.21,300,50.21
2014-06-13,50.97,50.97,50.97,50.97,300,50.97
2014-06-12,49.60,49.60,49.60,49.60,000,49.60
2014-06-11,49.60,49.60,49.60,49.60,400,49.35
2014-06-10,49.28,49.55,49.28,49.55,800,49.30
2014-06-09,50.51,50.51,50.00,50.25,1400,50.00
2014-06-06,50.08,51.18,50.08,50.31,2600,50.06
2014-06-05,51.00,51.78,51.00,51.30,1200,51.04
2014-06-04,50.00,51.88,50.00,51.88,600,51.62
2014-06-03,48.99,49.50,48.69,49.50,1700,49.25
2014-06-02,48.55,48.55,47.74,48.51,1200,48.27
2014-05-30,48.53,48.92,48.50,48.91,1100,48.66
2014-05-29,46.48,49.46,46.48,49.46,3100,49.21
2014-05-28,46.80,46.80,46.51,46.51,700,46.28
2014-05-27,46.20,46.20,46.20,46.20,300,45.97
2014-05-23,46.47,46.47,46.47,46.47,300,46.24
2014-05-22,46.38,46.47,46.00,46.00,800,45.77
2014-05-21,45.61,46.45,45.17,46.45,1200,46.22
2014-05-20,45.30,46.50,45.30,46.00,1000,45.77
2014-05-19,45.20,46.74,45.20,45.80,2900,45.57
2014-05-16,46.84,46.84,45.34,45.45,600,45.22
2014-05-15,46.47,46.47,45.73,45.75,1900,45.52
2014-05-14,46.44,46.50,46.26,46.50,500,46.27
2014-05-13,46.60,46.90,45.05,46.09,1100,45.86
2014-05-12,45.50,45.98,45.50,45.50,500,45.27
2014-05-09,45.60,45.60,45.50,45.50,1300,45.27
2014-05-08,45.50,45.50,45.50,45.50,300,45.27
2014-05-07,45.50,45.50,45.50,45.50,300,45.27
2014-05-06,45.22,45.25,45.04,45.05,1800,44.82
2014-05-05,45.27,45.27,45.26,45.27,800,45.04
2014-05-02,44.95,45.27,44.95,45.27,500,45.04
2014-05-01,44.96,44.96,44.96,44.96,300,44.73
2014-04-30,44.91,44.91,44.91,44.91,100,44.68
2014-04-29,44.90,45.26,44.90,44.92,1300,44.69
2014-04-28,44.95,44.95,44.90,44.90,2700,44.67
2014-04-25,44.81,44.95,44.81,44.95,1100,44.72
2014-04-24,45.45,45.47,45.45,45.47,200,45.24
2014-04-23,45.46,45.46,45.35,45.35,500,45.12
2014-04-22,45.00,45.47,45.00,45.47,700,45.24
2014-04-21,46.00,46.04,44.75,44.80,4200,44.57
2014-04-17,46.47,46.47,46.47,46.47,300,46.24
2014-04-16,46.00,46.00,44.81,44.81,200,44.58
2014-04-15,45.50,45.50,45.50,45.50,300,45.27
2014-04-14,44.79,44.79,44.79,44.79,100,44.56
2014-04-11,45.50,45.50,45.50,45.50,300,45.27
2014-04-10,45.45,45.45,45.45,45.45,200,45.22
