Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,55.39,55.95,55.05,55.71,13300,55.71
2014-06-18,54.46,55.02,54.41,54.98,12000,54.98
2014-06-17,54.45,54.59,53.80,54.46,19700,54.46
2014-06-16,53.95,54.13,53.32,54.05,15700,54.05
2014-06-13,54.03,55.39,53.94,54.26,13000,54.26
2014-06-12,54.83,55.10,53.94,54.11,13100,54.11
2014-06-11,55.62,56.84,55.49,55.53,14300,55.53
2014-06-10,56.17,57.16,55.83,57.04,15000,57.04
2014-06-09,55.47,56.60,54.90,56.60,8200,56.60
2014-06-06,55.07,55.57,55.07,55.35,14500,55.35
2014-06-05,53.38,55.00,52.91,55.00,20300,55.00
2014-06-04,53.06,53.59,52.94,53.40,14900,53.40
2014-06-03,53.98,53.98,52.91,53.13,12500,53.13
2014-06-02,54.38,54.64,52.97,53.27,15300,53.27
2014-05-30,54.47,54.55,53.53,54.00,14000,54.00
2014-05-29,54.31,54.49,53.66,54.27,4700,54.27
2014-05-28,54.56,54.69,54.01,54.36,9600,54.36
2014-05-27,54.58,54.65,53.94,54.57,15400,54.57
2014-05-23,52.90,54.23,52.90,54.23,18100,54.23
2014-05-22,53.14,53.14,52.49,52.65,8200,52.65
2014-05-21,53.15,53.42,52.08,52.86,18100,52.86
2014-05-20,53.95,54.00,52.03,52.72,32300,52.72
2014-05-19,53.38,54.00,53.38,54.00,15300,54.00
2014-05-16,53.02,53.50,52.65,53.44,26700,53.44
2014-05-15,53.04,53.52,52.53,53.20,23600,53.20
2014-05-14,54.93,55.99,53.02,53.02,18900,53.02
2014-05-13,55.80,56.14,54.89,54.89,32400,54.89
2014-05-12,55.00,55.95,54.30,55.76,18500,55.76
2014-05-09,52.45,55.58,52.01,55.03,17100,55.03
2014-05-08,53.42,53.80,52.66,52.93,10000,52.93
2014-05-07,52.75,54.20,52.75,53.80,18300,53.80
2014-05-06,53.39,54.20,52.50,52.50,29200,52.50
2014-05-05,53.55,54.18,53.11,53.87,15300,53.87
2014-05-02,54.23,54.58,53.33,54.16,19100,54.16
2014-05-01,54.78,54.78,53.50,53.92,24000,53.92
2014-04-30,54.98,55.40,54.05,54.73,20400,54.73
2014-04-29,55.34,55.55,54.84,54.97,14400,54.97
2014-04-28,54.81,55.01,53.88,54.90,11100,54.90
2014-04-25,54.85,55.40,54.30,54.40,18400,54.40
2014-04-24,55.12,55.61,54.49,55.30,8900,55.30
2014-04-23,55.13,55.50,54.50,55.00,14400,55.00
2014-04-22,54.35,55.19,54.35,55.10,14400,55.10
2014-04-21,53.80,54.69,53.80,54.00,6000,54.00
2014-04-17,53.10,54.20,53.10,53.65,12900,53.65
2014-04-16,53.36,53.75,52.92,53.38,9600,53.38
2014-04-15,52.32,53.20,50.91,52.85,13400,52.85
2014-04-14,53.40,53.40,51.48,52.20,10800,52.20
2014-04-11,51.71,53.59,51.71,53.00,19300,53.00
2014-04-10,53.83,55.55,51.82,52.26,15800,52.26
2014-04-09,53.19,55.45,53.19,54.74,10900,54.74
2014-04-08,52.61,54.37,52.06,54.00,20600,54.00
2014-04-07,52.71,53.64,52.16,52.37,17400,52.37
2014-04-04,56.40,56.40,52.40,52.75,43400,52.75
2014-04-03,57.50,57.50,56.02,56.02,10100,56.02
2014-04-02,57.00,58.15,55.81,57.35,21500,57.35
2014-04-01,56.00,56.99,55.67,56.99,14900,56.99
2014-03-31,54.82,56.21,54.44,55.77,19300,55.77
2014-03-28,54.55,55.76,53.80,54.27,9500,54.27
2014-03-27,55.36,56.38,54.19,54.68,8800,54.68
2014-03-26,55.75,56.91,55.29,55.58,18600,55.26
2014-03-25,54.60,55.62,54.60,55.30,10000,54.98
2014-03-24,54.26,54.77,53.53,54.31,14700,54.00
2014-03-21,55.35,55.35,53.46,54.31,41800,54.00
2014-03-20,54.98,55.35,53.79,55.13,62900,54.81
2014-03-19,55.00,55.03,54.32,54.53,6300,54.22
2014-03-18,54.63,54.97,54.56,54.91,16400,54.59
2014-03-17,53.25,55.48,53.25,54.39,14200,54.08
2014-03-14,52.42,53.53,52.38,53.25,9300,52.94
2014-03-13,53.86,54.20,52.38,52.75,11500,52.45
2014-03-12,52.50,53.58,51.47,53.50,15000,53.19
2014-03-11,53.25,54.45,52.82,53.22,9800,52.91
2014-03-10,52.56,53.40,52.31,53.38,16900,53.07
2014-03-07,53.04,54.02,53.04,53.55,7700,53.24
2014-03-06,52.80,53.29,51.85,52.67,10500,52.37
2014-03-05,53.76,53.88,53.23,53.25,16000,52.94
2014-03-04,52.21,55.47,52.21,53.93,50100,53.62
2014-03-03,51.46,51.88,51.26,51.46,7700,51.16
2014-02-28,50.65,52.56,50.06,51.50,23800,51.20
2014-02-27,49.96,50.76,49.35,50.50,12000,50.21
2014-02-26,49.75,50.23,49.61,50.22,11600,49.93
2014-02-25,49.85,50.11,49.50,49.71,25600,49.42
2014-02-24,49.95,50.72,49.81,50.08,25000,49.79
2014-02-21,52.18,52.18,49.92,50.24,22200,49.95
2014-02-20,50.04,52.26,50.04,51.85,11000,51.55
2014-02-19,50.04,50.41,49.68,49.84,21400,49.55
2014-02-18,50.24,50.96,49.80,49.99,51200,49.70
2014-02-14,50.58,50.58,49.77,50.20,11200,49.91
2014-02-13,50.54,50.79,49.51,50.39,10300,50.10
2014-02-12,50.76,50.76,49.57,49.90,20700,49.61
2014-02-11,49.63,50.49,49.49,50.39,19400,50.10
2014-02-10,50.00,50.30,49.38,49.86,19800,49.57
2014-02-07,49.54,50.44,49.54,50.15,20400,49.86
2014-02-06,49.31,49.92,49.06,49.53,15300,49.24
2014-02-05,49.61,49.99,49.10,49.46,21800,49.18
2014-02-04,50.30,50.71,49.23,49.75,14000,49.46
2014-02-03,51.75,52.61,50.02,50.30,31600,50.01
2014-01-31,52.10,52.80,51.73,52.00,20400,51.70
2014-01-30,51.82,53.81,51.82,53.07,17000,52.76
2014-01-29,52.39,52.39,51.40,51.55,16000,51.25
2014-01-28,51.54,52.26,51.47,51.97,24500,51.67
2014-01-27,51.76,52.12,51.44,51.87,18100,51.57
2014-01-24,52.89,53.14,51.20,51.82,18700,51.52
2014-01-23,52.82,53.40,52.80,52.92,4600,52.62
2014-01-22,53.16,53.17,52.77,52.77,5500,52.47
2014-01-21,53.24,53.69,52.56,53.34,10000,53.03
2014-01-17,53.11,53.52,52.60,52.71,7800,52.41
2014-01-16,53.24,53.40,52.52,53.08,6200,52.77
2014-01-15,53.40,53.59,52.88,53.44,5800,53.13
2014-01-14,52.72,53.11,52.10,53.11,6400,52.80
2014-01-13,52.47,53.00,52.11,52.63,15800,52.33
2014-01-10,53.08,53.44,52.00,52.72,9500,52.42
2014-01-09,52.67,53.70,52.43,53.00,11400,52.69
2014-01-08,53.42,53.70,52.05,52.63,16000,52.33
2014-01-07,53.22,53.99,53.21,53.65,7400,53.34
2014-01-06,53.75,53.95,53.11,53.25,10200,52.94
2014-01-03,53.68,54.30,53.30,53.64,22000,53.33
2014-01-02,56.02,56.02,53.05,53.72,18200,53.41
2013-12-31,53.16,54.19,53.16,53.91,17400,53.60
2013-12-30,53.80,53.80,53.04,53.31,5900,53.00
2013-12-27,55.42,55.42,53.30,53.98,9200,53.67
2013-12-26,56.24,56.24,54.84,55.50,11500,54.86
2013-12-24,54.52,56.22,54.52,55.78,5900,55.14
2013-12-23,55.43,56.34,54.51,55.44,18400,54.80
2013-12-20,52.24,55.56,52.10,55.56,55200,54.92
2013-12-19,51.91,52.40,51.68,52.10,12000,51.50
2013-12-18,51.85,52.18,51.50,52.18,26200,51.58
2013-12-17,52.52,52.52,51.34,51.60,8200,51.01
2013-12-16,52.40,53.26,51.94,52.39,21000,51.79
2013-12-13,52.63,52.91,52.30,52.36,15800,51.76
2013-12-12,52.61,52.75,51.70,52.35,18600,51.75
2013-12-11,52.71,53.25,51.65,52.41,18600,51.81
2013-12-10,54.81,55.19,51.07,52.71,53300,52.10
2013-12-09,55.60,55.60,54.81,55.02,15800,54.39
2013-12-06,54.99,55.67,54.61,55.67,7500,55.03
2013-12-05,55.29,55.49,54.15,54.50,10700,53.87
2013-12-04,55.35,55.45,54.99,55.16,12100,54.53
2013-12-03,55.34,55.60,55.00,55.27,78000,54.63
2013-12-02,56.38,56.69,55.24,55.25,15100,54.62
2013-11-29,55.30,55.97,55.26,55.80,6200,55.16
2013-11-27,53.86,55.41,53.86,55.38,10000,54.74
2013-11-26,53.07,54.05,53.07,53.99,8600,53.37
2013-11-25,52.68,53.79,52.50,53.07,12600,52.46
2013-11-22,50.85,53.31,50.45,52.65,9500,52.05
2013-11-21,50.25,51.09,50.02,51.00,13200,50.41
2013-11-20,49.39,50.38,49.39,50.12,3600,49.54
2013-11-19,49.95,50.78,49.44,49.95,27400,49.38
2013-11-18,49.70,50.19,49.51,49.78,5800,49.21
2013-11-15,49.81,50.25,49.75,50.15,12000,49.57
2013-11-14,50.02,50.30,49.52,49.92,15400,49.35
2013-11-13,49.22,50.14,49.22,49.89,5800,49.32
2013-11-12,50.15,50.39,49.81,50.13,4800,49.55
2013-11-11,49.89,50.84,49.89,50.17,6100,49.59
2013-11-08,49.55,50.51,48.82,49.97,29000,49.40
2013-11-07,49.48,50.31,49.20,49.47,21300,48.90
