Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,4.94,4.97,4.94,4.97,93500,4.97
2014-06-18,4.90,4.94,4.90,4.93,99000,4.93
2014-06-17,4.89,4.92,4.88,4.91,127000,4.91
2014-06-16,4.91,4.94,4.91,4.91,83900,4.91
2014-06-13,4.90,4.92,4.88,4.92,113800,4.92
2014-06-12,4.91,4.94,4.91,4.91,114700,4.91
2014-06-11,4.96,4.98,4.93,4.94,100500,4.92
2014-06-10,5.00,5.03,4.97,4.97,176600,4.95
2014-06-09,5.05,5.08,5.00,5.00,83700,4.98
2014-06-06,5.05,5.08,5.05,5.06,66900,5.04
2014-06-05,4.99,5.05,4.99,5.05,150500,5.03
2014-06-04,4.99,5.00,4.97,5.00,126200,4.98
2014-06-03,5.00,5.00,4.98,4.99,111300,4.97
2014-06-02,4.98,5.01,4.96,5.00,171500,4.98
2014-05-30,4.99,4.99,4.96,4.96,197100,4.94
2014-05-29,4.94,4.97,4.92,4.97,512300,4.95
2014-05-28,4.95,4.96,4.92,4.92,313200,4.90
2014-05-27,4.95,4.98,4.94,4.96,119400,4.94
2014-05-23,4.90,4.94,4.90,4.93,68100,4.91
2014-05-22,4.92,4.94,4.90,4.91,182700,4.89
2014-05-21,4.93,4.95,4.90,4.93,138700,4.91
2014-05-20,4.98,4.98,4.92,4.94,139900,4.92
2014-05-19,4.95,4.98,4.95,4.97,89100,4.95
2014-05-16,4.94,4.97,4.93,4.97,119200,4.95
2014-05-15,4.93,4.94,4.90,4.92,139000,4.90
2014-05-14,4.92,4.94,4.91,4.94,91000,4.92
2014-05-13,4.96,4.98,4.92,4.93,77500,4.91
2014-05-12,4.95,4.98,4.92,4.98,126900,4.94
2014-05-09,4.95,4.96,4.93,4.94,58300,4.90
2014-05-08,4.92,4.98,4.91,4.94,243400,4.90
2014-05-07,4.89,4.91,4.89,4.91,104500,4.87
2014-05-06,4.89,4.90,4.87,4.90,118400,4.86
2014-05-05,4.88,4.89,4.86,4.89,105000,4.85
2014-05-02,4.87,4.89,4.86,4.87,128600,4.83
2014-05-01,4.84,4.89,4.83,4.89,245800,4.85
2014-04-30,4.85,4.85,4.83,4.84,223500,4.80
2014-04-29,4.83,4.85,4.82,4.84,308300,4.80
2014-04-28,4.80,4.84,4.80,4.83,187400,4.79
2014-04-25,4.82,4.82,4.80,4.80,199600,4.76
2014-04-24,4.84,4.84,4.81,4.84,180300,4.80
2014-04-23,4.84,4.84,4.81,4.82,166000,4.78
2014-04-22,4.83,4.84,4.80,4.84,467800,4.80
2014-04-21,4.82,4.83,4.81,4.81,244900,4.77
2014-04-17,4.79,4.82,4.78,4.82,297600,4.78
2014-04-16,4.77,4.80,4.75,4.80,211500,4.76
2014-04-15,4.74,4.78,4.73,4.75,457700,4.71
2014-04-14,4.75,4.77,4.72,4.75,176900,4.71
2014-04-11,4.74,4.76,4.73,4.74,161800,4.70
2014-04-10,4.80,4.82,4.76,4.78,222500,4.72
2014-04-09,4.82,4.82,4.77,4.80,259300,4.74
2014-04-08,4.77,4.81,4.75,4.81,207800,4.75
2014-04-07,4.72,4.78,4.72,4.75,164300,4.69
2014-04-04,4.74,4.76,4.73,4.74,124700,4.68
2014-04-03,4.72,4.74,4.71,4.74,77100,4.68
2014-04-02,4.72,4.75,4.72,4.74,130200,4.68
2014-04-01,4.71,4.76,4.71,4.73,348300,4.67
2014-03-31,4.72,4.72,4.67,4.72,180000,4.66
2014-03-28,4.66,4.70,4.66,4.70,115400,4.64
2014-03-27,4.65,4.67,4.64,4.65,90100,4.59
2014-03-26,4.69,4.70,4.66,4.66,109900,4.60
2014-03-25,4.68,4.70,4.66,4.70,519500,4.64
2014-03-24,4.66,4.67,4.63,4.67,113000,4.61
2014-03-21,4.63,4.67,4.63,4.66,165700,4.60
2014-03-20,4.62,4.64,4.60,4.61,156500,4.55
2014-03-19,4.69,4.72,4.63,4.64,190400,4.58
2014-03-18,4.69,4.69,4.67,4.68,166300,4.62
2014-03-17,4.68,4.71,4.66,4.67,157900,4.61
2014-03-14,4.67,4.70,4.67,4.67,76100,4.61
2014-03-13,4.66,4.69,4.66,4.69,113100,4.63
2014-03-12,4.66,4.69,4.66,4.68,130300,4.60
2014-03-11,4.69,4.70,4.66,4.68,151800,4.60
2014-03-10,4.63,4.68,4.61,4.66,173700,4.58
2014-03-07,4.72,4.72,4.64,4.65,132500,4.57
2014-03-06,4.70,4.73,4.70,4.72,160400,4.64
2014-03-05,4.71,4.74,4.69,4.71,205900,4.63
2014-03-04,4.66,4.72,4.66,4.71,140100,4.63
2014-03-03,4.61,4.64,4.61,4.63,99500,4.55
2014-02-28,4.65,4.67,4.63,4.63,133600,4.55
2014-02-27,4.61,4.64,4.61,4.64,163500,4.56
2014-02-26,4.61,4.64,4.61,4.63,105400,4.55
2014-02-25,4.62,4.64,4.61,4.61,235200,4.53
2014-02-24,4.59,4.64,4.59,4.63,153100,4.55
2014-02-21,4.59,4.61,4.57,4.59,221500,4.51
2014-02-20,4.60,4.62,4.58,4.60,129500,4.52
2014-02-19,4.57,4.62,4.57,4.60,208400,4.52
2014-02-18,4.60,4.61,4.58,4.60,153000,4.52
2014-02-14,4.56,4.60,4.56,4.60,87200,4.52
2014-02-13,4.56,4.60,4.54,4.58,98500,4.50
2014-02-12,4.57,4.59,4.57,4.58,97100,4.49
2014-02-11,4.55,4.61,4.54,4.58,296100,4.49
2014-02-10,4.50,4.56,4.50,4.56,144500,4.47
2014-02-07,4.48,4.52,4.48,4.52,107900,4.43
2014-02-06,4.45,4.49,4.45,4.49,135300,4.40
2014-02-05,4.45,4.47,4.45,4.46,89600,4.37
2014-02-04,4.44,4.49,4.44,4.49,151300,4.40
2014-02-03,4.50,4.50,4.40,4.43,267900,4.34
2014-01-31,4.47,4.52,4.46,4.50,181400,4.41
2014-01-30,4.44,4.49,4.44,4.49,189700,4.40
2014-01-29,4.42,4.45,4.42,4.44,114000,4.35
2014-01-28,4.43,4.48,4.43,4.46,156500,4.37
2014-01-27,4.43,4.49,4.41,4.46,330800,4.37
2014-01-24,4.46,4.50,4.44,4.45,187500,4.36
2014-01-23,4.48,4.51,4.46,4.48,250900,4.39
2014-01-22,4.45,4.51,4.45,4.49,408500,4.40
2014-01-21,4.44,4.47,4.43,4.46,403100,4.37
2014-01-17,4.43,4.45,4.43,4.43,108800,4.34
2014-01-16,4.45,4.45,4.43,4.44,204600,4.35
2014-01-15,4.43,4.46,4.42,4.44,466300,4.35
2014-01-14,4.41,4.44,4.40,4.43,498300,4.34
2014-01-13,4.42,4.44,4.40,4.40,247700,4.31
2014-01-10,4.46,4.47,4.44,4.45,304100,4.34
2014-01-09,4.47,4.47,4.42,4.44,97200,4.33
2014-01-08,4.43,4.45,4.41,4.45,188200,4.34
2014-01-07,4.44,4.46,4.42,4.45,280600,4.34
2014-01-06,4.38,4.43,4.38,4.42,155200,4.31
2014-01-03,4.36,4.39,4.36,4.39,314300,4.28
2014-01-02,4.35,4.37,4.34,4.36,288400,4.25
2013-12-31,4.35,4.38,4.34,4.34,278800,4.23
2013-12-30,4.35,4.38,4.34,4.37,308700,4.26
2013-12-27,4.38,4.38,4.34,4.37,159300,4.26
2013-12-26,4.37,4.39,4.35,4.36,192500,4.25
2013-12-24,4.35,4.38,4.35,4.35,155200,4.24
2013-12-23,4.33,4.38,4.33,4.36,230900,4.25
2013-12-20,4.29,4.35,4.29,4.33,363200,4.22
