Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,12.56,12.59,12.51,12.53,8200,12.53
2014-06-18,12.58,12.58,12.48,12.56,29900,12.56
2014-06-17,12.56,12.59,12.47,12.52,21300,12.52
2014-06-16,12.62,12.62,12.56,12.58,10400,12.58
2014-06-13,12.60,12.61,12.58,12.60,14400,12.60
2014-06-12,12.65,12.66,12.57,12.63,37500,12.63
2014-06-11,12.63,12.69,12.59,12.59,20100,12.59
2014-06-10,12.72,12.73,12.67,12.71,17700,12.65
2014-06-09,12.67,12.76,12.67,12.68,41000,12.62
2014-06-06,12.66,12.70,12.65,12.67,27300,12.61
2014-06-05,12.58,12.64,12.58,12.64,15600,12.58
2014-06-04,12.64,12.65,12.55,12.57,38300,12.51
2014-06-03,12.71,12.71,12.65,12.65,15800,12.59
2014-06-02,12.72,12.73,12.66,12.68,26800,12.62
2014-05-30,12.70,12.74,12.68,12.68,33900,12.62
2014-05-29,12.73,12.75,12.70,12.72,13600,12.66
2014-05-28,12.64,12.74,12.64,12.71,40200,12.65
2014-05-27,12.71,12.71,12.62,12.62,45400,12.56
2014-05-23,12.61,12.65,12.61,12.64,8900,12.58
2014-05-22,12.60,12.65,12.59,12.61,23300,12.55
2014-05-21,12.65,12.65,12.56,12.59,32500,12.53
2014-05-20,12.58,12.66,12.58,12.64,19100,12.58
2014-05-19,12.61,12.64,12.59,12.59,18600,12.53
2014-05-16,12.63,12.63,12.59,12.59,11200,12.53
2014-05-15,12.62,12.63,12.56,12.58,19100,12.52
2014-05-14,12.59,12.60,12.57,12.57,11900,12.51
2014-05-13,12.51,12.58,12.51,12.58,23900,12.52
2014-05-12,12.60,12.62,12.57,12.58,22800,12.47
2014-05-09,12.58,12.59,12.55,12.58,9800,12.47
2014-05-08,12.54,12.61,12.53,12.56,7500,12.45
2014-05-07,12.55,12.62,12.52,12.52,11600,12.41
2014-05-06,12.56,12.62,12.53,12.55,47700,12.44
2014-05-05,12.60,12.67,12.53,12.55,49000,12.44
2014-05-02,12.62,12.62,12.52,12.58,27900,12.47
2014-05-01,12.52,12.57,12.48,12.56,25900,12.45
2014-04-30,12.45,12.51,12.45,12.46,26100,12.35
2014-04-29,12.45,12.46,12.38,12.43,36600,12.32
2014-04-28,12.42,12.46,12.42,12.46,9000,12.35
2014-04-25,12.37,12.45,12.37,12.40,16000,12.29
2014-04-24,12.36,12.43,12.36,12.39,20900,12.28
2014-04-23,12.25,12.35,12.25,12.35,46300,12.24
2014-04-22,12.21,12.27,12.21,12.24,35300,12.13
2014-04-21,12.21,12.26,12.21,12.23,15100,12.12
2014-04-17,12.21,12.23,12.20,12.20,35200,12.09
2014-04-16,12.17,12.25,12.13,12.25,30700,12.14
2014-04-15,12.18,12.20,12.15,12.17,20800,12.06
2014-04-14,12.19,12.19,12.15,12.18,36500,12.07
2014-04-11,12.12,12.28,12.03,12.20,24300,12.09
2014-04-10,12.13,12.23,12.13,12.17,22400,12.00
2014-04-09,12.13,12.17,12.12,12.12,24900,11.95
2014-04-08,12.17,12.20,12.12,12.12,21200,11.95
2014-04-07,12.14,12.20,12.11,12.11,51700,11.94
2014-04-04,12.11,12.20,12.07,12.11,56500,11.94
2014-04-03,12.06,12.18,12.06,12.07,60000,11.91
2014-04-02,12.10,12.20,12.08,12.11,50300,11.94
2014-04-01,12.22,12.22,12.10,12.10,31400,11.93
2014-03-31,12.24,12.24,12.14,12.16,21600,11.99
2014-03-28,12.20,12.24,12.15,12.20,48400,12.03
2014-03-27,12.19,12.19,12.15,12.15,18700,11.98
2014-03-26,12.12,12.20,12.09,12.15,52800,11.98
2014-03-25,12.06,12.08,12.04,12.08,14600,11.92
2014-03-24,12.05,12.12,12.01,12.10,29700,11.93
2014-03-21,12.08,12.08,12.02,12.03,3900,11.87
2014-03-20,12.09,12.09,12.02,12.02,23700,11.86
2014-03-19,12.13,12.17,12.07,12.10,14600,11.93
2014-03-18,12.20,12.20,12.10,12.15,36600,11.98
2014-03-17,12.23,12.23,12.14,12.17,22100,12.00
2014-03-14,12.19,12.19,12.12,12.14,8200,11.97
2014-03-13,12.07,12.17,12.07,12.15,14200,11.98
2014-03-12,12.08,12.10,12.08,12.10,15300,11.93
2014-03-11,12.09,12.11,12.06,12.09,11900,11.87
2014-03-10,12.02,12.10,12.02,12.09,14900,11.87
2014-03-07,12.07,12.08,12.02,12.02,24700,11.80
2014-03-06,12.16,12.16,12.07,12.08,38200,11.86
2014-03-05,12.16,12.19,12.10,12.16,39100,11.94
2014-03-04,12.20,12.20,12.12,12.16,25800,11.94
2014-03-03,12.20,12.20,12.14,12.15,43300,11.93
2014-02-28,12.14,12.18,12.11,12.17,23000,11.95
2014-02-27,12.09,12.19,12.09,12.18,18300,11.96
2014-02-26,12.14,12.16,12.08,12.08,10100,11.86
2014-02-25,12.04,12.12,12.04,12.10,25600,11.88
2014-02-24,12.06,12.10,12.02,12.10,44300,11.88
2014-02-21,12.02,12.06,12.00,12.04,25000,11.82
2014-02-20,12.00,12.02,11.98,11.99,20900,11.77
2014-02-19,12.06,12.06,11.98,12.02,18100,11.80
2014-02-18,12.07,12.08,11.97,12.08,23700,11.86
2014-02-14,11.98,12.12,11.96,12.02,72100,11.80
2014-02-13,11.95,12.00,11.95,11.95,9300,11.73
2014-02-12,12.02,12.02,11.92,11.94,28100,11.72
2014-02-11,12.05,12.08,12.00,12.02,29800,11.74
2014-02-10,11.95,12.04,11.95,12.03,18100,11.75
2014-02-07,12.03,12.05,11.92,11.96,54400,11.69
2014-02-06,11.93,11.97,11.92,11.95,16300,11.68
2014-02-05,11.93,11.97,11.91,11.92,19500,11.65
2014-02-04,12.10,12.10,11.96,11.97,45800,11.70
2014-02-03,12.05,12.09,12.02,12.02,23200,11.74
2014-01-31,11.98,12.03,11.98,11.99,26200,11.71
2014-01-30,11.92,12.00,11.92,11.97,43000,11.70
2014-01-29,12.02,12.02,11.92,11.95,28700,11.68
2014-01-28,12.01,12.03,11.93,11.98,44400,11.71
2014-01-27,12.08,12.12,12.00,12.00,24100,11.72
2014-01-24,12.03,12.12,12.03,12.07,72800,11.79
2014-01-23,12.03,12.10,12.02,12.09,22500,11.81
2014-01-22,12.00,12.02,11.98,12.01,23500,11.73
2014-01-21,12.01,12.04,11.97,11.97,30700,11.70
2014-01-17,11.97,12.05,11.96,11.98,49500,11.71
2014-01-16,11.85,11.98,11.85,11.95,20100,11.68
2014-01-15,11.94,11.94,11.86,11.87,44200,11.60
2014-01-14,11.85,11.91,11.85,11.88,33400,11.61
2014-01-13,11.85,11.90,11.83,11.87,39600,11.60
2014-01-10,11.82,11.90,11.82,11.90,41200,11.57
2014-01-09,11.74,11.84,11.74,11.74,43700,11.42
2014-01-08,11.81,11.81,11.73,11.78,19000,11.45
2014-01-07,11.85,11.85,11.76,11.80,38000,11.47
2014-01-06,11.75,11.80,11.72,11.78,47800,11.45
2014-01-03,11.68,11.75,11.60,11.75,62000,11.43
2014-01-02,11.59,11.70,11.58,11.62,76300,11.30
2013-12-31,11.56,11.66,11.56,11.60,143600,11.28
2013-12-30,11.56,11.74,11.56,11.62,105900,11.30
2013-12-27,11.66,11.69,11.58,11.62,119400,11.30
2013-12-26,11.84,11.84,11.70,11.71,60100,11.39
2013-12-24,11.83,11.84,11.61,11.76,76800,11.44
2013-12-23,11.62,11.84,11.62,11.79,171600,11.46
2013-12-20,11.69,11.77,11.62,11.66,124500,11.34
2013-12-19,11.64,11.80,11.49,11.69,153500,11.37
