Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,21.14,21.96,21.00,21.46,14000,21.46
2014-06-18,23.09,23.12,22.36,22.54,19700,22.54
2014-06-17,23.84,23.98,22.85,23.00,19400,23.00
2014-06-16,24.90,25.38,23.80,24.20,29400,24.20
2014-06-13,25.24,26.28,25.03,25.03,19500,25.03
2014-06-12,25.90,26.37,24.46,25.09,12900,25.09
2014-06-11,26.05,26.23,25.81,25.81,10800,25.81
2014-06-10,25.77,26.15,25.15,25.91,14200,25.91
2014-06-09,24.96,26.04,24.57,25.78,24200,25.10
2014-06-06,23.17,25.01,22.99,24.96,15600,24.30
2014-06-05,23.93,23.98,23.04,23.60,389400,22.97
2014-06-04,22.28,23.24,22.28,23.20,16000,22.58
2014-06-03,20.86,22.22,20.78,22.21,11100,21.62
2014-06-02,21.30,21.30,20.60,20.86,8500,20.31
2014-05-30,21.40,21.40,20.80,21.00,5300,20.44
2014-05-29,20.59,21.00,20.56,21.00,7100,20.44
2014-05-28,19.91,20.42,19.91,20.35,4400,19.81
2014-05-27,20.09,20.77,20.08,20.43,9500,19.89
2014-05-23,20.06,21.00,19.93,20.80,2000,20.25
2014-05-22,20.14,20.65,19.90,20.65,6800,20.10
2014-05-21,19.71,20.35,19.45,20.35,10700,19.81
2014-05-20,20.37,20.37,19.50,19.87,2300,19.34
2014-05-19,19.61,19.86,19.31,19.81,6900,19.28
2014-05-16,19.65,19.84,19.41,19.56,900,19.04
2014-05-15,20.63,20.63,19.50,19.79,12200,19.26
2014-05-14,21.10,21.10,20.07,20.07,4900,19.54
2014-05-13,20.59,20.60,20.39,20.43,5900,19.89
2014-05-12,21.26,21.26,20.50,20.65,3500,20.10
2014-05-09,21.18,21.18,19.83,21.15,5300,20.59
2014-05-08,21.75,21.84,21.18,21.21,7000,20.65
2014-05-07,21.64,21.86,21.51,21.84,4800,21.26
2014-05-06,21.60,21.77,21.40,21.56,6500,20.99
2014-05-05,21.47,21.71,21.47,21.67,900,21.10
2014-05-02,21.24,21.31,21.24,21.31,400,20.74
2014-05-01,21.05,21.29,21.05,21.18,900,20.62
2014-04-30,20.69,21.06,20.26,20.56,4200,20.01
2014-04-29,19.60,20.78,19.60,20.74,3700,20.19
2014-04-28,19.77,19.93,18.91,19.56,2200,19.04
2014-04-25,19.38,19.90,19.38,19.77,3000,19.25
2014-04-24,18.85,19.23,18.85,19.23,3000,18.72
2014-04-23,18.50,19.21,18.50,19.01,3700,18.51
2014-04-22,18.23,18.43,18.23,18.43,600,17.94
2014-04-21,18.26,18.58,17.91,18.30,1700,17.81
2014-04-17,17.88,19.01,17.88,18.33,7400,17.84
2014-04-16,18.66,18.66,17.88,17.98,2300,17.50
2014-04-15,18.99,18.99,17.53,17.92,3200,17.44
2014-04-14,18.03,18.08,17.83,18.00,13800,17.52
2014-04-11,17.85,17.94,17.74,17.74,1800,17.27
2014-04-10,18.00,18.00,17.78,18.00,3000,17.52
2014-04-09,17.99,18.00,17.89,17.89,700,17.42
2014-04-08,17.82,17.95,17.39,17.63,12300,17.16
2014-04-07,17.58,17.98,17.49,17.65,4800,17.18
2014-04-04,18.05,18.05,17.62,17.62,10900,17.15
2014-04-03,18.07,18.07,18.07,18.07,000,17.59
2014-04-02,17.24,18.07,17.24,18.07,600,17.59
2014-04-01,17.82,18.11,17.45,18.11,22200,17.63
2014-03-31,17.60,17.90,17.60,17.76,11500,17.29
2014-03-28,17.89,18.00,17.45,17.48,8100,17.02
2014-03-27,17.66,17.66,17.66,17.66,000,17.19
2014-03-26,17.57,17.99,17.57,17.66,1000,17.19
2014-03-25,17.33,17.99,17.24,17.83,2700,17.36
2014-03-24,17.67,17.95,17.17,17.24,2300,16.78
2014-03-21,17.97,18.28,17.05,17.38,3500,16.92
2014-03-20,16.71,18.05,16.71,18.05,1600,17.57
2014-03-19,17.19,17.97,17.19,17.57,1500,17.10
2014-03-18,16.64,17.19,16.64,17.19,3300,16.73
2014-03-17,17.07,17.20,16.90,17.00,4100,16.55
2014-03-14,17.10,17.20,16.14,16.62,21800,16.18
2014-03-13,16.90,18.02,16.90,17.86,1300,17.39
2014-03-12,17.53,18.27,17.53,17.71,2700,17.24
2014-03-11,18.31,18.34,17.96,17.96,3000,17.48
2014-03-10,17.96,18.40,17.96,18.40,600,17.91
2014-03-07,18.12,18.12,18.12,18.12,000,17.64
2014-03-06,17.95,18.17,17.95,18.12,1600,17.64
2014-03-05,18.00,18.00,18.00,18.00,700,17.52
2014-03-04,18.00,18.00,17.66,17.99,700,17.51
2014-03-03,17.60,18.00,17.60,18.00,3200,17.52
2014-02-28,18.30,18.30,18.30,18.30,200,17.81
2014-02-27,17.51,18.30,17.42,18.30,10600,17.81
2014-02-26,18.37,18.50,17.37,17.37,9400,16.91
2014-02-25,18.38,18.38,18.38,18.38,000,17.89
2014-02-24,17.65,18.38,17.65,18.38,700,17.89
2014-02-21,18.10,18.15,17.84,18.15,1100,17.67
2014-02-20,18.00,18.16,17.36,18.16,1200,17.68
2014-02-19,18.72,18.72,18.23,18.23,600,17.75
2014-02-18,18.48,18.92,18.23,18.23,1300,17.75
2014-02-14,18.61,19.25,18.20,18.91,3800,18.41
2014-02-13,18.58,18.58,17.97,18.09,1000,17.61
2014-02-12,17.10,18.34,17.10,18.10,3100,17.62
2014-02-11,17.25,17.25,17.25,17.25,700,16.79
2014-02-10,16.97,16.97,16.97,16.97,000,16.52
2014-02-07,17.01,17.04,16.97,16.97,700,16.52
2014-02-06,17.47,17.74,16.96,17.43,2900,16.97
2014-02-05,17.00,17.59,16.60,17.59,2700,17.12
2014-02-04,16.35,17.00,16.19,16.96,1000,16.51
2014-02-03,17.15,17.15,16.85,17.14,900,16.69
2014-01-31,16.56,16.97,16.13,16.48,1700,16.04
2014-01-30,15.87,16.92,15.87,16.50,2500,16.06
2014-01-29,16.47,17.12,15.84,15.90,4100,15.48
2014-01-28,16.07,17.36,16.07,17.10,22100,16.65
2014-01-27,16.81,17.26,16.01,16.19,6600,15.76
2014-01-24,18.12,18.12,17.07,17.25,6800,16.79
2014-01-23,18.52,19.12,17.66,17.74,4200,17.27
2014-01-22,18.64,19.59,17.35,18.68,4600,18.18
2014-01-21,18.71,19.10,18.63,18.93,3100,18.43
2014-01-17,18.26,19.25,18.26,18.96,4000,18.46
2014-01-16,18.88,20.00,18.28,18.28,5200,17.79
2014-01-15,18.82,18.89,18.82,18.89,700,18.39
2014-01-14,19.23,19.60,18.51,18.90,7100,18.40
2014-01-13,17.91,19.90,17.90,18.85,32700,18.35
2014-01-10,18.41,18.52,17.85,18.20,4700,17.72
2014-01-09,19.00,19.16,18.49,18.70,2700,18.20
2014-01-08,18.46,19.30,18.46,18.90,9400,18.40
2014-01-07,19.23,19.25,18.33,18.62,33100,18.13
2014-01-06,19.21,19.25,18.80,19.14,1700,18.63
2014-01-03,19.55,19.61,19.55,19.60,2600,19.08
2014-01-02,19.90,19.92,19.46,19.46,6000,18.94
2013-12-31,19.85,20.55,19.67,19.90,3600,19.37
2013-12-30,20.44,20.60,20.23,20.23,1400,19.69
2013-12-27,20.30,20.70,20.11,20.70,3900,20.15
2013-12-26,20.91,20.91,19.80,19.80,3700,19.27
2013-12-24,20.61,20.99,20.61,20.95,1700,20.39
2013-12-23,20.09,21.13,19.24,20.74,5400,20.19
2013-12-20,22.25,22.25,21.52,21.77,3800,20.00
2013-12-19,22.06,22.40,21.92,22.28,4300,20.47
2013-12-18,22.30,22.63,22.07,22.46,5900,20.63
2013-12-17,22.16,23.27,21.62,22.30,8300,20.49
2013-12-16,23.21,23.21,22.39,22.85,12000,20.99
2013-12-13,21.38,22.98,21.38,22.39,5600,20.57
2013-12-12,21.26,21.50,21.11,21.50,2000,19.75
2013-12-11,21.57,21.75,21.36,21.57,1400,19.82
2013-12-10,22.58,22.97,22.05,22.09,3200,20.29
2013-12-09,22.60,22.60,22.22,22.49,3800,20.66
2013-12-06,22.05,22.80,22.05,22.74,1800,20.89
2013-12-05,22.45,23.00,22.44,22.82,8400,20.96
2013-12-04,22.32,22.48,22.30,22.48,1900,20.65
2013-12-03,22.76,22.80,22.32,22.38,6700,20.56
2013-12-02,22.89,22.90,22.31,22.75,7900,20.90
2013-11-29,22.93,22.93,22.80,22.80,1200,20.95
2013-11-27,22.54,22.94,22.51,22.84,6400,20.98
2013-11-26,22.88,23.12,22.16,22.58,10000,20.74
2013-11-25,22.07,23.04,22.07,22.34,9200,20.52
2013-11-22,23.34,23.78,21.59,22.30,30800,20.49
2013-11-21,23.43,23.50,22.90,22.95,7400,21.08
2013-11-20,23.00,23.40,22.60,23.24,37200,21.35
2013-11-19,23.17,23.45,22.72,22.90,3000,21.04
2013-11-18,22.98,23.42,22.69,23.42,1200,21.51
2013-11-15,23.74,23.74,21.55,23.00,7500,21.13
2013-11-14,22.34,23.24,22.24,22.99,4800,21.12
2013-11-13,21.23,21.93,20.34,21.35,8300,19.61
2013-11-12,23.16,23.37,21.80,21.80,38100,20.03
2013-11-11,21.98,22.80,21.98,22.50,2000,20.67
2013-11-08,21.86,22.00,20.90,21.50,1900,19.75
2013-11-07,21.46,21.57,21.19,21.35,2800,19.61
2013-11-06,22.32,22.82,22.15,22.32,1600,20.50
2013-11-05,21.60,22.55,21.54,22.25,8500,20.44
2013-11-04,21.55,21.55,20.52,20.89,2100,19.19
2013-11-01,21.45,21.48,20.80,20.80,9900,19.11
2013-10-31,20.90,21.50,20.80,21.49,4600,19.74
2013-10-30,21.58,21.58,20.26,20.61,1100,18.93
2013-10-29,20.17,20.98,20.13,20.75,1300,19.06
2013-10-28,20.56,21.55,20.56,20.94,2800,19.24
2013-10-25,21.17,21.17,20.56,20.56,6700,18.89
2013-10-24,21.70,21.70,21.70,21.70,000,19.93
2013-10-23,21.60,21.83,21.60,21.70,1800,19.93
2013-10-22,21.48,21.85,21.48,21.85,700,20.07
2013-10-21,21.85,21.98,21.83,21.94,900,20.16
2013-10-18,21.60,21.70,21.60,21.70,400,19.93
2013-10-17,21.75,21.84,21.19,21.59,1100,19.83
2013-10-16,21.62,21.78,21.46,21.78,1100,20.01
2013-10-15,20.85,21.50,20.65,21.50,3900,19.75
2013-10-14,20.00,20.48,20.00,20.17,2800,18.53
2013-10-11,20.01,20.48,20.00,20.48,1700,18.81
2013-10-10,21.40,21.40,19.48,20.33,1200,18.68
2013-10-09,20.42,21.81,18.70,19.83,5600,18.22
2013-10-08,19.50,19.74,18.79,19.44,5800,17.86
2013-10-07,19.60,19.60,18.94,19.20,4100,17.64
2013-10-04,19.50,19.50,19.50,19.50,000,17.91
2013-10-03,19.23,19.50,19.23,19.50,1100,17.91
2013-10-02,19.25,19.25,19.19,19.25,700,17.68
2013-10-01,19.19,19.25,19.19,19.25,400,17.68
2013-09-30,19.19,19.19,19.19,19.19,200,17.63
2013-09-27,19.32,19.32,19.30,19.30,400,17.73
2013-09-26,18.85,19.52,18.85,19.00,600,17.45
2013-09-25,21.03,21.03,19.53,20.22,3800,18.58
2013-09-24,20.30,20.30,20.14,20.14,2000,18.50
2013-09-23,20.00,20.17,20.00,20.00,1200,18.37
2013-09-20,20.29,23.62,19.88,20.34,11300,18.69
2013-09-19,20.39,20.39,19.92,20.10,800,18.46
2013-09-18,19.45,20.56,19.45,20.20,7500,18.56
2013-09-17,19.04,19.25,18.75,19.15,1200,17.59
2013-09-16,19.17,19.51,18.86,19.36,2600,17.78
2013-09-13,18.38,18.80,17.93,18.79,6500,17.26
2013-09-12,19.79,19.79,18.57,18.57,6700,17.06
2013-09-11,18.93,19.70,18.93,19.07,7200,17.52
2013-09-10,18.99,19.25,18.92,18.92,3200,17.38
2013-09-09,19.45,19.45,18.51,18.59,4600,17.08
2013-09-06,18.80,18.80,18.40,18.40,4000,16.90
2013-09-05,18.93,18.93,18.36,18.70,2100,17.18
2013-09-04,19.00,19.00,18.43,18.86,103300,17.33
2013-09-03,17.73,17.77,17.29,17.45,1400,16.03
2013-08-30,17.96,17.98,17.45,17.45,2500,16.03
2013-08-29,17.49,18.21,17.49,17.76,1400,16.32
2013-08-28,16.59,17.98,16.59,17.00,900,15.62
2013-08-27,15.68,17.00,15.68,17.00,1100,15.62
2013-08-26,16.52,16.99,16.46,16.56,1000,15.21
2013-08-23,17.55,17.74,16.70,17.03,3900,15.64
2013-08-22,17.90,18.27,17.82,18.10,7600,16.63
2013-08-21,17.76,18.00,17.76,17.81,5100,16.36
2013-08-20,18.00,18.00,17.40,17.96,2200,16.50
2013-08-19,18.00,18.00,18.00,18.00,000,16.54
2013-08-16,17.80,18.00,15.97,18.00,4300,16.54
2013-08-15,18.16,18.19,18.12,18.12,1600,16.65
2013-08-14,17.70,18.44,17.70,18.37,11000,16.88
2013-08-13,16.78,18.47,16.78,17.75,27800,16.31
2013-08-12,16.59,16.99,16.59,16.73,1500,15.37
2013-08-09,16.19,16.89,16.19,16.46,6900,15.12
2013-08-08,15.76,16.41,15.76,16.05,3000,14.74
2013-08-07,15.13,16.00,15.13,15.65,7800,14.38
2013-08-06,15.02,15.46,14.84,15.17,7000,13.94
2013-08-05,14.90,15.23,14.89,15.02,3900,13.80
2013-08-02,14.99,14.99,14.99,14.99,100,13.77
2013-08-01,14.49,15.05,14.27,15.05,1200,13.83
2013-07-31,14.41,14.78,14.27,14.32,5400,13.16
2013-07-30,14.56,14.79,14.36,14.38,900,13.21
2013-07-29,14.81,15.25,14.50,14.67,4700,13.48
2013-07-26,15.24,15.35,14.92,14.92,4700,13.71
2013-07-25,15.33,15.33,15.33,15.33,000,14.08
2013-07-24,15.34,15.44,15.06,15.33,2500,14.08
2013-07-23,15.49,15.59,15.49,15.59,300,14.32
2013-07-22,14.99,15.49,14.99,15.49,4600,14.23
2013-07-19,15.21,15.35,14.82,15.14,3200,13.91
2013-07-18,14.91,15.02,14.75,15.00,3300,13.78
2013-07-17,14.35,14.73,14.05,14.71,6800,13.51
2013-07-16,14.57,14.97,14.07,14.42,4400,13.25
2013-07-15,14.06,14.71,14.05,14.60,4800,13.41
2013-07-12,14.72,14.73,14.62,14.73,500,13.53
2013-07-11,14.42,14.87,14.42,14.61,1300,13.42
2013-07-10,14.39,14.39,14.39,14.39,000,13.22
2013-07-09,14.20,14.40,14.20,14.39,4900,13.22
2013-07-08,14.30,14.56,14.20,14.50,2800,13.32
2013-07-05,14.45,14.45,13.57,13.88,2700,12.75
2013-07-03,14.56,14.56,14.49,14.49,200,13.31
2013-07-02,14.34,14.85,14.10,14.50,3700,13.32
2013-07-01,14.65,14.85,14.10,14.85,900,13.64
2013-06-28,14.53,14.91,14.51,14.51,4000,13.33
2013-06-27,14.20,14.99,14.16,14.60,8400,13.41
2013-06-26,14.30,14.30,14.20,14.20,6800,13.04
2013-06-25,13.90,14.30,13.90,14.30,1700,13.14
2013-06-24,15.00,15.00,13.61,14.20,11900,13.04
2013-06-21,15.10,15.18,14.76,15.15,1100,13.92
2013-06-20,15.00,15.18,15.00,15.18,600,13.95
2013-06-19,15.39,15.77,15.38,15.77,1800,14.49
2013-06-18,16.08,16.08,15.50,15.85,8600,14.56
2013-06-17,16.42,16.49,15.77,16.01,1200,14.71
2013-06-14,16.72,16.72,16.55,16.62,2000,15.27
2013-06-13,16.88,17.09,16.87,17.09,600,15.70
2013-06-12,17.50,17.50,17.18,17.18,300,15.78
2013-06-11,17.15,17.15,17.15,17.15,000,15.75
2013-06-10,17.15,17.15,17.15,17.15,000,15.75
2013-06-07,17.12,17.15,17.12,17.15,1700,15.75
2013-06-06,17.18,17.18,16.73,17.15,1200,15.75
2013-06-05,17.27,17.64,17.22,17.50,1600,16.08
2013-06-04,17.14,17.50,17.14,17.32,5800,15.91
2013-06-03,17.13,17.13,16.99,16.99,1900,15.61
2013-05-31,17.54,17.54,16.90,17.04,5000,15.65
2013-05-30,18.30,18.30,18.30,18.30,000,16.81
2013-05-29,18.30,18.30,18.30,18.30,400,16.81
2013-05-28,18.59,18.59,18.59,18.59,300,17.08
2013-05-24,17.54,17.80,17.47,17.80,800,16.35
2013-05-23,17.75,17.75,17.75,17.75,000,16.31
2013-05-22,17.75,18.49,17.75,17.75,3100,16.31
2013-05-21,18.47,18.47,18.47,18.47,200,16.97
2013-05-20,18.24,18.24,18.24,18.24,000,16.76
2013-05-17,17.23,18.24,17.23,18.24,200,16.76
2013-05-16,17.60,18.03,17.48,17.48,3400,16.06
2013-05-15,17.65,17.65,17.65,17.65,100,16.21
2013-05-14,18.17,18.17,17.60,17.97,1600,16.51
2013-05-13,17.95,18.34,17.86,18.01,26300,16.54
2013-05-10,17.81,17.81,17.81,17.81,100,16.36
2013-05-09,17.21,17.70,17.21,17.70,600,16.26
2013-05-08,17.83,17.83,17.42,17.56,5100,16.13
2013-05-07,18.22,18.22,17.52,17.91,700,16.45
2013-05-06,18.16,18.94,17.75,18.15,8900,16.67
2013-05-03,18.07,18.48,18.07,18.16,1100,16.68
2013-05-02,18.08,18.54,18.07,18.15,3600,16.67
2013-05-01,17.48,17.92,17.47,17.92,900,16.46
2013-04-30,18.00,18.01,17.86,18.00,3900,16.54
2013-04-29,17.43,17.43,17.17,17.28,4000,15.87
2013-04-26,17.41,17.41,17.41,17.41,200,15.99
2013-04-25,17.45,17.68,17.45,17.45,2900,16.03
2013-04-24,17.36,17.40,17.34,17.34,400,15.93
2013-04-23,17.00,18.08,17.00,17.54,6700,16.11
2013-04-22,16.70,17.25,16.70,17.00,4000,15.62
2013-04-19,16.25,16.50,16.01,16.36,2300,15.03
2013-04-18,15.68,16.25,15.55,16.02,10100,14.72
2013-04-17,15.64,15.76,15.63,15.65,1500,14.38
2013-04-16,15.30,15.79,15.30,15.79,1000,14.51
2013-04-15,15.59,15.97,15.59,15.84,1700,14.55
2013-04-12,16.12,16.39,16.01,16.18,5200,14.86
2013-04-11,15.55,16.28,15.55,16.03,1800,14.73
2013-04-10,15.58,15.66,15.58,15.66,1200,14.39
2013-04-09,14.75,15.62,14.75,15.62,1200,14.35
2013-04-08,14.97,15.32,14.97,15.21,14000,13.97
2013-04-05,14.18,14.69,14.18,14.69,1100,13.49
2013-04-04,14.54,14.55,14.50,14.50,1700,13.32
2013-04-03,14.17,14.47,14.17,14.22,2000,13.06
2013-04-02,14.67,14.78,11.82,14.36,9700,13.19
2013-04-01,14.38,15.01,14.38,14.68,2300,13.49
2013-03-28,14.62,14.70,14.55,14.63,800,13.44
2013-03-27,14.47,14.98,14.44,14.90,2400,13.69
2013-03-26,14.66,14.97,14.66,14.85,2600,13.64
2013-03-25,14.98,15.00,14.80,14.97,3000,13.75
2013-03-22,15.27,15.27,15.08,15.08,1600,13.85
2013-03-21,14.80,15.07,14.75,15.05,3100,13.83
2013-03-20,14.94,15.05,14.86,14.95,2900,13.73
2013-03-19,15.04,15.05,14.86,14.86,2100,13.65
2013-03-18,14.39,14.96,14.39,14.84,2500,13.63
2013-03-15,15.00,15.00,14.75,14.75,600,13.55
2013-03-14,15.12,15.42,15.12,15.24,4000,14.00
2013-03-13,15.00,15.00,15.00,15.00,300,13.78
2013-03-12,14.66,15.31,14.66,15.10,10100,13.87
2013-03-11,14.02,14.98,14.02,14.55,12000,13.37
2013-03-08,13.92,14.15,13.92,14.15,2300,13.00
2013-03-07,13.78,13.80,13.58,13.79,4000,12.67
2013-03-06,13.16,13.72,13.16,13.45,1900,12.36
2013-03-05,13.67,13.99,13.62,13.89,1700,12.76
2013-03-04,12.50,13.71,12.50,13.59,12600,12.48
2013-03-01,13.07,13.26,11.91,12.36,8200,11.35
2013-02-28,14.05,14.05,12.19,12.47,9600,11.46
2013-02-27,13.98,14.20,13.80,14.19,3800,13.04
2013-02-26,14.33,14.33,13.33,14.24,2100,13.08
2013-02-25,14.45,14.45,13.75,13.99,4600,12.85
2013-02-22,14.39,14.53,14.37,14.39,6800,13.22
2013-02-21,14.50,14.50,14.13,14.18,3300,13.03
2013-02-20,14.80,15.08,14.55,14.55,5200,13.37
2013-02-19,14.76,14.90,14.76,14.80,4800,13.60
2013-02-15,14.67,14.75,14.67,14.70,2000,13.50
2013-02-14,15.11,15.22,14.73,14.90,4900,13.69
2013-02-13,15.21,15.29,15.21,15.23,600,13.99
2013-02-12,15.26,15.46,14.98,15.13,1600,13.90
2013-02-11,15.54,15.57,15.16,15.26,3500,14.02
2013-02-08,16.07,16.13,15.46,15.47,5600,14.21
2013-02-07,16.27,16.41,15.89,15.89,17600,14.60
2013-02-06,16.45,16.71,16.11,16.12,1800,14.81
2013-02-05,16.49,16.55,16.37,16.40,2900,15.07
2013-02-04,16.11,16.30,15.95,16.25,8300,14.93
2013-02-01,16.77,17.15,16.15,16.15,15500,14.84
2013-01-31,16.43,16.74,16.23,16.49,18200,15.15
2013-01-30,16.45,16.47,16.04,16.33,23300,15.00
2013-01-29,16.36,16.36,16.18,16.31,3900,14.98
2013-01-28,16.21,16.46,16.21,16.29,6600,14.96
2013-01-25,16.09,16.39,16.01,16.24,8700,14.92
2013-01-24,16.45,16.48,16.05,16.07,2600,14.76
2013-01-23,16.30,16.38,16.15,16.33,4300,15.00
2013-01-22,16.07,16.34,15.88,16.15,11200,14.84
2013-01-18,15.72,16.00,15.72,15.94,2800,14.64
2013-01-17,15.25,15.65,15.25,15.65,1300,14.38
2013-01-16,15.03,15.36,15.03,15.24,700,14.00
2013-01-15,14.83,15.00,14.80,14.94,3500,13.72
2013-01-14,15.02,15.09,14.95,15.00,2400,13.78
2013-01-11,14.86,14.97,14.53,14.90,1700,13.69
2013-01-10,15.09,15.09,14.78,14.78,2100,13.58
2013-01-09,14.56,14.98,14.47,14.94,7700,13.72
2013-01-08,14.60,14.69,14.60,14.60,500,13.41
2013-01-07,14.69,14.70,14.63,14.69,1800,13.49
