Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,7.77,8.50,6.68,7.18,6716600,7.18
2014-06-18,8.98,9.10,8.34,8.97,1657300,8.97
2014-06-17,8.65,9.35,8.43,8.89,3097100,8.89
2014-06-16,7.76,9.05,7.40,8.82,5385600,8.82
2014-06-13,7.35,7.80,7.11,7.66,1776200,7.66
2014-06-12,6.63,7.20,6.16,7.19,2149300,7.19
2014-06-11,6.14,6.73,6.01,6.41,3271900,6.41
2014-06-10,6.00,6.00,5.54,5.73,557400,5.73
2014-06-09,5.70,6.02,5.67,5.87,562800,5.87
2014-06-06,5.66,5.80,5.60,5.71,383300,5.71
2014-06-05,5.81,5.90,5.61,5.71,567600,5.71
2014-06-04,5.75,5.97,5.57,5.87,537300,5.87
2014-06-03,5.59,5.95,5.40,5.90,762900,5.90
2014-06-02,5.96,5.98,5.42,5.59,849800,5.59
2014-05-30,6.34,6.34,5.98,5.98,578200,5.98
2014-05-29,6.10,6.32,6.03,6.20,389200,6.20
2014-05-28,6.32,6.35,5.90,6.14,1083300,6.14
2014-05-27,6.30,6.72,6.10,6.53,2037300,6.53
2014-05-23,5.51,5.88,5.46,5.83,353000,5.83
2014-05-22,5.62,5.65,5.50,5.53,427500,5.53
2014-05-21,5.71,5.76,5.55,5.61,310200,5.61
2014-05-20,5.74,5.80,5.69,5.74,249900,5.74
2014-05-19,5.65,5.95,5.62,5.85,266000,5.85
2014-05-16,5.99,6.19,5.31,5.83,888500,5.83
2014-05-15,6.70,6.80,5.93,6.00,3277900,6.00
2014-05-14,5.91,6.00,5.75,5.94,620500,5.94
2014-05-13,5.34,5.86,5.30,5.72,427700,5.72
2014-05-12,5.10,5.49,5.10,5.27,413600,5.27
2014-05-09,5.00,5.30,4.87,5.20,586100,5.20
2014-05-08,5.19,5.49,4.90,4.94,829400,4.94
2014-05-07,5.51,5.73,5.14,5.22,724300,5.22
2014-05-06,5.82,5.88,5.51,5.52,363200,5.52
2014-05-05,5.82,5.90,5.71,5.86,320400,5.86
2014-05-02,5.90,5.94,5.80,5.89,177600,5.89
2014-05-01,5.99,6.00,5.77,5.90,212500,5.90
2014-04-30,5.85,5.99,5.72,5.94,299300,5.94
2014-04-29,5.90,6.02,5.65,5.90,533100,5.90
2014-04-28,5.77,6.44,5.73,5.97,510600,5.97
2014-04-25,5.91,6.01,5.61,5.80,390200,5.80
2014-04-24,6.10,6.20,5.83,5.99,289000,5.99
2014-04-23,6.24,6.24,5.85,6.00,470000,6.00
2014-04-22,6.16,6.27,6.03,6.07,742000,6.07
2014-04-21,5.88,6.14,5.81,6.06,562900,6.06
2014-04-17,5.84,5.96,5.50,5.88,438900,5.88
2014-04-16,5.82,6.00,5.52,5.70,489800,5.70
2014-04-15,5.90,5.91,5.12,5.67,1671800,5.67
2014-04-14,6.50,6.68,5.71,5.87,1348800,5.87
2014-04-11,6.84,6.84,6.36,6.40,749900,6.40
2014-04-10,6.95,7.02,6.60,6.85,1057500,6.85
2014-04-09,6.82,7.22,6.81,7.17,353900,7.17
2014-04-08,7.02,7.08,6.79,6.87,571000,6.87
2014-04-07,6.98,7.26,6.86,7.07,488000,7.07
2014-04-04,7.70,7.78,6.91,7.08,844000,7.08
2014-04-03,7.68,7.88,7.39,7.63,1068100,7.63
2014-04-02,7.68,8.06,7.59,7.84,610500,7.84
2014-04-01,7.34,7.74,7.28,7.69,965500,7.69
2014-03-31,7.02,7.40,7.02,7.24,624500,7.24
2014-03-28,7.29,7.45,6.80,7.18,1961000,7.18
2014-03-27,7.59,8.09,6.90,7.78,3181200,7.78
2014-03-26,6.99,7.19,6.70,6.76,582600,6.76
2014-03-25,7.10,7.27,6.77,6.98,551300,6.98
2014-03-24,7.47,7.51,6.55,7.05,1509600,7.05
2014-03-21,7.58,7.65,7.32,7.47,735100,7.47
2014-03-20,7.63,7.78,7.46,7.55,742800,7.55
2014-03-19,7.86,8.00,7.76,7.81,602400,7.81
2014-03-18,7.99,8.21,7.82,8.05,754800,8.05
2014-03-17,7.80,8.42,7.75,7.98,1228600,7.98
2014-03-14,7.91,7.99,7.50,7.72,1080400,7.72
2014-03-13,8.16,9.00,7.80,7.94,2298300,7.94
2014-03-12,8.53,8.60,7.26,7.99,3712900,7.99
2014-03-11,8.29,10.64,8.25,9.18,8397300,9.18
2014-03-10,6.57,8.25,6.36,7.85,6170100,7.85
2014-03-07,6.44,6.81,5.78,6.06,2088200,6.06
2014-03-06,6.65,6.65,5.65,5.96,1805800,5.96
2014-03-05,6.56,6.89,6.50,6.64,606100,6.64
2014-03-04,6.60,6.74,6.39,6.51,646200,6.51
2014-03-03,6.94,7.12,6.26,6.36,1954600,6.36
2014-02-28,7.50,7.63,6.75,7.09,1669500,7.09
2014-02-27,7.34,7.92,7.21,7.41,1694200,7.41
2014-02-26,6.80,7.29,6.77,7.21,1530300,7.21
2014-02-25,7.00,7.02,6.43,6.77,1653500,6.77
2014-02-24,6.51,7.00,6.40,6.93,1771800,6.93
2014-02-21,6.43,6.50,6.25,6.33,775800,6.33
2014-02-20,5.80,6.31,5.78,6.27,1174100,6.27
2014-02-19,5.86,5.98,5.67,5.84,743900,5.84
2014-02-18,5.39,5.82,5.25,5.78,1060800,5.78
2014-02-14,5.16,5.40,5.16,5.33,665400,5.33
2014-02-13,5.20,5.25,5.09,5.16,409400,5.16
2014-02-12,5.10,5.20,5.03,5.16,360700,5.16
2014-02-11,5.25,5.25,5.03,5.17,380800,5.17
2014-02-10,5.28,5.28,4.93,5.19,889400,5.19
2014-02-07,4.95,5.15,4.95,5.15,422600,5.15
2014-02-06,5.14,5.15,4.82,4.96,553400,4.96
2014-02-05,5.24,5.24,4.91,5.10,450000,5.10
2014-02-04,5.37,5.40,5.06,5.09,465600,5.09
2014-02-03,5.35,5.47,4.89,5.27,859300,5.27
2014-01-31,4.84,5.20,4.80,5.19,748000,5.19
2014-01-30,4.83,4.95,4.83,4.91,308600,4.91
2014-01-29,5.00,5.00,4.81,4.82,350600,4.82
2014-01-28,5.00,5.10,4.80,4.95,625600,4.95
