Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,5.25,5.39,5.18,5.39,16400,5.39
2014-06-18,5.49,5.49,5.14,5.14,4600,5.14
2014-06-17,5.50,5.50,5.28,5.35,4600,5.35
2014-06-16,5.48,5.49,5.03,5.49,4900,5.49
2014-06-13,5.50,5.50,5.45,5.45,2100,5.45
2014-06-12,5.57,5.57,5.57,5.57,1400,5.57
2014-06-11,5.57,5.57,5.35,5.56,5400,5.56
2014-06-10,5.57,5.57,5.32,5.50,6200,5.50
2014-06-09,5.51,5.80,5.47,5.79,9300,5.79
2014-06-06,5.53,5.73,5.52,5.73,5100,5.73
2014-06-05,5.79,5.79,5.79,5.79,1800,5.79
2014-06-04,5.53,5.78,5.53,5.78,2200,5.78
2014-06-03,5.65,5.79,5.50,5.73,8100,5.73
2014-06-02,5.80,5.80,5.65,5.65,3600,5.65
2014-05-30,5.79,5.79,5.63,5.79,3500,5.79
2014-05-29,5.80,5.80,5.78,5.79,1600,5.79
2014-05-28,5.84,5.85,5.79,5.84,3600,5.84
2014-05-27,5.85,5.85,5.71,5.80,9600,5.80
2014-05-23,5.79,6.00,5.76,6.00,10000,6.00
2014-05-22,5.80,5.80,5.60,5.60,1900,5.60
2014-05-21,5.65,5.77,5.44,5.70,7500,5.70
2014-05-20,5.90,5.90,5.70,5.80,9300,5.80
2014-05-19,5.77,5.98,5.61,5.85,19200,5.85
2014-05-16,6.00,6.00,5.11,5.96,12800,5.96
2014-05-15,5.70,6.00,5.70,5.94,2500,5.94
2014-05-14,6.12,6.12,5.95,5.99,19600,5.99
2014-05-13,6.12,6.23,6.02,6.15,33200,6.15
2014-05-12,6.50,6.50,6.03,6.50,51400,6.50
2014-05-09,5.75,6.80,5.63,5.85,14300,5.85
2014-05-08,7.25,7.38,7.01,7.11,17900,7.11
2014-05-07,7.14,7.39,7.14,7.39,22100,7.39
2014-05-06,7.20,7.20,6.99,7.04,20000,7.04
2014-05-05,7.55,7.55,7.20,7.21,12100,7.21
2014-05-02,7.20,7.30,7.15,7.24,25700,7.24
2014-05-01,7.38,7.80,7.02,7.09,21400,7.09
2014-04-30,7.64,7.64,7.00,7.00,28800,7.00
2014-04-29,6.99,7.18,6.72,7.15,19400,7.15
2014-04-28,7.60,7.64,6.83,6.84,7600,6.84
2014-04-25,6.93,7.20,6.80,6.86,10300,6.86
2014-04-24,7.69,7.69,6.80,7.15,10700,7.15
2014-04-23,7.00,7.15,7.00,7.02,8700,7.02
2014-04-22,7.10,7.30,6.80,7.10,99800,7.10
2014-04-21,7.21,7.50,7.01,7.14,18300,7.14
2014-04-17,7.25,7.39,7.07,7.17,110400,7.17
2014-04-16,7.29,7.35,7.26,7.28,14500,7.28
2014-04-15,7.05,7.32,7.05,7.29,17100,7.29
2014-04-14,7.50,7.73,7.02,7.58,12600,7.58
2014-04-11,7.40,7.73,7.30,7.73,11500,7.73
2014-04-10,7.44,7.53,7.00,7.21,64900,7.21
2014-04-09,7.59,7.60,7.40,7.40,40600,7.40
2014-04-08,7.52,7.80,7.40,7.41,37200,7.41
2014-04-07,7.88,7.88,7.37,7.51,44400,7.51
2014-04-04,7.70,7.70,7.50,7.50,23700,7.50
2014-04-03,7.45,7.70,7.45,7.69,25800,7.69
2014-04-02,7.51,7.75,7.45,7.47,15800,7.47
2014-04-01,7.40,7.89,7.40,7.50,16400,7.50
2014-03-31,7.90,7.90,7.40,7.50,26200,7.50
2014-03-28,8.00,8.00,7.20,7.65,68900,7.65
2014-03-27,6.76,8.02,6.60,7.70,224100,7.70
