Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,69.21,69.42,68.21,68.34,46500,68.34
2014-06-18,70.05,70.16,68.79,69.02,88000,69.02
2014-06-17,70.00,70.35,69.32,69.76,170100,69.76
2014-06-16,69.67,70.10,69.11,70.02,107900,70.02
2014-06-13,69.65,70.04,69.00,69.53,99700,69.53
2014-06-12,69.39,70.27,68.60,69.21,125500,69.21
2014-06-11,70.80,71.44,68.15,69.66,370400,69.66
2014-06-10,68.75,72.63,68.24,72.47,381300,72.47
2014-06-09,66.44,68.84,66.44,68.75,288800,68.75
2014-06-06,65.85,65.90,64.77,64.96,132400,64.96
2014-06-05,66.08,66.64,65.00,65.49,177600,65.49
2014-06-04,64.20,66.76,63.33,66.27,108500,66.27
2014-06-03,64.56,64.81,63.53,64.50,96500,64.50
2014-06-02,64.15,65.26,62.98,64.60,99500,64.60
2014-05-30,64.87,65.30,63.64,63.93,104600,63.93
2014-05-29,65.61,65.63,64.38,64.66,31800,64.66
2014-05-28,65.69,66.07,65.06,65.29,59800,65.29
2014-05-27,64.52,66.33,64.52,65.99,58100,65.99
2014-05-23,64.13,64.98,63.90,64.28,37200,64.28
2014-05-22,63.11,64.21,63.11,63.85,66400,63.85
2014-05-21,63.53,64.08,62.72,63.12,56300,63.12
2014-05-20,63.55,63.55,61.91,63.08,86700,63.08
2014-05-19,63.01,63.99,63.01,63.59,46100,63.59
2014-05-16,62.03,63.09,62.03,63.03,33800,63.03
2014-05-15,61.88,62.45,60.69,62.01,52900,62.01
2014-05-14,63.22,63.22,61.84,62.32,83000,62.32
2014-05-13,64.13,64.28,63.16,63.56,99900,63.56
2014-05-12,62.80,64.79,62.78,63.81,123500,63.81
2014-05-09,62.14,63.96,61.25,63.32,95000,63.32
2014-05-08,63.36,65.01,62.29,62.41,68400,62.41
2014-05-07,63.70,63.89,61.69,63.26,69100,63.26
2014-05-06,64.84,65.61,63.08,63.59,57800,63.59
2014-05-05,65.15,66.02,64.26,65.28,61900,65.28
2014-05-02,66.80,67.30,65.50,65.74,50600,65.74
2014-05-01,66.21,66.83,65.41,66.65,84400,66.65
2014-04-30,65.57,66.05,64.17,66.01,58000,66.01
2014-04-29,65.97,66.50,65.39,65.64,36300,65.64
2014-04-28,66.27,67.67,64.42,65.72,83800,65.72
2014-04-25,68.06,68.69,65.44,66.19,108100,66.19
2014-04-24,69.63,69.91,67.85,68.37,99300,68.37
2014-04-23,69.57,70.07,69.13,69.23,78500,69.23
2014-04-22,68.09,69.95,67.80,69.50,52400,69.50
2014-04-21,69.32,69.32,67.75,68.07,40400,68.07
2014-04-17,69.67,70.20,68.94,69.38,45300,69.38
2014-04-16,68.55,69.87,68.24,69.68,48700,69.68
2014-04-15,68.65,69.96,66.58,68.31,97000,68.31
2014-04-14,69.90,70.06,67.99,68.51,65900,68.30
2014-04-11,69.08,69.85,68.23,68.97,94000,68.76
2014-04-10,72.50,72.87,69.84,69.92,75600,69.71
2014-04-09,73.64,73.64,72.22,72.57,76200,72.35
2014-04-08,72.81,74.46,72.12,73.49,155600,73.26
2014-04-07,74.00,74.00,72.05,72.73,88300,72.51
2014-04-04,76.75,76.99,74.04,74.38,72100,74.15
2014-04-03,77.62,77.97,75.81,76.33,58700,76.10
2014-04-02,77.01,77.86,75.96,77.72,80900,77.48
2014-04-01,78.47,78.47,76.02,76.80,102500,76.56
2014-03-31,76.44,79.55,76.33,78.20,158800,77.96
2014-03-28,73.56,78.41,73.04,76.28,162500,76.05
2014-03-27,72.82,74.26,72.07,73.90,133300,73.67
2014-03-26,74.88,75.47,72.76,73.12,76300,72.90
2014-03-25,75.47,75.47,73.34,74.19,78900,73.96
2014-03-24,77.87,78.05,74.95,75.18,99300,74.95
2014-03-21,78.60,79.39,77.59,77.60,141100,77.36
2014-03-20,78.63,79.09,78.53,78.67,43100,78.43
2014-03-19,79.04,79.55,78.12,78.90,40200,78.66
2014-03-18,78.99,79.57,78.96,79.28,70300,79.04
2014-03-17,79.61,80.14,78.89,78.92,67300,78.68
2014-03-14,78.78,80.22,78.54,79.33,75600,79.09
2014-03-13,79.65,79.79,78.97,79.00,53500,78.76
2014-03-12,80.28,80.28,78.80,79.42,74400,79.18
2014-03-11,81.61,81.83,79.72,80.46,51200,80.21
2014-03-10,82.14,82.84,81.18,81.50,66800,81.25
2014-03-07,81.09,82.65,80.86,82.02,66300,81.77
2014-03-06,81.56,82.00,80.17,80.58,47500,80.33
2014-03-05,81.05,81.92,80.70,81.60,50800,81.35
2014-03-04,79.60,81.75,79.29,81.23,110800,80.98
2014-03-03,77.82,78.55,77.16,78.45,41700,78.21
2014-02-28,78.27,78.57,77.04,78.26,54200,78.02
2014-02-27,78.15,78.60,77.37,78.08,43900,77.84
2014-02-26,75.57,79.78,75.57,78.39,86300,78.15
2014-02-25,74.27,75.79,73.90,75.63,37900,75.40
2014-02-24,73.27,74.72,73.27,74.35,58300,74.12
2014-02-21,73.40,74.00,72.80,73.37,56300,73.15
2014-02-20,73.13,73.73,72.99,73.06,67500,72.84
2014-02-19,72.80,73.47,72.08,73.11,73300,72.89
2014-02-18,73.54,73.70,71.50,72.79,176800,72.57
2014-02-14,74.00,74.00,71.97,73.73,441800,73.50
2014-02-13,75.00,77.07,75.00,76.56,124500,76.33
2014-02-12,74.10,75.19,73.47,75.04,68100,74.81
2014-02-11,73.25,74.65,72.83,73.98,47200,73.75
2014-02-10,73.37,73.48,71.62,73.00,59900,72.78
2014-02-07,72.44,73.61,72.04,73.20,88900,72.98
2014-02-06,72.30,73.68,72.02,72.27,73300,72.05
2014-02-05,73.71,74.64,72.01,72.28,109800,72.06
2014-02-04,73.42,74.48,72.95,74.28,218000,74.05
2014-02-03,75.38,75.38,72.03,72.88,91400,72.66
2014-01-31,74.49,76.05,74.29,75.47,77600,75.24
2014-01-30,76.33,76.87,75.47,75.64,66700,75.41
2014-01-29,77.18,77.45,74.51,75.59,59900,75.36
2014-01-28,76.20,77.91,75.96,77.63,69800,77.39
2014-01-27,76.60,77.21,75.71,76.03,64100,75.80
2014-01-24,77.10,77.55,75.88,76.67,47000,76.43
2014-01-23,77.65,78.32,76.85,77.66,73400,77.42
2014-01-22,78.98,79.24,77.59,77.85,81600,77.61
2014-01-21,79.60,81.20,78.87,78.96,106100,78.72
2014-01-17,80.16,81.03,78.71,79.20,73200,78.96
2014-01-16,79.95,80.27,79.32,79.99,64200,79.74
2014-01-15,76.74,81.34,76.74,80.16,131900,79.91
2014-01-14,77.08,77.08,75.81,76.73,97600,76.32
2014-01-13,79.02,79.02,76.31,76.88,63200,76.46
2014-01-10,80.17,80.17,78.47,79.16,60000,78.73
2014-01-09,80.84,80.95,78.95,79.95,108300,79.52
2014-01-08,80.23,81.68,80.08,80.36,113300,79.93
2014-01-07,81.50,82.16,80.54,81.30,77500,80.86
2014-01-06,81.35,81.84,80.41,81.13,86500,80.69
2014-01-03,80.71,81.00,80.06,80.81,32200,80.37
2014-01-02,80.67,81.62,79.86,80.72,83700,80.28
2013-12-31,79.95,81.23,79.95,80.67,79300,80.23
2013-12-30,78.68,80.16,78.68,79.56,76200,79.13
2013-12-27,80.42,80.47,78.14,78.93,71000,78.50
2013-12-26,80.08,80.80,79.50,80.06,19700,79.63
2013-12-24,79.72,80.20,78.73,79.68,45600,79.25
2013-12-23,79.45,80.23,78.48,79.96,77200,79.53
