Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,14.31,15.05,14.31,15.00,2882400,15.00
2014-06-18,13.82,14.13,13.70,14.12,1242300,14.12
2014-06-17,13.42,13.86,13.34,13.83,1191600,13.83
2014-06-16,13.75,13.87,13.42,13.53,1865500,13.53
2014-06-13,13.64,13.77,13.35,13.72,1277900,13.72
2014-06-12,13.30,13.67,13.30,13.64,1260300,13.64
2014-06-11,13.14,13.41,13.10,13.28,1305000,13.28
2014-06-10,12.90,13.13,12.90,13.09,890900,13.09
2014-06-09,12.78,12.91,12.76,12.77,503700,12.77
2014-06-06,12.67,12.76,12.52,12.75,680300,12.75
2014-06-05,12.39,12.71,12.38,12.63,1309800,12.63
2014-06-04,12.32,12.36,12.18,12.29,552600,12.29
2014-06-03,12.27,12.35,12.05,12.31,540500,12.31
2014-06-02,12.27,12.58,12.16,12.26,708200,12.26
2014-05-30,12.17,12.37,12.12,12.37,816500,12.37
2014-05-29,12.02,12.54,12.02,12.29,1056600,12.29
2014-05-28,12.41,12.42,12.03,12.12,1629500,12.12
2014-05-27,12.65,12.65,12.34,12.42,1541100,12.42
2014-05-23,12.99,13.01,12.65,12.79,782000,12.79
2014-05-22,13.24,13.31,12.97,13.01,770800,13.01
2014-05-21,13.19,13.24,12.98,13.13,895700,13.13
2014-05-20,13.17,13.41,13.12,13.35,967000,13.35
2014-05-19,13.24,13.38,13.14,13.33,898800,13.33
2014-05-16,13.10,13.33,12.95,13.30,1129900,13.30
2014-05-15,13.26,13.27,12.97,13.11,1016800,12.98
2014-05-14,13.41,13.54,13.35,13.39,901700,13.26
2014-05-13,13.02,13.45,13.01,13.19,1214800,13.06
2014-05-12,12.89,13.23,12.85,12.96,1171600,12.84
2014-05-09,12.65,13.04,12.27,12.67,1719100,12.55
2014-05-08,12.52,12.61,12.40,12.44,770500,12.32
2014-05-07,12.92,12.92,12.39,12.52,1633800,12.40
2014-05-06,13.14,13.15,12.87,12.91,642500,12.79
2014-05-05,13.30,13.43,13.06,13.10,863700,12.98
2014-05-02,12.80,13.24,12.70,13.18,1313600,13.05
2014-05-01,12.84,12.86,12.66,12.72,995700,12.60
2014-04-30,12.88,13.10,12.74,12.96,992500,12.84
2014-04-29,12.66,13.02,12.66,12.94,723500,12.82
2014-04-28,13.03,13.03,12.56,12.64,1570100,12.52
2014-04-25,12.93,13.12,12.82,13.04,873400,12.92
2014-04-24,12.98,13.22,12.78,12.85,1310500,12.73
2014-04-23,12.72,13.26,12.67,13.07,1323400,12.95
2014-04-22,12.66,12.77,12.40,12.72,1510500,12.60
2014-04-21,12.86,12.90,12.32,12.75,1806200,12.63
2014-04-17,13.03,13.16,12.83,12.86,1058600,12.74
2014-04-16,13.28,13.32,13.00,13.06,703200,12.94
2014-04-15,13.04,13.33,12.88,13.26,1714000,13.13
2014-04-14,13.17,13.56,13.12,13.33,1115700,13.20
2014-04-11,13.27,13.48,13.04,13.10,1065000,12.98
2014-04-10,13.63,13.86,13.21,13.29,1584700,13.16
2014-04-09,13.29,13.65,13.04,13.51,1266400,13.38
2014-04-08,13.40,13.49,13.28,13.43,968000,13.30
2014-04-07,13.06,13.47,13.02,13.12,1052100,12.99
2014-04-04,13.50,13.61,13.12,13.16,1121000,13.03
2014-04-03,13.18,13.21,13.00,13.17,894400,13.04
2014-04-02,13.29,13.44,13.21,13.29,1202600,13.16
2014-04-01,12.89,13.13,12.82,13.04,1128800,12.92
2014-03-31,13.00,13.13,12.78,12.87,1427600,12.75
2014-03-28,12.95,13.20,12.80,13.07,1427300,12.95
2014-03-27,12.72,13.08,12.65,12.99,1332500,12.87
2014-03-26,13.39,13.39,12.72,12.76,1670400,12.64
2014-03-25,13.26,13.46,13.04,13.28,2106500,13.15
2014-03-24,13.76,13.85,13.10,13.11,2176100,12.98
2014-03-21,14.22,14.32,13.94,13.99,2107100,13.86
2014-03-20,13.99,14.18,13.87,14.03,1632800,13.90
2014-03-19,14.48,14.48,14.01,14.08,1616000,13.95
2014-03-18,14.20,14.81,14.05,14.58,1801200,14.44
2014-03-17,14.83,14.92,14.26,14.28,2063800,14.14
2014-03-14,15.10,15.19,14.78,14.88,1441800,14.74
2014-03-13,14.55,15.16,14.50,14.87,2334700,14.73
2014-03-12,14.36,14.62,14.26,14.57,1751100,14.43
2014-03-11,14.34,14.53,14.05,14.18,1338200,14.04
2014-03-10,14.27,14.53,14.11,14.24,1316300,14.10
2014-03-07,14.13,14.38,14.11,14.28,1815100,14.14
2014-03-06,14.37,14.56,14.33,14.45,1176700,14.31
2014-03-05,14.21,14.44,14.14,14.34,1370600,14.20
2014-03-04,13.98,14.20,13.77,14.09,2062500,13.96
2014-03-03,14.48,14.50,14.06,14.09,2126100,13.96
2014-02-28,14.00,14.25,13.88,14.09,2276200,13.96
2014-02-27,14.41,14.50,14.14,14.19,1871000,14.05
2014-02-26,14.51,14.68,14.25,14.45,2376900,14.19
2014-02-25,14.79,15.04,14.66,14.72,2940500,14.45
2014-02-24,15.38,15.47,15.18,15.22,2025500,14.94
2014-02-21,15.20,15.63,14.81,15.13,3355800,14.86
2014-02-20,13.89,14.94,13.88,14.90,3094900,14.63
2014-02-19,14.44,14.83,13.97,14.02,2715500,13.77
2014-02-18,14.49,14.62,14.14,14.54,2067600,14.28
2014-02-14,14.65,14.70,14.12,14.24,2501500,13.98
2014-02-13,13.37,14.14,13.24,14.08,2611900,13.83
2014-02-12,13.85,13.92,13.36,13.37,2022800,13.13
2014-02-11,13.33,13.84,13.33,13.82,2114100,13.57
2014-02-10,13.31,13.48,13.18,13.29,2051500,13.05
2014-02-07,12.80,13.16,12.77,13.15,1371400,12.91
2014-02-06,12.71,12.88,12.64,12.80,918100,12.57
2014-02-05,12.93,12.96,12.57,12.63,1318000,12.40
2014-02-04,12.33,12.71,12.24,12.70,1549900,12.47
2014-02-03,12.72,12.93,12.36,12.40,1789800,12.18
2014-01-31,12.60,12.75,12.36,12.60,1821600,12.37
2014-01-30,12.49,12.93,12.40,12.80,1595100,12.57
2014-01-29,12.84,12.90,12.57,12.88,1989500,12.65
2014-01-28,12.23,12.61,12.15,12.57,2065300,12.34
2014-01-27,12.68,12.75,12.19,12.20,2548900,11.98
2014-01-24,13.25,13.39,12.58,12.87,2367000,12.64
2014-01-23,13.06,13.45,13.05,13.12,1815500,12.88
2014-01-22,13.10,13.13,12.80,12.84,1751800,12.61
2014-01-21,12.85,13.28,12.58,13.11,2333700,12.87
2014-01-17,12.69,12.98,12.64,12.89,1942100,12.66
2014-01-16,12.61,12.72,12.46,12.60,1626900,12.37
2014-01-15,12.11,12.53,12.07,12.47,1665400,12.24
2014-01-14,12.32,12.73,12.14,12.14,2929800,11.92
2014-01-13,12.03,12.27,11.89,12.26,1694600,12.04
2014-01-10,11.73,12.09,11.66,12.04,1869800,11.82
2014-01-09,11.70,11.70,11.45,11.51,1461300,11.30
2014-01-08,11.59,11.80,11.55,11.67,1455900,11.46
2014-01-07,11.70,11.77,11.52,11.76,1575800,11.55
2014-01-06,11.90,12.01,11.75,11.82,1383900,11.61
2014-01-03,12.09,12.09,11.77,11.84,1710000,11.63
