Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,23.55,24.07,22.95,23.54,1525200,23.54
2014-06-18,22.80,23.46,22.50,23.12,1597700,23.12
2014-06-17,23.96,24.02,22.30,22.59,2404400,22.59
2014-06-16,25.36,25.36,23.50,23.62,1427000,23.62
2014-06-13,25.15,25.17,24.50,24.60,686600,24.60
2014-06-12,25.02,25.70,24.80,24.99,1340600,24.99
2014-06-11,24.80,25.02,24.62,24.96,549700,24.96
2014-06-10,24.93,25.00,24.61,24.76,529600,24.76
2014-06-09,25.09,25.10,24.07,24.73,1039500,24.73
2014-06-06,25.10,25.41,24.60,25.00,1425900,25.00
2014-06-05,25.00,25.22,24.77,25.16,657300,25.16
2014-06-04,25.34,25.35,24.53,24.83,1001900,24.83
2014-06-03,24.30,25.45,24.00,24.73,1236900,24.73
2014-06-02,24.00,24.35,23.50,24.32,1146800,24.32
2014-05-30,24.03,24.18,23.53,23.77,687800,23.77
2014-05-29,23.57,24.05,22.77,23.89,1708600,23.89
2014-05-28,23.49,23.62,22.80,23.33,2236000,23.33
2014-05-27,22.31,23.42,22.31,22.68,2196900,22.68
2014-05-26,22.20,22.20,22.20,22.20,000,22.20
2014-05-23,22.30,22.64,21.19,22.20,22290800,22.20
