Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,24.70,24.73,24.65,24.71,64100,24.71
2014-06-18,24.74,24.79,24.63,24.69,94800,24.69
2014-06-17,24.72,24.79,24.68,24.79,97700,24.79
2014-06-16,24.77,24.77,24.69,24.75,118200,24.75
2014-06-13,24.63,24.72,24.49,24.71,45300,24.71
2014-06-12,24.42,24.63,24.42,24.61,59700,24.61
2014-06-11,24.54,24.54,24.37,24.41,103500,24.41
2014-06-10,24.61,24.61,24.34,24.47,613400,24.47
2014-06-09,24.63,24.63,24.50,24.62,62200,24.62
2014-06-06,24.41,24.66,24.41,24.60,62500,24.60
2014-06-05,24.15,24.45,24.01,24.40,60900,24.40
2014-06-04,24.55,24.55,24.14,24.23,104200,24.23
2014-06-03,24.69,24.73,24.58,24.58,70000,24.58
2014-06-02,24.70,24.76,24.66,24.69,53000,24.69
2014-05-30,24.72,24.78,24.64,24.70,64900,24.70
2014-05-29,24.74,24.92,24.68,24.72,73000,24.72
2014-05-28,24.76,24.77,24.63,24.73,43100,24.73
2014-05-27,25.04,25.05,24.95,25.01,89600,24.65
2014-05-23,25.06,25.06,24.97,25.01,39600,24.65
2014-05-22,25.00,25.03,24.98,25.02,66500,24.66
2014-05-21,25.00,25.05,24.92,25.00,62800,24.64
2014-05-20,25.00,25.05,24.96,25.00,147600,24.64
2014-05-19,25.07,25.09,24.97,25.02,82300,24.66
2014-05-16,24.94,25.06,24.94,25.02,33800,24.66
2014-05-15,24.99,25.06,24.90,25.01,102700,24.65
2014-05-14,24.99,25.00,24.89,24.96,67500,24.60
2014-05-13,24.87,25.08,24.87,24.94,184700,24.58
2014-05-12,24.77,24.94,24.71,24.90,76100,24.54
2014-05-09,24.77,24.87,24.77,24.78,118800,24.42
2014-05-08,24.77,24.86,24.76,24.82,198300,24.46
2014-05-07,24.75,24.87,24.71,24.80,262200,24.44
2014-05-06,24.76,24.76,24.65,24.68,156300,24.33
2014-05-05,24.74,24.80,24.66,24.77,131900,24.41
2014-05-02,24.60,24.76,24.59,24.70,85200,24.35
2014-05-01,24.61,24.71,24.53,24.63,235500,24.28
2014-04-30,24.61,24.80,24.53,24.58,185600,24.23
2014-04-29,24.52,24.66,24.51,24.59,129600,24.24
2014-04-28,24.46,24.59,24.44,24.45,75400,24.10
2014-04-25,24.26,24.39,24.25,24.39,115400,24.04
2014-04-24,24.32,24.37,24.21,24.32,68800,23.97
2014-04-23,24.11,24.35,24.10,24.34,211900,23.99
2014-04-22,24.00,24.15,23.99,24.06,94000,23.71
2014-04-21,24.00,24.05,23.97,24.04,49400,23.69
2014-04-17,24.10,24.14,23.83,23.83,126100,23.49
2014-04-16,24.09,24.15,23.99,24.08,53100,23.73
2014-04-15,23.84,24.03,23.82,23.98,59200,23.64
2014-04-14,23.89,23.93,23.77,23.80,43700,23.46
2014-04-11,23.75,23.83,23.75,23.80,66300,23.46
2014-04-10,23.56,23.84,23.53,23.78,51400,23.44
2014-04-09,23.50,23.59,23.45,23.50,94900,23.16
2014-04-08,23.29,23.56,23.27,23.50,65900,23.16
2014-04-07,23.28,23.38,23.22,23.30,63500,22.97
2014-04-04,23.40,23.40,23.17,23.20,82300,22.87
2014-04-03,23.52,23.70,23.40,23.40,66300,23.06
2014-04-02,23.60,23.60,23.42,23.47,47600,23.13
2014-04-01,23.66,23.66,23.48,23.48,80600,23.14
2014-03-31,23.44,23.77,23.43,23.61,79100,23.27
2014-03-28,23.35,23.40,23.29,23.35,51100,23.01
2014-03-27,23.28,23.47,23.28,23.40,46400,23.06
2014-03-26,23.49,23.52,23.29,23.29,58900,22.96
2014-03-25,23.41,23.54,23.31,23.38,52900,23.04
2014-03-24,23.48,23.54,23.36,23.38,68100,23.04
2014-03-21,23.34,23.43,23.26,23.35,36900,23.01
2014-03-20,23.45,23.60,23.34,23.37,59700,23.03
2014-03-19,23.77,23.85,23.48,23.48,121800,23.14
2014-03-18,23.72,23.81,23.64,23.68,80400,23.34
2014-03-17,23.75,23.75,23.58,23.63,62600,23.29
2014-03-14,23.37,23.56,23.26,23.56,51800,23.22
2014-03-13,23.41,23.55,23.35,23.40,41700,23.06
2014-03-12,23.14,23.45,23.14,23.45,37700,23.11
2014-03-11,23.25,23.29,23.14,23.22,44100,22.89
2014-03-10,23.25,23.34,23.23,23.26,39500,22.93
2014-03-07,23.22,23.34,23.17,23.32,49300,22.99
2014-03-06,23.11,23.28,23.10,23.23,48100,22.90
2014-03-05,23.11,23.26,23.03,23.12,24300,22.79
2014-03-04,23.30,23.33,23.07,23.13,40600,22.80
2014-03-03,23.13,23.27,22.91,23.18,60900,22.85
2014-02-28,23.05,23.23,22.98,23.15,43800,22.82
2014-02-27,23.17,23.17,22.97,22.99,57600,22.66
2014-02-26,23.01,23.20,22.99,23.08,44800,22.75
2014-02-25,23.01,23.37,22.95,23.30,83600,22.61
2014-02-24,22.99,23.10,22.90,23.09,79700,22.41
2014-02-21,23.00,23.02,22.85,22.91,60700,22.23
2014-02-20,22.89,23.02,22.80,22.95,56400,22.27
2014-02-19,22.93,23.05,22.84,22.91,82800,22.23
2014-02-18,22.75,22.90,22.73,22.83,76600,22.16
2014-02-14,22.41,22.75,22.41,22.69,98300,22.02
2014-02-13,22.27,22.54,22.27,22.53,44500,21.86
2014-02-12,22.26,22.29,22.22,22.28,45400,21.62
2014-02-11,22.24,22.31,22.20,22.22,85400,21.56
2014-02-10,22.21,22.31,22.21,22.23,61700,21.57
2014-02-07,22.32,22.33,22.15,22.17,59100,21.52
2014-02-06,22.26,22.38,22.21,22.24,80200,21.58
2014-02-05,22.15,22.30,22.12,22.30,34300,21.64
2014-02-04,22.12,22.31,22.12,22.15,43700,21.50
2014-02-03,22.29,22.29,22.07,22.09,78200,21.44
2014-01-31,22.27,22.33,22.23,22.25,55000,21.59
2014-01-30,22.29,22.44,22.25,22.29,41800,21.63
2014-01-29,22.09,22.30,22.09,22.19,50600,21.53
2014-01-28,22.10,22.37,22.05,22.19,78600,21.53
2014-01-27,22.01,22.22,21.91,22.02,41600,21.37
2014-01-24,22.21,22.21,22.01,22.01,81100,21.36
2014-01-23,22.69,22.72,22.29,22.29,58300,21.63
2014-01-22,22.52,22.65,22.50,22.65,81900,21.98
2014-01-21,22.40,22.47,22.36,22.42,69200,21.76
2014-01-17,22.37,22.58,22.00,22.33,79500,21.67
2014-01-16,22.26,22.46,22.26,22.46,40500,21.80
2014-01-15,22.39,22.50,22.23,22.26,65600,21.60
2014-01-14,22.47,22.56,22.31,22.50,48800,21.84
2014-01-13,22.38,22.53,22.33,22.52,60800,21.85
2014-01-10,22.26,22.38,22.11,22.26,42700,21.60
2014-01-09,22.14,22.31,22.04,22.29,57700,21.63
2014-01-08,22.25,22.25,21.94,22.07,51500,21.42
2014-01-07,22.25,22.31,22.11,22.22,64300,21.56
2014-01-06,21.88,22.22,21.85,22.22,141200,21.56
2014-01-03,21.39,21.80,21.29,21.80,236200,21.16
2014-01-02,21.00,21.50,20.94,21.33,79200,20.70
2013-12-31,20.90,21.12,20.90,21.12,181900,20.50
2013-12-30,20.86,20.95,20.81,20.91,130200,20.29
2013-12-27,21.06,21.06,20.82,20.90,123000,20.28
2013-12-26,20.90,21.00,20.87,20.96,178400,20.34
2013-12-24,21.03,21.10,20.94,20.97,75300,20.35
2013-12-23,21.28,21.36,21.07,21.07,118600,20.45
2013-12-20,21.27,21.27,21.00,21.25,118300,20.62
2013-12-19,21.00,21.23,20.95,21.20,122300,20.57
2013-12-18,21.09,21.25,20.83,21.20,153500,20.57
2013-12-17,21.06,21.21,21.01,21.15,140400,20.53
2013-12-16,21.01,21.15,20.89,21.12,157500,20.50
2013-12-13,20.67,21.08,20.63,21.08,159700,20.46
2013-12-12,20.71,20.74,20.52,20.62,105100,20.01
2013-12-11,20.79,20.86,20.69,20.80,148500,20.19
2013-12-10,20.86,20.92,20.61,20.80,195900,20.19
2013-12-09,20.87,20.98,20.80,20.82,111200,20.20
2013-12-06,20.91,20.99,20.75,20.89,125400,20.27
2013-12-05,20.82,20.97,20.79,20.91,183600,20.29
2013-12-04,21.05,21.10,20.72,20.88,277500,20.26
2013-12-03,21.26,21.47,21.12,21.12,100700,20.50
2013-12-02,21.70,21.87,21.21,21.25,88900,20.62
2013-11-29,21.80,21.97,21.69,21.70,44900,21.06
2013-11-27,21.85,21.97,21.62,21.89,105200,21.24
2013-11-26,21.90,22.14,21.72,21.97,131100,21.32
2013-11-25,22.25,22.25,22.00,22.25,235000,21.24
2013-11-22,21.92,22.22,21.80,22.17,73900,21.17
