Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,0.90,0.98,0.86,0.98,21300,0.98
2014-06-18,1.00,1.00,0.86,0.89,38500,0.89
2014-06-17,0.97,0.99,0.96,0.97,5600,0.97
2014-06-16,0.94,0.98,0.83,0.91,7100,0.91
2014-06-13,0.90,0.92,0.90,0.92,1700,0.92
2014-06-12,0.89,0.91,0.89,0.90,2100,0.90
2014-06-11,0.82,0.82,0.77,0.77,10100,0.77
2014-06-10,0.95,0.95,0.86,0.86,4100,0.86
2014-06-09,1.00,1.00,0.90,0.90,7700,0.90
2014-06-06,0.98,1.00,0.84,0.99,36000,0.99
2014-06-05,0.92,0.92,0.92,0.92,000,0.92
2014-06-04,0.90,1.00,0.90,0.92,9200,0.92
2014-06-03,0.96,0.96,0.96,0.96,000,0.96
2014-06-02,1.00,1.06,0.95,0.96,1300,0.96
2014-05-30,1.03,1.03,0.96,0.99,5700,0.99
2014-05-29,0.95,1.03,0.72,1.03,96800,1.03
2014-05-28,1.01,1.02,0.97,1.00,2700,1.00
2014-05-27,1.01,1.01,1.01,1.01,1800,1.01
2014-05-23,1.00,1.00,1.00,1.00,3500,1.00
2014-05-22,0.95,0.98,0.95,0.98,1800,0.98
2014-05-21,1.03,1.03,0.98,0.98,3500,0.98
2014-05-20,1.01,1.01,0.98,0.98,400,0.98
2014-05-19,1.05,1.05,1.00,1.00,600,1.00
2014-05-16,1.00,1.04,0.95,1.02,25300,1.02
2014-05-15,0.98,1.01,0.98,1.01,6300,1.01
2014-05-14,0.95,1.02,0.95,1.00,4000,1.00
2014-05-13,1.00,1.01,0.93,0.95,16600,0.95
2014-05-12,1.12,1.12,0.99,0.99,14000,0.99
2014-05-09,1.37,1.45,0.91,1.12,64400,1.12
2014-05-08,1.22,1.22,1.22,1.22,000,1.22
2014-05-07,1.22,1.22,1.22,1.22,000,1.22
2014-05-06,1.22,1.22,1.19,1.22,1300,1.22
2014-05-05,1.27,1.27,1.27,1.27,000,1.27
2014-05-02,1.27,1.27,1.27,1.27,1600,1.27
2014-05-01,1.21,1.27,1.10,1.27,7700,1.27
2014-04-30,1.24,1.24,1.24,1.24,200,1.24
2014-04-29,1.25,1.25,1.25,1.25,000,1.25
2014-04-28,1.27,1.27,1.20,1.25,51500,1.25
