Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,88.68,88.82,88.26,88.55,1266600,88.55
2014-06-18,88.32,88.72,87.76,88.63,2047800,88.63
2014-06-17,87.67,88.72,85.88,88.36,1749700,88.36
2014-06-16,87.65,87.89,87.26,87.69,2129400,87.69
2014-06-13,87.38,88.26,87.19,87.81,1930700,87.81
2014-06-12,87.27,87.86,86.84,87.35,2910400,87.35
2014-06-11,87.94,88.43,87.80,88.03,1428000,88.03
2014-06-10,88.09,88.50,87.75,88.42,1175900,88.42
2014-06-09,87.34,88.64,87.34,88.51,1759700,88.51
2014-06-06,86.86,87.49,86.65,87.32,1162700,87.32
2014-06-05,85.84,86.80,85.31,86.63,1499200,86.63
2014-06-04,85.17,85.87,85.16,85.68,1305700,85.68
2014-06-03,85.41,85.79,85.02,85.43,1750500,85.43
2014-06-02,85.51,85.70,84.71,85.62,1445200,85.62
2014-05-30,84.63,85.58,84.62,85.27,1414900,85.27
2014-05-29,84.56,84.82,84.16,84.76,2265700,84.76
2014-05-28,84.68,84.77,84.15,84.52,1380600,84.52
2014-05-27,84.88,85.66,84.64,84.70,1588200,84.70
2014-05-23,84.20,84.69,83.86,84.51,1280400,84.51
2014-05-22,83.56,84.10,83.36,84.09,1561300,84.09
2014-05-21,82.95,84.24,82.95,83.52,1593100,83.52
2014-05-20,83.00,83.21,82.33,82.63,1645700,82.63
2014-05-19,82.54,83.37,82.48,83.21,1548100,83.21
2014-05-16,82.52,82.95,82.04,82.78,2185000,82.78
2014-05-15,83.06,83.20,81.65,82.64,2185400,82.64
2014-05-14,84.73,85.05,83.10,83.29,2678700,83.29
2014-05-13,85.52,85.68,84.68,84.78,1309700,84.78
2014-05-12,84.57,85.68,84.31,85.47,1903900,85.47
2014-05-09,83.73,84.21,83.34,84.18,1255300,84.18
2014-05-08,83.56,84.41,83.53,83.86,1529700,83.86
2014-05-07,83.27,83.96,83.08,83.86,1669700,83.86
2014-05-06,83.76,83.83,82.93,82.95,1564800,82.95
2014-05-05,84.50,84.50,83.51,84.16,2006900,84.16
2014-05-02,84.07,85.88,83.80,84.73,2950200,84.73
2014-05-01,83.96,84.36,83.36,83.77,1734600,83.77
2014-04-30,83.52,84.23,83.40,84.04,2305500,84.04
2014-04-29,83.54,84.02,83.24,83.42,1665800,83.42
2014-04-28,84.11,84.19,82.54,82.96,2648600,82.96
2014-04-25,84.28,84.73,83.70,83.87,1787600,83.87
2014-04-24,85.04,85.09,84.04,84.26,1715800,84.26
2014-04-23,84.50,84.92,84.35,84.73,1695600,84.73
2014-04-22,83.63,84.78,83.36,84.66,1938300,84.66
2014-04-21,84.01,84.63,83.57,83.70,1733400,83.70
2014-04-17,83.91,84.24,83.19,83.77,2486500,83.77
2014-04-16,83.17,84.65,82.40,84.38,4320300,84.38
2014-04-15,81.82,82.30,80.87,82.15,2363400,82.15
2014-04-14,81.93,82.19,80.73,81.59,2072700,81.59
2014-04-11,80.95,81.93,79.80,81.14,3193900,81.14
2014-04-10,84.61,84.89,82.20,82.21,3505200,81.73
2014-04-09,84.77,84.90,84.30,84.59,2487000,84.10
2014-04-08,84.94,85.05,83.91,84.63,2302200,84.14
2014-04-07,86.04,86.39,84.61,84.82,3579300,84.32
2014-04-04,87.83,88.03,86.20,86.25,2329300,85.75
2014-04-03,87.55,87.67,86.97,87.41,1579700,86.90
2014-04-02,87.50,87.78,87.26,87.61,2558000,87.10
2014-04-01,87.18,87.47,86.54,87.26,2418600,86.75
2014-03-31,86.21,87.29,86.13,87.00,2727500,86.49
2014-03-28,85.63,86.17,85.10,85.73,1894700,85.23
2014-03-27,85.33,86.10,84.45,85.14,2376400,84.64
2014-03-26,86.99,86.99,85.31,85.32,2211300,84.82
2014-03-25,87.15,87.16,86.15,86.42,2331200,85.92
2014-03-24,87.23,87.64,86.55,86.95,1798800,86.44
2014-03-21,87.59,87.80,86.67,86.87,4325200,86.36
2014-03-20,84.81,86.88,84.67,86.63,3300900,86.12
2014-03-19,84.73,85.80,83.85,85.06,3084300,84.56
2014-03-18,84.20,84.70,83.78,84.62,2130200,84.13
2014-03-17,83.26,84.28,83.26,84.17,1593800,83.68
2014-03-14,82.75,83.55,82.56,82.86,1587500,82.38
2014-03-13,83.84,84.05,82.63,82.79,1703300,82.31
2014-03-12,82.80,83.53,82.50,83.46,1533600,82.97
2014-03-11,84.06,84.06,82.93,83.22,1236400,82.73
2014-03-10,83.82,84.11,83.35,84.09,1698100,83.60
2014-03-07,83.40,84.65,83.29,83.98,2368600,83.49
2014-03-06,83.04,83.59,82.71,82.82,1950100,82.34
2014-03-05,82.12,82.98,82.12,82.94,2427200,82.46
2014-03-04,80.25,82.22,80.25,82.03,1991900,81.55
2014-03-03,80.82,81.21,80.35,80.98,1748000,80.51
2014-02-28,81.48,82.65,81.41,81.78,2453000,81.30
2014-02-27,80.99,81.35,80.40,81.34,1643300,80.87
