Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,92.21,92.60,92.21,92.26,14600,92.26
2014-06-18,92.25,92.50,92.22,92.34,2300,92.34
2014-06-17,92.78,92.78,92.23,92.25,4400,92.25
2014-06-16,92.95,92.96,92.87,92.87,1400,92.87
2014-06-13,92.49,92.97,92.37,92.80,1700,92.80
2014-06-12,92.99,92.99,92.21,92.22,5500,92.22
2014-06-11,92.68,92.99,92.24,92.66,4000,92.66
2014-06-10,92.25,92.34,92.21,92.21,4500,92.21
2014-06-09,92.22,92.34,92.21,92.21,9000,92.21
2014-06-06,92.51,92.51,92.21,92.36,2100,92.36
2014-06-05,92.24,92.45,92.21,92.26,1200,92.26
2014-06-04,92.21,92.27,92.21,92.21,5900,92.21
2014-06-03,92.21,92.50,92.21,92.21,4700,92.21
2014-06-02,92.21,92.30,92.21,92.28,9700,92.28
2014-05-30,92.30,92.40,92.21,92.21,9500,92.21
2014-05-29,92.47,92.49,92.22,92.40,3300,92.40
2014-05-28,92.50,92.91,92.35,92.35,4700,92.35
2014-05-27,92.48,92.70,92.37,92.47,3100,92.47
2014-05-23,92.75,92.75,92.44,92.70,1500,92.70
2014-05-22,94.50,94.50,92.45,93.01,5800,93.01
2014-05-21,93.55,94.95,93.55,94.50,1600,94.50
2014-05-20,93.80,94.50,93.50,93.50,2300,93.50
2014-05-19,92.50,93.95,92.21,93.56,7400,93.56
2014-05-16,92.30,92.59,92.01,92.25,7400,92.25
2014-05-15,92.51,93.00,92.21,92.21,13600,92.21
2014-05-14,92.50,94.82,92.30,93.00,3100,93.00
2014-05-13,94.50,95.60,94.31,95.44,15400,92.09
2014-05-12,93.60,96.40,93.60,94.14,9800,90.84
2014-05-09,92.39,95.01,92.26,93.50,5500,90.22
2014-05-08,91.80,92.40,91.65,92.40,4500,89.16
2014-05-07,92.42,92.90,91.65,91.65,6600,88.43
2014-05-06,92.01,92.85,92.01,92.63,1400,89.38
2014-05-05,92.89,92.90,92.30,92.90,5000,89.64
2014-05-02,92.06,92.90,92.06,92.55,2300,89.30
2014-05-01,92.50,92.50,91.66,92.50,1100,89.25
2014-04-30,92.40,92.50,92.00,92.41,1800,89.17
2014-04-29,92.50,92.85,91.60,92.84,4600,89.58
2014-04-28,92.90,92.90,91.53,92.85,6400,89.59
2014-04-25,91.77,92.90,91.20,92.90,2800,89.64
2014-04-24,91.06,92.99,90.61,92.06,5200,88.83
2014-04-23,93.59,93.59,91.65,92.44,6500,89.20
2014-04-22,92.74,93.80,90.80,92.99,6400,89.73
2014-04-21,92.36,93.94,90.31,92.02,6700,88.79
2014-04-17,91.77,92.00,90.21,92.00,2200,88.77
2014-04-16,91.01,92.26,89.75,92.20,3800,88.96
2014-04-15,93.46,93.80,89.51,92.10,15500,88.87
2014-04-14,93.02,94.72,91.61,94.00,9400,90.70
2014-04-11,90.76,93.80,90.10,93.09,15000,89.82
2014-04-10,88.40,90.85,88.40,90.85,9800,87.66
2014-04-09,90.70,90.70,87.01,90.00,24700,86.84
2014-04-08,87.91,90.93,87.00,90.88,19000,87.69
2014-04-07,88.09,88.33,84.11,87.50,27200,84.43
2014-04-04,88.66,90.98,88.04,88.60,16800,85.49
2014-04-03,89.46,89.98,88.11,88.97,13000,85.85
2014-04-02,89.33,90.40,89.00,89.85,13400,86.70
2014-04-01,88.22,90.00,88.03,89.58,12200,86.44
2014-03-31,87.72,90.00,87.25,89.00,13700,85.88
2014-03-28,82.03,87.81,81.75,87.81,29500,84.73
2014-03-27,83.00,84.39,81.20,82.03,13000,79.15
2014-03-26,85.52,85.52,83.00,83.00,3800,80.09
2014-03-25,81.37,85.55,81.30,85.50,16700,82.50
2014-03-24,81.42,82.20,80.01,81.50,4000,78.64
2014-03-21,80.64,82.49,80.49,81.15,3700,78.30
2014-03-20,80.50,80.92,80.03,80.48,3100,77.66
2014-03-19,82.07,82.07,80.52,80.61,5200,77.78
2014-03-18,81.74,82.68,80.75,81.65,4500,78.78
