Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,4.62,4.65,4.48,4.50,4000,4.50
2014-06-18,4.52,4.67,4.49,4.67,2500,4.67
2014-06-17,4.52,4.61,4.47,4.48,3900,4.48
2014-06-16,4.58,4.58,4.38,4.43,1400,4.43
2014-06-13,4.39,4.58,4.39,4.58,4200,4.58
2014-06-12,4.58,4.58,4.44,4.46,3500,4.46
2014-06-11,4.47,4.59,4.47,4.51,2300,4.51
2014-06-10,4.45,4.64,4.44,4.56,4300,4.56
2014-06-09,4.50,4.50,4.43,4.43,2500,4.43
2014-06-06,4.49,4.55,4.39,4.39,1500,4.39
2014-06-05,4.49,4.63,4.41,4.41,5000,4.41
2014-06-04,4.35,4.50,4.35,4.41,2300,4.41
2014-06-03,4.37,4.41,4.24,4.24,600,4.24
2014-06-02,4.44,4.44,4.26,4.38,3800,4.38
2014-05-30,4.44,4.44,4.44,4.44,100,4.44
2014-05-29,4.58,4.58,4.43,4.47,2800,4.47
2014-05-28,4.20,4.52,4.20,4.38,2100,4.38
2014-05-27,4.06,4.27,4.04,4.22,2100,4.22
2014-05-23,4.13,4.13,4.10,4.10,500,4.10
2014-05-22,4.02,4.07,4.00,4.07,3900,4.07
2014-05-21,3.79,3.97,3.73,3.96,4200,3.96
2014-05-20,3.84,3.90,3.81,3.82,700,3.82
2014-05-19,3.93,4.04,3.93,3.94,1900,3.94
2014-05-16,3.96,4.04,3.93,3.96,2000,3.96
2014-05-15,3.95,4.04,3.95,3.98,2200,3.98
2014-05-14,4.13,4.14,4.04,4.04,900,4.04
2014-05-13,4.07,4.25,4.07,4.20,1800,4.20
2014-05-12,3.77,3.99,3.77,3.97,4400,3.97
2014-05-09,3.84,3.89,3.65,3.78,21200,3.78
2014-05-08,4.00,4.14,3.91,3.91,6300,3.91
2014-05-07,4.47,4.47,4.24,4.24,2400,4.24
2014-05-06,4.54,4.60,4.51,4.51,2700,4.51
2014-05-05,4.50,4.50,4.50,4.50,000,4.50
2014-05-02,4.40,4.50,4.40,4.50,1700,4.50
2014-05-01,4.46,4.46,4.40,4.40,700,4.40
2014-04-30,4.36,4.48,4.36,4.48,1600,4.48
2014-04-29,4.40,4.51,4.40,4.40,1600,4.40
2014-04-28,4.50,4.60,4.48,4.48,500,4.48
2014-04-25,4.58,4.58,4.58,4.58,600,4.58
2014-04-24,4.66,4.71,4.58,4.63,2800,4.63
2014-04-23,4.68,4.68,4.13,4.61,10900,4.61
2014-04-22,4.64,4.76,4.62,4.72,2900,4.72
2014-04-21,4.44,4.75,4.44,4.71,1300,4.71
2014-04-17,4.22,4.39,4.22,4.36,1800,4.36
2014-04-16,3.97,4.36,3.97,4.36,4000,4.36
2014-04-15,4.11,4.11,3.60,3.91,8400,3.91
2014-04-14,4.59,4.59,4.10,4.12,6200,4.12
2014-04-11,4.49,4.50,4.49,4.49,2500,4.49
2014-04-10,4.53,4.53,4.52,4.52,800,4.52
2014-04-09,4.44,4.50,4.44,4.48,1100,4.48
2014-04-08,4.46,4.47,4.38,4.38,300,4.38
2014-04-07,4.75,4.75,4.39,4.44,7700,4.44
2014-04-04,4.79,4.95,4.79,4.80,1500,4.80
2014-04-03,4.90,5.01,4.78,4.81,16300,4.81
2014-04-02,4.95,4.97,4.83,4.83,3500,4.83
2014-04-01,4.78,4.85,4.78,4.85,1700,4.85
2014-03-31,4.67,4.82,4.67,4.71,6700,4.71
2014-03-28,4.60,4.71,4.60,4.67,4000,4.67
2014-03-27,4.58,4.62,4.53,4.60,2700,4.60
2014-03-26,4.77,4.77,4.70,4.75,700,4.75
2014-03-25,4.91,4.91,4.77,4.80,900,4.80
2014-03-24,5.02,5.02,4.72,4.94,1200,4.94
2014-03-21,4.86,4.93,4.84,4.84,7700,4.84
2014-03-20,4.93,4.97,4.85,4.89,1500,4.89
2014-03-19,4.91,4.91,4.91,4.91,000,4.91
2014-03-18,4.93,5.03,4.90,4.91,2400,4.91
2014-03-17,4.96,4.96,4.83,4.85,3100,4.85
2014-03-14,4.42,5.00,4.42,5.00,2600,5.00
