Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,40.04,41.13,39.99,40.98,942300,40.98
2014-06-18,39.71,40.00,39.12,39.55,743800,39.55
2014-06-17,39.16,39.71,38.44,39.57,567800,39.57
2014-06-16,39.18,39.57,38.50,39.20,520300,39.20
2014-06-13,38.61,39.97,38.61,39.10,617400,39.10
2014-06-12,38.99,39.67,38.41,38.51,653500,38.51
2014-06-11,39.54,40.97,39.05,39.08,528500,39.08
2014-06-10,40.86,41.09,39.85,40.02,510900,40.02
2014-06-09,40.69,41.16,40.02,40.98,495700,40.98
2014-06-06,40.56,41.33,39.82,40.80,794400,40.80
2014-06-05,40.16,40.68,39.00,40.09,610500,40.09
2014-06-04,38.67,40.80,38.32,40.17,1208200,40.17
2014-06-03,39.24,39.50,38.50,38.90,777000,38.90
2014-06-02,42.04,42.18,39.15,39.36,1088200,39.36
2014-05-30,41.21,42.35,40.00,42.06,1919600,42.06
2014-05-29,38.45,41.24,38.01,41.15,1680200,41.15
2014-05-28,37.68,38.27,36.85,38.24,792200,38.24
2014-05-27,37.71,38.12,37.05,37.64,994600,37.64
2014-05-23,37.92,39.00,36.85,37.64,1168500,37.64
2014-05-22,35.86,38.47,34.88,38.10,2874200,38.10
2014-05-21,37.56,37.83,36.17,36.56,2378100,36.56
2014-05-20,39.28,39.44,37.30,37.95,1963900,37.95
2014-05-19,40.13,40.24,38.99,39.63,1224800,39.63
2014-05-16,40.23,40.61,38.68,40.14,930100,40.14
2014-05-15,40.62,40.63,38.45,39.33,1891500,39.33
2014-05-14,43.19,45.00,39.70,40.70,2571500,40.70
2014-05-13,43.34,43.96,42.51,43.23,670800,43.23
2014-05-12,43.17,44.29,43.01,43.47,947100,43.47
2014-05-09,41.81,43.47,41.18,42.94,578800,42.94
2014-05-08,41.66,43.05,41.10,41.76,527700,41.76
2014-05-07,40.48,41.81,40.12,41.74,901400,41.74
2014-05-06,42.51,43.10,40.52,40.58,1070600,40.58
2014-05-05,43.69,44.30,42.40,42.67,786600,42.67
2014-05-02,44.52,45.81,43.46,44.02,799800,44.02
2014-05-01,43.90,45.07,42.68,44.53,802800,44.53
2014-04-30,44.66,44.66,43.36,43.81,653100,43.81
2014-04-29,43.46,44.68,43.02,44.45,890300,44.45
2014-04-28,42.14,44.23,41.86,43.50,1657800,43.50
2014-04-25,43.13,43.13,41.47,41.81,776700,41.81
2014-04-24,43.50,44.67,42.53,43.22,1546800,43.22
2014-04-23,40.79,43.40,40.66,43.25,1707500,43.25
2014-04-22,39.60,41.15,39.59,40.76,1456900,40.76
2014-04-21,38.53,41.09,38.27,39.60,1838600,39.60
2014-04-17,33.47,39.33,33.40,38.33,3629000,38.33
2014-04-16,34.18,34.71,33.07,33.60,1125200,33.60
2014-04-15,32.61,34.33,32.30,33.57,2055500,33.57
2014-04-14,33.09,33.43,31.26,31.71,1281200,31.71
2014-04-11,34.00,34.12,32.51,32.62,2158600,32.62
2014-04-10,36.27,36.83,34.35,34.40,1405200,34.40
2014-04-09,37.25,37.37,35.90,35.97,1589600,35.97
2014-04-08,38.17,38.48,35.84,36.99,2325100,36.99
2014-04-07,40.97,42.47,38.00,38.10,2840700,38.10
2014-04-04,49.70,50.73,49.53,50.21,1555500,40.69
2014-04-03,50.04,50.44,48.40,50.19,1426200,40.67
2014-04-02,48.66,51.06,48.28,50.05,1980600,40.56
2014-04-01,47.29,48.72,47.29,48.62,643100,39.40
2014-03-31,46.78,48.44,46.60,47.76,853100,38.70
2014-03-28,48.75,48.75,45.84,46.61,1012600,37.77
2014-03-27,46.41,47.40,45.18,46.56,891600,37.73
2014-03-26,48.40,49.44,46.48,46.64,1036400,37.80
2014-03-25,47.40,48.51,47.05,47.97,1008200,38.87
2014-03-24,48.06,48.60,46.28,48.16,1324100,39.03
2014-03-21,49.30,49.30,47.77,47.94,2177000,38.85
2014-03-20,48.13,49.71,46.83,48.50,1643100,39.30
2014-03-19,45.76,49.34,45.56,48.30,1886600,39.14
2014-03-18,45.23,46.39,45.02,45.88,1090200,37.18
2014-03-17,44.89,46.50,44.12,44.84,1150400,36.34
2014-03-14,45.08,46.08,43.69,44.01,1116600,35.66
2014-03-13,47.29,48.00,45.40,45.56,1063200,36.92
2014-03-12,46.32,47.31,45.82,46.90,771800,38.01
2014-03-11,48.00,48.68,46.59,46.88,1281800,37.99
2014-03-10,45.66,48.07,44.49,47.97,1799900,38.87
2014-03-07,45.22,45.48,44.00,45.25,673500,36.67
2014-03-06,44.56,44.96,43.31,44.26,882700,35.87
2014-03-05,45.75,46.91,44.24,44.28,1316700,35.88
2014-03-04,46.85,48.09,45.56,45.84,1715100,37.15
2014-03-03,43.50,47.12,43.07,46.24,1743700,37.47
2014-02-28,42.79,44.97,42.01,44.75,2446800,36.26
2014-02-27,41.19,43.97,41.00,43.01,3328200,34.85
2014-02-26,39.21,41.37,38.75,40.40,2164800,32.74
2014-02-25,38.48,40.45,38.40,38.99,1799400,31.60
2014-02-24,40.90,41.74,37.64,38.05,3395700,30.83
2014-02-21,41.10,41.39,40.63,40.93,873700,33.17
2014-02-20,41.18,42.89,40.57,41.15,1246000,33.35
2014-02-19,41.18,41.42,40.01,40.98,1174600,33.21
2014-02-18,41.19,41.99,40.64,41.17,828900,33.36
2014-02-14,43.37,43.49,40.80,41.44,1645400,33.58
2014-02-13,39.92,44.01,39.75,43.42,2941700,35.19
2014-02-12,38.82,40.43,38.13,40.39,1638400,32.73
2014-02-11,36.00,38.98,35.80,38.72,2318600,31.38
2014-02-10,35.43,35.79,34.55,35.72,815600,28.95
2014-02-07,35.97,36.44,35.00,35.50,1040900,28.77
2014-02-06,34.43,36.31,34.19,35.82,1387200,29.03
2014-02-05,33.63,35.06,32.85,34.35,2013100,27.84
2014-02-04,35.49,35.57,33.67,33.99,2174900,27.54
2014-02-03,36.43,37.03,35.00,35.23,1365300,28.55
2014-01-31,36.15,36.60,34.90,36.37,1763100,29.47
2014-01-30,36.65,37.24,36.05,36.50,1029200,29.58
2014-01-29,38.13,38.37,36.31,36.36,1480600,29.47
2014-01-28,38.70,38.95,37.65,38.41,996600,31.13
2014-01-27,38.29,38.75,36.73,38.39,1170400,31.11
2014-01-24,37.20,38.95,36.67,38.15,1519800,30.92
2014-01-23,37.26,37.57,36.51,37.36,1465000,30.28
2014-01-22,37.86,38.95,37.49,37.59,1746700,30.46
2014-01-21,37.71,37.99,36.60,37.85,1885200,30.67
2014-01-17,39.41,39.50,37.50,37.58,2702900,30.45
2014-01-16,36.57,39.93,35.98,38.37,3558800,31.09
2014-01-15,35.93,37.44,35.30,36.70,2448900,29.74
2014-01-14,35.91,37.49,34.21,35.66,4752000,28.90
2014-01-13,36.50,37.40,35.30,35.46,4828900,28.74
2014-01-10,37.90,37.96,35.50,36.71,10605100,29.75
2014-01-09,43.73,43.84,41.22,42.57,3612500,34.50
2014-01-08,43.33,44.27,43.05,43.97,1177900,35.63
2014-01-07,44.75,44.97,43.11,43.83,1579700,35.52
2014-01-06,46.40,46.52,44.60,44.78,1272000,36.29
2014-01-03,47.27,47.62,45.75,46.13,967000,37.38
2014-01-02,49.05,49.98,46.87,47.08,1730400,38.15
2013-12-31,47.67,49.24,47.28,49.04,1270600,39.74
2013-12-30,46.23,47.86,45.99,47.70,1027900,38.65
2013-12-27,47.08,47.20,45.87,46.16,659800,37.41
2013-12-26,46.85,47.20,46.49,46.95,750300,38.05
2013-12-24,45.76,46.85,45.30,46.50,665900,37.68
2013-12-23,45.82,47.20,45.18,45.64,1390800,36.99
2013-12-20,45.46,46.23,44.87,45.94,5131900,37.23
2013-12-19,43.54,46.44,43.45,45.49,2386300,36.86
2013-12-18,44.52,44.98,43.07,43.95,1460000,35.62
2013-12-17,44.02,46.10,43.62,44.45,2478200,36.02
2013-12-16,45.34,46.10,44.07,44.10,2131900,35.74
2013-12-13,46.55,47.54,45.28,45.36,1258400,36.76
2013-12-12,46.18,46.99,45.63,46.61,1612000,37.77
2013-12-11,47.61,48.50,45.98,46.31,1841500,37.53
2013-12-10,47.50,48.50,46.30,46.86,1795100,37.97
2013-12-09,48.12,48.56,46.50,47.72,2379800,38.67
2013-12-06,51.74,52.00,47.83,48.09,2991800,38.97
2013-12-05,50.09,52.57,49.60,49.98,3068800,40.50
2013-12-04,52.62,52.65,50.18,50.92,5060300,41.26
2013-12-03,59.88,60.28,55.55,55.55,3220300,45.02
2013-12-02,63.53,64.85,60.00,60.20,1327300,48.78
2013-11-29,64.25,64.99,61.69,63.53,784400,51.48
2013-11-27,64.75,65.42,62.60,63.68,767300,51.60
2013-11-26,64.93,67.38,64.13,64.55,1090700,52.31
2013-11-25,61.80,67.50,61.50,65.80,1558300,53.32
2013-11-22,59.97,61.84,59.90,61.34,520000,49.71
2013-11-21,58.56,64.50,58.10,59.93,1024200,48.57
2013-11-20,61.79,62.72,60.70,61.70,707600,50.00
2013-11-19,62.70,63.82,61.32,61.61,469700,49.93
2013-11-18,64.02,65.19,62.70,63.01,706800,51.06
2013-11-15,64.68,65.70,63.60,64.39,979300,52.18
2013-11-14,63.51,64.80,62.24,63.68,913100,51.60
2013-11-13,61.35,64.17,60.98,63.89,685500,51.77
2013-11-12,59.68,64.49,58.82,61.70,840000,50.00
2013-11-11,56.58,60.33,56.58,59.98,724700,48.61
2013-11-08,56.24,57.29,55.87,56.72,514200,45.96
2013-11-07,58.03,59.05,55.96,56.38,671700,45.69
2013-11-06,60.30,60.70,57.50,57.80,555200,46.84
2013-11-05,60.38,60.85,59.13,60.24,582100,48.82
2013-11-04,58.19,61.12,57.40,60.86,909700,49.32
2013-11-01,58.54,59.08,57.37,58.17,423800,47.14
2013-10-31,58.65,59.04,56.79,58.08,632300,47.07
2013-10-30,61.97,63.00,58.14,58.67,1071900,47.54
