Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,119.79,119.79,117.82,118.34,419300,118.34
2014-06-18,117.92,119.65,117.26,119.31,783100,119.31
2014-06-17,113.12,118.04,113.04,117.66,776000,117.66
2014-06-16,113.40,113.91,112.47,113.20,432800,113.20
2014-06-13,114.32,114.99,113.08,113.49,393500,113.49
2014-06-12,115.05,116.01,112.03,114.04,604700,114.04
2014-06-11,112.89,114.18,111.33,111.95,319200,111.95
2014-06-10,113.00,114.12,112.42,113.71,396700,113.71
2014-06-09,111.40,114.23,111.40,113.06,473500,113.06
2014-06-06,110.28,112.03,110.28,111.31,384300,111.31
2014-06-05,108.16,110.71,107.26,110.05,467800,110.05
2014-06-04,106.83,108.16,106.13,107.89,254400,107.89
2014-06-03,106.36,107.49,105.79,106.94,450200,106.94
2014-06-02,105.67,106.67,103.80,106.50,472700,106.50
2014-05-30,105.60,106.51,105.22,105.45,690200,105.45
2014-05-29,106.87,107.07,105.18,106.01,656800,106.01
2014-05-28,106.98,106.98,105.44,106.61,470800,106.61
2014-05-27,106.89,107.78,106.22,107.23,456500,107.23
2014-05-23,106.29,107.35,105.81,106.88,376700,106.88
2014-05-22,106.80,107.53,105.90,106.35,576800,106.35
2014-05-21,103.81,106.67,103.19,106.45,1268800,106.45
2014-05-20,101.65,104.00,101.40,103.81,1009500,103.81
2014-05-19,101.84,102.85,101.31,102.17,744700,102.17
2014-05-16,102.23,102.95,101.39,102.12,572300,102.12
2014-05-15,102.35,103.58,100.30,102.63,1614200,102.63
2014-05-14,102.28,103.95,101.78,102.86,3602400,102.86
2014-05-13,102.92,105.09,102.26,102.42,863600,102.42
2014-05-12,103.00,105.68,101.41,103.92,633000,103.92
2014-05-09,102.44,103.07,101.00,102.81,366300,102.81
2014-05-08,103.00,105.27,102.50,102.67,699100,102.67
2014-05-07,104.59,105.50,100.40,103.48,666000,103.48
2014-05-06,106.23,106.99,103.91,104.30,507200,104.30
2014-05-05,105.86,107.52,105.13,106.54,349100,106.54
2014-05-02,108.02,109.81,106.41,106.72,296800,106.72
2014-05-01,106.72,108.01,105.77,107.95,554200,107.95
2014-04-30,107.83,108.28,105.30,106.69,592000,106.69
2014-04-29,108.24,108.71,106.17,107.98,460800,107.98
2014-04-28,108.59,110.43,106.47,108.01,571600,108.01
2014-04-25,117.44,118.00,106.79,107.21,915000,107.21
2014-04-24,114.02,114.83,111.02,111.82,238600,111.82
2014-04-23,113.15,114.09,112.14,113.04,318400,113.04
2014-04-22,113.79,114.92,112.91,113.15,472900,113.15
2014-04-21,113.81,114.62,112.82,113.67,191100,113.67
2014-04-17,113.61,115.11,113.22,114.29,306900,114.29
2014-04-16,111.74,113.54,110.99,113.22,339100,113.22
2014-04-15,111.93,112.96,108.60,110.66,499900,110.66
2014-04-14,111.78,112.66,109.62,111.17,675400,111.17
2014-04-11,112.16,115.16,111.07,111.37,729000,111.37
2014-04-10,120.88,121.92,112.83,113.58,714200,113.58
2014-04-09,121.68,122.30,120.24,121.19,396600,121.19
2014-04-08,121.58,122.55,119.25,120.91,647900,120.91
2014-04-07,123.56,124.03,121.24,122.00,492500,122.00
2014-04-04,128.62,129.41,123.21,123.59,487700,123.59
2014-04-03,128.36,129.90,126.72,128.30,221200,128.30
2014-04-02,129.88,130.17,128.17,128.50,268900,128.50
2014-04-01,128.95,129.64,127.02,129.22,383800,129.22
2014-03-31,126.94,129.18,126.55,128.78,294800,128.78
2014-03-28,126.17,128.64,125.11,125.99,233500,125.99
2014-03-27,127.99,127.99,125.11,125.60,490500,125.60
2014-03-26,130.27,131.15,127.35,127.75,355900,127.75
2014-03-25,131.28,131.28,128.00,129.37,352800,129.37
2014-03-24,132.19,133.21,129.80,130.42,479900,130.42
2014-03-21,132.70,135.00,130.04,131.53,1120300,131.53
2014-03-20,126.74,132.67,125.73,132.27,474900,132.27
2014-03-19,128.18,128.60,125.96,127.41,320000,127.41
2014-03-18,128.22,128.69,127.11,127.63,355400,127.63
2014-03-17,127.16,128.34,126.63,127.63,205200,127.63
2014-03-14,126.61,127.52,124.89,126.53,201900,126.53
2014-03-13,126.06,126.89,124.16,126.86,381600,126.86
2014-03-12,124.53,125.25,122.84,124.96,283600,124.96
2014-03-11,126.34,126.91,124.82,124.97,275300,124.97
2014-03-10,126.65,127.94,125.33,127.01,249800,127.01
2014-03-07,125.28,127.00,124.90,126.80,404200,126.80
2014-03-06,123.50,125.08,123.45,124.43,333200,124.43
2014-03-05,124.79,126.00,123.37,123.63,411800,123.63
2014-03-04,124.04,125.79,124.04,124.57,367700,124.57
2014-03-03,124.85,124.85,121.89,122.55,594400,122.55
2014-02-28,125.11,128.13,125.10,125.91,357200,125.91
2014-02-27,124.32,125.36,123.19,125.06,224300,125.06
2014-02-26,123.03,124.74,121.52,124.65,268500,124.65
2014-02-25,122.57,123.26,121.09,121.73,174300,121.73
2014-02-24,119.85,122.71,119.85,122.51,313000,122.51
2014-02-21,119.33,120.08,118.14,119.68,288800,119.68
2014-02-20,117.35,119.09,116.54,118.78,311700,118.78
2014-02-19,118.81,118.95,117.13,117.46,421100,117.46
2014-02-18,120.31,120.82,117.56,120.25,426100,120.25
2014-02-14,115.46,117.04,115.46,116.93,194700,116.93
2014-02-13,113.18,115.86,113.18,115.65,247100,115.65
2014-02-12,113.48,115.64,112.65,114.09,322300,114.09
2014-02-11,111.19,113.92,111.19,113.55,195600,113.55
2014-02-10,111.07,111.54,110.32,111.34,240100,111.34
2014-02-07,111.62,112.84,109.63,110.87,317500,110.87
2014-02-06,110.37,112.07,109.48,111.81,203300,111.81
2014-02-05,109.39,110.48,108.71,110.28,247100,110.28
2014-02-04,107.93,111.29,106.52,109.81,485500,109.81
2014-02-03,112.63,112.63,107.27,107.87,609300,107.87
2014-01-31,112.96,113.79,111.93,112.23,392700,112.23
2014-01-30,111.71,114.22,110.79,114.06,315900,114.06
2014-01-29,111.30,112.66,110.80,110.91,358300,110.91
2014-01-28,111.65,113.34,110.72,112.11,395000,112.11
2014-01-27,114.70,120.44,111.06,111.18,480800,111.18
2014-01-24,115.00,121.92,112.95,113.97,1091700,113.97
2014-01-23,110.84,110.84,108.58,110.26,483600,110.26
2014-01-22,106.32,111.70,105.15,111.57,581500,111.57
2014-01-21,104.73,106.46,104.73,106.09,217500,106.09
2014-01-17,103.19,104.54,102.39,104.02,197700,104.02
2014-01-16,103.47,104.23,102.42,103.33,261100,103.33
2014-01-15,103.90,104.55,103.33,103.78,181100,103.78
2014-01-14,102.86,103.38,101.65,103.27,247800,103.27
2014-01-13,103.20,103.51,101.77,102.13,189700,102.13
2014-01-10,104.10,104.10,102.42,103.45,219400,103.45
2014-01-09,102.86,104.21,101.80,103.81,267200,103.81
2014-01-08,103.29,105.34,102.12,102.79,527100,102.79
2014-01-07,104.04,105.21,102.60,103.27,326200,103.27
2014-01-06,104.57,104.98,102.85,103.05,187500,103.05
2014-01-03,103.65,104.44,102.53,104.11,250000,104.11
2014-01-02,104.01,105.67,103.04,103.23,278700,103.23
2013-12-31,105.18,105.98,104.50,104.86,137300,104.86
2013-12-30,104.95,105.50,104.32,104.90,185600,104.90
2013-12-27,104.73,105.72,104.56,105.04,139300,105.04
2013-12-26,106.40,106.99,105.00,105.28,170500,105.28
2013-12-24,105.97,106.77,105.64,106.10,53700,106.10
2013-12-23,104.39,106.26,103.80,105.95,172600,105.95
2013-12-20,104.06,105.00,103.85,104.01,663000,104.01
2013-12-19,103.33,104.36,103.04,103.99,304000,103.99
2013-12-18,102.06,104.08,100.65,103.87,292800,103.87
2013-12-17,102.52,102.77,101.28,101.72,285700,101.72
2013-12-16,100.85,103.46,100.02,102.41,437200,102.41
2013-12-13,100.10,100.91,99.11,99.98,241000,99.98
2013-12-12,98.76,100.55,98.72,99.99,218300,99.99
2013-12-11,100.67,101.53,98.59,98.76,221300,98.76
2013-12-10,101.34,102.56,100.46,100.74,193600,100.74
2013-12-09,102.66,103.00,101.42,101.99,241700,101.99
2013-12-06,102.02,102.97,101.65,102.58,200600,102.58
2013-12-05,99.34,100.82,97.00,100.75,273500,100.75
2013-12-04,99.31,101.17,98.21,99.31,217400,99.31
2013-12-03,100.64,101.06,98.49,99.48,197900,99.48
2013-12-02,101.00,103.36,100.51,100.87,198700,100.87
2013-11-29,101.89,102.11,101.14,101.24,50500,101.24
2013-11-27,102.02,102.20,100.67,101.66,181300,101.66
2013-11-26,101.23,102.00,100.36,101.69,158300,101.69
2013-11-25,101.98,102.68,100.73,101.02,164900,101.02
2013-11-22,101.00,102.13,100.15,102.01,149500,102.01
2013-11-21,98.92,101.21,98.69,101.11,225600,101.11
2013-11-20,98.53,98.89,97.34,98.25,200700,98.25
2013-11-19,97.54,98.72,97.23,98.28,220400,98.28
2013-11-18,98.06,99.23,97.15,97.84,265500,97.84
2013-11-15,99.16,99.16,96.90,97.77,160500,97.77
2013-11-14,98.25,99.31,97.41,98.86,193700,98.86
2013-11-13,96.10,98.11,95.87,98.00,251400,98.00
2013-11-12,97.43,98.23,96.45,96.90,234300,96.90
2013-11-11,98.55,99.01,97.44,97.91,199000,97.91
2013-11-08,94.72,99.45,94.72,99.17,321600,99.17
2013-11-07,96.63,96.97,94.57,94.77,164200,94.77
2013-11-06,96.63,96.99,95.84,96.18,122900,96.18
2013-11-05,95.21,97.32,94.93,96.41,202100,96.41
2013-11-04,95.09,95.85,94.53,95.64,196400,95.64
2013-11-01,95.68,96.28,94.87,95.16,202600,95.16
2013-10-31,96.35,96.78,95.69,95.78,247400,95.78
2013-10-30,96.45,97.54,96.32,96.59,171700,96.59
2013-10-29,97.38,97.86,95.80,96.69,272000,96.69
2013-10-28,96.63,97.99,95.91,97.77,297700,97.77
2013-10-25,96.55,100.00,94.91,96.39,414700,96.39
2013-10-24,94.84,96.19,94.37,95.36,385600,95.36
2013-10-23,94.79,95.19,93.58,94.73,167300,94.73
2013-10-22,95.64,96.14,94.75,95.12,273000,95.12
2013-10-21,95.00,96.37,94.93,95.49,244000,95.49
2013-10-18,95.65,95.72,94.64,95.30,342500,95.30
2013-10-17,94.64,95.90,94.02,95.50,286300,95.50
2013-10-16,94.17,95.82,94.17,94.84,221600,94.84
2013-10-15,94.29,95.80,93.42,93.62,324100,93.62
2013-10-14,93.16,94.77,93.05,94.42,274000,94.42
2013-10-11,91.36,93.93,90.02,93.50,392900,93.50
2013-10-10,89.31,90.80,88.49,90.79,226900,90.79
2013-10-09,87.94,89.00,87.50,88.29,395400,88.29
2013-10-08,87.64,88.48,87.10,87.18,161400,87.18
2013-10-07,89.23,89.76,87.69,87.82,295200,87.82
2013-10-04,88.70,90.57,88.49,89.86,190500,89.86
2013-10-03,87.88,89.45,87.66,88.64,475400,88.64
2013-10-02,88.21,88.43,87.00,87.61,248700,87.61
2013-10-01,86.12,89.30,86.06,88.73,557200,88.73
2013-09-30,84.75,86.60,83.69,86.37,297600,86.37
2013-09-27,84.55,86.19,84.50,85.91,427200,85.91
2013-09-26,84.79,85.87,83.88,84.72,289400,84.72
2013-09-25,83.44,84.81,82.36,84.43,383000,84.43
2013-09-24,81.96,83.37,81.02,83.16,369800,83.16
2013-09-23,82.54,82.93,81.08,81.79,195100,81.79
2013-09-20,81.29,82.98,81.29,82.86,528300,82.86
2013-09-19,84.73,85.02,79.54,81.29,650700,81.29
2013-09-18,86.32,86.75,84.51,84.62,299600,84.62
2013-09-17,84.31,86.36,84.17,86.21,181700,86.21
2013-09-16,84.50,84.75,83.54,84.25,99600,84.25
2013-09-13,83.80,84.23,83.25,83.64,212400,83.64
2013-09-12,84.58,84.66,83.59,83.86,80000,83.86
2013-09-11,84.50,85.10,84.03,84.31,137800,84.31
2013-09-10,83.93,84.70,83.68,84.61,152000,84.61
2013-09-09,83.40,84.10,82.56,83.86,146700,83.86
2013-09-06,84.42,85.02,81.64,83.07,257700,83.07
2013-09-05,83.43,85.00,83.43,84.13,209600,84.13
2013-09-04,83.02,84.27,82.61,83.38,163900,83.38
2013-09-03,83.58,84.84,81.85,82.75,410500,82.75
2013-08-30,84.52,84.53,82.28,82.80,247600,82.80
2013-08-29,84.20,86.02,84.20,84.55,108900,84.55
2013-08-28,84.10,84.55,83.64,84.29,318700,84.29
2013-08-27,86.19,86.19,83.78,84.04,124700,84.04
2013-08-26,88.18,88.87,86.57,86.88,161500,86.88
2013-08-23,88.89,89.97,87.61,88.24,82100,88.24
2013-08-22,87.90,89.25,87.60,88.84,84200,88.84
2013-08-21,87.62,88.92,87.22,88.00,204400,88.00
2013-08-20,86.16,88.30,86.10,87.83,195400,87.83
2013-08-19,87.25,87.66,85.91,86.30,146700,86.30
2013-08-16,85.79,87.79,85.79,87.52,203500,87.52
2013-08-15,87.31,87.45,85.77,86.16,148400,86.16
2013-08-14,88.12,88.60,87.28,87.61,107900,87.61
2013-08-13,86.48,87.96,86.07,87.94,150900,87.94
2013-08-12,86.60,87.18,86.27,86.44,188700,86.44
2013-08-09,87.34,88.03,86.85,87.05,120200,87.05
2013-08-08,87.23,87.75,86.24,87.39,108400,87.39
2013-08-07,86.98,86.98,85.72,86.67,164800,86.67
2013-08-06,88.02,88.49,86.78,87.12,177000,87.12
2013-08-05,88.42,89.11,88.08,88.42,158900,88.42
2013-08-02,88.95,89.43,88.22,88.50,223100,88.50
2013-08-01,88.22,89.52,87.00,89.25,475900,89.25
2013-07-31,87.47,88.94,87.16,87.23,494400,87.23
2013-07-30,87.70,89.08,87.32,87.54,285900,87.54
2013-07-29,89.18,89.47,87.47,87.67,259100,87.67
2013-07-26,89.83,91.46,85.87,89.26,595100,89.26
2013-07-25,89.82,90.72,89.07,89.71,306000,89.71
2013-07-24,90.24,91.12,89.76,90.10,339200,90.10
2013-07-23,90.01,90.54,88.93,90.28,288700,90.28
2013-07-22,88.28,90.07,88.02,90.04,250800,90.04
2013-07-19,87.68,88.43,87.68,88.23,153500,88.23
2013-07-18,86.44,88.32,86.44,88.24,236600,88.24
2013-07-17,85.96,86.81,85.68,86.04,349200,86.04
2013-07-16,87.27,87.50,84.92,86.09,432800,86.09
2013-07-15,87.35,87.60,86.00,86.85,660000,86.85
2013-07-12,86.95,87.40,86.66,86.94,371300,86.94
2013-07-11,89.41,89.45,86.33,86.75,405200,86.75
2013-07-10,90.05,90.18,88.47,89.01,206400,89.01
2013-07-09,90.37,90.91,88.96,90.17,260200,90.17
2013-07-08,90.17,90.51,89.50,90.12,290300,90.12
2013-07-05,86.83,89.95,86.83,89.87,349200,89.87
2013-07-03,86.06,87.00,85.83,86.52,130500,86.52
2013-07-02,86.29,87.45,85.67,86.74,366600,86.74
2013-07-01,83.80,86.83,83.50,86.08,484700,86.08
2013-06-28,82.81,83.91,82.33,83.32,326100,83.32
2013-06-27,82.07,83.55,81.71,82.87,368100,82.87
2013-06-26,82.31,82.58,81.18,81.69,485500,81.69
2013-06-25,81.06,82.08,80.34,81.81,633800,81.81
2013-06-24,78.52,80.88,78.15,80.39,480700,80.39
2013-06-21,76.89,79.39,76.53,78.75,993700,78.75
2013-06-20,74.55,76.83,74.43,76.29,408300,76.29
2013-06-19,75.57,75.95,74.77,75.45,315300,75.45
2013-06-18,76.01,76.56,75.63,75.74,268000,75.74
2013-06-17,76.12,76.45,75.37,75.72,239500,75.72
2013-06-14,76.54,76.83,75.55,75.91,208300,75.91
2013-06-13,75.19,76.74,74.66,76.61,141300,76.61
2013-06-12,76.87,76.96,74.98,75.41,108700,75.41
2013-06-11,76.92,78.11,76.23,76.44,197700,76.44
2013-06-10,77.00,78.04,76.57,77.82,115500,77.82
2013-06-07,76.76,76.76,75.86,76.56,174000,76.56
2013-06-06,75.11,76.20,74.35,76.09,232800,76.09
2013-06-05,75.52,75.81,74.06,74.24,182500,74.24
2013-06-04,76.40,76.81,75.08,75.58,270100,75.58
2013-06-03,77.61,77.61,75.03,76.40,286900,76.40
2013-05-31,77.76,78.53,77.39,77.39,367400,77.39
2013-05-30,76.09,78.22,75.96,78.07,284500,78.07
2013-05-29,75.46,76.48,75.27,76.00,168300,76.00
2013-05-28,75.28,75.91,75.13,75.88,190000,75.88
2013-05-24,74.08,74.36,73.33,74.32,87500,74.32
2013-05-23,73.87,74.77,73.51,74.31,199800,74.31
2013-05-22,75.36,75.82,73.95,74.13,222300,74.13
2013-05-21,75.22,75.86,74.60,75.43,76900,75.43
2013-05-20,74.49,75.66,74.49,75.29,148200,75.29
2013-05-17,74.21,74.79,74.12,74.77,148700,74.77
2013-05-16,73.98,75.24,73.51,73.92,149500,73.92
2013-05-15,73.14,74.17,72.89,74.11,208200,74.11
2013-05-14,72.58,73.71,72.58,73.34,122600,73.34
2013-05-13,72.32,72.92,71.88,72.28,93700,72.28
2013-05-10,72.23,72.74,72.08,72.42,72500,72.42
2013-05-09,72.11,72.85,72.06,72.23,62000,72.23
2013-05-08,72.34,72.76,71.94,72.51,96000,72.51
2013-05-07,71.40,72.71,71.40,72.60,175000,72.60
2013-05-06,70.86,71.88,70.82,71.42,231500,71.42
2013-05-03,70.71,71.49,70.71,71.04,193900,71.04
2013-05-02,69.34,70.29,69.07,70.17,203800,70.17
2013-05-01,70.52,70.71,69.12,69.25,195900,69.25
2013-04-30,70.63,71.12,70.30,71.11,245500,71.11
2013-04-29,70.00,71.26,69.61,71.06,274400,71.06
2013-04-26,69.20,70.83,68.77,69.85,493200,69.85
2013-04-25,68.35,69.05,67.63,68.35,203200,68.35
2013-04-24,68.08,68.40,67.84,68.26,222400,68.26
2013-04-23,67.19,68.24,67.19,68.20,155600,68.20
2013-04-22,67.04,67.17,66.09,66.81,152300,66.81
2013-04-19,66.47,67.29,65.83,66.99,87900,66.99
2013-04-18,66.98,66.98,65.59,66.10,187800,66.10
2013-04-17,67.35,67.57,66.15,66.67,141400,66.67
2013-04-16,67.30,68.08,66.77,68.00,153400,68.00
2013-04-15,68.57,68.85,66.46,66.57,262600,66.57
2013-04-12,69.15,69.66,68.23,68.90,160000,68.90
2013-04-11,69.83,69.87,69.16,69.62,164800,69.62
2013-04-10,68.45,69.72,68.45,69.64,184200,69.64
2013-04-09,68.22,68.52,67.63,68.16,143100,68.16
2013-04-08,67.84,68.03,66.91,68.01,254100,68.01
2013-04-05,68.09,68.75,67.00,67.58,584600,67.58
2013-04-04,69.20,69.25,68.52,68.86,207500,68.86
2013-04-03,70.60,70.60,68.54,68.73,317400,68.73
2013-04-02,71.00,71.31,70.01,70.21,239400,70.21
2013-04-01,70.89,71.52,69.75,70.48,222300,70.48
2013-03-28,70.34,71.13,70.11,70.94,236100,70.94
2013-03-27,69.85,70.63,69.56,70.57,91900,70.57
2013-03-26,70.41,70.46,69.69,70.39,117600,70.39
2013-03-25,70.03,70.76,69.35,69.96,341400,69.96
2013-03-22,70.33,71.15,70.18,70.74,204200,70.74
2013-03-21,69.82,70.44,69.50,70.18,203000,70.18
2013-03-20,69.67,70.43,69.63,70.38,206100,70.38
2013-03-19,69.05,69.63,68.82,69.39,222600,69.39
2013-03-18,68.62,69.16,67.98,68.88,216200,68.88
2013-03-15,68.98,69.34,68.77,69.14,571800,69.14
2013-03-14,68.33,68.93,68.16,68.92,96800,68.92
2013-03-13,68.23,68.35,67.77,68.27,145000,68.27
2013-03-12,68.69,68.86,67.93,68.29,171900,68.29
2013-03-11,68.51,69.28,68.51,68.90,193600,68.90
2013-03-08,68.35,69.31,68.13,68.65,254300,68.65
2013-03-07,67.23,67.99,66.98,67.94,218900,67.94
2013-03-06,67.60,67.79,67.14,67.24,190000,67.24
2013-03-05,67.44,67.88,66.75,67.47,219200,67.47
2013-03-04,66.63,67.24,66.25,67.16,214600,67.16
2013-03-01,66.56,66.92,65.73,66.66,365700,66.66
2013-02-28,66.84,67.53,66.75,67.06,275000,67.06
2013-02-27,65.99,67.20,65.94,67.03,210200,67.03
2013-02-26,66.04,66.35,65.45,65.96,724600,65.96
2013-02-25,67.75,68.09,65.65,65.65,346700,65.65
2013-02-22,66.56,67.70,66.10,67.46,406300,67.46
2013-02-21,65.89,67.05,65.89,65.92,478400,65.92
2013-02-20,68.34,68.50,67.32,67.51,208200,67.51
2013-02-19,67.58,68.41,67.58,68.34,218200,68.34
2013-02-15,67.72,67.93,67.23,67.36,288500,67.36
2013-02-14,67.64,68.16,67.35,67.43,220900,67.43
2013-02-13,67.81,67.90,67.30,67.76,339500,67.76
