Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,41.45,41.75,40.82,41.08,79400,41.08
2014-06-18,40.48,41.71,40.01,41.45,82800,41.45
2014-06-17,39.20,40.64,39.00,40.56,57300,40.56
2014-06-16,38.88,39.45,38.80,39.37,65200,39.37
2014-06-13,38.78,39.25,38.69,39.06,58100,39.06
2014-06-12,39.58,39.58,38.54,38.82,51600,38.82
2014-06-11,40.54,40.54,39.63,39.79,35900,39.79
2014-06-10,40.81,41.19,40.38,40.84,68000,40.84
2014-06-09,40.60,41.79,39.36,41.11,65900,41.11
2014-06-06,40.79,41.73,40.34,40.80,75200,40.80
2014-06-05,37.52,40.53,37.21,40.44,133700,40.44
2014-06-04,36.90,37.61,36.82,37.45,58100,37.45
2014-06-03,36.55,37.27,36.29,37.08,69400,37.08
2014-06-02,36.83,37.30,36.14,36.70,45700,36.70
2014-05-30,37.49,37.57,36.50,36.92,45700,36.92
2014-05-29,37.74,37.91,36.90,37.32,26400,37.32
2014-05-28,38.23,38.23,37.35,37.70,26500,37.70
2014-05-27,38.00,39.10,38.00,38.44,37000,38.44
2014-05-23,37.10,37.90,36.88,37.75,39900,37.75
2014-05-22,37.02,37.33,36.70,37.03,35800,37.03
2014-05-21,36.97,37.36,36.01,36.77,44000,36.77
2014-05-20,37.30,37.30,36.14,36.78,93000,36.78
2014-05-19,36.85,37.74,36.85,37.55,34500,37.55
2014-05-16,36.55,36.94,35.90,36.92,55600,36.92
2014-05-15,36.62,36.86,35.88,36.66,58000,36.66
2014-05-14,38.41,38.41,36.66,36.95,48800,36.95
2014-05-13,39.10,39.40,38.00,38.36,77000,38.36
2014-05-12,37.67,39.55,37.64,39.30,58700,39.30
2014-05-09,37.04,37.79,36.58,37.62,97600,37.62
2014-05-08,37.82,38.93,37.18,37.31,59400,37.31
2014-05-07,38.57,38.57,36.67,37.79,88700,37.79
2014-05-06,40.45,40.89,38.43,38.49,83100,38.49
2014-05-05,40.67,41.28,40.38,40.90,68700,40.90
2014-05-02,40.61,41.65,40.38,41.13,57600,41.13
2014-05-01,40.69,40.99,39.56,40.37,96700,40.37
2014-04-30,39.49,41.08,38.63,40.88,92200,40.88
2014-04-29,39.60,40.01,39.04,39.47,71100,39.47
2014-04-28,39.89,40.10,38.32,39.25,60500,39.25
2014-04-25,40.00,40.37,39.18,39.63,57800,39.63
2014-04-24,40.74,40.90,39.76,40.31,25000,40.31
2014-04-23,41.10,41.28,40.41,40.48,30600,40.48
