Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,20.04,20.32,19.63,20.05,87900,20.05
2014-06-18,20.05,20.39,19.77,19.93,101300,19.93
2014-06-17,19.90,20.82,19.90,20.02,143400,20.02
2014-06-16,19.59,20.04,19.54,19.96,121100,19.96
2014-06-13,19.77,20.09,19.40,19.63,117100,19.63
2014-06-12,19.85,19.90,19.57,19.77,90200,19.77
2014-06-11,19.81,20.12,19.56,19.83,60000,19.83
2014-06-10,19.62,20.56,19.62,20.21,82700,20.21
2014-06-09,19.95,20.43,19.95,20.10,585600,20.10
2014-06-06,19.92,20.20,19.78,20.04,46600,20.04
2014-06-05,20.00,20.69,19.68,19.77,66900,19.77
2014-06-04,19.30,20.76,19.22,20.05,203800,20.05
2014-06-03,18.62,19.48,18.44,19.31,59400,19.31
2014-06-02,19.25,19.37,18.30,18.64,36400,18.64
2014-05-30,19.39,19.39,18.71,19.14,132900,19.14
2014-05-29,18.84,19.39,18.65,19.32,47200,19.32
2014-05-28,18.90,19.10,18.78,18.85,31400,18.85
2014-05-27,19.29,19.29,18.50,18.94,45900,18.94
2014-05-23,18.93,19.37,18.48,19.07,56900,19.07
2014-05-22,18.52,19.05,18.30,18.88,98100,18.88
2014-05-21,18.53,18.82,18.06,18.39,87500,18.39
2014-05-20,18.64,18.94,18.00,18.45,65700,18.45
2014-05-19,18.58,19.33,18.35,18.70,43600,18.70
2014-05-16,17.84,19.11,17.84,18.61,78400,18.61
2014-05-15,18.19,19.36,17.53,17.88,164300,17.88
2014-05-14,18.57,19.36,17.99,18.35,123700,18.35
2014-05-13,18.34,19.24,18.19,18.57,88100,18.57
2014-05-12,18.29,18.60,17.88,18.39,36200,18.39
2014-05-09,17.51,17.75,17.12,17.62,32900,17.62
2014-05-08,17.50,18.15,17.13,17.58,79400,17.58
2014-05-07,17.44,18.00,17.02,17.42,75700,17.42
2014-05-06,17.70,18.14,17.27,17.47,133900,17.47
2014-05-05,17.64,18.41,17.53,17.72,64200,17.72
2014-05-02,17.30,17.94,17.30,17.67,77700,17.67
2014-05-01,17.27,17.67,17.10,17.49,217000,17.49
2014-04-30,16.57,17.43,16.50,17.31,180000,17.31
2014-04-29,18.03,18.25,16.26,16.70,195400,16.70
2014-04-28,18.21,18.92,17.90,18.31,133100,18.31
2014-04-25,18.72,18.72,18.05,18.23,83900,18.23
2014-04-24,19.24,19.69,18.68,18.88,44700,18.88
2014-04-23,20.16,20.33,19.20,19.20,56800,19.20
2014-04-22,19.12,20.41,19.12,20.09,52300,20.09
2014-04-21,19.03,20.13,19.00,19.13,27500,19.13
2014-04-17,18.62,19.93,18.60,18.90,28700,18.90
2014-04-16,18.99,18.99,18.26,18.73,26000,18.73
2014-04-15,18.38,18.45,17.45,18.27,70600,18.27
2014-04-14,18.71,19.40,18.02,18.40,46500,18.40
2014-04-11,18.73,19.98,18.46,18.57,41000,18.57
2014-04-10,19.80,19.80,18.78,18.91,40900,18.91
2014-04-09,18.67,19.63,18.37,19.36,58300,19.36
2014-04-08,18.73,18.99,18.37,18.59,93100,18.59
2014-04-07,19.23,19.75,18.41,18.63,142800,18.63
2014-04-04,19.70,19.96,19.20,19.26,70200,19.26
2014-04-03,20.53,20.83,19.63,19.68,85900,19.68
2014-04-02,19.91,20.80,19.70,20.47,67700,20.47
2014-04-01,20.41,20.41,19.50,19.79,85600,19.79
2014-03-31,19.64,20.82,19.15,20.32,110000,20.32
2014-03-28,19.50,19.86,19.20,19.63,100900,19.63
2014-03-27,20.11,20.11,19.21,19.51,70800,19.51
2014-03-26,20.86,20.86,19.72,20.00,88300,20.00
2014-03-25,20.36,21.17,20.20,20.70,54200,20.70
