Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,7.55,7.56,7.48,7.51,11200,7.51
2014-06-18,7.60,7.80,7.55,7.58,15100,7.58
2014-06-17,7.59,7.65,7.59,7.65,6000,7.65
2014-06-16,7.49,7.49,7.42,7.49,10000,7.49
2014-06-13,7.45,7.48,7.42,7.45,4600,7.45
2014-06-12,7.37,7.45,7.37,7.38,7800,7.38
2014-06-11,7.46,7.46,7.25,7.45,2300,7.45
2014-06-10,7.60,7.60,7.50,7.54,2100,7.54
2014-06-09,7.46,7.70,7.46,7.58,4500,7.58
2014-06-06,7.55,7.59,7.53,7.55,3700,7.55
2014-06-05,7.51,7.60,7.45,7.60,9500,7.60
2014-06-04,7.65,7.65,7.65,7.65,600,7.65
2014-06-03,7.70,7.70,7.60,7.60,4200,7.60
2014-06-02,7.60,7.77,7.55,7.77,7200,7.77
2014-05-30,7.59,7.64,7.58,7.64,2300,7.64
2014-05-29,7.69,7.69,7.59,7.60,2800,7.60
2014-05-28,7.60,7.74,7.60,7.69,2100,7.69
2014-05-27,7.68,7.69,7.67,7.67,800,7.67
2014-05-23,7.52,7.52,7.52,7.52,1500,7.52
2014-05-22,7.61,7.61,7.50,7.50,3100,7.50
2014-05-21,7.55,7.57,7.55,7.57,400,7.57
2014-05-20,7.60,7.65,7.50,7.52,11200,7.52
2014-05-19,7.47,7.60,7.45,7.53,11500,7.53
2014-05-16,7.34,7.47,7.34,7.47,5900,7.47
2014-05-15,7.86,7.86,7.50,7.50,9200,7.50
2014-05-14,7.90,7.91,7.80,7.80,1700,7.80
2014-05-13,7.85,7.92,7.80,7.90,5100,7.90
2014-05-12,7.99,7.99,7.88,7.97,3800,7.97
2014-05-09,8.08,8.09,7.90,7.90,3400,7.90
2014-05-08,7.95,7.95,7.95,7.95,600,7.95
2014-05-07,8.00,8.00,7.99,8.00,700,8.00
2014-05-06,8.18,8.18,7.83,7.90,5800,7.90
2014-05-05,8.03,8.10,8.02,8.10,500,8.10
2014-05-02,8.02,8.02,8.02,8.02,400,8.02
2014-05-01,7.77,8.08,7.77,8.00,13900,8.00
2014-04-30,8.11,8.13,8.11,8.11,2100,8.11
2014-04-29,8.19,8.20,8.10,8.19,2200,8.19
2014-04-28,8.34,8.34,8.34,8.34,100,8.34
2014-04-25,8.05,8.05,8.05,8.05,000,8.05
2014-04-24,8.05,8.05,8.05,8.05,000,8.05
2014-04-23,8.05,8.05,8.05,8.05,1200,8.05
2014-04-22,7.63,8.02,7.40,7.95,11500,7.72
2014-04-21,7.66,8.03,7.65,7.95,7000,7.72
2014-04-17,8.44,8.44,8.32,8.37,3600,8.13
2014-04-16,8.24,8.29,8.21,8.27,3600,8.03
