Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,21.34,21.69,21.34,21.69,9709300,21.69
2014-06-18,21.23,21.44,21.13,21.35,8455000,21.35
2014-06-17,21.23,21.30,21.13,21.26,10287700,21.26
2014-06-16,21.09,21.22,21.07,21.21,4510600,21.21
2014-06-13,21.14,21.21,21.02,21.09,5705100,21.09
2014-06-12,21.10,21.22,20.99,21.11,5641600,21.11
2014-06-11,21.31,21.37,21.05,21.13,7507600,21.13
2014-06-10,21.19,21.40,21.13,21.30,7595600,21.30
2014-06-09,21.29,21.32,21.16,21.21,8131800,21.21
2014-06-06,21.22,21.23,21.07,21.09,7647900,21.09
2014-06-05,21.12,21.21,21.05,21.20,8404000,21.20
2014-06-04,21.22,21.26,21.08,21.10,10888700,21.10
2014-06-03,20.70,21.30,20.63,21.24,20116100,21.24
2014-06-02,20.67,20.69,20.57,20.66,6475000,20.66
2014-05-30,20.40,20.63,20.40,20.56,6671500,20.56
2014-05-29,20.85,20.85,20.64,20.70,6114900,20.70
2014-05-28,20.95,21.02,20.81,20.86,7761100,20.86
2014-05-27,20.83,20.96,20.70,20.89,7520300,20.89
2014-05-23,20.72,20.72,20.55,20.66,7179700,20.66
2014-05-22,20.57,20.72,20.53,20.64,6156500,20.64
2014-05-21,20.51,20.62,20.48,20.50,5629400,20.50
2014-05-20,20.53,20.71,20.46,20.51,4564200,20.51
2014-05-19,20.64,20.73,20.57,20.66,6459900,20.66
2014-05-16,20.67,20.82,20.39,20.77,9131200,20.77
2014-05-15,20.58,20.70,20.42,20.66,12943300,20.66
2014-05-14,20.71,20.86,20.55,20.58,10140100,20.58
2014-05-13,20.52,20.71,20.42,20.64,9547500,20.64
2014-05-12,20.12,20.59,20.11,20.59,19623700,20.59
2014-05-09,20.50,20.55,20.26,20.41,10384000,20.41
2014-05-08,20.35,20.59,20.33,20.51,13522200,20.51
2014-05-07,20.04,20.34,19.97,20.33,14637400,20.33
2014-05-06,19.78,20.09,19.73,20.00,10549900,20.00
2014-05-05,19.53,19.73,19.50,19.66,7061200,19.66
2014-05-02,19.75,19.80,19.62,19.62,11073200,19.62
2014-05-01,20.09,20.11,19.75,19.77,10276400,19.77
2014-04-30,19.96,20.10,19.80,20.10,12965700,20.10
2014-04-29,20.29,20.40,20.08,20.10,13771200,20.10
2014-04-28,20.13,20.31,20.06,20.30,14382700,20.30
2014-04-25,20.07,20.15,19.85,19.91,15474700,19.91
2014-04-24,20.44,20.60,20.26,20.56,12202800,20.56
2014-04-23,20.37,20.46,20.30,20.41,9031700,20.41
2014-04-22,20.38,20.58,20.35,20.56,11191200,20.56
2014-04-21,20.40,20.59,20.26,20.56,11525800,20.56
2014-04-17,20.59,20.92,20.57,20.72,20492800,20.72
2014-04-16,20.41,20.42,20.05,20.15,15121500,20.15
2014-04-15,20.33,20.56,20.06,20.51,22468600,20.51
2014-04-14,20.06,20.33,19.98,20.26,9819500,20.26
2014-04-11,19.82,19.96,19.74,19.89,8414400,19.89
2014-04-10,20.21,20.30,19.79,19.82,9776500,19.82
2014-04-09,19.96,20.21,19.96,20.15,9754100,20.15
2014-04-08,19.89,19.98,19.79,19.98,9181600,19.98
2014-04-07,19.65,19.81,19.61,19.74,9693500,19.74
2014-04-04,20.03,20.19,19.73,19.77,14585200,19.77
2014-04-03,19.96,20.09,19.80,19.94,14904400,19.94
2014-04-02,20.30,20.35,19.99,20.04,14875200,20.04
2014-04-01,20.07,20.36,20.06,20.32,16133600,20.32
2014-03-31,19.74,20.04,19.73,20.02,14482300,20.02
2014-03-28,19.45,19.90,19.45,19.64,11246400,19.64
2014-03-27,19.00,19.50,19.00,19.42,14222200,19.42
2014-03-26,19.26,19.34,19.08,19.09,10597800,19.09
2014-03-25,18.79,19.18,18.79,19.12,17129500,19.12
2014-03-24,18.61,18.67,18.40,18.64,7898200,18.64
2014-03-21,18.78,18.85,18.42,18.53,12885000,18.53
2014-03-20,18.55,18.85,18.47,18.85,13124200,18.85
2014-03-19,19.08,19.10,18.77,18.88,10596800,18.88
2014-03-18,19.08,19.20,19.04,19.18,11987400,19.18
2014-03-17,19.04,19.16,18.95,19.11,10786300,19.11
2014-03-14,19.14,19.29,18.89,18.90,13077400,18.90
2014-03-13,19.42,19.52,19.18,19.27,18414700,19.27
2014-03-12,18.77,19.49,18.77,19.43,21260500,19.43
2014-03-11,18.92,18.96,18.69,18.77,8748200,18.77
2014-03-10,18.70,18.96,18.67,18.96,10652100,18.96
2014-03-07,19.01,19.02,18.69,18.77,14153200,18.77
2014-03-06,18.74,18.89,18.67,18.87,14240300,18.87
2014-03-05,18.33,18.42,18.26,18.39,9863100,18.39
2014-03-04,18.06,18.13,18.01,18.04,12548700,18.04
2014-03-03,17.86,18.08,17.77,18.03,18168800,18.03
2014-02-28,18.02,18.15,17.98,18.07,11279600,18.07
2014-02-27,17.81,18.01,17.79,18.01,8659800,18.01
2014-02-26,17.64,17.87,17.62,17.83,9376100,17.83
2014-02-25,17.64,17.72,17.59,17.62,5944700,17.62
2014-02-24,17.71,17.79,17.65,17.69,5499200,17.69
2014-02-21,17.81,17.87,17.69,17.74,6013200,17.74
2014-02-20,17.60,17.77,17.46,17.69,11836500,17.69
2014-02-19,17.73,17.88,17.61,17.76,8702500,17.76
2014-02-18,17.91,17.94,17.68,17.79,6412700,17.79
2014-02-14,17.61,17.96,17.60,17.89,11269900,17.89
2014-02-13,17.25,17.52,17.25,17.45,6564600,17.45
2014-02-12,17.46,17.50,17.32,17.38,6962800,17.38
2014-02-11,17.30,17.45,17.19,17.39,9631800,17.39
2014-02-10,17.14,17.32,17.10,17.26,8003300,17.26
2014-02-07,17.11,17.27,17.08,17.16,9430700,17.16
2014-02-06,16.70,16.99,16.70,16.99,10142700,16.99
2014-02-05,16.62,16.67,16.44,16.46,14334100,16.46
2014-02-04,16.77,16.87,16.70,16.74,12321900,16.74
2014-02-03,17.02,17.11,16.68,16.77,14171700,16.77
2014-01-31,17.00,17.12,16.87,16.92,13590600,16.92
2014-01-30,17.12,17.26,17.10,17.14,7230000,17.14
2014-01-29,17.12,17.24,16.98,17.01,9378900,17.01
2014-01-28,17.19,17.26,17.05,17.16,7525700,17.16
2014-01-27,17.31,17.32,17.02,17.15,11006600,17.15
2014-01-24,17.72,17.77,17.51,17.57,12403200,17.57
2014-01-23,17.80,17.94,17.61,17.70,8872200,17.70
2014-01-22,17.77,17.98,17.72,17.96,12870700,17.96
2014-01-21,17.77,17.83,17.62,17.69,8371500,17.69
2014-01-17,17.97,17.97,17.70,17.77,14574800,17.77
2014-01-16,17.91,18.18,17.89,18.15,21768200,18.15
2014-01-15,17.48,17.70,17.43,17.56,15510900,17.56
2014-01-14,17.06,17.39,17.04,17.38,13334500,17.38
2014-01-13,17.01,17.14,16.90,16.91,10286100,16.91
2014-01-10,16.84,17.01,16.82,16.90,11148000,16.90
2014-01-09,16.97,16.99,16.66,16.76,9422200,16.76
2014-01-08,17.06,17.16,17.05,17.09,13428900,17.09
2014-01-07,16.90,16.98,16.83,16.91,13083100,16.91
2014-01-06,16.99,17.02,16.86,16.90,10370200,16.90
