Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,35.45,35.45,34.99,35.24,1669900,35.24
2014-06-18,35.49,35.57,35.12,35.40,1076800,35.40
2014-06-17,34.85,35.64,34.85,35.59,1089000,35.59
2014-06-16,34.83,34.94,34.58,34.83,988700,34.83
2014-06-13,34.93,35.16,34.77,34.88,1079300,34.88
2014-06-12,35.18,35.32,34.76,34.89,1232300,34.89
2014-06-11,35.43,35.47,35.17,35.20,1025100,35.20
2014-06-10,35.47,35.76,35.39,35.71,1526000,35.71
2014-06-09,35.17,35.78,35.17,35.56,1161700,35.56
2014-06-06,35.10,35.34,35.05,35.26,836100,35.26
2014-06-05,35.17,35.39,34.77,35.06,1265600,35.06
2014-06-04,34.57,35.43,34.57,35.15,1286100,35.15
2014-06-03,34.31,34.59,34.25,34.56,1553800,34.56
2014-06-02,34.05,34.42,33.80,34.36,1227400,34.36
2014-05-30,33.70,34.03,33.66,33.91,1454400,33.91
2014-05-29,33.81,34.02,33.44,33.77,1990000,33.77
2014-05-28,33.86,33.92,33.57,33.63,1252200,33.63
2014-05-27,33.64,33.91,33.62,33.87,1115000,33.87
2014-05-23,33.27,33.57,33.15,33.46,1016200,33.46
2014-05-22,33.22,33.34,33.08,33.27,794500,33.27
2014-05-21,33.06,33.40,33.00,33.24,1075400,33.24
2014-05-20,32.92,33.18,32.67,32.89,1551900,32.89
2014-05-19,32.54,32.93,32.53,32.90,1169000,32.90
2014-05-16,32.71,32.71,32.28,32.63,1678000,32.63
2014-05-15,33.24,33.24,32.29,32.66,1885000,32.66
2014-05-14,34.00,34.04,33.29,33.36,1467400,33.36
2014-05-13,34.21,34.24,33.95,34.07,1294800,34.07
2014-05-12,33.56,34.25,33.31,34.22,1293200,34.22
2014-05-09,33.91,33.96,33.27,33.33,2529400,33.33
2014-05-08,33.41,34.29,33.41,34.03,1873100,34.03
2014-05-07,33.31,33.64,33.09,33.62,1224400,33.62
2014-05-06,33.33,33.46,33.09,33.10,1201600,33.10
2014-05-05,33.38,33.66,33.16,33.48,1050200,33.48
2014-05-02,33.44,34.03,33.40,33.62,1149400,33.62
2014-05-01,33.20,33.60,33.02,33.46,2151300,33.46
2014-04-30,32.86,33.24,32.62,33.22,1854000,33.22
2014-04-29,32.63,32.95,32.48,32.87,1494300,32.87
2014-04-28,33.05,33.20,32.07,32.41,3201900,32.41
2014-04-25,33.46,33.49,32.70,32.87,2218100,32.87
2014-04-24,34.08,34.08,33.37,33.53,1640000,33.53
2014-04-23,34.03,34.22,33.89,34.02,1053200,33.88
2014-04-22,33.69,34.17,33.54,34.06,901200,33.91
2014-04-21,33.87,33.98,33.59,33.68,742000,33.54
2014-04-17,33.91,34.09,33.73,33.92,1281900,33.78
2014-04-16,33.65,33.95,33.49,33.94,1353500,33.80
2014-04-15,33.30,33.51,32.80,33.30,1741400,33.16
2014-04-14,33.45,33.59,32.79,33.17,1609500,33.03
2014-04-11,33.34,33.84,33.08,33.09,2111900,32.95
2014-04-10,34.47,34.51,33.56,33.57,1221100,33.43
2014-04-09,34.27,34.47,33.91,34.45,760800,34.30
2014-04-08,34.01,34.37,33.84,34.09,1380300,33.94
2014-04-07,34.66,34.77,33.92,34.05,2077200,33.90
2014-04-04,35.67,35.67,34.78,34.79,1003300,34.64
2014-04-03,35.51,35.56,34.99,35.40,2003900,35.25
2014-04-02,35.44,35.64,35.30,35.45,1444400,35.30
2014-04-01,35.61,35.64,35.10,35.43,1059500,35.28
2014-03-31,34.69,35.46,34.63,35.31,1708200,35.16
2014-03-28,34.44,34.94,34.34,34.44,779900,34.29
2014-03-27,34.91,35.16,34.28,34.34,1222300,34.19
2014-03-26,35.61,35.69,34.99,35.00,2395800,34.85
2014-03-25,35.94,35.98,35.34,35.42,1480000,35.27
2014-03-24,35.72,35.88,35.30,35.68,1643800,35.53
2014-03-21,35.89,36.09,35.60,35.65,2484900,35.50
2014-03-20,35.23,35.90,35.18,35.59,1343900,35.44
2014-03-19,35.27,35.39,34.93,35.32,1259700,35.17
2014-03-18,35.09,35.36,35.04,35.26,600700,35.11
2014-03-17,35.15,35.31,34.98,35.08,1006600,34.93
2014-03-14,35.02,35.29,34.73,34.88,2045100,34.73
2014-03-13,35.82,35.90,35.04,35.13,1339200,34.98
2014-03-12,35.36,35.86,35.25,35.67,1228200,35.52
2014-03-11,36.07,36.15,35.46,35.60,1923000,35.45
2014-03-10,35.81,36.04,35.57,36.00,1262900,35.85
2014-03-07,35.96,36.30,35.72,35.92,2134800,35.77
2014-03-06,35.54,35.97,35.47,35.66,2035700,35.51
2014-03-05,35.33,35.45,35.20,35.39,1381100,35.24
2014-03-04,35.00,35.46,34.92,35.37,1804500,35.22
2014-03-03,34.25,34.71,34.18,34.68,2334600,34.53
2014-02-28,34.39,34.93,34.36,34.78,1600000,34.63
2014-02-27,33.94,34.38,33.84,34.37,2012100,34.22
2014-02-26,33.92,34.06,33.62,34.00,1735500,33.86
2014-02-25,33.86,33.99,33.62,33.86,1167800,33.72
2014-02-24,33.54,34.10,33.52,33.90,1355400,33.76
2014-02-21,33.62,33.71,33.39,33.55,1485200,33.41
2014-02-20,33.56,33.75,33.32,33.57,1361400,33.43
2014-02-19,33.71,34.15,33.46,33.49,1663300,33.35
2014-02-18,33.64,34.12,33.55,33.88,1290500,33.74
2014-02-14,33.40,33.74,33.31,33.54,1165500,33.40
2014-02-13,33.25,33.52,33.08,33.50,2082600,33.36
2014-02-12,33.24,33.70,33.21,33.65,1586600,33.51
2014-02-11,32.67,33.29,32.67,33.19,1314300,33.05
2014-02-10,32.94,33.06,32.44,32.90,2164400,32.76
2014-02-07,32.73,33.07,32.57,32.97,1470400,32.83
2014-02-06,31.92,32.70,31.74,32.66,2483300,32.52
2014-02-05,30.99,31.93,30.91,31.83,2824000,31.69
2014-02-04,30.79,31.49,30.76,31.30,1738200,31.17
2014-02-03,32.08,32.21,30.66,30.71,2020000,30.58
2014-01-31,32.00,32.60,32.00,32.20,1484300,32.06
2014-01-30,32.18,32.74,32.05,32.67,1148400,32.53
2014-01-29,31.82,32.30,31.73,31.85,1278100,31.71
2014-01-28,32.30,32.51,32.10,32.31,1637100,32.03
2014-01-27,32.20,32.46,31.77,32.14,1437500,31.86
2014-01-24,33.10,33.11,32.16,32.16,1803100,31.88
2014-01-23,34.00,34.10,33.22,33.28,1950500,32.99
2014-01-22,34.50,34.63,34.12,34.29,889900,33.99
2014-01-21,34.64,34.64,34.17,34.36,923800,34.06
2014-01-17,34.92,34.92,34.29,34.35,898800,34.05
2014-01-16,34.74,34.75,34.43,34.56,713300,34.26
2014-01-15,34.23,34.89,34.20,34.77,1667000,34.47
2014-01-14,34.14,34.28,33.65,34.20,1748000,33.90
2014-01-13,34.55,34.73,33.86,33.96,1027900,33.66
2014-01-10,35.10,35.12,34.61,34.73,845500,34.43
2014-01-09,34.79,35.08,34.62,35.07,1274200,34.76
2014-01-08,34.66,34.83,34.43,34.74,1319700,34.44
2014-01-07,34.49,34.67,34.36,34.52,775800,34.22
2014-01-06,34.49,34.55,34.13,34.29,1026800,33.99
2014-01-03,34.40,34.59,34.25,34.34,852700,34.04
2014-01-02,34.93,34.99,34.26,34.33,1205800,34.03
2013-12-31,35.04,35.16,34.92,35.08,861000,34.77
2013-12-30,35.10,35.16,34.89,34.95,786600,34.64
2013-12-27,35.24,35.40,34.90,35.08,931500,34.77
2013-12-26,35.06,35.23,34.83,35.16,972700,34.85
2013-12-24,34.70,34.96,34.62,34.86,611700,34.56
