Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,52.55,52.55,52.38,52.41,86200,52.41
2014-06-18,52.34,52.47,52.32,52.46,23900,52.46
2014-06-17,52.38,52.39,52.26,52.29,32300,52.29
2014-06-16,52.38,52.39,52.32,52.36,101600,52.36
2014-06-13,52.25,52.38,52.25,52.35,24500,52.35
2014-06-12,52.29,52.45,52.29,52.41,34000,52.41
2014-06-11,52.36,52.37,52.27,52.32,18700,52.32
2014-06-10,52.34,52.34,52.25,52.32,39900,52.32
2014-06-09,52.40,52.40,52.28,52.36,38000,52.36
2014-06-06,52.52,52.52,52.37,52.38,23700,52.38
2014-06-05,52.28,52.43,52.28,52.41,32100,52.41
2014-06-04,52.27,52.38,52.26,52.30,14700,52.30
2014-06-03,52.43,52.43,52.28,52.28,33800,52.28
2014-06-02,52.49,52.49,52.37,52.43,71900,52.43
2014-05-30,52.57,52.58,52.49,52.55,73700,52.47
2014-05-29,52.71,52.74,52.60,52.60,47400,52.52
2014-05-28,52.53,52.72,52.53,52.68,49200,52.60
2014-05-27,52.50,52.53,52.40,52.53,43900,52.45
2014-05-23,52.52,52.52,52.43,52.44,31100,52.36
2014-05-22,52.47,52.47,52.40,52.45,22500,52.37
2014-05-21,52.43,52.46,52.38,52.43,19500,52.35
2014-05-20,52.33,52.40,52.31,52.39,23200,52.31
2014-05-19,52.41,52.42,52.32,52.32,47300,52.24
2014-05-16,52.39,52.42,52.33,52.37,22000,52.29
2014-05-15,52.34,52.53,52.34,52.43,31600,52.35
2014-05-14,52.29,52.39,52.29,52.39,18300,52.31
2014-05-13,52.21,52.25,52.17,52.25,36400,52.17
2014-05-12,52.20,52.20,52.12,52.16,15200,52.08
2014-05-09,52.28,52.28,52.19,52.25,41300,52.17
2014-05-08,52.29,52.35,52.24,52.33,116200,52.25
2014-05-07,52.21,52.31,52.15,52.28,62800,52.20
2014-05-06,52.20,52.22,52.12,52.17,34500,52.09
2014-05-05,52.20,52.20,52.05,52.13,18700,52.05
2014-05-02,52.08,52.19,51.96,52.14,140000,52.06
2014-05-01,51.96,52.14,51.96,52.11,44600,52.03
2014-04-30,51.98,52.11,51.92,52.05,30000,51.90
2014-04-29,51.91,51.95,51.88,51.92,124700,51.77
2014-04-28,52.03,52.04,51.93,51.95,18200,51.80
2014-04-25,52.02,52.05,51.97,51.99,18200,51.84
2014-04-24,51.90,51.98,51.90,51.97,49400,51.82
2014-04-23,51.90,51.94,51.85,51.87,68800,51.72
2014-04-22,51.78,51.80,51.73,51.77,250100,51.62
2014-04-21,51.72,51.83,51.72,51.75,54700,51.60
2014-04-17,51.85,51.95,51.71,51.74,30100,51.59
2014-04-16,51.90,51.97,51.88,51.94,92200,51.79
2014-04-15,51.98,52.03,51.85,51.99,69800,51.84
2014-04-14,51.99,52.00,51.93,51.93,62800,51.78
2014-04-11,52.02,52.09,51.98,52.06,23900,51.91
2014-04-10,51.92,52.07,51.92,51.98,32700,51.83
2014-04-09,51.84,51.93,51.79,51.88,277100,51.73
2014-04-08,51.87,51.91,51.80,51.89,113900,51.74
2014-04-07,51.82,51.86,51.79,51.84,26800,51.69
2014-04-04,51.71,51.76,51.62,51.71,38700,51.56
2014-04-03,51.46,51.57,51.46,51.56,64100,51.41
2014-04-02,51.48,51.57,51.48,51.51,60600,51.36
2014-04-01,51.61,51.63,51.56,51.61,49600,51.46
2014-03-31,51.65,51.72,51.59,51.72,128400,51.49
2014-03-28,51.72,51.79,51.68,51.74,28900,51.51
2014-03-27,51.73,51.86,51.73,51.76,136000,51.53
2014-03-26,51.72,51.79,51.67,51.74,58100,51.51
2014-03-25,51.61,51.72,51.59,51.68,44500,51.45
2014-03-24,51.66,51.73,51.64,51.72,95300,51.49
2014-03-21,51.62,51.73,51.61,51.67,73300,51.44
2014-03-20,51.54,51.64,51.54,51.60,35300,51.37
2014-03-19,51.89,51.90,51.61,51.72,71300,51.49
2014-03-18,51.78,51.87,51.78,51.87,32300,51.64
2014-03-17,51.88,51.89,51.81,51.84,49900,51.61
2014-03-14,52.01,52.01,51.90,51.94,55300,51.71
2014-03-13,51.68,51.98,51.68,51.98,103000,51.75
2014-03-12,51.71,51.82,51.71,51.80,46700,51.57
2014-03-11,51.66,51.73,51.62,51.73,72700,51.50
2014-03-10,51.71,51.76,51.66,51.73,43300,51.50
2014-03-07,51.61,51.71,51.61,51.65,44400,51.42
2014-03-06,51.78,51.82,51.74,51.80,36500,51.57
2014-03-05,51.80,51.87,51.80,51.86,25700,51.63
2014-03-04,51.98,51.98,51.83,51.84,26300,51.61
2014-03-03,51.99,52.01,51.92,52.01,26000,51.78
2014-02-28,51.98,52.02,51.93,51.99,55200,51.67
2014-02-27,51.93,52.03,51.93,52.00,30100,51.68
2014-02-26,51.89,51.96,51.86,51.96,42000,51.64
2014-02-25,51.84,51.89,51.84,51.87,27800,51.55
2014-02-24,51.73,51.75,51.70,51.75,29800,51.43
2014-02-21,51.65,51.76,51.65,51.74,19300,51.42
2014-02-20,51.67,51.73,51.65,51.72,55700,51.40
2014-02-19,51.85,51.92,51.75,51.77,118100,51.45
2014-02-18,51.73,51.85,51.73,51.82,91000,51.50
2014-02-14,51.83,51.83,51.73,51.75,47400,51.43
2014-02-13,51.75,51.87,51.75,51.83,75600,51.51
2014-02-12,51.81,51.81,51.67,51.71,77000,51.39
2014-02-11,51.89,51.89,51.81,51.85,89000,51.53
2014-02-10,51.98,52.01,51.94,51.99,27700,51.67
2014-02-07,51.93,51.99,51.88,51.96,21600,51.64
2014-02-06,51.82,51.86,51.79,51.85,237000,51.53
2014-02-05,51.93,51.95,51.86,51.90,36000,51.58
2014-02-04,51.97,51.99,51.89,51.95,99000,51.63
2014-02-03,51.85,52.00,51.79,51.97,70700,51.65
2014-01-31,51.87,51.91,51.82,51.90,38100,51.51
2014-01-30,51.76,51.82,51.75,51.81,81300,51.42
2014-01-29,51.71,51.88,51.71,51.82,69500,51.43
2014-01-28,51.69,51.73,51.62,51.73,100200,51.34
2014-01-27,51.69,51.78,51.62,51.63,99500,51.24
2014-01-24,51.65,51.77,51.64,51.74,57600,51.35
2014-01-23,51.52,51.68,51.52,51.61,52000,51.22
2014-01-22,51.51,51.57,51.45,51.49,121700,51.10
2014-01-21,51.54,51.62,51.51,51.59,118700,51.20
2014-01-17,51.47,51.58,51.46,51.54,29500,51.15
2014-01-16,51.44,51.51,51.44,51.50,128500,51.11
2014-01-15,51.27,51.40,51.27,51.37,37300,50.98
2014-01-14,51.51,51.51,51.38,51.40,82200,51.01
2014-01-13,51.50,51.59,51.47,51.53,51100,51.14
2014-01-10,51.27,51.45,51.27,51.42,29400,51.03
2014-01-09,51.10,51.21,51.07,51.19,68900,50.80
2014-01-08,51.16,51.17,51.10,51.12,139300,50.73
2014-01-07,51.13,51.27,51.13,51.24,97000,50.85
2014-01-06,51.13,51.22,51.09,51.12,54000,50.73
2014-01-03,50.99,51.14,50.99,51.04,211400,50.65
2014-01-02,51.10,51.16,51.02,51.02,38000,50.63
2013-12-31,51.11,51.13,51.00,51.03,45700,50.64
2013-12-30,51.01,51.16,51.01,51.14,63100,50.75
2013-12-27,50.88,51.06,50.88,50.95,51900,50.57
2013-12-26,51.05,51.05,50.89,50.94,51900,50.56
2013-12-24,51.10,51.10,50.92,51.04,65800,50.65
2013-12-23,51.13,51.26,51.13,51.26,98200,50.79
2013-12-20,51.04,51.23,51.04,51.19,286900,50.72
2013-12-19,50.97,51.12,50.97,51.04,152800,50.57
2013-12-18,51.23,51.37,51.17,51.20,164800,50.73
2013-12-17,51.31,51.33,51.25,51.31,59900,50.84
2013-12-16,51.28,51.28,51.16,51.16,82500,50.69
2013-12-13,51.15,51.25,51.11,51.14,188200,50.67
2013-12-12,51.11,51.24,51.10,51.13,110100,50.66
2013-12-11,51.25,51.32,51.23,51.23,101500,50.76
2013-12-10,51.31,51.41,51.29,51.32,98400,50.85
2013-12-09,51.23,51.34,51.23,51.33,93200,50.86
2013-12-06,51.08,51.23,51.08,51.19,144300,50.72
2013-12-05,51.02,51.14,51.02,51.10,167400,50.63
2013-12-04,50.99,51.13,50.99,51.09,179000,50.62
2013-12-03,51.24,51.30,51.20,51.21,215700,50.74
2013-12-02,51.35,51.38,51.14,51.18,341800,50.71
2013-11-29,51.26,51.40,51.26,51.35,72700,50.88
2013-11-27,51.57,51.57,51.33,51.42,235100,50.87
2013-11-26,51.58,51.62,51.53,51.55,121800,51.00
2013-11-25,51.60,51.62,51.53,51.59,933700,51.04
2013-11-22,51.48,51.63,51.48,51.58,334600,51.03
2013-11-21,51.43,51.59,51.43,51.56,553700,51.01
2013-11-20,51.66,51.80,51.55,51.55,128300,51.00
