Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,8.95,8.95,8.70,8.91,2900,8.91
2014-06-18,8.73,8.75,8.56,8.73,7100,8.73
2014-06-17,8.99,8.99,8.50,8.75,5800,8.75
2014-06-16,8.38,8.99,8.38,8.99,7800,8.99
2014-06-13,7.21,8.99,7.13,8.52,9600,8.52
2014-06-12,8.70,8.99,8.54,8.70,11500,8.70
2014-06-11,8.72,9.00,8.41,8.62,17100,8.62
2014-06-10,9.15,9.15,8.80,8.80,18900,8.80
2014-06-09,9.03,9.25,9.03,9.17,14800,9.17
2014-06-06,9.16,9.25,9.03,9.04,16800,9.04
2014-06-05,8.80,9.23,8.78,9.09,46100,9.09
2014-06-04,8.61,8.85,8.55,8.84,14400,8.84
2014-06-03,8.62,8.62,8.36,8.55,6300,8.55
2014-06-02,7.89,8.71,7.89,8.62,27900,8.62
2014-05-30,7.77,8.04,7.77,7.94,9000,7.94
2014-05-29,7.75,7.93,7.65,7.85,5100,7.85
2014-05-28,7.75,7.75,7.65,7.75,700,7.75
2014-05-27,8.04,8.04,7.95,8.00,3200,8.00
2014-05-23,7.85,8.00,7.80,8.00,14500,8.00
2014-05-22,7.90,7.95,7.73,7.78,7300,7.78
2014-05-21,7.79,8.05,7.73,7.73,8800,7.73
2014-05-20,7.71,7.72,7.70,7.72,2700,7.72
2014-05-19,7.60,7.72,7.52,7.55,7500,7.55
2014-05-16,7.78,7.78,7.51,7.57,4100,7.57
2014-05-15,7.64,7.90,7.62,7.72,14300,7.72
2014-05-14,7.49,7.77,7.49,7.68,4500,7.68
2014-05-13,7.53,7.78,7.15,7.70,10000,7.70
2014-05-12,7.18,7.64,7.18,7.51,2600,7.51
2014-05-09,7.33,7.47,7.15,7.24,6700,7.24
2014-05-08,7.44,7.44,7.30,7.30,3600,7.30
2014-05-07,7.56,7.56,7.20,7.42,2000,7.42
2014-05-06,7.55,7.55,7.16,7.46,2100,7.46
2014-05-05,7.48,7.51,7.23,7.41,5800,7.41
2014-05-02,7.10,7.50,7.10,7.44,4500,7.44
2014-05-01,7.23,7.23,7.07,7.07,1100,7.07
2014-04-30,6.98,7.24,6.85,7.24,7600,7.24
2014-04-29,6.95,6.95,6.95,6.95,600,6.95
2014-04-28,7.07,7.07,6.94,6.94,700,6.94
2014-04-25,7.20,7.27,7.11,7.24,600,7.24
2014-04-24,7.13,7.35,7.00,7.20,7500,7.20
2014-04-23,6.90,7.30,6.90,7.13,9600,7.13
2014-04-22,6.90,7.09,6.90,6.91,4100,6.91
2014-04-21,7.10,7.10,6.84,6.89,7600,6.89
2014-04-17,6.93,7.11,6.93,7.05,500,7.05
2014-04-16,6.96,6.99,6.81,6.99,9200,6.99
2014-04-15,7.15,7.15,6.94,6.94,7700,6.94
2014-04-14,7.03,7.37,7.03,7.06,5500,7.06
2014-04-11,7.49,7.49,7.00,7.09,9600,7.09
2014-04-10,7.38,7.38,7.20,7.22,1300,7.22
2014-04-09,7.19,7.50,7.11,7.36,9800,7.36
2014-04-08,7.00,7.37,7.00,7.37,1000,7.37
2014-04-07,7.34,7.34,7.01,7.04,3500,7.04
2014-04-04,7.65,7.76,7.27,7.27,14400,7.27
2014-04-03,7.66,7.66,7.31,7.64,9500,7.60
2014-04-02,7.21,7.50,7.21,7.46,4700,7.42
2014-04-01,7.48,7.50,7.33,7.35,7700,7.31
2014-03-31,7.33,7.51,7.11,7.38,5900,7.34
2014-03-28,7.89,7.90,7.22,7.27,16200,7.23
2014-03-27,8.00,8.00,7.75,7.75,9800,7.71
2014-03-26,8.10,8.10,7.82,8.00,40400,7.96
2014-03-25,7.95,8.15,7.64,7.95,80400,7.91
2014-03-24,7.40,7.65,7.26,7.50,16700,7.46
2014-03-21,7.35,7.40,6.80,7.38,14600,7.34
2014-03-20,6.84,7.74,6.84,7.33,34100,7.29
2014-03-19,6.73,6.84,6.67,6.84,1600,6.80
2014-03-18,6.85,6.85,6.70,6.84,9500,6.80
2014-03-17,6.85,6.90,6.80,6.82,10800,6.78
2014-03-14,6.48,6.85,6.48,6.85,25700,6.81
2014-03-13,6.50,6.51,6.40,6.50,9700,6.47
2014-03-12,6.46,6.61,6.46,6.50,5200,6.47
2014-03-11,6.62,6.62,6.55,6.61,10300,6.58
2014-03-10,6.60,6.62,6.60,6.61,2800,6.58
2014-03-07,6.58,6.68,6.56,6.56,1300,6.53
2014-03-06,6.55,6.68,6.54,6.54,1800,6.51
2014-03-05,6.51,6.51,6.51,6.51,600,6.48
2014-03-04,6.43,6.50,6.43,6.50,7200,6.47
2014-03-03,6.44,6.50,6.44,6.46,2800,6.43
2014-02-28,6.57,6.60,6.44,6.44,2400,6.41
2014-02-27,6.52,6.55,6.52,6.55,2300,6.52
2014-02-26,6.51,6.51,6.40,6.47,16100,6.44
2014-02-25,6.52,6.58,6.46,6.56,3400,6.53
2014-02-24,6.53,6.60,6.53,6.59,3200,6.56
2014-02-21,6.51,6.53,6.42,6.53,1700,6.50
2014-02-20,6.50,6.53,6.50,6.53,5700,6.50
2014-02-19,6.50,6.50,6.40,6.41,2600,6.38
2014-02-18,6.50,6.50,6.40,6.50,13000,6.47
2014-02-14,6.48,6.55,6.48,6.50,17400,6.47
2014-02-13,6.44,6.50,6.44,6.50,1800,6.47
2014-02-12,6.40,6.50,6.40,6.50,2800,6.47
2014-02-11,6.50,6.50,6.41,6.41,300,6.38
2014-02-10,6.50,6.51,6.49,6.50,10000,6.47
2014-02-07,6.41,6.50,6.41,6.49,1600,6.46
2014-02-06,6.50,6.50,6.40,6.40,5300,6.37
2014-02-05,6.50,6.60,6.40,6.49,2000,6.46
2014-02-04,6.41,6.50,6.41,6.50,5200,6.47
2014-02-03,6.36,6.48,6.35,6.44,9500,6.41
2014-01-31,6.50,6.50,6.48,6.49,10600,6.46
2014-01-30,6.48,6.50,6.48,6.50,5600,6.47
2014-01-29,6.36,6.36,6.36,6.36,1000,6.33
2014-01-28,6.49,6.49,6.42,6.42,500,6.39
2014-01-27,6.54,6.54,6.40,6.45,4900,6.42
2014-01-24,6.59,6.59,6.50,6.50,4000,6.47
2014-01-23,6.31,6.57,6.31,6.55,36200,6.52
2014-01-22,6.28,6.31,6.27,6.31,21200,6.28
2014-01-21,6.15,6.26,6.15,6.25,7300,6.22
2014-01-17,6.28,6.28,6.25,6.27,7300,6.24
2014-01-16,6.25,6.26,6.25,6.26,6000,6.23
2014-01-15,6.24,6.25,6.19,6.25,4500,6.22
2014-01-14,6.25,6.26,6.25,6.25,600,6.22
2014-01-13,6.23,6.28,6.23,6.28,6600,6.25
2014-01-10,6.25,6.30,6.22,6.22,2600,6.19
2014-01-09,6.25,6.29,6.25,6.29,6000,6.26
2014-01-08,6.30,6.30,6.24,6.29,2600,6.26
2014-01-07,6.29,6.30,6.15,6.30,13800,6.27
2014-01-06,6.10,6.10,6.05,6.10,3500,6.07
2014-01-03,6.15,6.15,6.10,6.15,3900,6.12
2014-01-02,6.05,6.13,6.05,6.10,3100,6.07
2013-12-31,6.15,6.15,5.96,6.07,3900,6.04
2013-12-30,6.15,6.15,5.90,6.15,300,6.08
2013-12-27,5.95,6.16,5.95,6.16,20600,6.09
2013-12-26,6.16,6.16,5.61,5.95,14700,5.88
2013-12-24,6.10,6.12,6.10,6.12,500,6.05
2013-12-23,6.09,6.18,6.05,6.05,5200,5.98
2013-12-20,6.25,6.25,5.96,5.96,5900,5.89
2013-12-19,6.32,6.32,6.25,6.25,5500,6.18
2013-12-18,5.85,6.44,5.81,6.11,72600,6.04
2013-12-17,5.85,5.99,5.85,5.99,2500,5.92
2013-12-16,5.94,6.00,5.86,5.96,7400,5.89
2013-12-13,5.95,6.00,5.78,5.85,7100,5.78
