Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,30.82,30.94,30.71,30.87,4391500,30.87
2014-06-18,30.91,30.94,30.53,30.86,5437400,30.86
2014-06-17,30.77,30.95,30.71,30.93,3608100,30.93
2014-06-16,30.76,30.88,30.50,30.86,6107400,30.86
2014-06-13,30.90,30.95,30.59,30.84,3508500,30.84
2014-06-12,31.01,31.07,30.77,30.89,6729100,30.89
2014-06-11,31.10,31.21,30.88,31.14,8965500,31.14
2014-06-10,31.25,31.40,31.11,31.24,7185000,31.24
2014-06-09,31.32,31.47,31.20,31.32,7108000,31.32
2014-06-06,31.34,31.59,31.30,31.34,10570800,31.34
2014-06-05,30.97,31.35,30.84,31.29,16633300,31.29
2014-06-04,31.03,31.06,30.71,30.98,12129200,30.98
2014-06-03,31.27,31.32,30.97,31.08,6597700,31.08
2014-06-02,31.46,31.50,31.36,31.45,3485200,31.45
2014-05-30,31.23,31.46,31.17,31.42,3969800,31.42
2014-05-29,31.19,31.48,31.07,31.27,6095500,31.27
2014-05-28,30.90,31.20,30.71,31.11,5376500,31.11
2014-05-27,30.87,31.11,30.76,30.90,6102000,30.90
2014-05-23,30.40,30.97,30.15,30.87,11135700,30.87
2014-05-22,30.23,30.53,30.12,30.35,22033700,30.35
2014-05-21,29.96,30.30,29.92,30.25,3153600,30.25
2014-05-20,30.08,30.24,29.76,29.89,2270900,29.89
2014-05-19,30.30,30.33,30.03,30.21,2628600,30.21
2014-05-16,30.11,30.45,30.08,30.31,2831700,30.31
2014-05-15,30.44,30.45,29.83,30.07,2330700,30.07
2014-05-14,30.36,30.74,30.25,30.48,3700800,30.48
2014-05-13,30.48,30.69,30.25,30.28,2679700,30.28
2014-05-12,30.44,30.55,30.28,30.33,2256500,30.33
2014-05-09,30.16,30.34,29.97,30.30,2570200,30.30
2014-05-08,30.35,30.60,30.07,30.17,2930500,30.17
2014-05-07,30.12,30.44,30.01,30.42,2500300,30.42
2014-05-06,30.19,30.38,29.98,30.26,3828100,30.04
2014-05-05,29.85,30.29,29.82,30.26,3228500,30.04
2014-05-02,29.87,30.14,29.78,29.94,2722400,29.72
2014-05-01,29.76,29.95,29.54,29.93,3442300,29.71
2014-04-30,29.89,30.00,29.71,29.85,3385900,29.63
2014-04-29,29.86,29.93,29.71,29.92,2857500,29.70
2014-04-28,29.63,29.90,29.47,29.81,3843400,29.59
2014-04-25,28.85,29.65,28.76,29.52,4606600,29.31
2014-04-24,28.64,28.80,28.50,28.74,3611700,28.53
2014-04-23,28.43,28.75,28.18,28.60,4220200,28.39
2014-04-22,28.20,28.50,28.00,28.45,3032500,28.24
2014-04-21,27.90,28.22,27.84,28.20,2254300,27.99
2014-04-17,27.79,27.95,27.67,27.87,4481900,27.67
2014-04-16,27.99,28.00,27.66,27.90,3417400,27.70
2014-04-15,27.87,27.96,27.48,27.76,3801000,27.56
2014-04-14,27.91,27.94,27.60,27.89,2676400,27.69
2014-04-11,28.09,28.21,27.68,27.72,4001100,27.52
2014-04-10,28.63,28.84,28.09,28.19,3402700,27.99
2014-04-09,28.58,28.91,28.21,28.67,5372500,28.46
2014-04-08,28.95,29.16,28.50,28.55,7066000,28.34
2014-04-07,29.57,29.65,28.99,29.01,4037900,28.80
2014-04-04,29.80,29.89,29.55,29.60,3598500,29.38
2014-04-03,29.50,29.80,29.35,29.75,4277700,29.53
2014-04-02,29.79,29.80,29.44,29.47,3046400,29.26
2014-04-01,29.24,29.79,29.04,29.79,3754600,29.57
2014-03-31,29.36,29.48,29.07,29.35,2350600,29.14
2014-03-28,28.99,29.27,28.93,29.18,2596800,28.97
2014-03-27,28.97,28.97,28.63,28.84,4611500,28.63
2014-03-26,29.31,29.37,28.88,28.89,2459800,28.68
2014-03-25,29.37,29.47,29.06,29.25,2475500,29.04
2014-03-24,29.33,29.35,29.10,29.23,2511100,29.02
2014-03-21,29.47,29.63,29.18,29.29,4288200,29.08
2014-03-20,29.11,29.28,28.89,29.28,3591400,29.07
2014-03-19,29.68,29.68,29.01,29.17,4369600,28.96
2014-03-18,29.37,29.62,29.27,29.61,4133500,29.39
2014-03-17,29.97,30.02,29.30,29.33,4801600,29.12
2014-03-14,29.75,30.05,29.75,29.86,3710000,29.64
2014-03-13,29.68,29.86,29.37,29.78,5842600,29.56
2014-03-12,29.49,29.75,29.49,29.60,2549300,29.38
2014-03-11,29.76,29.76,29.48,29.60,2474300,29.38
2014-03-10,29.79,29.85,29.60,29.67,3561500,29.45
2014-03-07,30.23,30.28,29.78,29.79,3323400,29.57
2014-03-06,29.84,30.29,29.84,30.16,2912000,29.94
2014-03-05,29.59,29.86,29.39,29.82,5059300,29.60
2014-03-04,29.60,29.64,29.43,29.62,5296100,29.40
2014-03-03,29.37,29.53,29.19,29.28,4772000,29.07
2014-02-28,29.55,29.65,29.32,29.51,5391600,29.30
2014-02-27,29.89,29.98,29.38,29.51,4603300,29.30
2014-02-26,29.78,30.07,29.70,29.85,3814400,29.63
2014-02-25,30.22,30.23,29.86,29.92,4589000,29.48
2014-02-24,30.19,30.43,30.18,30.21,3287000,29.77
2014-02-21,30.42,30.43,30.13,30.18,2989500,29.74
2014-02-20,30.35,30.60,30.29,30.45,2719500,30.01
2014-02-19,30.40,30.59,30.25,30.35,3485100,29.91
2014-02-18,30.44,30.55,30.30,30.51,2122700,30.07
2014-02-14,30.32,30.53,30.27,30.45,2158800,30.01
2014-02-13,30.11,30.45,30.08,30.39,2301600,29.95
2014-02-12,30.23,30.31,30.01,30.28,2673300,29.84
2014-02-11,29.97,30.24,29.84,30.19,2528200,29.75
2014-02-10,29.84,30.03,29.60,30.01,2944200,29.57
2014-02-07,29.64,29.90,29.35,29.88,3376600,29.44
2014-02-06,29.12,29.61,29.06,29.51,2923500,29.08
2014-02-05,29.32,29.33,28.84,29.07,5450700,28.65
2014-02-04,29.44,29.65,29.22,29.41,3551100,28.98
2014-02-03,29.88,30.12,29.19,29.39,4851600,28.96
2014-01-31,29.93,30.27,29.66,29.88,6995700,29.44
2014-01-30,30.75,30.89,30.58,30.77,2776700,30.32
2014-01-29,30.52,30.84,30.40,30.54,2868500,30.10
2014-01-28,30.46,31.05,30.45,30.73,3821600,30.28
2014-01-27,30.22,30.68,30.11,30.33,4263600,29.89
2014-01-24,30.41,30.62,30.16,30.19,4900300,29.75
2014-01-23,30.90,31.06,30.53,30.56,4261700,30.11
2014-01-22,31.17,31.36,31.06,31.11,2194200,30.66
2014-01-21,31.04,31.23,30.90,31.15,2417100,30.70
2014-01-17,31.23,31.25,30.90,30.97,2515700,30.52
2014-01-16,31.01,31.30,31.00,31.17,2552600,30.72
2014-01-15,30.99,31.21,30.84,31.05,2083300,30.60
2014-01-14,30.69,31.08,30.62,30.94,2140800,30.49
2014-01-13,30.91,31.04,30.48,30.58,2062700,30.13
2014-01-10,31.11,31.32,30.98,31.06,2137500,30.61
2014-01-09,30.98,31.05,30.67,31.00,2776000,30.55
2014-01-08,31.00,31.04,30.57,30.82,4590100,30.37
2014-01-07,30.99,31.28,30.49,31.11,4501200,30.66
2014-01-06,31.41,31.43,30.80,31.02,3340600,30.57
2014-01-03,31.18,31.59,31.18,31.34,1945900,30.88
2014-01-02,31.38,31.58,31.17,31.27,2749500,30.81
2013-12-31,31.42,31.60,31.30,31.57,2898800,31.11
2013-12-30,31.33,31.48,31.29,31.43,1852000,30.97
2013-12-27,31.46,31.46,31.17,31.30,1508200,30.84
2013-12-26,31.45,31.60,31.19,31.33,2140200,30.87
2013-12-24,31.36,31.54,31.23,31.28,1479100,30.82
2013-12-23,31.52,31.71,31.30,31.33,2971200,30.87
2013-12-20,31.24,31.62,31.18,31.40,5437900,30.94
2013-12-19,31.15,31.49,31.03,31.27,4541200,30.81
2013-12-18,30.35,31.40,30.17,31.39,9472900,30.93
2013-12-17,30.46,30.53,29.94,30.10,5354900,29.66
2013-12-16,30.19,30.61,30.09,30.61,4291900,30.16
2013-12-13,29.81,30.21,29.77,30.01,4182000,29.57
2013-12-12,29.54,29.90,29.43,29.63,3877600,29.20
2013-12-11,29.99,29.99,29.20,29.30,3198400,28.87
2013-12-10,30.02,30.35,29.94,29.99,3572700,29.55
2013-12-09,29.96,30.27,29.82,30.08,4416700,29.64
2013-12-06,29.66,29.94,29.42,29.82,2676600,29.39
2013-12-05,29.38,29.53,29.13,29.42,3641800,28.99
2013-12-04,29.34,29.44,29.01,29.41,4490800,28.98
2013-12-03,29.50,29.64,29.38,29.49,3159200,29.06
2013-12-02,30.10,30.25,29.58,29.60,4219700,29.17
2013-11-29,30.50,30.59,29.92,30.13,2601600,29.69
2013-11-27,29.80,30.68,29.70,30.59,3742700,30.14
2013-11-26,29.56,29.86,29.45,29.59,3183700,29.16
2013-11-25,29.44,29.73,29.25,29.55,2688300,29.12
2013-11-22,29.52,29.60,29.25,29.56,3024400,29.13
2013-11-21,29.24,29.52,29.18,29.44,3701500,29.01
2013-11-20,29.62,29.94,29.08,29.17,3987000,28.74
2013-11-19,29.67,29.77,29.51,29.61,2058300,29.18
2013-11-18,29.85,29.94,29.59,29.66,2609900,29.23
2013-11-15,29.77,29.90,29.65,29.74,3427100,29.31
2013-11-14,29.48,29.98,29.48,29.86,4699700,29.42
2013-11-13,29.08,29.78,28.97,29.73,5184500,29.30
2013-11-12,29.11,29.22,28.82,29.15,3438000,28.73
2013-11-11,29.19,29.35,28.92,29.11,2971000,28.69
2013-11-08,29.02,29.33,28.56,29.30,4818500,28.87
2013-11-07,29.47,29.64,29.06,29.13,3778000,28.71
2013-11-06,29.70,29.74,29.34,29.37,3058600,28.94
2013-11-05,30.19,30.19,29.42,29.50,6536900,29.07
2013-11-04,30.74,30.80,30.22,30.37,3473100,29.93
2013-11-01,30.41,30.58,29.97,30.34,3619400,29.90
2013-10-31,30.51,30.75,30.19,30.42,5022500,29.98
2013-10-30,30.78,31.02,30.43,30.47,5532000,30.03
2013-10-29,31.25,31.28,30.72,30.95,3909000,30.28
2013-10-28,31.39,31.48,31.05,31.34,3988100,30.66
2013-10-25,31.88,32.00,30.92,31.39,7751900,30.71
2013-10-24,30.45,30.50,30.18,30.30,4620300,29.65
2013-10-23,30.26,30.48,30.11,30.46,3839800,29.80
2013-10-22,29.99,30.51,29.93,30.33,3784900,29.68
2013-10-21,30.06,30.60,29.71,30.09,6038800,29.44
2013-10-18,30.18,30.31,29.97,30.11,3318700,29.46
2013-10-17,29.25,30.13,29.18,30.01,3770000,29.36
2013-10-16,28.95,29.42,28.85,29.40,3616900,28.77
2013-10-15,29.14,29.30,28.77,28.78,3239800,28.16
2013-10-14,29.05,29.34,28.91,29.30,2218600,28.67
2013-10-11,28.75,29.34,28.75,29.34,2798600,28.71
2013-10-10,28.52,28.95,28.46,28.94,3820200,28.32
2013-10-09,28.19,28.47,28.01,28.25,3367500,27.64
2013-10-08,28.50,28.62,28.12,28.12,4215400,27.51
2013-10-07,28.33,28.76,28.25,28.60,3193100,27.98
2013-10-04,28.69,28.88,28.44,28.59,3169600,27.97
2013-10-03,28.93,29.05,28.34,28.77,3736300,28.15
2013-10-02,28.95,29.20,28.76,29.07,3023100,28.44
2013-10-01,28.72,29.23,28.62,29.13,3334200,28.50
2013-09-30,28.66,28.83,28.42,28.63,3782700,28.01
2013-09-27,28.66,28.99,28.55,28.93,3005300,28.31
2013-09-26,28.62,28.96,28.57,28.82,3174100,28.20
2013-09-25,28.44,28.74,28.34,28.53,3709400,27.91
2013-09-24,28.34,28.79,28.22,28.35,4756300,27.74
2013-09-23,28.67,28.82,28.17,28.26,4364500,27.65
2013-09-20,29.25,29.34,28.69,28.81,5027700,28.19
2013-09-19,29.28,29.64,29.16,29.27,5100100,28.64
2013-09-18,28.48,29.29,28.13,29.29,6018100,28.66
2013-09-17,28.82,28.94,28.52,28.58,2612900,27.96
2013-09-16,28.95,29.17,28.58,28.77,3329800,28.15
2013-09-13,28.36,28.52,28.22,28.39,2707800,27.78
2013-09-12,28.51,28.62,28.16,28.32,3260100,27.71
2013-09-11,28.67,28.73,28.21,28.43,4316600,27.82
2013-09-10,29.06,29.09,28.48,28.78,4577700,28.16
2013-09-09,28.57,29.10,28.33,28.95,6186100,28.33
2013-09-06,28.05,28.74,27.77,28.51,8061500,27.89
2013-09-05,27.44,27.87,27.35,27.76,5957200,27.16
2013-09-04,27.06,27.32,26.97,27.10,4141700,26.52
2013-09-03,27.57,27.60,26.91,27.10,4091100,26.52
2013-08-30,27.70,27.71,27.28,27.38,4446200,26.79
2013-08-29,27.58,27.98,27.51,27.72,3331900,27.12
2013-08-28,27.10,27.90,26.97,27.66,4793600,27.06
2013-08-27,27.66,27.81,27.32,27.33,4022400,26.53
2013-08-26,27.91,28.25,27.72,27.96,3468000,27.14
2013-08-23,27.53,27.82,27.32,27.81,3542100,26.99
2013-08-22,27.47,27.53,27.21,27.48,3537300,26.67
2013-08-21,27.42,27.67,26.99,27.32,3821000,26.52
2013-08-20,26.91,27.53,26.88,27.35,5690800,26.54
2013-08-19,27.00,27.09,26.64,26.65,3438800,25.87
2013-08-16,27.09,27.52,26.95,27.06,5440300,26.26
2013-08-15,27.21,27.46,26.81,27.17,6707200,26.37
2013-08-14,27.47,28.22,27.28,27.79,6994100,26.97
2013-08-13,27.41,27.44,26.80,26.99,4520800,26.20
2013-08-12,27.68,27.73,27.26,27.32,3569300,26.52
2013-08-09,27.30,27.84,27.25,27.81,4598300,26.99
2013-08-08,27.66,27.72,27.27,27.32,5406500,26.52
2013-08-07,28.03,28.09,27.58,27.60,3434200,26.79
2013-08-06,28.15,28.43,28.10,28.18,3780000,27.35
2013-08-05,27.98,28.31,27.91,28.16,3852700,27.33
2013-08-02,28.24,28.32,27.93,27.98,4457900,27.16
2013-08-01,28.55,28.78,28.25,28.31,4559000,27.48
2013-07-31,28.20,28.89,27.89,28.40,6216700,27.56
2013-07-30,28.00,28.35,28.00,28.22,4982600,27.39
2013-07-29,28.28,28.39,27.57,27.99,7941700,27.17
2013-07-26,29.36,29.56,28.38,28.80,5596200,27.95
2013-07-25,28.77,29.15,28.52,29.14,5344500,28.28
2013-07-24,29.38,29.42,28.65,28.86,4107400,28.01
2013-07-23,29.61,29.64,29.31,29.33,3512700,28.47
2013-07-22,29.85,29.86,29.43,29.50,3311900,28.63
2013-07-19,29.51,29.86,29.30,29.86,3823400,28.98
2013-07-18,29.39,29.67,29.29,29.60,3558300,28.73
2013-07-17,29.38,29.52,29.21,29.27,3460800,28.41
2013-07-16,29.35,29.58,29.20,29.36,3716000,28.50
2013-07-15,29.40,29.50,29.17,29.36,2392500,28.50
2013-07-12,29.36,29.56,29.21,29.55,2802000,28.68
2013-07-11,29.07,29.38,29.00,29.35,5066600,28.49
2013-07-10,28.66,28.85,28.47,28.74,3304300,27.89
2013-07-09,28.50,28.99,28.43,28.73,4153300,27.88
2013-07-08,28.56,28.75,28.31,28.38,3745600,27.54
2013-07-05,28.58,28.62,28.02,28.31,3523800,27.48
2013-07-03,28.32,28.58,28.19,28.46,2094100,27.62
2013-07-02,28.06,28.73,28.01,28.54,5017800,27.70
2013-07-01,28.52,28.80,28.05,28.10,4608800,27.27
2013-06-28,28.13,28.69,27.79,28.49,13485200,27.65
2013-06-27,27.85,28.54,27.71,28.20,9039000,27.37
2013-06-26,27.74,27.95,27.60,27.73,5574600,26.91
2013-06-25,27.38,27.69,27.05,27.52,8218600,26.71
2013-06-24,27.00,27.64,26.38,27.01,9510800,26.21
2013-06-21,27.30,27.58,26.91,27.42,12985300,26.61
2013-06-20,27.26,27.52,26.85,27.03,16053300,26.23
2013-06-19,28.15,28.25,27.26,27.31,38634400,26.51
2013-06-18,28.50,28.77,28.03,28.24,14434500,27.41
2013-06-17,29.00,29.36,28.65,28.66,10177800,27.82
2013-06-14,28.58,28.92,28.23,28.29,3645700,27.46
2013-06-13,27.73,28.70,27.61,28.61,6409600,27.77
2013-06-12,28.91,28.96,27.73,27.79,5804200,26.97
2013-06-11,28.63,28.98,28.28,28.69,4695700,27.85
2013-06-10,29.50,29.52,28.78,29.10,5194900,28.24
2013-06-07,29.16,29.26,28.67,29.03,4136400,28.18
2013-06-06,28.30,29.02,28.18,29.02,5245800,28.17
2013-06-05,29.18,29.20,28.17,28.32,9124000,27.49
2013-06-04,30.00,30.16,29.20,29.23,5660600,28.37
2013-06-03,29.99,30.47,29.73,30.06,6592400,29.17
2013-05-31,29.81,30.33,29.54,29.82,8577600,28.94
2013-05-30,30.63,30.72,29.65,29.66,8963000,28.79
2013-05-29,31.54,31.63,30.31,30.53,7242300,29.63
2013-05-28,32.22,32.55,31.72,31.80,5319300,30.86
2013-05-24,31.94,32.01,31.63,31.74,3629100,30.81
2013-05-23,31.87,32.28,31.65,32.05,4595000,31.11
2013-05-22,32.52,33.24,32.11,32.33,8284300,31.38
2013-05-21,32.36,32.64,32.14,32.60,3565000,31.64
2013-05-20,32.50,32.67,32.29,32.37,2989000,31.42
2013-05-17,32.15,32.50,32.12,32.48,4308900,31.52
2013-05-16,32.17,32.40,31.78,31.97,4376000,31.03
2013-05-15,32.24,32.36,31.92,32.35,4002900,31.40
2013-05-14,31.50,32.27,31.38,32.26,7027800,31.31
2013-05-13,31.26,31.40,30.80,30.90,3468800,29.99
2013-05-10,31.79,31.82,31.26,31.39,3169800,30.47
2013-05-09,31.49,32.33,31.40,31.81,6350400,30.87
2013-05-08,30.96,31.40,30.82,31.33,3056000,30.41
2013-05-07,31.19,31.50,30.97,31.38,2655400,30.26
2013-05-06,30.65,31.09,30.52,31.04,2583600,29.93
2013-05-03,30.54,30.92,30.40,30.65,3280300,29.56
2013-05-02,30.22,30.47,30.07,30.25,3223900,29.17
2013-05-01,30.36,30.64,30.06,30.14,4239500,29.07
2013-04-30,30.33,30.54,30.12,30.51,4011600,29.42
2013-04-29,30.70,30.79,30.22,30.43,3557400,29.35
2013-04-26,31.85,32.00,30.48,30.53,6373500,29.44
2013-04-25,31.47,31.51,31.03,31.38,5645000,30.26
2013-04-24,30.82,31.50,30.82,31.41,5158400,30.29
2013-04-23,30.22,30.98,30.18,30.75,4329800,29.65
2013-04-22,30.00,30.24,29.37,30.05,4350700,28.98
2013-04-19,29.48,30.19,29.46,29.84,5549900,28.78
2013-04-18,29.86,29.88,28.91,29.29,6632600,28.25
2013-04-17,30.41,30.46,29.24,29.74,8315500,28.68
2013-04-16,30.82,31.15,30.46,30.60,5917500,29.51
2013-04-15,31.60,31.75,30.42,30.42,5789900,29.34
2013-04-12,31.64,31.97,31.62,31.78,3238600,30.65
2013-04-11,31.62,31.86,31.50,31.71,3250800,30.58
2013-04-10,31.29,31.66,31.17,31.63,2913400,30.50
2013-04-09,31.50,31.54,31.12,31.27,2641500,30.16
2013-04-08,31.14,31.48,30.84,31.48,2559400,30.36
2013-04-05,30.61,31.20,30.32,31.16,3691600,30.05
2013-04-04,30.42,31.24,30.40,31.22,3703500,30.11
