Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,4.55,4.60,4.40,4.52,235500,4.52
2014-06-18,4.40,4.53,4.25,4.51,307100,4.51
2014-06-17,4.36,4.47,4.31,4.40,344200,4.40
2014-06-16,4.41,4.49,4.31,4.38,191400,4.38
2014-06-13,4.52,4.54,4.33,4.44,268900,4.44
2014-06-12,4.55,4.74,4.45,4.56,398700,4.56
2014-06-11,4.50,4.60,4.41,4.57,286000,4.57
2014-06-10,4.44,4.60,4.44,4.55,201300,4.55
2014-06-09,4.29,4.64,4.25,4.54,486900,4.54
2014-06-06,4.18,4.42,4.11,4.34,404900,4.34
2014-06-05,3.87,4.38,3.86,4.14,743400,4.14
2014-06-04,3.90,4.04,3.78,3.79,259100,3.79
2014-06-03,4.05,4.05,3.87,3.95,275800,3.95
2014-06-02,4.04,4.10,3.94,4.01,260500,4.01
2014-05-30,4.21,4.28,3.87,4.05,444800,4.05
2014-05-29,4.32,4.37,4.16,4.19,410600,4.19
2014-05-28,4.16,4.48,4.15,4.28,919500,4.28
2014-05-27,3.82,4.07,3.74,4.04,625100,4.04
2014-05-23,3.75,3.79,3.66,3.74,209900,3.74
2014-05-22,3.54,3.85,3.52,3.72,300700,3.72
2014-05-21,3.60,3.67,3.52,3.55,286200,3.55
2014-05-20,3.75,3.75,3.51,3.58,332300,3.58
2014-05-19,3.75,3.79,3.51,3.72,590300,3.72
2014-05-16,3.64,3.77,3.61,3.74,394100,3.74
2014-05-15,3.66,3.82,3.45,3.66,648400,3.66
2014-05-14,3.53,3.70,3.52,3.54,297700,3.54
2014-05-13,3.62,3.86,3.54,3.55,344700,3.55
2014-05-12,3.30,3.64,3.28,3.64,318400,3.64
2014-05-09,3.45,3.50,3.15,3.28,882500,3.28
2014-05-08,3.59,3.67,3.45,3.58,540600,3.58
2014-05-07,3.63,3.99,3.46,3.55,268400,3.55
2014-05-06,3.74,3.82,3.61,3.61,294100,3.61
2014-05-05,3.75,3.84,3.65,3.76,216900,3.76
2014-05-02,3.99,3.99,3.78,3.80,283200,3.80
2014-05-01,4.04,4.08,3.90,3.96,356100,3.96
2014-04-30,4.13,4.13,3.91,4.06,266300,4.06
2014-04-29,4.10,4.18,4.00,4.12,352500,4.12
2014-04-28,4.15,4.26,3.88,4.06,418600,4.06
2014-04-25,4.42,4.53,4.09,4.13,441800,4.13
2014-04-24,4.39,4.57,4.16,4.48,293200,4.48
2014-04-23,4.86,4.90,4.34,4.42,488300,4.42
2014-04-22,4.63,5.24,4.57,4.91,1169400,4.91
2014-04-21,4.29,4.37,4.17,4.35,358600,4.35
2014-04-17,4.16,4.27,4.03,4.20,405300,4.20
2014-04-16,4.17,4.22,4.08,4.18,310500,4.18
2014-04-15,4.20,4.27,3.89,4.12,791900,4.12
2014-04-14,4.32,4.42,4.11,4.18,454000,4.18
2014-04-11,4.40,4.57,4.25,4.26,340200,4.26
2014-04-10,4.87,4.95,4.37,4.47,664500,4.47
2014-04-09,4.72,4.92,4.72,4.86,407600,4.86
2014-04-08,4.72,4.93,4.68,4.72,420400,4.72
2014-04-07,4.95,4.97,4.68,4.71,608900,4.71
2014-04-04,5.06,5.31,4.70,4.97,969600,4.97
2014-04-03,5.21,5.38,4.99,5.04,347900,5.04
2014-04-02,5.19,5.27,5.06,5.22,312300,5.22
2014-04-01,5.19,5.34,5.06,5.18,448900,5.18
2014-03-31,5.02,5.20,5.01,5.17,525500,5.17
2014-03-28,5.11,5.19,4.94,4.98,467000,4.98
2014-03-27,5.23,5.24,5.01,5.13,400200,5.13
2014-03-26,5.51,5.57,5.18,5.22,440500,5.22
2014-03-25,5.71,5.80,5.36,5.45,436400,5.45
2014-03-24,5.85,5.90,5.42,5.65,542300,5.65
2014-03-21,6.23,6.24,5.76,5.81,715800,5.81
2014-03-20,6.07,6.33,6.05,6.19,472800,6.19
2014-03-19,6.10,6.18,6.01,6.10,399100,6.10
2014-03-18,5.92,6.10,5.90,6.10,361400,6.10
2014-03-17,5.93,5.99,5.83,5.91,375000,5.91
2014-03-14,5.69,5.92,5.61,5.89,268600,5.89
2014-03-13,5.99,6.07,5.64,5.71,498300,5.71
2014-03-12,5.81,5.97,5.78,5.96,324900,5.96
2014-03-11,5.94,6.13,5.80,5.81,285800,5.81
