Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,25.19,25.25,25.18,25.19,12400,25.19
2014-06-18,25.15,25.24,25.15,25.20,4200,25.20
2014-06-17,25.46,25.46,25.17,25.18,11900,25.18
2014-06-16,25.18,25.25,25.17,25.17,8100,25.17
2014-06-13,25.14,25.20,25.14,25.17,3300,25.17
2014-06-12,25.21,25.21,25.15,25.19,8400,25.19
2014-06-11,25.17,25.19,25.14,25.14,2200,25.14
2014-06-10,25.24,25.24,25.14,25.17,89000,25.17
2014-06-09,25.14,25.23,25.14,25.18,9300,25.18
2014-06-06,25.34,25.34,25.20,25.27,7200,25.27
2014-06-05,25.22,25.22,25.17,25.17,1000,25.17
2014-06-04,25.35,26.00,25.14,25.14,12400,25.14
2014-06-03,25.20,25.24,25.17,25.17,3600,25.17
2014-06-02,25.32,25.32,25.21,25.27,2200,25.27
2014-05-30,25.37,25.37,25.29,25.33,11900,25.33
2014-05-29,25.34,25.34,25.27,25.33,12500,25.33
2014-05-28,25.48,25.48,25.21,25.28,8500,25.28
2014-05-27,25.25,25.26,25.20,25.26,3400,25.26
2014-05-23,25.35,25.35,25.22,25.25,5900,25.25
2014-05-22,25.28,25.33,25.25,25.25,8200,25.20
2014-05-21,25.24,25.34,25.24,25.32,21300,25.26
2014-05-20,25.33,25.33,25.25,25.26,9200,25.21
2014-05-19,25.26,25.35,25.26,25.29,10700,25.24
2014-05-16,25.33,25.35,25.25,25.25,11200,25.20
2014-05-15,25.42,25.42,25.29,25.31,26800,25.26
2014-05-14,25.25,25.28,25.25,25.28,1300,25.23
2014-05-13,25.25,25.29,25.25,25.28,3000,25.23
2014-05-12,25.30,25.30,25.25,25.29,8400,25.24
2014-05-09,25.41,25.41,25.27,25.27,1500,25.22
2014-05-08,25.37,25.38,25.32,25.34,18700,25.29
2014-05-07,25.35,25.38,25.32,25.34,6100,25.29
2014-05-06,25.33,25.34,25.30,25.34,124800,25.29
2014-05-05,25.33,25.35,25.28,25.35,8100,25.30
2014-05-02,25.32,25.34,25.27,25.34,22900,25.28
2014-05-01,25.30,25.32,25.24,25.28,25200,25.23
2014-04-30,25.24,25.26,25.20,25.25,10100,25.20
2014-04-29,25.24,25.28,25.15,25.28,48800,25.23
2014-04-28,25.22,25.25,25.19,25.25,70500,25.20
2014-04-25,25.13,25.21,25.13,25.21,32700,25.16
2014-04-24,25.18,25.19,25.10,25.19,28000,25.14
2014-04-23,25.20,25.26,25.20,25.23,3100,25.09
2014-04-22,25.26,25.26,25.21,25.21,3500,25.07
2014-04-21,25.24,25.25,25.19,25.24,25100,25.10
2014-04-17,25.14,25.20,25.14,25.17,21100,25.03
2014-04-16,25.24,25.24,25.19,25.19,3500,25.05
2014-04-15,25.25,25.25,25.17,25.17,44600,25.03
2014-04-14,25.19,25.26,25.19,25.21,4600,25.07
2014-04-11,25.18,25.22,25.17,25.17,4300,25.04
2014-04-10,25.22,25.23,25.17,25.18,7500,25.04
2014-04-09,25.17,25.19,25.12,25.19,4600,25.05
2014-04-08,25.17,25.19,25.17,25.18,9800,25.04
2014-04-07,25.13,25.15,25.08,25.11,34200,24.97
2014-04-04,25.15,25.15,25.10,25.15,2000,25.01
2014-04-03,25.10,25.12,25.10,25.12,25100,24.98
2014-04-02,25.10,25.11,25.03,25.10,12400,24.96
2014-04-01,25.08,25.13,25.04,25.13,332000,24.99
2014-03-31,24.96,25.08,24.96,25.08,7500,24.95
2014-03-28,25.03,25.05,24.99,25.05,27800,24.92
2014-03-27,25.01,25.05,25.00,25.05,9700,24.92
2014-03-26,25.07,25.07,24.97,25.02,30800,24.89
2014-03-25,25.00,25.00,24.96,25.00,5700,24.87
2014-03-24,25.01,25.03,24.98,25.02,27400,24.87
2014-03-21,25.00,25.02,24.96,25.02,794600,24.87
2014-03-20,24.98,24.99,24.98,24.99,6000,24.84
2014-03-19,25.06,25.06,25.06,25.06,1000,24.91
2014-03-18,25.06,25.09,25.05,25.09,7700,24.94
2014-03-17,25.10,25.10,25.04,25.07,6300,24.92
2014-03-14,25.08,25.08,25.04,25.06,4500,24.91
2014-03-13,25.06,25.06,24.97,25.00,8300,24.85
2014-03-12,24.95,24.95,24.92,24.92,4000,24.77
2014-03-11,24.91,24.96,24.87,24.94,27500,24.79
2014-03-10,24.94,24.95,24.87,24.89,13600,24.75
2014-03-07,24.95,24.97,24.95,24.96,3700,24.81
2014-03-06,25.02,25.04,24.86,24.91,112900,24.77
2014-03-05,25.02,25.05,25.00,25.02,1078400,24.87
