Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,5.13,5.15,5.00,5.14,75600,5.14
2014-06-18,5.19,5.20,4.96,5.15,125700,5.15
2014-06-17,5.37,5.37,5.01,5.15,340100,5.15
2014-06-16,5.48,5.54,5.35,5.50,98600,5.50
2014-06-13,5.36,5.44,5.29,5.32,88200,5.32
2014-06-12,5.30,5.45,5.19,5.35,55100,5.35
2014-06-11,5.50,5.50,5.09,5.28,154900,5.28
2014-06-10,5.30,5.39,5.20,5.32,91500,5.32
2014-06-09,5.38,5.49,5.15,5.27,96900,5.27
2014-06-06,5.55,5.55,5.36,5.38,38300,5.38
2014-06-05,5.44,5.59,5.27,5.30,95600,5.30
2014-06-04,5.40,5.64,5.37,5.44,55600,5.44
2014-06-03,5.61,5.72,5.30,5.38,178500,5.38
2014-06-02,5.56,5.75,5.50,5.65,175100,5.65
2014-05-30,5.98,5.98,5.57,5.66,115800,5.66
2014-05-29,5.76,6.12,5.75,5.95,202600,5.95
2014-05-28,5.80,5.81,5.50,5.79,102900,5.79
2014-05-27,5.66,5.89,5.53,5.82,90900,5.82
2014-05-23,5.75,5.93,5.66,5.74,97900,5.74
2014-05-22,5.61,5.89,5.50,5.81,120400,5.81
2014-05-21,6.08,6.20,5.58,5.60,395900,5.60
2014-05-20,6.80,6.80,6.05,6.08,434500,6.08
2014-05-19,6.82,6.95,6.52,6.68,179700,6.68
2014-05-16,7.14,7.14,6.60,6.79,353500,6.79
2014-05-15,6.75,7.14,6.61,7.02,621400,7.02
2014-05-14,6.56,6.66,6.18,6.59,281000,6.59
2014-05-13,6.49,6.63,6.17,6.33,178400,6.33
2014-05-12,6.26,6.44,6.21,6.28,211700,6.28
2014-05-09,5.90,6.19,5.87,6.19,103200,6.19
2014-05-08,5.89,5.98,5.84,5.94,91900,5.94
2014-05-07,5.80,5.89,5.68,5.84,46100,5.84
2014-05-06,5.94,5.94,5.60,5.77,73700,5.77
