Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,18.99,20.28,18.90,20.15,358100,20.15
2014-06-18,18.78,19.10,18.08,18.87,117300,18.87
2014-06-17,19.14,19.45,18.00,18.65,148900,18.65
2014-06-16,17.46,19.44,17.42,19.07,170200,19.07
2014-06-13,17.59,17.80,17.20,17.41,81200,17.41
2014-06-12,17.59,17.75,17.16,17.51,161700,17.51
2014-06-11,17.16,18.22,16.80,17.55,91300,17.55
2014-06-10,16.74,17.24,16.58,17.19,65000,17.19
2014-06-09,16.50,17.21,16.42,16.73,335400,16.73
2014-06-06,15.79,16.75,15.01,16.49,357500,16.49
2014-06-05,14.80,15.64,14.40,15.60,107400,15.60
2014-06-04,15.72,15.83,14.55,14.80,151100,14.80
2014-06-03,16.07,16.76,15.55,15.68,198400,15.68
2014-06-02,16.78,16.78,15.84,15.97,237200,15.97
2014-05-30,15.91,16.04,15.10,15.67,244700,15.67
2014-05-29,15.40,16.16,15.32,15.84,142700,15.84
2014-05-28,15.73,15.88,15.29,15.38,61800,15.38
2014-05-27,16.00,16.16,15.61,15.84,52100,15.84
2014-05-23,15.89,16.09,15.55,15.95,68100,15.95
2014-05-22,15.38,16.78,15.18,15.87,686200,15.87
2014-05-21,15.83,16.33,15.01,15.22,42500,15.22
2014-05-20,15.61,15.91,15.10,15.58,66800,15.58
2014-05-19,15.33,15.98,15.24,15.55,26700,15.55
2014-05-16,15.34,15.52,14.72,15.33,50600,15.33
2014-05-15,16.40,16.68,15.09,15.35,42700,15.35
2014-05-14,15.20,16.80,15.06,16.57,74200,16.57
2014-05-13,15.25,15.54,14.29,15.28,69200,15.28
2014-05-12,14.93,15.88,14.62,15.32,67000,15.32
2014-05-09,13.73,15.44,13.66,14.85,66000,14.85
2014-05-08,14.46,14.68,13.67,13.76,78100,13.76
2014-05-07,15.07,15.09,14.31,14.52,64900,14.52
2014-05-06,15.34,15.34,14.89,15.01,46600,15.01
2014-05-05,15.01,15.83,14.98,15.42,31900,15.42
2014-05-02,15.36,15.36,14.97,15.10,45100,15.10
2014-05-01,15.62,15.93,14.81,15.25,77600,15.25
2014-04-30,15.41,16.36,15.01,15.66,49300,15.66
2014-04-29,15.86,16.26,14.97,15.61,57800,15.61
2014-04-28,15.01,15.98,14.38,15.83,109400,15.83
2014-04-25,15.76,15.93,14.62,14.99,75600,14.99
2014-04-24,16.31,17.02,15.48,15.95,73900,15.95
2014-04-23,16.41,16.86,15.72,16.21,77800,16.21
2014-04-22,15.32,17.01,15.06,16.42,57900,16.42
2014-04-21,14.90,15.94,14.52,15.22,80600,15.22
2014-04-17,14.89,15.16,13.69,14.94,119100,14.94
2014-04-16,15.10,15.79,14.59,14.91,59400,14.91
2014-04-15,16.69,16.77,14.30,14.93,156500,14.93
2014-04-14,17.08,17.58,16.19,16.54,145400,16.54
2014-04-11,17.00,18.29,16.94,16.96,67100,16.96
2014-04-10,19.05,19.05,17.18,17.28,90100,17.28
2014-04-09,19.08,19.25,18.11,19.14,147800,19.14
2014-04-08,18.15,19.24,18.05,19.06,99000,19.06
2014-04-07,19.00,19.74,18.03,18.10,87500,18.10
2014-04-04,20.12,21.56,18.75,19.06,157100,19.06
2014-04-03,21.10,21.42,19.85,19.97,43700,19.97
2014-04-02,22.43,22.58,20.80,21.17,66300,21.17
2014-04-01,21.28,22.60,21.28,22.37,44600,22.37
2014-03-31,21.36,21.45,20.15,21.19,127500,21.19
2014-03-28,20.51,22.00,20.51,21.12,36500,21.12
2014-03-27,20.73,21.61,19.96,20.51,62900,20.51
