Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,26.48,26.77,26.26,26.58,2794100,26.58
2014-06-18,26.41,26.70,26.01,26.48,2129100,26.48
2014-06-17,25.37,26.78,25.34,26.33,4079500,26.33
2014-06-16,25.40,25.60,25.30,25.41,810700,25.41
2014-06-13,25.45,25.66,25.30,25.47,1062400,25.47
2014-06-12,25.32,25.52,25.21,25.30,1100600,25.30
2014-06-11,25.26,25.57,25.22,25.35,969400,25.35
2014-06-10,25.46,25.52,25.17,25.42,1162700,25.42
2014-06-09,25.28,25.71,25.13,25.51,1347900,25.51
2014-06-06,24.94,25.49,24.93,25.27,1406100,25.27
2014-06-05,25.24,25.44,24.90,24.93,1739200,24.93
2014-06-04,24.75,25.17,24.72,25.08,1503700,25.08
2014-06-03,24.22,24.79,24.22,24.77,1335100,24.77
2014-06-02,24.60,24.68,24.28,24.31,1490200,24.31
2014-05-30,24.62,24.72,24.15,24.42,2248700,24.42
2014-05-29,24.63,24.81,24.44,24.66,1888600,24.66
2014-05-28,24.86,24.99,24.58,24.74,1559400,24.74
2014-05-27,24.93,25.08,24.87,24.98,1419700,24.98
2014-05-23,24.78,25.00,24.73,24.86,1750300,24.86
2014-05-22,24.89,25.01,24.74,24.80,1669500,24.80
2014-05-21,25.20,25.31,24.81,24.91,1497700,24.91
2014-05-20,24.77,25.33,24.73,25.09,1997800,25.09
2014-05-19,23.97,24.86,23.96,24.82,2239100,24.82
2014-05-16,24.46,24.48,24.03,24.19,1639600,24.08
2014-05-15,25.00,25.14,24.45,24.46,1869900,24.35
2014-05-14,25.25,25.41,25.08,25.17,1206800,25.06
2014-05-13,25.57,25.58,24.98,25.26,1961100,25.15
2014-05-12,25.73,25.83,25.39,25.54,1133500,25.42
2014-05-09,25.44,25.69,25.17,25.54,1685700,25.42
2014-05-08,24.26,25.71,24.26,25.52,4168900,25.40
2014-05-07,23.55,24.00,23.27,23.98,2361500,23.87
2014-05-06,23.91,23.98,23.41,23.43,1466200,23.32
2014-05-05,24.25,24.42,23.98,24.02,1145300,23.91
2014-05-02,24.13,24.61,24.04,24.45,1239000,24.34
2014-05-01,23.82,24.26,23.72,24.04,2247400,23.93
2014-04-30,23.93,23.97,23.33,23.91,1968300,23.80
2014-04-29,23.57,24.05,23.55,24.00,1771500,23.89
2014-04-28,23.78,23.88,23.12,23.46,1591100,23.35
2014-04-25,24.05,24.16,23.62,23.64,839800,23.53
2014-04-24,24.41,24.44,23.99,24.18,814800,24.07
2014-04-23,24.19,24.29,23.96,24.19,875500,24.08
2014-04-22,23.72,24.48,23.70,24.23,1580400,24.12
2014-04-21,23.85,23.98,23.49,23.67,812600,23.56
2014-04-17,23.90,24.05,23.76,23.89,990000,23.78
2014-04-16,23.85,23.98,23.53,23.91,1061200,23.80
2014-04-15,23.66,24.00,23.10,23.67,1531400,23.56
2014-04-14,24.20,24.43,23.46,23.65,1848900,23.54
2014-04-11,24.01,24.64,23.75,24.00,1934100,23.89
2014-04-10,25.13,25.23,24.19,24.22,2217900,24.11
2014-04-09,24.19,25.28,24.06,25.14,3614200,25.03
2014-04-08,24.13,24.46,24.03,24.08,1996800,23.97
2014-04-07,24.57,24.71,23.96,24.23,3188000,24.12
2014-04-04,25.23,25.32,24.74,24.77,1982900,24.66
2014-04-03,25.62,25.70,24.99,25.07,2007600,24.96
2014-04-02,25.71,25.80,25.52,25.59,1127100,25.47
2014-04-01,25.36,25.67,25.18,25.67,1482900,25.55
2014-03-31,25.32,25.50,25.22,25.32,1163200,25.20
2014-03-28,25.33,25.57,25.04,25.13,1231700,25.02
2014-03-27,25.00,25.39,24.99,25.16,1408700,25.05
2014-03-26,25.85,25.96,24.96,24.99,2573100,24.88
2014-03-25,26.00,26.17,25.73,25.79,1152100,25.67
2014-03-24,26.01,26.01,25.75,25.89,1740100,25.77
2014-03-21,25.93,26.00,25.75,25.81,2099700,25.69
2014-03-20,25.89,25.98,25.53,25.75,3227700,25.63
2014-03-19,26.65,26.65,25.99,26.11,2938900,25.99
2014-03-18,25.51,26.76,25.48,26.65,4403100,26.53
2014-03-17,25.68,25.89,25.37,25.49,1735300,25.37
2014-03-14,25.48,25.68,25.08,25.47,2745900,25.35
2014-03-13,26.47,26.54,25.48,25.54,2186200,25.42
2014-03-12,25.97,26.39,25.88,26.35,1627400,26.23
2014-03-11,26.09,26.45,25.97,26.13,2094000,26.01
2014-03-10,26.33,26.35,25.77,26.02,1920800,25.90
